MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59145.506672,25.472,37.333,0,9,o,0,1.05,86.45198,9.50201,3797.51,1530.6,1.95,1.89,-4.5,-0.416,19.72,20.95,01a59145o0533o
59145.540984,-23.189,4.545,-2,9,o,0,1.2,86.45198,9.50201,3775.37,1494.07,2.14,1.94,3.8,-0.412,19.68,21.05,01a59145o0604o
59145.551439,20.89,0.592,16,10,o,0,1.05,86.45198,9.50201,3830.23,1570.25,2.08,1.98,5.4,-0.411,19.68,21.08,01a59145o0626o
59145.553282,21.059,0.679,14,9,o,0,1.05,86.45198,9.50201,3850.64,1452.76,2.24,2.13,-8.6,-0.404,19.64,21.07,01a59145o0630o
59145.646474,19.937,0.345,38,13,o,0,1.21,86.45198,9.50201,6766.82,9033.54,1.99,1.96,17.6,-0.396,19.1,19.53,01a59145o0812o
59146.60782,-21.812,1.18,-7,8,c,0,1.22,86.45198,9.50201,5420.73,5801.17,2.74,2.33,43.9,-0.385,19.66,21.4,02a59146o0855c
59146.612417,-21.661,1.281,-8,10,c,0,0.82,86.45198,9.50201,5399.81,5760.62,2.76,2.33,43.5,-0.384,19.64,21.41,02a59146o0865c
59146.641217,22.198,1.944,5,9,c,0,1.63,86.45198,9.50201,5460.08,5842.54,2.66,2.3,43.0,-0.392,19.52,21.08,02a59146o0926c
59146.648658,-20.095,0.586,-33,20,c,0,1.06,86.45198,9.50201,5477.65,5724.97,2.75,2.32,41.1,-0.378,18.83,19.92,02a59146o0941c
59148.489579,-19.79,1.226,-44,54,o,0,0.61,86.45198,9.50201,3796.68,1535.57,1.93,1.9,-6.4,-0.42,17.91,18.3,01a59148o0650o
59148.491418,19.093,1.104,84,92,o,0,1.29,86.45198,9.50201,3777.24,1496.26,2.05,1.93,-13.1,-0.412,17.08,17.36,01a59148o0654o
59148.494195,-18.163,0.344,-197,68,o,0,1.12,86.45198,9.50201,3835.57,1574.65,2.06,1.91,3.9,-0.42,17.58,18.05,01a59148o0660o
59148.50065,20.036,1.262,35,44,o,0,1.35,86.45198,9.50201,3855.81,1458.98,1.84,1.75,-9.7,-0.43,17.93,18.32,01a59148o0674o
59153.478668,19.658,0.383,50,19,o,0,1.03,86.45198,9.50201,3489.54,5891.27,1.97,1.83,-15.7,-0.408,18.87,18.99,01a59153o0583o
59153.48097,23.907,15.538,1,15,o,0,1.45,86.45198,9.50201,3469.84,5852.41,1.97,1.85,-17.8,-0.409,18.84,19.0,01a59153o0588o
59153.484808,20.408,0.572,25,14,o,0,1.87,86.45198,9.50201,3528.73,5930.3,2.04,1.85,-15.0,-0.402,18.87,19.02,01a59153o0596o
59153.50354,21.039,1.575,14,22,o,0,1.04,86.45198,9.50201,3548.33,5817.04,2.51,1.83,-4.3,-0.394,18.74,19.0,01a59153o0635o
59154.469677,22.009,6.136,6,35,o,0,1.06,86.45198,9.50201,9031.42,4575.31,2.57,2.12,33.8,-0.392,18.13,18.21,02a59154o0619o
59154.476099,-19.927,0.923,-39,36,o,0,0.88,86.45198,9.50201,9054.96,4612.01,2.27,1.98,36.6,-0.421,18.25,18.21,02a59154o0633o
59154.478871,-20.477,1.488,-23,35,o,0,1.14,86.45198,9.50201,8996.82,4535.58,2.37,2.02,36.1,-0.413,18.2,18.23,02a59154o0639o
59154.489959,19.313,0.442,68,30,o,0,1.72,86.45198,9.50201,8977.86,4651.08,2.32,1.98,33.0,-0.417,18.19,18.25,02a59154o0663o
59160.479516,19.946,0.37,38,14,o,0,0.91,86.45198,9.50201,9467.2,9516.83,2.03,1.96,72.4,-0.383,19.38,19.98,01a59160o0643o
59160.485058,19.635,0.286,51,15,o,0,1.21,86.45198,9.50201,9446.23,9477.23,2.19,2.04,28.0,-0.377,19.35,20.01,01a59160o0655o
59160.487376,20.706,0.678,19,13,o,0,1.22,86.45198,9.50201,9505.86,9556.73,2.18,2.02,44.7,-0.376,19.32,20.03,01a59160o0660o
59160.50121,20.342,0.508,26,14,o,0,1.16,86.45198,9.50201,9526.21,9439.01,2.17,1.96,23.8,-0.406,19.36,20.06,01a59160o0690o
59163.589927,19.273,0.131,71,9,o,0,1.38,86.45198,9.50201,5753.98,1433.98,2.03,1.79,-53.4,-0.455,19.6,20.86,02a59163o0691o
59163.593127,19.622,0.185,51,10,o,0,1.61,86.45198,9.50201,5735.75,1396.86,2.02,1.78,-53.3,-0.462,19.65,20.86,02a59163o0698o
59163.653796,19.773,0.576,45,26,o,0,0.88,86.45198,9.50201,5791.04,1477.35,2.0,1.97,-65.6,-0.442,18.5,18.77,02a59163o0749o
59164.579891,19.258,0.142,72,10,o,0,1.56,86.45198,9.50201,1062.08,1066.18,1.98,1.86,37.2,-0.454,19.59,20.65,01a59164o0348o
59164.620624,19.189,0.143,77,11,o,0,1.41,86.45198,9.50201,1092.72,1105.77,2.3,2.0,-4.2,-0.427,19.41,20.57,01a59164o0366o
59170.488571,19.091,0.096,84,8,c,0,0.88,86.45198,9.50201,1213.31,2990.42,2.36,2.31,29.0,-0.409,19.69,21.47,02a59170o0564c
59170.4904,18.875,0.098,102,10,c,0,0.87,86.45198,9.50201,1233.15,3029.49,2.35,2.31,34.9,-0.414,19.66,21.47,02a59170o0568c
59170.494056,18.891,0.097,101,10,c,0,0.96,86.45198,9.50201,1175.04,2950.71,2.4,2.33,37.9,-0.414,19.68,21.47,02a59170o0576c
59170.499558,19.007,0.114,91,10,c,0,0.78,86.45198,9.50201,1155.14,3067.59,2.35,2.32,5.9,-0.414,19.68,21.47,02a59170o0588c
59179.374745,18.87,0.176,103,18,o,0,1.25,86.45198,9.50201,907.81,9308.04,2.29,1.82,-49.5,-0.519,19.02,19.66,02a59179o0416o
59179.377976,18.761,0.166,114,19,o,0,1.39,86.45198,9.50201,928.21,9346.93,2.3,1.77,-45.7,-0.521,19.04,19.66,02a59179o0423o
59179.383483,18.49,0.147,146,22,o,0,1.19,86.45198,9.50201,869.88,9268.38,2.2,1.77,-48.3,-0.509,19.08,19.69,02a59179o0435o
59179.419004,19.137,0.277,80,22,o,0,1.6,86.45198,9.50201,839.51,9387.42,2.24,1.61,-45.0,-0.534,18.56,19.41,02a59179o0510o
59180.406526,19.066,0.189,86,16,o,0,1.29,86.45198,9.50201,9726.76,3205.22,2.32,2.06,-74.6,-0.408,19.2,19.76,01a59180o0489o
59180.417177,19.135,0.228,81,18,o,0,1.48,86.45198,9.50201,9710.31,3165.89,2.84,2.49,-17.8,-0.406,19.02,19.78,01a59180o0512o
59180.419942,18.61,0.155,131,20,o,0,0.79,86.45198,9.50201,9766.69,3243.6,2.62,2.46,-38.7,-0.409,19.05,19.8,01a59180o0518o
59180.425021,18.671,0.128,124,16,o,0,1.16,86.45198,9.50201,9787.28,3127.27,2.33,2.24,-41.2,-0.395,19.18,19.8,01a59180o0529o
59181.369122,18.613,0.175,130,23,o,0,1.41,86.45198,9.50201,9726.38,3203.45,2.38,2.21,-79.2,-0.396,18.77,19.04,01a59181o0319o
59181.373316,18.547,0.178,138,25,o,0,1.16,86.45198,9.50201,9708.02,3164.27,2.3,2.14,-74.3,-0.396,18.81,19.05,01a59181o0328o
59181.379304,18.659,0.174,125,22,o,0,1.09,86.45198,9.50201,9767.42,3243.74,2.27,2.09,-59.3,-0.392,18.86,19.08,01a59181o0341o
59181.389235,18.663,0.196,124,24,o,0,1.23,86.45198,9.50201,9788.43,3127.28,2.48,2.37,-50.0,-0.393,18.74,19.12,01a59181o0362o
59187.558674,19.355,0.85,66,56,o,0,1.61,86.45198,9.50201,3559.71,7829.36,2.25,2.0,43.2,-0.433,18.22,19.15,02a59187o0766o
59187.561488,19.795,0.482,44,21,o,0,1.22,86.45198,9.50201,3540.57,7791.08,2.17,1.98,43.7,-0.425,18.87,19.38,02a59187o0772o
59187.576861,19.503,0.99,57,57,o,0,1.15,86.45198,9.50201,3598.18,7867.67,2.15,1.99,43.0,-0.438,17.83,18.67,02a59187o0805o
59187.583383,19.527,0.624,56,35,o,0,0.83,86.45198,9.50201,3617.64,7751.33,2.21,2.06,39.8,-0.422,18.55,18.93,02a59187o0819o
59189.457977,19.623,0.273,51,14,o,0,0.94,86.45198,9.50201,8796.5,651.53,2.27,2.09,-42.4,-0.405,19.44,20.33,01a59189o0587o
59189.461354,19.088,0.151,84,13,o,0,1.2,86.45198,9.50201,8816.53,690.11,2.24,2.01,-46.0,-0.413,19.44,20.34,01a59189o0594o
59189.494063,19.311,0.193,68,13,o,0,1.2,86.45198,9.50201,8765.65,607.06,2.46,2.24,-17.1,-0.401,19.35,20.32,01a59189o0661o
59189.52233,19.362,0.186,65,12,o,0,1.16,86.45198,9.50201,8750.97,723.37,2.33,2.08,-28.7,-0.403,19.38,20.26,01a59189o0720o
59190.411927,19.378,0.166,64,11,o,0,1.15,86.45198,9.50201,7018.3,2733.55,2.1,1.89,29.9,-0.438,19.5,20.56,02a59190o0426o
59190.415139,19.284,0.177,70,12,o,0,1.21,86.45198,9.50201,7040.96,2770.71,2.06,1.92,31.7,-0.446,19.49,20.55,02a59190o0433o
59190.420668,19.13,0.13,81,10,o,0,1.14,86.45198,9.50201,6985.64,2692.43,2.01,1.82,28.0,-0.449,19.51,20.52,02a59190o0445o
59190.430425,19.426,0.181,62,11,o,0,1.1,86.45198,9.50201,6967.05,2809.61,2.05,1.85,30.3,-0.451,19.52,20.52,02a59190o0466o
59192.478667,19.268,0.162,71,12,o,0,1.21,86.45198,9.50201,8737.64,8907.81,2.7,2.38,87.1,-0.343,19.49,20.92,01a59192o0644o
59192.481899,19.468,0.188,59,11,o,0,1.17,86.45198,9.50201,8758.68,8946.78,2.74,2.3,-85.1,-0.357,19.46,20.92,01a59192o0651o
59192.488345,19.352,0.181,66,12,o,0,1.09,86.45198,9.50201,8699.5,8867.95,2.74,2.36,-83.0,-0.346,19.42,20.87,01a59192o0665o
59192.498519,19.773,0.274,45,12,o,0,0.99,86.45198,9.50201,8682.43,8985.39,2.73,2.27,-79.3,-0.349,19.44,20.82,01a59192o0687o
59193.452256,19.556,0.182,55,10,o,0,1.01,86.45198,9.50201,8730.49,8913.7,2.2,2.06,-2.9,-0.379,19.66,21.0,01a59193o0577o
59193.456418,19.539,0.185,56,10,o,0,1.18,86.45198,9.50201,8753.35,8953.35,2.18,2.11,26.5,-0.38,19.68,21.03,01a59193o0586o
59193.466567,19.979,0.279,37,10,o,0,0.97,86.45198,9.50201,8695.83,8874.64,2.19,2.08,22.7,-0.38,19.62,21.0,01a59193o0607o
