MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59179.581865,-22.11,1.719,-5,9,o,0,1.29,144.98325,16.09499,3518.39,6706.71,2.06,1.79,35.1,-0.435,19.67,20.76,02a59179o0831o
59179.584151,-20.491,0.421,-23,10,o,0,1.12,144.98325,16.09499,3538.24,6746.46,2.07,1.8,37.1,-0.436,19.65,20.81,02a59179o0836o
59179.58828,22.05,1.831,6,10,o,0,0.83,144.98325,16.09499,3480.45,6668.62,2.09,1.8,38.6,-0.437,19.66,20.83,02a59179o0845o
59179.598488,-20.641,0.571,-20,12,o,0,0.82,144.98325,16.09499,3464.29,6782.37,2.28,1.93,39.7,-0.422,19.55,20.83,02a59179o0866o
59181.494831,21.256,1.836,11,21,o,0,1.23,144.98325,16.09499,3182.01,5781.96,2.71,2.63,12.8,-0.404,18.75,19.47,01a59181o0591o
59181.50036,21.052,1.189,14,16,o,0,1.4,144.98325,16.09499,3163.81,5743.87,2.3,2.22,-13.9,-0.422,18.93,19.51,01a59181o0603o
59181.504047,19.209,0.308,75,23,o,0,0.98,144.98325,16.09499,3222.12,5823.76,2.7,2.65,-11.7,-0.416,18.77,19.53,01a59181o0611o
59181.513721,20.386,0.676,25,17,o,0,1.14,144.98325,16.09499,3244.34,5708.85,2.33,2.28,-71.2,-0.41,18.98,19.6,01a59181o0632o
59183.520332,19.038,0.319,88,28,o,0,0.92,144.98325,16.09499,3512.86,6706.7,2.18,2.01,32.4,-0.421,18.56,18.84,02a59183o0318o
59183.525854,19.222,0.365,74,27,o,0,1.17,144.98325,16.09499,3532.54,6744.06,2.16,2.01,31.1,-0.422,18.63,18.88,02a59183o0330o
59183.528619,19.05,0.282,87,24,o,0,1.25,144.98325,16.09499,3474.79,6667.33,2.23,2.01,32.6,-0.419,18.64,18.89,02a59183o0336o
59183.538765,19.248,0.308,73,22,o,0,1.42,144.98325,16.09499,3454.86,6782.5,2.15,2.03,28.6,-0.419,18.62,18.94,02a59183o0358o
