MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59169.584198,20.746,3.04,18,56,c,0,0.81,142.59388,-21.45359,8993.11,8110.94,3.11,2.63,36.7,-0.368,17.87,19.55,02a59169o0878c
59169.588337,-21.193,1.029,-12,12,c,0,0.79,142.59388,-21.45359,9013.26,8150.71,3.05,2.53,35.9,-0.367,19.51,21.33,02a59169o0887c
59169.595596,-25.078,31.0,0,10,c,0,1.03,142.59388,-21.45359,8957.0,8070.95,2.84,2.62,43.1,-0.382,19.57,21.32,02a59169o0902c
59169.605703,-21.434,1.278,-10,12,c,0,0.78,142.59388,-21.45359,8937.54,8186.83,3.13,2.59,35.4,-0.372,19.52,21.32,02a59169o0924c
59171.651784,-14.477,1.816,-5879,10676,o,0,0.91,142.59388,-21.45359,5298.8,6579.29,2.93,2.0,0.4,-0.378,12.95,13.5,01a59171o0002o
59171.652244,-15.328,0.85,-2685,2283,o,0,1.23,142.59388,-21.45359,5221.42,6617.94,2.75,1.92,-0.6,-0.368,13.74,14.25,01a59171o0003o
59171.652705,-18.272,2.375,-178,424,o,0,0.96,142.59388,-21.45359,5280.21,6695.46,2.69,1.9,-1.8,-0.356,15.6,16.02,01a59171o0004o
59171.653165,16.176,2.191,1230,2694,o,0,0.97,142.59388,-21.45359,5299.84,6579.35,2.96,2.05,1.0,-0.37,13.91,14.38,01a59171o0005o
59171.653627,15.688,11.552,1926,22246,o,0,0.74,142.59388,-21.45359,5261.62,6637.58,2.69,2.0,-2.3,-0.369,13.18,13.58,01a59171o0006o
59183.603635,19.724,0.391,47,18,o,0,0.9,142.59388,-21.45359,5570.01,4244.55,2.12,1.91,-11.9,-0.382,18.88,19.12,01a59183o0912o
59183.606866,19.862,0.398,41,16,o,0,1.23,142.59388,-21.45359,5551.81,4206.68,2.24,1.89,-6.9,-0.374,18.85,19.13,01a59183o0919o
59183.618465,20.864,1.157,16,19,o,0,1.44,142.59388,-21.45359,5610.91,4284.66,2.38,1.97,-4.2,-0.36,18.8,19.14,01a59183o0944o
59183.624761,19.967,0.45,37,17,o,0,1.32,142.59388,-21.45359,4962.4,6403.39,2.13,1.93,-16.8,-0.372,18.83,19.17,01a59183o0957o
59185.46789,19.303,0.859,69,59,o,0,1.24,142.59388,-21.45359,5154.62,8262.68,2.26,2.23,-72.1,-0.437,18.36,18.74,02a59185o0623o
59185.475292,19.278,0.646,71,46,o,0,1.53,142.59388,-21.45359,5175.54,8299.58,2.27,2.09,32.7,-0.438,18.5,18.85,02a59185o0639o
59185.487659,19.424,0.65,62,40,o,0,1.15,142.59388,-21.45359,5117.87,8221.93,2.36,2.23,35.8,-0.426,18.58,18.99,02a59185o0666o
59185.494068,19.281,0.609,70,43,o,0,0.83,142.59388,-21.45359,5098.98,8337.73,2.25,2.14,32.2,-0.432,18.63,19.07,02a59185o0680o
59187.585636,18.984,0.163,92,15,o,0,1.77,142.59388,-21.45359,3699.53,739.01,2.46,2.22,5.6,-0.387,19.03,19.73,01a59187o0843o
59187.58748,19.078,0.208,85,18,o,0,1.15,142.59388,-21.45359,3681.1,700.05,2.21,2.21,-33.9,-0.426,19.08,19.73,01a59187o0847o
59187.594305,18.944,0.17,96,16,o,0,1.43,142.59388,-21.45359,3737.4,778.83,2.49,2.41,-20.2,-0.392,19.0,19.76,01a59187o0861o
59187.601236,18.837,0.152,106,16,o,0,1.04,142.59388,-21.45359,3756.47,661.9,2.44,2.09,10.6,-0.386,19.09,19.77,01a59187o0876o
59189.58423,19.005,0.172,91,16,o,0,0.83,142.59388,-21.45359,7201.79,1678.35,1.99,1.94,39.4,-0.438,19.1,19.79,02a59189o0862o
59189.589627,18.637,0.127,127,16,o,0,1.24,142.59388,-21.45359,7217.56,1719.1,1.95,1.93,-53.5,-0.44,19.15,19.78,02a59189o0873o
59189.591914,18.53,0.126,141,18,o,0,0.89,142.59388,-21.45359,7159.69,1639.99,1.95,1.87,-56.8,-0.445,19.16,19.78,02a59189o0878o
59189.600248,18.544,0.099,139,14,o,0,1.94,142.59388,-21.45359,7139.42,1757.39,1.93,1.91,39.3,-0.444,19.15,19.81,02a59189o0896o
59191.468413,18.477,0.155,148,23,o,0,0.77,142.59388,-21.45359,3698.65,727.4,3.22,2.92,1.3,-0.368,18.88,20.0,01a59191o0617o
59191.4744,18.636,0.142,128,18,o,0,1.07,142.59388,-21.45359,3677.37,687.93,2.65,2.61,-5.7,-0.382,19.02,20.03,01a59191o0630o
59191.488684,18.512,0.111,143,16,o,0,0.79,142.59388,-21.45359,3735.21,767.98,2.57,2.26,0.2,-0.379,19.19,20.18,01a59191o0661o
59191.495173,18.383,0.097,161,16,o,0,1.2,142.59388,-21.45359,3754.08,651.81,2.46,2.3,-6.7,-0.39,19.17,20.19,01a59191o0675o
59193.580921,18.283,0.066,176,12,o,0,0.75,142.59388,-21.45359,7200.46,1680.49,2.07,2.04,47.0,-0.438,19.59,20.91,02a59193o0861o
59193.582751,18.218,0.06,187,11,o,0,1.01,142.59388,-21.45359,7219.65,1719.04,2.01,1.96,53.8,-0.439,19.63,20.93,02a59193o0865o
59193.5951,18.372,0.067,163,11,o,0,1.44,142.59388,-21.45359,7159.08,1642.81,2.04,2.01,-74.2,-0.436,19.59,20.94,02a59193o0891o
59193.599703,18.394,0.073,159,12,o,0,1.22,142.59388,-21.45359,7139.81,1758.45,2.08,2.08,49.5,-0.436,19.56,20.88,02a59193o0901o
59195.567619,18.092,0.047,210,10,c,0,1.05,142.59388,-21.45359,7726.69,2677.17,3.11,2.81,3.0,-0.37,19.65,21.94,01a59195o0831c
59195.570848,18.195,0.055,191,11,c,0,0.84,142.59388,-21.45359,7708.52,2638.62,3.3,2.61,-7.9,-0.342,19.67,21.94,01a59195o0838c
59195.574084,18.054,0.042,218,9,c,0,1.17,142.59388,-21.45359,7766.46,2715.95,2.71,2.49,-10.2,-0.374,19.79,21.94,01a59195o0845c
59195.580535,18.136,0.045,202,9,c,0,1.39,142.59388,-21.45359,7786.08,2599.35,2.88,2.61,-14.9,-0.369,19.73,21.94,01a59195o0859c
59197.566519,18.008,0.042,227,10,c,0,1.36,142.59388,-21.45359,818.91,6054.82,2.46,2.28,12.1,-0.399,19.75,21.81,02a59197o0806c
59197.56835,17.963,0.043,237,10,c,0,0.83,142.59388,-21.45359,838.36,6093.2,2.41,2.2,-53.4,-0.415,19.77,21.83,02a59197o0810c
59197.574181,18.046,0.046,220,10,c,0,1.43,142.59388,-21.45359,781.55,6016.54,2.48,2.33,-44.8,-0.404,19.75,21.83,02a59197o0822c
59197.579718,18.07,0.048,215,10,c,0,1.5,142.59388,-21.45359,759.02,6132.95,2.39,2.31,-14.2,-0.402,19.75,21.82,02a59197o0834c
59199.520326,19.028,0.975,89,87,o,0,0.87,142.59388,-21.45359,7726.49,2675.06,2.97,2.42,25.8,-0.335,17.12,18.67,01a59199o0408o
59199.523551,17.864,0.251,260,65,o,0,1.28,142.59388,-21.45359,7708.3,2637.02,2.56,2.37,-29.5,-0.382,17.56,19.0,01a59199o0415o
59199.529085,0.0,18.819,0,108,o,0,1.4,142.59388,-21.45359,7764.94,2713.59,2.52,2.29,-59.6,-0.384,17.0,18.47,01a59199o0427o
59199.541874,-18.18,1.5,-194,291,o,0,1.53,142.59388,-21.45359,7787.45,2596.77,2.43,2.06,-7.3,-0.402,15.84,17.23,01a59199o0454o
59205.586415,18.292,0.056,175,10,c,0,1.32,142.59388,-21.45359,1668.63,4385.43,2.56,2.49,63.3,-0.414,19.65,21.62,02a59205o0848c
59205.590572,18.238,0.058,184,11,c,0,1.1,142.59388,-21.45359,1649.73,4346.64,2.57,2.49,65.7,-0.415,19.66,21.6,02a59205o0857c
59205.619398,18.333,0.063,169,11,c,0,1.01,142.59388,-21.45359,1709.22,4426.44,2.61,2.51,68.4,-0.411,19.62,21.62,02a59205o0919c
59205.647683,18.329,0.049,169,8,c,0,1.81,142.59388,-21.45359,1731.67,4314.46,2.51,2.4,52.6,-0.406,19.63,21.54,02a59205o0980c
59207.531566,18.251,0.053,182,10,c,0,1.34,142.59388,-21.45359,1437.06,8964.94,2.78,2.39,-8.1,-0.353,19.68,21.78,01a59207o0719c
59207.533407,18.268,0.052,179,9,c,0,1.09,142.59388,-21.45359,1417.39,8925.44,2.99,2.36,-6.4,-0.351,19.65,21.78,01a59207o0723c
59207.538945,18.318,0.055,171,9,c,0,0.95,142.59388,-21.45359,1478.51,9006.05,2.79,2.33,2.5,-0.354,19.63,21.73,01a59207o0735c
59207.54401,18.244,0.048,183,9,c,0,1.45,142.59388,-21.45359,1499.77,8889.41,2.63,2.31,-11.7,-0.367,19.68,21.7,01a59207o0746c
59208.511922,18.788,0.126,111,14,o,0,1.2,142.59388,-21.45359,7811.72,4609.54,2.58,2.27,-3.8,-0.41,19.19,20.04,01a59208o0675o
59208.51653,18.502,0.1,144,14,o,0,1.38,142.59388,-21.45359,7791.39,4570.89,2.61,2.31,-19.5,-0.374,19.16,20.06,01a59208o0685o
59208.535437,18.721,0.109,118,13,o,0,1.14,142.59388,-21.45359,7851.97,4647.3,2.43,2.19,-4.4,-0.39,19.28,20.2,01a59208o0725o
59208.543725,18.679,0.113,123,14,o,0,1.09,142.59388,-21.45359,7872.61,4530.58,2.29,2.26,-1.7,-0.406,19.36,20.31,01a59208o0743o
59211.531627,19.34,0.303,67,20,o,0,1.13,142.59388,-21.45359,7820.68,4613.1,3.17,2.39,-1.6,-0.371,18.82,19.59,01a59211o0743o
59211.533466,18.923,0.246,98,24,o,0,0.83,142.59388,-21.45359,7801.89,4573.96,3.79,2.5,-1.4,-0.341,18.68,19.59,01a59211o0747o
59211.536235,18.914,0.172,99,17,o,0,1.33,142.59388,-21.45359,7859.75,4651.48,2.7,2.5,-10.7,-0.36,18.88,19.59,01a59211o0753o
59211.543944,19.233,0.219,74,16,o,0,1.48,142.59388,-21.45359,7880.91,4534.71,2.8,2.35,0.8,-0.363,18.88,19.6,01a59211o0769o
59215.517901,-16.231,0.741,-1169,866,o,0,1.59,142.59388,-21.45359,7823.4,4612.56,2.46,2.37,-2.4,-0.419,14.62,14.32,01a59215o0707o
59215.527908,16.542,0.618,878,543,o,0,1.11,142.59388,-21.45359,7804.65,4573.89,2.32,2.24,-16.6,-0.381,15.04,14.67,01a59215o0728o
59215.531132,18.763,3.54,114,402,o,0,1.23,142.59388,-21.45359,7862.66,4651.35,2.46,2.4,-1.3,-0.408,15.47,15.18,01a59215o0735o
59215.53716,-17.675,0.918,-309,284,o,0,1.15,142.59388,-21.45359,7882.82,4535.72,2.44,2.36,-62.8,-0.402,16.0,15.67,01a59215o0748o
59217.496201,19.098,0.227,83,19,o,0,1.99,142.59388,-21.45359,7088.36,8173.84,2.24,2.12,53.6,-0.439,18.97,19.46,02a59217o0619o
59217.522871,18.891,0.229,101,23,o,0,1.12,142.59388,-21.45359,7104.74,8215.59,2.23,2.17,69.1,-0.436,18.97,19.48,02a59217o0676o
59217.525187,19.191,0.235,76,18,o,0,2.2,142.59388,-21.45359,7047.65,8136.09,2.21,2.02,41.7,-0.435,19.01,19.48,02a59217o0681o
59217.52793,18.722,0.192,118,23,o,0,1.05,142.59388,-21.45359,7029.26,8252.9,2.15,2.06,61.3,-0.444,18.98,19.49,02a59217o0687o
59219.515058,18.902,0.173,100,17,o,0,0.86,142.59388,-21.45359,9447.63,396.44,2.91,2.7,-26.0,-0.364,19.22,20.2,01a59219o0693o
59219.516901,19.088,0.185,84,16,o,0,1.08,142.59388,-21.45359,9428.41,357.5,3.03,2.61,-24.6,-0.35,19.18,20.24,01a59219o0697o
59219.519677,19.083,0.196,84,16,o,0,1.04,142.59388,-21.45359,9485.55,434.92,3.0,2.64,-4.9,-0.361,19.17,20.25,01a59219o0703o
59219.524751,18.95,0.151,96,14,o,0,1.59,142.59388,-21.45359,9505.85,316.92,3.18,3.02,-41.0,-0.349,19.12,20.27,01a59219o0714o
59221.504513,19.125,0.14,81,11,o,0,0.93,142.59388,-21.45359,7310.28,3821.24,2.17,1.95,36.3,-0.434,19.56,20.76,02a59221o0669o
59221.506344,18.778,0.091,112,10,o,0,1.14,142.59388,-21.45359,7329.74,3860.55,2.11,1.91,33.9,-0.439,19.56,20.77,02a59221o0673o
59221.50909,19.074,0.096,85,8,o,0,2.08,142.59388,-21.45359,7270.13,3782.19,2.12,1.9,33.9,-0.435,19.59,20.79,02a59221o0679o
59221.529521,18.761,0.096,114,11,o,0,0.94,142.59388,-21.45359,3322.16,6649.39,2.25,2.02,37.5,-0.429,19.53,20.79,02a59221o0722o
59223.467926,19.352,0.152,66,10,c,0,1.09,142.59388,-21.45359,9439.99,399.38,3.18,3.04,12.8,-0.324,19.68,21.96,01a59223o0592c
59223.471157,19.316,0.154,68,10,c,0,1.1,142.59388,-21.45359,9420.19,359.83,2.95,2.81,-3.9,-0.34,19.76,21.95,01a59223o0599c
59223.487795,19.451,0.168,60,10,c,0,1.27,142.59388,-21.45359,9478.93,436.18,3.03,2.73,-51.1,-0.348,19.76,21.94,01a59223o0634c
59223.493328,19.515,0.17,57,10,c,0,1.03,142.59388,-21.45359,9497.92,318.67,3.17,2.97,-59.0,-0.311,19.69,21.99,01a59223o0646c
59227.521859,19.691,0.147,48,7,c,0,1.51,142.59388,-21.45359,6954.16,6226.43,2.34,2.25,-59.8,-0.376,19.93,22.2,01a59227o0651c
59227.548506,19.594,0.152,53,8,c,0,1.0,142.59388,-21.45359,6972.3,6261.32,2.39,2.33,-52.1,-0.375,19.89,22.14,01a59227o0708c
59227.577006,19.698,0.187,48,9,c,0,0.88,142.59388,-21.45359,6916.01,6183.16,2.72,2.63,-82.0,-0.357,19.7,22.09,01a59227o0769c
59227.60178,19.804,0.183,44,8,c,0,1.23,142.59388,-21.45359,6898.54,6300.01,2.53,2.51,63.6,-0.364,19.77,22.08,01a59227o0822c
59229.483777,19.396,0.137,63,9,c,0,1.31,142.59388,-21.45359,3052.98,10025.9,2.59,2.23,-54.4,-0.412,19.77,21.8,02a59229o0624c
59229.485606,19.591,0.186,53,10,c,0,1.04,142.59388,-21.45359,3072.18,10065.12,2.5,2.24,-58.4,-0.412,19.79,21.8,02a59229o0628c
59229.488809,19.505,0.142,57,8,c,0,1.61,142.59388,-21.45359,3014.67,9986.35,2.49,2.3,-55.5,-0.411,19.75,21.81,02a59229o0635c
59229.495741,19.544,0.139,55,8,c,0,1.45,142.59388,-21.45359,2994.0,10104.31,2.43,2.29,-65.9,-0.407,19.76,21.82,02a59229o0650c
59231.469308,20.319,0.283,27,8,c,0,1.3,142.59388,-21.45359,3631.98,4325.28,2.91,2.62,-88.5,-0.381,19.69,22.0,01a59231o0461c
