MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59179.59103,21.054,0.76,14,10,o,0,1.09,149.32766,15.23642,1417.39,8360.47,1.99,1.8,-39.5,-0.467,19.63,20.79,02a59179o0851o
59179.606546,22.863,4.69,3,12,o,0,1.34,149.32766,15.23642,1435.3,8398.55,1.96,1.79,-39.7,-0.468,19.62,20.75,02a59179o0881o
59179.609748,22.009,1.727,6,10,o,0,1.45,149.32766,15.23642,1379.09,8321.31,1.93,1.72,-43.1,-0.475,19.62,20.74,02a59179o0888o
59179.616797,22.775,3.875,3,11,o,0,1.12,149.32766,15.23642,1365.93,8437.18,1.96,1.77,-44.7,-0.47,19.6,20.72,02a59179o0902o
59181.52202,20.377,0.874,26,22,o,0,0.51,149.32766,15.23642,5100.61,4124.42,2.39,2.21,-4.5,-0.385,18.96,19.55,01a59181o0650o
59181.524784,-24.175,23.833,-1,18,o,0,1.08,149.32766,15.23642,5082.09,4086.92,2.6,2.36,-11.0,-0.382,18.86,19.56,01a59181o0656o
59181.530314,-20.238,0.562,-29,16,o,0,1.4,149.32766,15.23642,5141.48,4164.76,2.8,2.22,-3.6,-0.384,18.88,19.59,01a59181o0668o
59181.540915,20.267,0.62,28,18,o,0,0.88,149.32766,15.23642,5161.98,4049.51,2.55,2.19,-7.9,-0.385,18.96,19.64,01a59181o0691o
59183.540139,-19.691,0.797,-48,38,o,0,1.14,149.32766,15.23642,1415.15,8360.82,2.19,1.92,-46.4,-0.479,18.63,18.92,02a59183o0361o
59183.543803,-20.972,2.892,-15,43,o,0,1.04,149.32766,15.23642,1434.36,8399.9,2.17,1.89,-47.1,-0.476,18.63,18.94,02a59183o0369o
59183.549338,20.252,1.192,29,34,o,0,1.25,149.32766,15.23642,1374.72,8321.56,2.1,1.83,-47.0,-0.487,18.69,18.98,02a59183o0381o
59183.561266,21.186,2.959,12,36,o,0,1.35,149.32766,15.23642,1353.58,8437.08,2.09,1.89,-41.9,-0.463,18.74,19.03,02a59183o0407o
59185.543072,23.017,8.56,2,19,o,0,1.49,149.32766,15.23642,1220.28,624.55,2.07,1.92,53.7,-0.473,19.07,19.43,01a59185o0783o
59185.545375,19.853,0.558,42,23,o,0,0.75,149.32766,15.23642,1200.61,585.8,2.08,1.91,28.5,-0.463,19.08,19.43,01a59185o0788o
59185.548146,23.337,13.389,2,22,o,0,0.85,149.32766,15.23642,1261.38,664.76,2.15,1.96,7.7,-0.456,19.05,19.45,01a59185o0794o
59185.565873,19.675,0.416,49,20,o,0,0.65,149.32766,15.23642,1275.78,549.23,2.01,1.87,58.1,-0.465,19.16,19.53,01a59185o0831o
59187.584519,23.386,16.933,2,27,o,0,1.22,149.32766,15.23642,1576.24,1757.81,2.01,1.95,-62.3,-0.46,18.48,18.84,02a59187o0821o
59187.586348,19.732,0.569,46,26,o,0,1.27,149.32766,15.23642,1596.25,1797.53,2.07,2.0,-66.9,-0.455,18.65,19.1,02a59187o0825o
59187.589091,19.312,1.987,68,136,o,0,0.76,149.32766,15.23642,1538.34,1719.65,2.04,1.95,-65.3,-0.474,17.54,17.76,02a59187o0831o
59187.611883,20.783,1.048,18,18,o,0,1.44,149.32766,15.23642,1523.14,1835.78,1.97,1.9,-62.7,-0.47,18.93,19.39,02a59187o0879o
59191.560537,18.435,0.966,154,148,o,0,0.92,149.32766,15.23642,1579.79,1756.75,1.94,1.83,-63.2,-0.481,16.89,16.92,02a59191o0758o
59191.563339,19.255,0.656,72,47,o,0,1.91,149.32766,15.23642,1599.51,1797.73,2.03,1.94,-73.8,-0.47,17.68,17.83,02a59191o0764o
59191.566084,18.418,0.453,156,71,o,0,1.74,149.32766,15.23642,1540.47,1719.28,1.98,1.88,-64.8,-0.48,17.36,17.49,02a59191o0770o
59191.582855,19.145,0.207,80,16,o,0,0.83,149.32766,15.23642,1526.69,1835.09,2.01,1.91,-68.3,-0.473,19.22,19.93,02a59191o0805o
59193.567714,18.748,0.101,115,12,o,0,0.65,149.32766,15.23642,1323.82,2576.99,1.91,1.79,-20.5,-0.426,19.69,21.28,01a59193o0816o
59193.569613,18.951,0.114,95,11,o,0,1.02,149.32766,15.23642,1303.02,2538.17,2.01,1.87,-0.6,-0.412,19.53,21.53,01a59193o0820o
59193.574329,19.129,0.155,81,12,o,0,0.56,149.32766,15.23642,1363.79,2618.0,1.94,1.89,18.9,-0.421,19.74,21.07,01a59193o0830o
59193.581351,19.152,0.14,79,11,o,0,0.9,149.32766,15.23642,1382.92,2500.96,2.13,1.93,6.4,-0.414,19.68,21.02,01a59193o0845o
59195.510579,18.595,0.075,132,10,c,0,1.27,149.32766,15.23642,1257.57,6123.58,2.52,2.4,-34.4,-0.407,19.63,21.52,02a59195o0697c
59195.513804,18.782,0.092,112,10,c,0,1.5,149.32766,15.23642,1288.95,6162.04,2.61,2.48,-23.1,-0.408,19.61,21.52,02a59195o0704c
59195.519305,18.7,0.087,120,10,c,0,1.17,149.32766,15.23642,1230.51,6084.88,2.52,2.39,-47.6,-0.412,19.66,21.54,02a59195o0716c
