MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59178.355744,-15.016,0.717,-3578,2566,o,0,0.76,24.56046,36.60955,6240.26,5704.68,2.22,2.15,-40.8,-0.426,14.69,15.39,01a59178o0311o
59178.358978,18.483,2.505,147,368,o,0,0.77,24.56046,36.60955,6260.91,5743.09,2.13,2.02,-83.1,-0.41,16.13,16.9,01a59178o0318o
59178.364984,-16.688,1.652,-767,1267,o,0,0.73,24.56046,36.60955,6203.36,5666.54,2.19,2.07,-15.8,-0.373,15.06,15.57,01a59178o0331o
59178.37558,20.589,413.0,21,8720,o,0,1.16,24.56046,36.60955,6187.47,5782.52,2.39,2.3,-71.3,-0.404,12.71,12.95,01a59178o0354o
59179.326819,-21.992,9.5,-6,55,o,0,2.02,24.56046,36.60955,4839.48,2906.93,2.19,1.87,34.7,-0.461,17.54,17.73,02a59179o0318o
59179.339939,19.959,0.752,38,28,o,0,1.28,24.56046,36.60955,4819.34,2867.0,2.13,1.9,32.4,-0.443,18.58,18.95,02a59179o0346o
59179.35396,20.332,0.607,27,16,o,0,2.7,24.56046,36.60955,4876.32,2945.66,2.21,2.0,34.6,-0.435,18.78,19.31,02a59179o0376o
59179.358275,-23.934,15.1,-1,15,o,0,2.3,24.56046,36.60955,4896.59,2828.82,2.1,1.86,36.3,-0.449,19.01,19.47,02a59179o0385o
59183.39463,20.49,1.309,23,30,o,0,2.0,24.56046,36.60955,4837.37,2903.29,2.27,1.99,37.9,-0.437,18.38,18.57,02a59183o0107o
59183.401606,-20.662,1.366,-20,27,o,0,1.46,24.56046,36.60955,4817.46,2865.92,2.14,1.92,40.4,-0.438,18.43,18.56,02a59183o0122o
59183.411914,22.418,8.051,4,32,o,0,0.71,24.56046,36.60955,4876.43,2941.86,2.09,1.91,36.5,-0.447,18.36,18.52,02a59183o0144o
59184.346755,19.482,0.312,58,18,o,0,4.23,24.56046,36.60955,4834.25,2907.57,1.89,1.81,16.5,-0.457,18.92,19.29,02a59184o0361o
59184.349964,-20.214,0.664,-30,20,o,0,2.8,24.56046,36.60955,4814.41,2870.48,1.94,1.82,22.1,-0.463,18.89,19.28,02a59184o0368o
59184.356639,26.503,215.0,0,20,o,0,2.85,24.56046,36.60955,4871.06,2945.53,2.05,1.78,34.1,-0.459,18.9,19.26,02a59184o0382o
59184.368535,21.724,2.564,7,19,o,0,2.1,24.56046,36.60955,4891.87,2827.62,2.09,1.84,32.4,-0.452,18.87,19.21,02a59184o0408o
59185.411986,-22.079,3.034,-5,16,o,0,3.13,24.56046,36.60955,2986.76,9203.58,2.14,2.0,-38.3,-0.416,19.03,19.54,01a59185o0502o
59185.425372,-21.211,1.531,-12,18,o,0,2.2,24.56046,36.60955,3008.13,9241.72,2.15,1.99,-44.1,-0.417,19.01,19.49,01a59185o0531o
59185.428597,-21.054,1.507,-14,21,o,0,1.41,24.56046,36.60955,2946.66,9163.91,2.26,2.12,-35.6,-0.417,18.97,19.47,01a59185o0538o
59185.436899,-20.966,1.191,-15,18,o,0,1.88,24.56046,36.60955,2926.96,9280.87,2.15,1.99,-33.2,-0.426,18.97,19.44,01a59185o0556o
59186.394795,26.322,145.0,0,16,o,0,1.49,24.56046,36.60955,2990.36,9205.08,2.34,2.17,-13.9,-0.409,19.15,19.89,01a59186o0464o
59186.398077,21.775,2.318,7,16,o,0,1.89,24.56046,36.60955,3009.86,9244.24,2.33,2.16,-64.4,-0.412,19.13,19.88,01a59186o0471o
59186.40459,-20.716,0.62,-19,12,o,0,3.1,24.56046,36.60955,2950.32,9165.64,1.93,1.79,-54.2,-0.416,19.28,19.86,01a59186o0485o
59186.41979,22.804,5.75,3,16,o,0,2.47,24.56046,36.60955,2929.76,9283.51,2.17,1.87,-33.2,-0.406,19.19,19.79,01a59186o0518o
59187.412897,-19.753,0.334,-46,15,o,0,2.82,24.56046,36.60955,7264.12,9523.1,2.32,2.18,-49.3,-0.436,19.22,19.98,02a59187o0449o
59187.418399,-20.202,0.573,-30,17,o,0,1.91,24.56046,36.60955,7244.78,9483.31,2.3,2.19,-55.1,-0.432,19.25,19.99,02a59187o0461o
59187.425733,-20.117,0.481,-33,16,o,0,1.93,24.56046,36.60955,7302.9,9561.89,2.32,2.15,-52.1,-0.437,19.21,19.96,02a59187o0477o
59187.428935,-19.865,0.467,-41,19,o,0,1.78,24.56046,36.60955,7321.92,9444.28,2.4,2.23,-53.8,-0.437,19.18,19.94,02a59187o0484o
59189.326305,-21.188,0.624,-12,8,o,0,2.6,24.56046,36.60955,2969.18,9208.06,1.8,1.66,-56.4,-0.428,19.86,21.24,01a59189o0308o
59189.341818,-21.918,1.667,-6,10,o,0,4.11,24.56046,36.60955,2992.79,9245.92,1.82,1.64,-68.9,-0.431,19.83,21.13,01a59189o0340o
