MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59178.557187,-21.101,0.598,-13,8,c,0,2.26,122.91082,-2.3295,3283.95,1714.15,2.34,2.27,-65.0,-0.415,19.78,21.59,02a59178o0268c
59178.559472,-21.101,0.598,-13,8,c,0,2.36,122.91082,-2.3295,3303.51,1753.57,2.35,2.26,-68.9,-0.411,19.77,21.58,02a59178o0273c
59178.562222,-20.083,0.23,-34,8,c,0,2.82,122.91082,-2.3295,3244.46,1676.1,2.38,2.31,-68.9,-0.409,19.72,21.57,02a59178o0279c
59178.567706,-21.869,1.232,-6,8,c,0,2.37,122.91082,-2.3295,3224.39,1792.66,2.36,2.23,-64.0,-0.411,19.76,21.56,02a59178o0291c
59180.479525,-19.101,0.214,-83,18,o,0,2.09,122.91082,-2.3295,527.63,560.88,2.27,2.06,42.6,-0.496,19.21,19.98,01a59180o0647o
59180.483209,-21.747,2.382,-7,17,o,0,2.63,122.91082,-2.3295,507.92,524.11,2.1,1.88,68.1,-0.504,19.31,19.99,01a59180o0655o
59180.488743,-19.169,0.196,-78,15,o,0,1.99,122.91082,-2.3295,566.41,603.66,2.15,1.94,50.9,-0.49,19.27,20.05,01a59180o0667o
59180.499798,20.898,1.195,16,19,o,0,1.51,122.91082,-2.3295,585.92,488.13,2.05,1.92,48.1,-0.505,19.32,20.09,01a59180o0691o
59182.484879,-19.937,0.519,-38,20,o,0,2.08,122.91082,-2.3295,3279.2,1713.14,2.11,2.03,55.6,-0.444,18.85,19.31,02a59182o0659o
59182.487633,-21.341,1.99,-11,21,o,0,1.22,122.91082,-2.3295,3299.22,1751.88,2.09,2.0,46.7,-0.45,18.87,19.32,02a59182o0665o
59182.490382,19.93,0.475,39,18,o,0,1.56,122.91082,-2.3295,3239.78,1673.16,2.02,1.92,46.1,-0.455,18.92,19.33,02a59182o0671o
59182.495413,-19.839,0.445,-42,19,o,0,2.83,122.91082,-2.3295,3219.44,1789.9,2.13,1.89,43.9,-0.453,18.9,19.34,02a59182o0682o
59184.522751,19.542,0.395,55,22,o,0,1.4,122.91082,-2.3295,9557.88,7298.41,2.58,2.3,3.9,-0.364,18.83,19.23,01a59184o0636o
59184.531127,21.941,3.125,6,19,o,0,1.56,122.91082,-2.3295,9538.7,7256.96,2.19,2.11,60.3,-0.391,18.99,19.26,01a59184o0653o
59184.534849,20.71,1.025,19,19,o,0,1.61,122.91082,-2.3295,9597.08,7334.55,2.2,2.09,73.1,-0.393,18.98,19.28,01a59184o0661o
59184.541754,21.303,1.579,11,17,o,0,2.26,122.91082,-2.3295,9615.82,7218.02,2.27,2.21,60.1,-0.387,18.91,19.26,01a59184o0676o
59190.519608,19.906,0.341,40,14,o,0,2.66,122.91082,-2.3295,9307.29,5322.7,2.11,2.02,39.8,-0.426,19.45,20.39,02a59190o0657o
59190.529376,19.306,0.194,69,13,o,0,3.35,122.91082,-2.3295,9323.82,5362.88,2.16,2.05,31.9,-0.428,19.44,20.39,02a59190o0677o
59190.53122,23.389,8.4,2,14,o,0,1.88,122.91082,-2.3295,9269.55,5284.07,2.13,2.06,32.5,-0.429,19.42,20.39,02a59190o0681o
59190.537642,20.417,0.586,25,14,o,0,2.84,122.91082,-2.3295,9249.1,5401.84,2.13,2.01,38.7,-0.429,19.48,20.41,02a59190o0695o
59192.53244,19.115,0.144,82,12,o,0,3.01,122.91082,-2.3295,9665.48,9238.27,2.88,2.07,-84.1,-0.378,19.5,20.9,01a59192o0760o
59192.534282,18.647,0.106,126,13,o,0,2.09,122.91082,-2.3295,9644.76,9197.41,3.0,2.25,-86.9,-0.372,19.43,20.89,01a59192o0764o
59192.556009,19.243,0.152,73,11,o,0,2.66,122.91082,-2.3295,9706.82,9274.7,2.9,2.05,-85.3,-0.38,19.51,20.87,01a59192o0810o
59192.567609,19.911,0.31,39,12,o,0,2.54,122.91082,-2.3295,805.72,1425.11,2.8,2.61,21.5,-0.427,19.33,20.88,01a59192o0834o
59194.466844,18.663,0.088,124,11,c,0,1.6,122.91082,-2.3295,5582.05,9673.95,2.51,2.43,-60.7,-0.404,19.77,21.75,02a59194o0614c
59194.468684,18.688,0.081,122,10,c,0,2.33,122.91082,-2.3295,5601.65,9713.14,2.54,2.45,-56.9,-0.403,19.76,21.75,02a59194o0618c
59194.496358,18.465,0.071,149,11,c,0,1.74,122.91082,-2.3295,5542.86,9634.32,2.51,2.41,-54.8,-0.409,19.81,21.81,02a59194o0677c
59194.502974,18.823,0.097,107,10,c,0,1.77,122.91082,-2.3295,5528.45,9751.31,2.55,2.43,-53.0,-0.411,19.79,21.8,02a59194o0691c
59198.485429,18.392,0.145,160,23,c,0,0.87,122.91082,-2.3295,5582.56,9675.03,2.55,2.42,-58.1,-0.409,18.87,20.6,02a59198o0648c
59198.488629,17.836,0.081,266,22,c,0,2.15,122.91082,-2.3295,5601.58,9713.83,2.57,2.45,-44.7,-0.406,18.83,20.57,02a59198o0655c
59198.493664,17.802,0.179,275,49,c,0,1.08,122.91082,-2.3295,5543.76,9636.04,2.54,2.47,-59.2,-0.404,18.04,19.69,02a59198o0666c
59198.502391,17.663,0.151,312,47,c,0,1.09,122.91082,-2.3295,5524.17,9754.78,2.62,2.48,-58.9,-0.403,18.18,19.86,02a59198o0685c
59200.455568,17.768,0.039,284,11,c,0,1.93,122.91082,-2.3295,9447.99,5349.77,2.77,2.5,-83.8,-0.388,19.78,21.83,01a59200o0470c
59200.468591,17.734,0.035,293,10,c,0,1.93,122.91082,-2.3295,9429.62,5310.17,2.58,2.54,-74.9,-0.39,19.84,21.87,01a59200o0498c
59200.478709,17.886,0.047,254,12,c,0,1.17,122.91082,-2.3295,9491.36,5387.97,2.75,2.62,-58.3,-0.378,19.78,21.89,01a59200o0519c
59200.484261,17.877,0.044,257,11,c,0,1.65,122.91082,-2.3295,9512.81,5273.57,2.54,2.43,-81.4,-0.394,19.89,21.89,01a59200o0531c
59204.547262,17.95,0.039,240,9,c,0,1.86,122.91082,-2.3295,1098.6,5235.28,2.56,2.25,1.6,-0.385,19.81,21.91,01a59204o0706c
59204.550601,17.661,0.033,313,10,c,0,1.86,122.91082,-2.3295,1120.02,5273.88,2.33,2.18,-70.2,-0.39,19.89,21.89,01a59204o0713c
59204.577964,17.786,0.036,279,10,c,0,2.5,122.91082,-2.3295,1066.15,5195.84,2.25,2.14,-81.1,-0.396,19.9,21.94,01a59204o0771c
59204.606445,17.758,0.035,286,10,c,0,2.78,122.91082,-2.3295,1051.88,5310.95,2.6,2.46,-61.6,-0.372,19.76,21.92,01a59204o0832c
59206.44822,18.296,0.082,174,14,o,0,2.99,122.91082,-2.3295,3640.55,9768.33,2.17,1.81,-53.0,-0.448,19.48,20.48,02a59206o0550o
59206.453708,17.862,0.065,260,17,o,0,1.63,122.91082,-2.3295,3659.19,9807.06,2.17,1.78,-54.7,-0.449,19.51,20.52,02a59206o0562o
59206.471388,17.882,0.053,256,14,o,0,2.44,122.91082,-2.3295,3604.72,9728.3,2.14,1.83,-52.5,-0.443,19.59,20.66,02a59206o0600o
59206.478328,18.18,0.066,194,13,o,0,3.33,122.91082,-2.3295,3585.26,9846.13,2.18,1.85,-52.8,-0.443,19.59,20.76,02a59206o0615o
59208.494394,17.984,0.068,232,16,o,0,2.44,122.91082,-2.3295,3054.93,977.53,1.95,1.9,41.5,-0.423,19.47,20.23,01a59208o0637o
59208.499921,18.273,0.08,178,14,o,0,2.72,122.91082,-2.3295,3036.43,939.48,2.62,1.93,1.8,-0.412,19.31,20.23,01a59208o0649o
59208.502697,18.015,0.059,226,13,o,0,2.86,122.91082,-2.3295,3094.83,1018.19,2.37,1.88,3.6,-0.418,19.35,20.24,01a59208o0655o
59208.525912,17.891,0.062,253,16,o,0,1.3,122.91082,-2.3295,7464.93,9644.42,2.36,2.02,4.6,-0.357,19.37,20.31,01a59208o0705o
59210.475463,17.898,0.055,252,14,o,0,5.06,122.91082,-2.3295,5238.14,1625.91,1.98,1.91,42.7,-0.432,19.08,19.65,02a59210o0016o
59210.477292,17.977,0.074,234,17,o,0,3.06,122.91082,-2.3295,5256.82,1664.68,1.99,1.94,35.4,-0.434,19.08,19.65,02a59210o0020o
59210.482795,17.744,0.067,290,19,o,0,1.8,122.91082,-2.3295,5197.78,1586.83,1.95,1.93,-68.3,-0.432,19.09,19.67,02a59210o0032o
59210.48874,18.346,0.107,166,18,o,0,1.88,122.91082,-2.3295,5177.4,1704.21,1.92,1.88,-44.6,-0.436,19.09,19.62,02a59210o0045o
59212.373655,18.299,0.161,174,28,o,0,1.69,122.91082,-2.3295,3063.9,971.75,2.97,1.89,-3.9,-0.389,18.48,18.7,01a59212o0401o
59212.380107,18.024,0.111,224,25,o,0,2.07,122.91082,-2.3295,3040.95,933.46,2.23,2.01,10.8,-0.391,18.57,18.74,01a59212o0415o
59212.394399,18.438,0.16,153,24,o,0,1.61,122.91082,-2.3295,3098.27,1013.54,2.05,1.87,3.3,-0.412,18.69,18.82,01a59212o0446o
59212.397195,18.548,0.179,138,25,o,0,1.79,122.91082,-2.3295,3117.43,897.03,2.21,1.99,16.9,-0.404,18.64,18.83,01a59212o0452o
59216.527719,18.352,0.116,166,19,o,0,1.89,122.91082,-2.3295,5287.72,3565.7,2.73,2.17,-0.9,-0.359,18.79,19.31,01a59216o0729o
59216.531902,18.219,0.101,187,19,o,0,1.62,122.91082,-2.3295,5307.94,3603.77,2.77,2.34,-2.7,-0.36,18.75,19.31,01a59216o0738o
59216.537939,18.238,0.115,184,21,o,0,1.53,122.91082,-2.3295,5251.5,3525.15,2.74,2.35,-1.4,-0.356,18.73,19.29,01a59216o0751o
59216.572414,18.653,0.187,126,24,o,0,1.17,122.91082,-2.3295,5237.75,3644.0,2.52,2.41,-18.6,-0.392,18.74,19.2,01a59216o0825o
59218.531842,18.528,0.089,141,12,o,0,3.79,122.91082,-2.3295,5060.33,3118.93,2.12,1.96,52.3,-0.443,19.29,20.3,02a59218o0705o
59218.535604,18.419,0.083,156,13,o,0,4.98,122.91082,-2.3295,5041.32,3080.01,2.19,1.97,47.3,-0.443,19.3,20.18,02a59218o0713o
59218.54155,18.981,0.147,93,14,o,0,1.93,122.91082,-2.3295,5100.63,3159.95,2.2,1.99,46.7,-0.443,19.33,20.18,02a59218o0726o
59218.551714,18.449,0.084,152,13,o,0,1.76,122.91082,-2.3295,5119.96,3044.55,2.2,1.97,45.1,-0.441,19.32,20.15,02a59218o0748o
