MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59175.57882,-22.086,1.902,-5,10,c,0,0.82,127.8062,18.71922,2167.13,5484.25,2.44,2.41,64.9,-0.409,19.63,21.36,02a59175o0016c
59175.580659,22.974,3.947,2,9,c,0,1.18,127.8062,18.71922,2186.18,5523.44,2.37,2.35,66.9,-0.413,19.62,21.37,02a59175o0020c
59175.584775,20.998,0.641,14,9,c,0,0.87,127.8062,18.71922,2128.5,5444.69,2.37,2.36,-88.2,-0.416,19.66,21.36,02a59175o0029c
59175.59047,-21.606,1.174,-8,10,c,0,0.79,127.8062,18.71922,2108.72,5560.4,2.33,2.31,-83.7,-0.419,19.69,21.35,02a59175o0041c
59179.539205,-20.597,0.744,-21,16,o,0,0.77,127.8062,18.71922,2060.16,1598.81,1.96,1.92,-74.3,-0.472,19.31,20.08,02a59179o0747o
59179.558133,20.561,0.615,22,13,o,0,0.89,127.8062,18.71922,2082.53,1637.08,2.02,1.91,-67.8,-0.474,19.43,20.32,02a59179o0782o
59179.559963,21.721,1.52,7,11,o,0,1.37,127.8062,18.71922,2024.42,1557.96,2.04,1.92,-60.1,-0.47,19.42,20.35,02a59179o0786o
59179.562816,21.178,0.992,12,12,o,0,0.75,127.8062,18.71922,2005.51,1674.92,1.99,1.91,-68.1,-0.472,19.47,20.43,02a59179o0792o
59181.466273,20.356,0.825,26,22,o,0,1.23,127.8062,18.71922,2203.22,685.95,2.87,2.35,13.8,-0.429,18.84,19.54,01a59181o0529o
59181.469496,-21.131,1.615,-13,21,o,0,1.36,127.8062,18.71922,2184.47,646.2,2.81,2.33,7.1,-0.409,18.83,19.55,01a59181o0536o
59181.476865,-19.868,0.438,-41,18,o,0,1.52,127.8062,18.71922,2243.29,725.13,2.59,2.17,6.6,-0.411,18.92,19.59,01a59181o0552o
59181.488838,20.353,0.649,26,17,o,0,1.31,127.8062,18.71922,2262.27,608.83,2.71,2.26,-1.4,-0.396,18.98,19.66,01a59181o0578o
