MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59175.627284,22.288,2.419,4,11,c,0,1.22,103.41355,19.08695,3136.15,5768.01,2.38,2.33,-71.5,-0.405,19.41,21.02,02a59175o0115c
59175.631875,23.395,7.167,2,11,c,0,1.01,103.41355,19.08695,3117.63,5727.03,2.32,2.29,-87.5,-0.407,19.49,21.07,02a59175o0125c
59175.649469,23.268,7.364,2,13,c,0,1.05,103.41355,19.08695,3175.33,5806.21,2.43,2.41,46.6,-0.394,19.18,20.66,02a59175o0160c
59175.65536,-22.336,6.476,-4,27,c,0,1.11,103.41355,19.08695,3194.57,5689.87,2.47,2.42,47.2,-0.394,18.52,19.65,02a59175o0172c
59179.484319,21.169,1.412,12,18,o,0,0.73,103.41355,19.08695,7367.12,910.89,2.06,1.77,-54.5,-0.462,19.26,20.04,02a59179o0639o
59179.487976,21.671,2.114,8,16,o,0,0.95,103.41355,19.08695,7386.33,950.15,2.04,1.75,-56.2,-0.456,19.3,20.04,02a59179o0647o
59179.493861,-22.517,4.289,-4,15,o,0,0.89,103.41355,19.08695,7329.16,871.22,2.09,1.81,-56.9,-0.461,19.3,20.07,02a59179o0659o
59179.510628,22.641,5.333,3,17,o,0,0.73,103.41355,19.08695,7306.47,992.04,1.98,1.83,-56.4,-0.451,19.33,20.13,02a59179o0689o
59181.408582,20.002,0.598,36,22,o,0,0.98,103.41355,19.08695,6319.69,1411.43,2.36,2.28,-18.1,-0.406,18.83,19.32,01a59181o0404o
59181.411858,22.543,5.909,4,21,o,0,0.74,103.41355,19.08695,6299.45,1369.67,2.27,2.19,-44.2,-0.403,18.89,19.33,01a59181o0411o
59181.418763,20.988,1.389,15,20,o,0,1.01,103.41355,19.08695,6358.85,1451.56,2.54,2.11,-12.2,-0.389,18.87,19.35,01a59181o0426o
59181.431681,-20.631,1.151,-20,23,o,0,1.03,103.41355,19.08695,6379.67,1334.81,3.02,2.4,1.3,-0.363,18.77,19.41,01a59181o0454o
59189.465083,19.668,0.333,49,16,o,0,1.1,103.41355,19.08695,5486.68,8090.05,2.69,1.9,12.6,-0.422,19.02,19.95,01a59189o0601o
59189.477801,19.246,0.208,73,15,o,0,1.06,103.41355,19.08695,5468.46,8049.13,2.27,1.97,-10.5,-0.414,19.35,20.23,01a59189o0628o
59189.479666,19.212,0.194,75,15,o,0,0.74,103.41355,19.08695,5525.35,8126.86,2.13,1.92,-10.9,-0.412,19.39,20.25,01a59189o0632o
59189.485697,19.97,0.368,37,14,o,0,0.83,103.41355,19.08695,5542.23,8008.56,2.43,1.96,-1.4,-0.442,19.31,20.26,01a59189o0645o
59191.451128,18.962,0.144,94,14,o,0,0.69,103.41355,19.08695,3270.6,4492.3,2.11,1.85,37.7,-0.45,19.54,20.67,02a59191o0534o
59191.454347,19.321,0.18,68,12,o,0,0.9,103.41355,19.08695,3289.72,4531.44,2.11,1.88,38.2,-0.445,19.6,20.63,02a59191o0541o
59191.457152,19.008,0.151,90,14,o,0,0.68,103.41355,19.08695,3230.48,4453.76,2.1,1.92,35.6,-0.451,19.55,20.62,02a59191o0547o
59191.462184,18.984,0.137,93,13,o,0,0.89,103.41355,19.08695,3213.29,4570.06,2.07,1.89,36.5,-0.45,19.54,20.58,02a59191o0558o
59193.500413,18.714,0.099,119,12,o,0,0.55,103.41355,19.08695,4928.71,524.69,2.19,1.99,-5.3,-0.419,19.69,21.16,01a59193o0678o
59193.503457,18.812,0.106,108,12,o,0,0.7,103.41355,19.08695,4949.94,563.84,2.01,1.95,-33.5,-0.428,19.78,21.17,01a59193o0684o
59193.53673,18.73,0.095,117,11,o,0,0.88,103.41355,19.08695,4901.07,480.39,2.08,1.97,-5.5,-0.418,19.73,21.09,01a59193o0752o
59193.54223,18.631,0.089,128,11,o,0,0.96,103.41355,19.08695,4882.48,597.98,2.28,2.03,-9.8,-0.406,19.69,21.14,01a59193o0763o
59195.48965,18.254,0.066,181,12,c,0,0.59,103.41355,19.08695,406.57,1700.54,2.89,2.6,-33.9,-0.39,19.63,21.65,02a59195o0657c
59195.492692,18.227,0.062,186,12,c,0,0.93,103.41355,19.08695,387.88,1661.95,2.79,2.58,-39.0,-0.395,19.63,21.63,02a59195o0663c
59195.498159,18.336,0.067,168,11,c,0,0.63,103.41355,19.08695,446.32,1740.8,2.75,2.55,-46.5,-0.407,19.62,21.62,02a59195o0673c
59195.508007,18.299,0.069,174,12,c,0,0.76,103.41355,19.08695,467.49,1622.55,2.7,2.49,-49.9,-0.408,19.67,21.6,02a59195o0692c
59197.407114,18.191,0.055,192,11,c,0,0.9,103.41355,19.08695,5581.4,10035.51,2.82,2.55,-1.5,-0.342,19.64,21.68,01a59197o0306c
59197.410338,18.109,0.05,207,10,c,0,0.89,103.41355,19.08695,5560.28,9994.12,2.51,2.35,-63.8,-0.357,19.73,21.7,01a59197o0313c
59197.413102,18.112,0.05,207,10,c,0,1.02,103.41355,19.08695,5618.05,10071.92,2.84,2.63,-1.1,-0.346,19.63,21.76,01a59197o0319c
59197.418172,18.146,0.049,200,10,c,0,1.36,103.41355,19.08695,5637.99,9953.81,2.87,2.82,-3.8,-0.329,19.61,21.73,01a59197o0330c
59205.496726,17.972,0.051,235,12,c,0,0.64,103.41355,19.08695,5148.87,4407.06,2.81,2.47,-3.1,-0.344,19.74,21.54,01a59205o0595c
59205.499711,17.904,0.039,250,10,c,0,2.01,103.41355,19.08695,5168.96,4445.02,2.39,2.28,-83.1,-0.365,19.85,21.55,01a59205o0601c
59205.526073,17.949,0.042,240,10,c,0,0.74,103.41355,19.08695,5117.03,4366.36,2.44,2.36,-58.3,-0.359,19.81,21.54,01a59205o0654c
59205.537253,17.948,0.037,240,9,c,0,1.16,103.41355,19.08695,5097.97,4481.31,2.52,2.45,-26.0,-0.356,19.74,21.5,01a59205o0676c
59206.417458,18.143,0.07,201,14,o,0,1.21,103.41355,19.08695,8204.71,8967.06,2.22,2.15,-79.0,-0.437,19.48,20.44,02a59206o0483o
59206.419289,18.098,0.079,209,16,o,0,0.77,103.41355,19.08695,8225.42,9006.44,2.32,2.13,-65.6,-0.439,19.46,20.45,02a59206o0487o
59206.422038,18.195,0.081,192,16,o,0,0.7,103.41355,19.08695,8166.09,8928.97,2.3,2.1,-63.4,-0.437,19.47,20.46,02a59206o0493o
59206.427553,18.197,0.083,191,16,o,0,0.82,103.41355,19.08695,8147.13,9046.67,2.3,2.11,-63.5,-0.44,19.46,20.46,02a59206o0505o
59207.401766,18.152,0.075,199,15,o,0,1.46,103.41355,19.08695,8205.69,8964.13,2.42,2.26,-59.5,-0.43,19.32,20.19,02a59207o0425o
59207.403596,18.362,0.107,164,18,o,0,0.88,103.41355,19.08695,8225.32,9003.2,2.43,2.21,-60.7,-0.435,19.36,20.2,02a59207o0429o
59207.40974,18.206,0.09,189,17,o,0,0.96,103.41355,19.08695,8162.67,8931.62,2.56,2.12,-53.4,-0.432,19.35,20.23,02a59207o0441o
