MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59182.316263,-20.345,0.792,-26,21,o,0,0.94,9.21434,2.17032,5163.9,7378.23,2.18,2.02,54.1,-0.444,18.81,19.37,02a59182o0295o
59182.321471,-20.431,0.731,-24,18,o,0,1.79,9.21434,2.17032,5145.29,7340.06,2.22,2.02,48.2,-0.437,18.84,19.2,02a59182o0306o
59182.325148,20.326,0.725,27,20,o,0,1.52,9.21434,2.17032,5203.58,7417.84,2.16,2.04,61.9,-0.45,18.79,19.37,02a59182o0314o
59182.337051,-20.897,1.467,-16,23,o,0,1.25,9.21434,2.17032,5224.34,7303.96,2.31,2.09,48.1,-0.433,18.75,19.13,02a59182o0340o
59184.402599,20.745,1.156,18,21,o,0,1.41,9.21434,2.17032,3129.41,4735.77,2.35,2.02,-7.5,-0.41,18.79,19.17,01a59184o0377o
59184.408129,-20.823,1.169,-17,20,o,0,1.18,9.21434,2.17032,3148.75,4774.76,2.34,2.08,0.8,-0.412,18.77,19.12,01a59184o0389o
59184.411356,20.137,0.691,32,22,o,0,1.08,9.21434,2.17032,3090.02,4698.29,2.5,2.27,2.2,-0.414,18.68,19.11,01a59184o0396o
59184.421965,-23.622,13.909,-1,18,o,0,1.28,9.21434,2.17032,3068.95,4815.38,2.45,2.12,20.5,-0.437,18.66,19.01,01a59184o0419o
59185.356987,-22.168,3.566,-5,18,o,0,0.68,9.21434,2.17032,3129.57,4733.87,2.13,2.05,0.3,-0.413,19.11,19.66,01a59185o0383o
59185.367131,-23.441,9.267,-2,14,o,0,1.85,9.21434,2.17032,3149.48,4773.47,2.24,2.14,-50.6,-0.407,19.05,19.6,01a59185o0405o
59185.376848,-21.756,2.182,-7,16,o,0,1.21,9.21434,2.17032,3091.01,4696.29,2.12,2.05,-70.8,-0.413,19.09,19.61,01a59185o0426o
59185.380536,-20.191,0.55,-30,17,o,0,1.16,9.21434,2.17032,3072.25,4812.38,2.19,2.11,-51.6,-0.423,19.03,19.58,01a59185o0434o
59186.334504,20.308,0.504,27,14,o,0,1.55,9.21434,2.17032,9279.39,3814.12,2.16,2.01,-56.9,-0.43,19.19,19.91,02a59186o0334o
59186.338628,21.526,1.843,9,16,o,0,0.85,9.21434,2.17032,9261.88,3773.01,2.17,2.04,-57.1,-0.424,19.19,19.92,02a59186o0343o
59186.344238,-24.035,16.625,-1,15,o,0,1.17,9.21434,2.17032,9321.48,3852.61,2.22,2.06,-55.2,-0.415,19.2,19.91,02a59186o0355o
59186.357123,-23.67,10.667,-1,13,o,0,1.82,9.21434,2.17032,9343.35,3736.5,2.12,1.98,-53.5,-0.433,19.21,19.89,02a59186o0383o
59188.294295,-23.864,15.0,-1,16,o,0,1.14,9.21434,2.17032,3117.72,4734.86,4.17,2.43,1.1,-0.369,18.9,20.61,01a59188o0254o
59188.29752,-20.274,0.667,-28,19,o,0,1.18,9.21434,2.17032,3137.26,4773.36,2.83,2.38,3.2,-0.403,18.76,20.25,01a59188o0261o
59188.30305,18.255,4.875,181,883,o,0,1.62,9.21434,2.17032,3078.4,4696.08,2.77,2.34,4.2,-0.383,15.62,17.1,01a59188o0273o
59188.322428,-19.048,0.612,-87,53,o,0,0.91,9.21434,2.17032,3061.98,4813.09,2.24,2.05,-2.8,-0.392,17.52,18.75,01a59188o0315o
59190.294083,24.945,25.333,0,10,c,0,0.95,9.21434,2.17032,9284.53,3809.17,2.5,2.35,-65.1,-0.396,19.7,21.51,02a59190o0181c
59190.297303,-22.07,1.556,-5,8,c,0,1.46,9.21434,2.17032,9265.46,3772.13,2.72,2.57,-66.8,-0.383,19.65,21.5,02a59190o0188c
59190.303311,22.201,1.943,5,9,c,0,0.84,9.21434,2.17032,9322.3,3848.7,2.58,2.46,-62.9,-0.39,19.68,21.48,02a59190o0201c
59190.318936,22.144,1.972,5,10,c,0,0.66,9.21434,2.17032,9340.49,3731.8,2.62,2.44,-62.0,-0.396,19.66,21.46,02a59190o0235c
59192.31953,-22.728,2.969,-3,9,o,0,1.05,9.21434,2.17032,3014.08,2796.25,2.15,1.99,85.9,-0.426,19.67,21.01,01a59192o0300o
59192.323234,-20.464,0.35,-24,8,o,0,1.3,9.21434,2.17032,3034.31,2836.47,2.2,1.9,84.7,-0.432,19.64,21.01,01a59192o0308o
59192.330157,-20.95,0.506,-15,8,o,0,1.76,9.21434,2.17032,2974.09,2757.75,2.26,1.91,85.0,-0.441,19.67,21.08,01a59192o0323o
59192.342151,22.038,1.83,6,10,o,0,1.17,9.21434,2.17032,2955.26,2873.25,2.48,2.22,61.2,-0.41,19.51,21.02,01a59192o0349o
59194.302564,19.835,0.224,42,9,c,0,1.36,9.21434,2.17032,9875.15,9651.68,2.95,2.82,-63.6,-0.369,19.72,21.65,02a59194o0258c
59194.305763,20.086,0.305,34,10,c,0,0.97,9.21434,2.17032,9856.67,9612.7,2.94,2.79,-60.0,-0.373,19.72,21.64,02a59194o0265c
59194.312677,19.665,0.22,49,11,c,0,1.28,9.21434,2.17032,9915.22,9691.33,2.89,2.76,-56.9,-0.376,19.73,21.64,02a59194o0280c
59194.322933,20.36,0.364,26,10,c,0,0.96,9.21434,2.17032,9935.77,9573.57,2.91,2.74,-52.2,-0.378,19.7,21.63,02a59194o0302c
59198.249539,18.661,0.111,125,14,c,0,1.04,9.21434,2.17032,9883.06,9652.62,2.95,2.73,-69.7,-0.371,19.55,21.28,02a59198o0141c
59198.25322,18.433,0.087,154,13,c,0,1.13,9.21434,2.17032,9865.46,9612.58,3.0,2.73,-69.5,-0.374,19.52,21.23,02a59198o0149c
59198.263329,18.631,0.102,128,13,c,0,1.05,9.21434,2.17032,9923.47,9691.37,3.03,2.73,-64.6,-0.373,19.53,21.3,02a59198o0171c
59198.270657,18.479,0.081,147,12,c,0,1.48,9.21434,2.17032,9942.25,9574.4,3.06,2.7,-63.4,-0.375,19.61,21.34,02a59198o0187c
59200.288903,18.205,0.196,190,37,c,0,0.91,9.21434,2.17032,3188.35,6630.1,2.34,2.06,-84.3,-0.397,18.03,19.79,01a59200o0115c
59200.300018,18.74,0.619,116,72,c,0,0.74,9.21434,2.17032,3170.75,6746.72,2.37,2.25,-36.5,-0.381,17.51,19.3,01a59200o0139c
59204.224327,17.881,0.043,256,11,o,0,1.79,9.21434,2.17032,3225.84,6672.85,1.76,1.74,-62.6,-0.432,19.54,20.3,01a59204o0064o
59204.22801,17.946,0.04,241,10,o,0,1.69,9.21434,2.17032,3246.63,6712.74,1.79,1.76,-42.8,-0.434,19.56,20.3,01a59204o0072o
59204.241108,17.86,0.044,261,12,o,0,1.96,9.21434,2.17032,3190.16,6635.64,1.84,1.73,85.5,-0.439,19.55,20.3,01a59204o0100o
59204.247568,17.869,0.038,258,10,o,0,2.44,9.21434,2.17032,3171.64,6751.93,1.86,1.79,82.4,-0.43,19.55,20.3,01a59204o0114o
59208.271816,17.852,0.078,263,20,o,0,0.71,9.21434,2.17032,2595.44,846.46,1.92,1.87,37.3,-0.43,19.16,19.58,01a59208o0170o
59208.275078,17.719,0.053,297,16,o,0,1.06,9.21434,2.17032,2614.83,885.5,1.91,1.87,23.2,-0.435,19.17,19.58,01a59208o0177o
59208.28157,17.747,0.059,289,17,o,0,1.27,9.21434,2.17032,2556.46,807.04,2.15,1.95,-8.6,-0.42,19.09,19.56,01a59208o0191o
59208.314169,17.783,0.067,280,19,o,0,1.09,9.21434,2.17032,2542.22,926.65,1.97,1.92,-6.4,-0.43,19.03,19.4,01a59208o0261o
59212.237586,17.675,0.052,309,16,o,0,1.39,9.21434,2.17032,2589.15,847.82,1.94,1.76,16.0,-0.434,19.14,19.54,01a59212o0107o
59212.243133,17.648,0.052,317,16,o,0,1.16,9.21434,2.17032,2609.9,887.03,1.88,1.76,62.8,-0.436,19.18,19.52,01a59212o0119o
59212.24685,17.63,0.057,322,18,o,0,0.89,9.21434,2.17032,2551.51,809.09,1.81,1.74,36.3,-0.443,19.17,19.51,01a59212o0127o
59212.266787,17.765,0.069,284,20,o,0,1.04,9.21434,2.17032,2534.8,928.08,1.9,1.87,32.0,-0.437,19.08,19.42,01a59212o0170o
59216.269354,17.656,0.038,314,12,o,0,1.67,9.21434,2.17032,7408.76,5002.79,2.04,1.99,-79.9,-0.415,19.48,20.51,01a59216o0170o
59216.273502,17.694,0.04,304,12,o,0,1.12,9.21434,2.17032,7428.98,5042.17,2.03,1.98,79.5,-0.405,19.5,20.44,01a59216o0179o
59216.280413,17.61,0.043,328,14,o,0,1.32,9.21434,2.17032,7370.88,4965.92,2.01,2.0,18.8,-0.403,19.39,20.19,01a59216o0194o
