MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59179.444087,-22.869,19.529,-3,50,o,0,1.24,83.2469,-19.1174,2670.95,8760.47,2.36,1.95,-11.4,-0.392,17.98,18.26,01a59179o0511o
59179.445467,-21.71,1.716,-8,13,o,0,1.44,83.2469,-19.1174,2650.86,8721.21,2.14,2.02,-59.8,-0.398,19.04,19.67,01a59179o0514o
59179.448231,20.76,0.716,18,13,o,0,1.3,83.2469,-19.1174,2708.82,8798.86,2.26,1.9,-13.3,-0.409,19.14,19.77,01a59179o0520o
59179.45376,-25.085,46.0,0,15,o,0,0.77,83.2469,-19.1174,2731.07,8682.83,2.09,1.9,-11.1,-0.4,19.2,19.82,01a59179o0532o
59180.389452,-21.673,1.863,-8,14,o,0,1.53,83.2469,-19.1174,2654.78,8753.65,2.19,2.08,-3.6,-0.401,19.01,19.59,01a59180o0452o
59180.395463,-21.268,1.716,-11,19,o,0,0.73,83.2469,-19.1174,2637.59,8714.57,2.25,2.18,-23.8,-0.391,18.99,19.61,01a59180o0465o
59180.397303,-23.38,9.6,-2,16,o,0,1.44,83.2469,-19.1174,2694.63,8793.55,2.36,2.17,-27.2,-0.396,18.97,19.62,01a59180o0469o
59180.41119,-21.558,1.53,-9,13,o,0,1.73,83.2469,-19.1174,2722.08,8677.6,2.42,2.03,-2.9,-0.404,19.01,19.66,01a59180o0499o
59181.517962,20.504,0.985,23,22,o,0,1.3,83.2469,-19.1174,2492.18,6799.27,2.22,2.1,50.1,-0.425,18.71,19.19,02a59181o0583o
59181.52163,20.064,0.768,34,26,o,0,0.97,83.2469,-19.1174,2472.58,6760.7,2.32,2.21,76.2,-0.422,18.65,19.19,02a59181o0591o
59181.527152,-22.075,4.522,-5,24,o,0,1.09,83.2469,-19.1174,2530.82,6839.47,2.24,2.12,54.7,-0.424,18.75,19.17,02a59181o0603o
59181.538191,-22.264,4.075,-4,18,o,0,2.1,83.2469,-19.1174,2552.59,6728.06,2.26,2.03,49.3,-0.419,18.71,19.15,02a59181o0627o
59182.404528,-21.863,3.719,-6,24,o,0,1.03,83.2469,-19.1174,8067.88,3752.93,2.24,2.09,35.2,-0.416,18.59,18.88,02a59182o0486o
59182.414483,21.606,2.486,8,21,o,0,1.85,83.2469,-19.1174,8085.37,3792.4,2.22,2.07,34.1,-0.416,18.54,18.91,02a59182o0507o
59182.417243,21.302,2.183,11,24,o,0,1.14,83.2469,-19.1174,8029.08,3713.17,2.27,2.13,34.2,-0.417,18.55,18.91,02a59182o0513o
