MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59179.306542,-19.909,0.799,-40,32,o,0,1.44,345.98973,30.72399,5911.5,1673.86,2.06,2.02,-76.5,-0.433,18.24,18.48,02a59179o0274o
59179.315787,21.902,5.309,6,33,o,0,0.85,345.98973,30.72399,5951.67,1713.0,2.02,1.93,39.2,-0.439,18.39,18.64,02a59179o0294o
59179.33307,18.397,0.985,159,157,o,0,0.94,345.98973,30.72399,5977.02,1591.33,2.01,1.98,51.5,-0.442,16.63,16.41,02a59179o0331o
59181.279949,0.0,0.0,0,0,o,0,0.0,345.98973,30.72399,4086.94,6908.25,2.02,1.92,-31.3,-0.46,15.25,15.66,01a59181o0131o
59181.298971,-16.368,0.641,-1030,660,o,0,0.8,345.98973,30.72399,4070.66,7024.78,2.29,2.04,-12.1,-0.404,14.89,14.82,01a59181o0171o
59183.302367,25.154,72.0,0,23,o,0,1.42,345.98973,30.72399,5915.93,1673.49,2.11,2.05,55.0,-0.423,18.62,18.9,02a59183o0018o
59183.307038,21.154,1.942,12,24,o,0,1.06,345.98973,30.72399,5895.64,1634.88,2.11,2.05,-63.3,-0.42,18.58,18.88,02a59183o0028o
59183.31184,21.959,4.193,6,25,o,0,1.03,345.98973,30.72399,5954.36,1711.52,2.09,2.07,-77.9,-0.416,18.55,18.85,02a59183o0038o
59184.255411,20.016,0.427,36,15,o,0,1.32,345.98973,30.72399,5911.85,1674.15,2.04,1.92,-58.3,-0.442,19.05,19.57,02a59184o0163o
59184.258671,-21.413,1.481,-10,15,o,0,1.09,345.98973,30.72399,5892.29,1635.6,1.98,1.95,-71.7,-0.45,19.03,19.55,02a59184o0170o
59184.264632,20.373,0.619,26,16,o,0,1.28,345.98973,30.72399,5952.05,1713.91,2.06,1.91,-49.5,-0.439,19.03,19.53,02a59184o0183o
59184.28177,20.933,0.901,15,14,o,0,1.67,345.98973,30.72399,5973.29,1595.49,2.04,1.88,-50.3,-0.45,19.03,19.5,02a59184o0220o
59185.31221,-22.919,6.655,-2,16,o,0,1.26,345.98973,30.72399,1425.21,218.61,1.96,1.81,52.1,-0.495,19.23,19.74,01a59185o0286o
59185.312671,20.213,0.525,30,16,o,0,1.16,345.98973,30.72399,2508.8,10452.35,1.84,1.65,-59.3,-0.469,19.3,19.72,01a59185o0287o
59185.315446,-21.262,1.711,-11,19,o,0,0.8,345.98973,30.72399,1445.88,258.49,1.95,1.83,41.1,-0.489,19.25,19.74,01a59185o0293o
59185.315906,-22.036,3.289,-6,18,o,0,1.09,345.98973,30.72399,2529.12,10492.31,1.93,1.74,-48.4,-0.45,19.25,19.73,01a59185o0294o
