MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59181.641449,20.907,0.965,16,15,o,0,2.15,208.52224,33.58265,5542.36,9156.2,2.55,2.44,-0.9,-0.407,19.14,20.33,01a59181o0909o
59181.644215,-23.352,8.0,-2,13,o,0,2.68,208.52224,33.58265,5524.63,9118.15,2.38,2.27,5.1,-0.394,19.29,20.46,01a59181o0915o
59181.64744,-20.871,1.026,-16,17,o,0,2.88,208.52224,33.58265,5582.65,9196.08,2.65,2.47,0.9,-0.395,19.16,20.44,01a59181o0922o
59181.651591,20.88,1.106,16,18,o,0,2.22,208.52224,33.58265,5602.74,9078.71,2.82,2.58,11.5,-0.387,19.03,20.18,01a59181o0931o
59184.623177,21.04,2.023,14,28,o,0,1.03,208.52224,33.58265,9312.07,3298.24,2.09,2.02,-26.1,-0.424,18.65,19.03,02a59184o0959o
59184.627334,-20.534,1.547,-22,34,o,0,0.7,208.52224,33.58265,9335.86,3337.1,2.28,2.01,-52.4,-0.422,18.68,19.08,02a59184o0968o
59184.645051,-20.793,1.259,-18,22,o,0,1.17,208.52224,33.58265,9274.0,3258.2,2.18,2.02,25.2,-0.408,18.75,19.2,02a59184o1006o
59184.658069,22.231,6.093,5,28,o,0,1.21,208.52224,33.58265,9257.88,3377.3,2.12,2.07,-7.4,-0.415,18.56,18.9,02a59184o1034o
59191.632757,22.152,4.514,5,23,o,0,2.9,208.52224,33.58265,9621.06,6885.69,2.36,2.24,-58.0,-0.456,19.09,19.91,02a59191o0910o
59191.648853,21.941,5.15,6,31,o,0,2.04,208.52224,33.58265,9639.01,6922.81,2.25,2.23,28.0,-0.437,17.54,18.5,02a59191o0945o
59191.661257,-19.645,1.045,-50,53,o,0,1.22,208.52224,33.58265,9579.56,6846.99,2.23,2.21,-40.8,-0.456,17.25,18.26,02a59191o0972o
59191.665385,-20.321,2.647,-27,72,o,0,1.73,208.52224,33.58265,9560.7,6964.47,2.24,2.22,87.9,-0.45,17.91,17.99,02a59191o0981o
59205.636582,17.062,0.019,543,10,c,0,10.31,208.52224,33.58265,9029.31,3763.64,2.56,2.46,-68.8,-0.388,19.88,21.73,01a59205o0878c
59205.643497,17.137,0.022,507,11,c,0,7.48,208.52224,33.58265,9011.15,3724.34,2.67,2.54,-77.1,-0.379,19.83,21.72,01a59205o0893c
59205.662155,17.162,0.032,496,16,c,0,2.87,208.52224,33.58265,9068.19,3798.96,2.65,2.48,-75.3,-0.39,19.38,20.56,01a59205o0931c
59205.664918,17.044,0.036,553,20,c,0,2.28,208.52224,33.58265,9088.05,3682.61,2.64,2.51,-74.3,-0.382,19.01,19.92,01a59205o0937c
59207.60881,17.123,0.023,514,12,c,0,3.05,208.52224,33.58265,8839.06,1170.7,2.67,2.27,-52.3,-0.408,19.71,21.66,02a59207o0840c
59207.619894,17.042,0.023,554,13,c,0,7.27,208.52224,33.58265,8853.7,1211.14,2.6,2.22,-52.3,-0.414,19.72,21.67,02a59207o0862c
59207.627244,17.097,0.022,526,12,c,0,2.51,208.52224,33.58265,8795.88,1134.23,2.57,2.25,-53.8,-0.411,19.77,21.69,02a59207o0878c
59207.634103,17.198,0.023,479,11,c,0,2.73,208.52224,33.58265,8778.08,1251.86,2.58,2.22,-54.7,-0.411,19.77,21.69,02a59207o0892c
59212.64425,17.319,0.089,429,38,o,0,0.95,208.52224,33.58265,1380.53,3208.92,2.02,1.88,41.0,-0.476,18.57,18.95,02a59212o0982o
59212.64818,17.321,0.08,428,34,o,0,0.75,208.52224,33.58265,1403.01,3251.95,2.05,1.93,38.3,-0.455,18.48,18.81,02a59212o0990o
59212.65989,17.346,0.103,418,43,o,0,1.09,208.52224,33.58265,1346.61,3170.86,2.01,1.92,42.5,-0.476,18.17,18.44,02a59212o1015o
59212.668844,17.198,0.116,479,56,o,0,2.0,208.52224,33.58265,1323.01,3288.32,2.03,1.97,40.2,-0.459,17.69,17.72,02a59212o1032o
59214.641269,17.275,0.043,447,19,o,0,2.82,208.52224,33.58265,7671.06,9552.94,2.7,2.04,16.4,-0.379,19.03,19.7,01a59214o0969o
59214.646392,17.35,0.046,417,19,o,0,8.21,208.52224,33.58265,7652.1,9512.41,2.65,1.99,13.2,-0.371,19.03,19.72,01a59214o0980o
59214.656547,17.372,0.045,409,18,o,0,3.84,208.52224,33.58265,7709.04,9589.13,2.63,2.01,12.8,-0.352,19.06,19.73,01a59214o1001o
59214.661468,17.423,0.045,390,18,o,0,3.12,208.52224,33.58265,7727.92,9471.73,2.76,2.04,17.1,-0.357,18.99,19.68,01a59214o1011o
59216.634324,17.612,0.064,328,21,o,0,1.84,208.52224,33.58265,1377.92,3211.7,2.54,2.33,36.5,-0.413,18.87,19.68,02a59216o0957o
59216.65364,17.41,0.051,395,20,o,0,1.53,208.52224,33.58265,1395.82,3253.93,2.71,2.29,37.4,-0.416,18.9,19.74,02a59216o0998o
59216.656872,17.45,0.051,380,19,o,0,2.45,208.52224,33.58265,1338.03,3174.6,2.43,2.18,35.2,-0.43,19.0,19.75,02a59216o1005o
59216.664763,17.5,0.055,363,20,o,0,1.28,208.52224,33.58265,1326.12,3288.05,2.28,2.25,18.4,-0.433,19.02,19.76,02a59216o1021o
59217.642037,17.621,0.053,325,17,o,0,1.15,208.52224,33.58265,9160.66,5399.91,2.35,2.26,-79.6,-0.413,19.19,20.01,01a59217o0962o
59217.645312,17.658,0.052,314,16,o,0,3.89,208.52224,33.58265,9140.78,5360.42,2.45,2.3,-88.8,-0.411,19.21,20.02,01a59217o0969o
59217.65087,17.506,0.045,361,16,o,0,3.57,208.52224,33.58265,9199.14,5438.15,2.36,2.18,-84.8,-0.408,19.25,20.03,01a59217o0981o
59217.656335,17.635,0.058,321,18,o,0,1.72,208.52224,33.58265,9217.67,5322.83,2.47,2.4,71.2,-0.397,19.18,20.04,01a59217o0991o
59221.613066,17.808,0.049,273,13,o,0,3.31,208.52224,33.58265,9157.72,5399.77,2.51,2.39,-84.6,-0.403,19.52,20.87,01a59221o0851o
59221.631082,17.875,0.049,257,13,o,0,2.29,208.52224,33.58265,9138.81,5358.35,2.58,2.47,-82.8,-0.407,19.47,21.0,01a59221o0887o
59221.635444,17.824,0.054,270,15,o,0,2.38,208.52224,33.58265,9197.54,5437.02,3.2,3.03,77.7,-0.41,19.37,21.0,01a59221o0896o
59221.649302,17.717,0.047,297,14,o,0,10.01,208.52224,33.58265,9214.82,5321.62,2.77,2.57,-85.9,-0.401,19.45,21.0,01a59221o0924o
59226.632976,17.761,0.034,285,10,c,0,5.56,208.52224,33.58265,3653.13,9245.89,2.55,2.39,-64.2,-0.381,19.82,22.2,01a59226o0907c
59226.640546,17.838,0.039,266,10,c,0,4.44,208.52224,33.58265,3632.83,9206.05,2.61,2.52,-63.6,-0.373,19.77,22.21,01a59226o0922c
59226.658637,17.793,0.037,277,10,c,0,4.88,208.52224,33.58265,3688.61,9288.53,2.58,2.4,-55.6,-0.387,19.78,22.04,01a59226o0961c
59226.666882,17.794,0.045,277,12,c,0,2.54,208.52224,33.58265,3707.7,9168.74,2.96,2.78,-36.5,-0.358,19.32,21.01,01a59226o0978c
59229.638371,17.8,0.033,275,9,c,0,6.96,208.52224,33.58265,3647.31,9251.7,2.37,2.11,-71.5,-0.395,19.97,22.19,01a59229o0629c
59229.640216,17.99,0.039,231,9,c,0,3.81,208.52224,33.58265,3630.72,9212.68,2.44,2.27,-57.2,-0.386,19.94,22.2,01a59229o0633c
59229.648209,18.225,0.042,186,8,c,0,6.82,208.52224,33.58265,3685.0,9291.15,2.35,2.23,-56.2,-0.389,19.93,22.19,01a59229o0649c
59229.658967,17.827,0.032,269,8,c,0,9.32,208.52224,33.58265,3704.61,9175.38,2.42,2.31,-55.4,-0.38,19.89,22.05,01a59229o0669c
59231.565244,18.207,0.05,189,10,c,0,2.85,208.52224,33.58265,3359.18,5092.86,2.43,2.33,66.4,-0.402,19.77,21.93,02a59231o0755c
59231.571237,18.129,0.05,203,10,c,0,1.91,208.52224,33.58265,3377.85,5130.43,2.46,2.34,50.8,-0.397,19.8,21.96,02a59231o0768c
59231.575518,18.215,0.053,188,10,c,0,3.19,208.52224,33.58265,3320.34,5049.91,2.43,2.35,46.4,-0.403,19.78,21.96,02a59231o0776c
59231.588383,18.074,0.048,214,10,c,0,2.88,208.52224,33.58265,3301.0,5169.15,2.51,2.31,45.7,-0.395,19.81,21.99,02a59231o0804c
59238.532705,18.141,0.092,201,19,o,0,2.55,208.52224,33.58265,5287.51,5551.06,2.88,2.71,-54.2,-0.368,18.99,20.18,01a59238o0693o
59238.53686,18.008,0.064,227,14,o,0,5.08,208.52224,33.58265,5268.36,5512.44,2.61,2.56,-29.4,-0.378,19.12,20.24,01a59238o0702o
59238.546656,17.869,0.048,258,12,o,0,17.15,208.52224,33.58265,5327.24,5590.52,2.12,2.01,-46.5,-0.386,19.44,20.37,01a59238o0723o
59238.556911,17.809,0.046,273,12,o,0,9.61,208.52224,33.58265,5346.34,5474.7,2.06,1.95,-35.0,-0.383,19.58,20.59,01a59238o0745o
59242.584461,18.362,0.155,164,26,o,0,1.34,208.52224,33.58265,2862.22,1603.76,2.08,1.91,78.3,-0.455,18.83,19.08,01a59242o0770o
59242.587252,18.447,0.156,152,24,o,0,1.21,208.52224,33.58265,2841.09,1564.97,2.09,1.87,79.6,-0.447,18.91,19.24,01a59242o0776o
59242.593606,18.395,0.14,159,22,o,0,1.44,208.52224,33.58265,2900.16,1642.96,2.16,1.99,73.2,-0.442,18.86,19.23,01a59242o0789o
59242.602396,18.433,0.132,154,20,o,0,1.63,208.52224,33.58265,2918.18,1526.81,2.1,2.0,58.7,-0.443,18.92,19.29,01a59242o0808o
59243.583933,18.542,0.157,139,22,o,0,1.6,208.52224,33.58265,5701.36,7132.51,2.3,2.27,23.2,-0.423,18.8,19.26,02a59243o0325o
59243.585762,18.616,0.172,130,22,o,0,1.62,208.52224,33.58265,5720.58,7171.01,2.41,2.34,13.6,-0.419,18.75,19.26,02a59243o0329o
59243.59321,18.31,0.148,172,26,o,0,0.95,208.52224,33.58265,5658.2,7095.42,2.33,2.26,3.4,-0.426,18.79,19.26,02a59243o0342o
59245.528132,18.977,0.232,93,22,o,0,1.72,208.52224,33.58265,2861.59,1601.29,2.07,2.0,78.3,-0.429,18.96,19.39,01a59245o0681o
59245.529974,18.34,0.124,168,21,o,0,1.15,208.52224,33.58265,2842.27,1563.07,2.0,1.96,73.1,-0.426,19.05,19.39,01a59245o0685o
59245.545238,18.584,0.132,134,18,o,0,2.06,208.52224,33.58265,2903.26,1643.63,2.05,2.0,22.6,-0.428,19.04,19.44,01a59245o0716o
59245.548584,18.234,0.098,185,18,o,0,7.49,208.52224,33.58265,2919.08,1525.59,1.99,1.97,58.0,-0.426,19.03,19.46,01a59245o0723o
