MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59182.520356,21.264,2.843,11,32,o,0,0.92,150.27777,54.78956,75.34,9730.88,2.28,2.01,-75.8,-0.473,18.93,19.38,01a59182o0714o
59182.523585,19.839,0.884,42,37,o,0,0.85,150.27777,54.78956,60.06,9688.87,2.07,1.9,-62.1,-0.468,18.9,19.39,01a59182o0721o
59182.530037,22.277,6.187,4,28,o,0,0.87,150.27777,54.78956,114.02,9770.73,2.14,1.87,-72.2,-0.478,18.99,19.42,01a59182o0735o
59182.535565,22.109,4.32,5,22,o,0,0.84,150.27777,54.78956,9267.91,9676.65,2.33,2.13,40.3,-0.389,18.9,19.39,01a59182o0747o
59182.538329,21.258,1.737,11,20,o,0,1.01,150.27777,54.78956,9251.92,9630.18,2.58,2.21,28.8,-0.383,18.83,19.4,01a59182o0753o
59182.539713,-20.741,1.329,-18,24,o,0,1.1,150.27777,54.78956,138.37,9651.97,2.47,2.22,-38.6,-0.446,18.8,19.46,01a59182o0756o
59182.543411,21.44,1.789,10,17,o,0,1.25,150.27777,54.78956,9308.04,9715.39,2.27,2.1,53.6,-0.392,18.95,19.43,01a59182o0764o
59182.553547,21.142,1.583,13,20,o,0,1.02,150.27777,54.78956,9329.0,9600.0,2.46,2.03,29.9,-0.394,18.91,19.46,01a59182o0786o
59184.51781,20.345,0.784,26,21,o,0,0.93,150.27777,54.78956,6768.11,2943.34,2.13,1.94,46.6,-0.417,18.74,19.05,02a59184o0730o
59184.519658,-21.051,1.341,-14,18,o,0,1.82,150.27777,54.78956,6787.83,2981.13,2.11,1.95,47.2,-0.427,18.77,19.06,02a59184o0734o
59184.522899,20.324,0.85,27,23,o,0,1.25,150.27777,54.78956,6729.29,2904.77,2.15,1.99,48.4,-0.427,18.73,19.08,02a59184o0741o
59184.532999,21.089,1.557,13,21,o,0,1.0,150.27777,54.78956,6712.76,3021.82,2.1,1.95,51.4,-0.429,18.79,19.1,02a59184o0763o
59186.595353,20.531,1.024,22,23,o,0,1.1,150.27777,54.78956,9557.77,6170.73,3.17,2.71,15.2,-0.366,18.7,19.51,01a59186o0896o
59186.598577,20.402,0.695,25,17,o,0,1.29,150.27777,54.78956,9537.61,6130.73,2.64,2.32,16.4,-0.37,18.92,19.52,01a59186o0903o
59186.608873,21.173,1.916,12,24,o,0,0.96,150.27777,54.78956,9592.43,6213.09,2.51,2.44,75.1,-0.404,18.93,19.54,01a59186o0924o
59186.614421,21.747,2.75,7,20,o,0,1.21,150.27777,54.78956,9609.27,6098.43,2.62,2.55,58.5,-0.387,18.9,19.55,01a59186o0936o
59190.538665,20.96,1.021,15,15,o,0,1.04,150.27777,54.78956,9559.28,6170.21,2.31,2.14,40.6,-0.401,19.36,20.24,01a59190o0760o
59190.541432,-22.458,3.1,-4,12,o,0,1.57,150.27777,54.78956,9538.39,6133.07,2.13,2.01,80.9,-0.426,19.43,20.26,01a59190o0766o
59190.544198,-20.296,0.39,-28,11,o,0,1.52,150.27777,54.78956,9597.62,6210.25,2.26,2.08,82.0,-0.419,19.39,20.28,01a59190o0772o
59190.552512,-21.849,1.953,-7,13,o,0,1.2,150.27777,54.78956,9617.32,6094.78,2.24,2.15,43.3,-0.41,19.39,20.32,01a59190o0790o
59192.566954,-20.655,0.576,-20,11,o,0,1.35,150.27777,54.78956,4762.14,6532.16,2.48,2.09,48.8,-0.421,19.4,20.54,02a59192o0816o
59192.568784,-20.96,0.563,-15,8,o,0,1.48,150.27777,54.78956,4782.31,6571.85,2.41,2.02,48.3,-0.424,19.46,20.56,02a59192o0820o
59192.571527,21.232,1.031,12,12,o,0,1.11,150.27777,54.78956,4723.58,6491.64,2.39,2.09,50.3,-0.42,19.45,20.55,02a59192o0826o
59192.580555,21.417,1.082,10,11,o,0,1.43,150.27777,54.78956,4704.11,6610.15,2.37,2.0,49.2,-0.428,19.51,20.6,02a59192o0845o
59194.577381,-21.023,0.566,-14,8,c,0,1.1,150.27777,54.78956,5641.46,7985.1,2.59,2.49,-77.4,-0.385,19.69,23.03,01a59194o0852c
59194.579689,21.863,1.469,6,10,c,0,0.83,150.27777,54.78956,5623.44,7945.71,2.75,2.54,19.2,-0.37,19.64,22.99,01a59194o0857c
59194.582919,-21.95,1.432,-6,9,c,0,1.2,150.27777,54.78956,5679.45,8023.55,2.79,2.58,23.1,-0.365,19.64,23.01,01a59194o0864c
59194.589842,22.269,1.692,4,8,c,0,1.22,150.27777,54.78956,5696.27,7909.27,2.49,2.41,-64.4,-0.379,19.76,23.03,01a59194o0879c
59200.573861,19.342,0.126,67,8,c,0,1.44,150.27777,54.78956,6863.45,707.18,2.46,2.23,-65.3,-0.408,19.8,21.82,02a59200o0731c
59200.576198,19.301,0.114,69,8,c,0,1.37,150.27777,54.78956,6882.17,745.9,2.5,2.25,-64.4,-0.409,19.76,21.82,02a59200o0736c
59200.581764,19.098,0.117,83,10,c,0,1.32,150.27777,54.78956,6829.43,671.45,2.65,2.4,-61.8,-0.401,19.69,21.83,02a59200o0748c
59200.586813,19.381,0.13,64,8,c,0,1.3,150.27777,54.78956,6809.94,789.9,2.48,2.28,-71.4,-0.405,19.8,21.84,02a59200o0759c
59206.51982,17.103,0.021,524,11,c,0,1.48,150.27777,54.78956,3840.66,4133.07,2.57,2.52,-10.8,-0.375,19.7,21.94,01a59206o0687c
59206.523531,17.087,0.018,531,10,c,0,2.13,150.27777,54.78956,3819.94,4095.06,2.48,2.45,-75.3,-0.378,19.75,21.95,01a59206o0695c
59206.527217,17.063,0.02,543,11,c,0,1.26,150.27777,54.78956,3879.86,4169.17,2.47,2.44,-24.9,-0.372,19.75,21.96,01a59206o0703c
59206.532285,17.103,0.018,524,10,c,0,1.89,150.27777,54.78956,3898.69,4053.6,2.77,2.53,2.2,-0.355,19.68,21.98,01a59206o0714c
59208.551764,16.687,0.017,768,13,c,0,2.09,150.27777,54.78956,5022.8,814.05,2.53,2.32,-64.8,-0.419,19.61,21.25,02a59208o0770c
59208.554546,16.68,0.017,772,13,c,0,1.86,150.27777,54.78956,5039.39,852.71,2.49,2.27,-63.0,-0.42,19.64,21.36,02a59208o0776c
59208.558663,16.7,0.017,758,13,c,0,2.14,150.27777,54.78956,4988.64,774.43,2.55,2.33,-67.6,-0.417,19.66,21.45,02a59208o0785c
59208.56419,16.665,0.016,784,13,c,0,2.47,150.27777,54.78956,4966.39,892.15,2.55,2.31,-66.1,-0.42,19.69,21.5,02a59208o0797c
59212.541178,16.399,0.023,1000,23,o,0,1.53,150.27777,54.78956,8681.85,2795.71,2.21,2.07,50.4,-0.412,18.73,19.14,02a59212o0760o
59212.543464,16.458,0.028,948,27,o,0,0.94,150.27777,54.78956,8702.39,2834.19,2.11,2.05,-76.5,-0.425,18.74,19.15,02a59212o0765o
59212.548511,16.42,0.023,982,23,o,0,1.64,150.27777,54.78956,8646.82,2759.59,2.13,2.08,82.6,-0.417,18.72,19.15,02a59212o0776o
59212.55354,16.414,0.024,987,24,o,0,1.3,150.27777,54.78956,8629.1,2877.42,2.17,2.09,-88.2,-0.42,18.78,19.16,02a59212o0787o
59214.456577,16.344,0.035,1053,37,o,0,0.84,150.27777,54.78956,1893.8,10011.34,2.12,1.98,-66.9,-0.431,18.59,18.79,01a59214o0575o
59214.458418,16.314,0.025,1082,27,o,0,1.74,150.27777,54.78956,1875.77,9973.36,2.05,1.88,-67.1,-0.437,18.67,18.79,01a59214o0579o
59214.461184,16.332,0.026,1064,28,o,0,1.37,150.27777,54.78956,1932.08,10050.47,2.04,1.93,-42.1,-0.43,18.64,18.8,01a59214o0585o
59214.472261,16.364,0.028,1034,29,o,0,1.17,150.27777,54.78956,1952.28,9933.7,2.01,1.88,-64.9,-0.427,18.68,18.82,01a59214o0609o
59216.454733,16.371,0.028,1027,29,o,0,1.19,150.27777,54.78956,8662.18,2788.44,2.56,2.47,24.2,-0.394,18.5,19.05,02a59216o0569o
59216.460249,16.305,0.025,1092,28,o,0,1.4,150.27777,54.78956,8683.72,2825.96,2.77,2.62,-64.8,-0.402,18.44,19.06,02a59216o0581o
59216.464421,16.347,0.027,1050,28,o,0,1.5,150.27777,54.78956,8631.04,2751.74,2.65,2.52,-66.1,-0.399,18.49,19.09,02a59216o0590o
59216.477363,16.415,0.028,987,28,o,0,1.23,150.27777,54.78956,8612.77,2871.18,2.49,2.39,-69.8,-0.402,18.58,19.12,02a59216o0617o
59218.528338,16.389,0.016,1010,16,o,0,2.68,150.27777,54.78956,5732.17,5767.18,2.1,2.05,-9.6,-0.392,19.34,20.14,01a59218o0716o
59218.530181,16.409,0.016,991,16,o,0,1.96,150.27777,54.78956,5712.29,5727.62,2.1,2.03,-37.6,-0.397,19.36,20.14,01a59218o0720o
59218.533404,16.374,0.015,1024,16,o,0,2.4,150.27777,54.78956,5769.45,5804.86,2.01,1.97,-21.5,-0.393,19.42,20.15,01a59218o0727o
59218.540791,16.371,0.017,1027,17,o,0,1.18,150.27777,54.78956,5787.8,5689.0,2.33,2.14,-1.7,-0.383,19.28,20.16,01a59218o0743o
59220.587048,16.362,0.014,1036,15,o,0,2.2,150.27777,54.78956,3934.05,1904.19,2.02,1.93,40.0,-0.44,19.53,20.6,02a59220o0848o
59220.590261,16.388,0.015,1011,15,o,0,3.54,150.27777,54.78956,3913.85,1865.59,1.99,1.94,34.1,-0.446,19.54,20.59,02a59220o0855o
59220.598055,16.374,0.016,1024,17,o,0,2.06,150.27777,54.78956,3971.41,1938.87,2.06,1.93,38.6,-0.444,19.49,20.58,02a59220o0872o
59220.632386,16.396,0.015,1004,16,o,0,5.26,150.27777,54.78956,3990.37,1817.12,2.18,1.87,39.3,-0.439,19.48,20.54,02a59220o0946o
59226.516949,16.384,0.012,1015,12,c,0,2.75,150.27777,54.78956,7410.52,9670.87,2.71,2.6,-75.8,-0.347,19.82,22.26,01a59226o0658c
59226.518814,16.37,0.011,1028,12,c,0,4.62,150.27777,54.78956,7392.55,9631.53,2.59,2.56,32.0,-0.341,19.83,22.26,01a59226o0662c
59226.524355,16.402,0.013,999,13,c,0,2.98,150.27777,54.78956,7447.38,9710.58,3.21,3.09,68.6,-0.331,19.6,22.25,01a59226o0674c
59226.529881,16.382,0.013,1016,13,c,0,2.2,150.27777,54.78956,7465.47,9594.59,3.13,3.01,87.9,-0.319,19.65,22.25,01a59226o0686c
59228.538466,16.467,0.014,940,13,c,0,1.65,150.27777,54.78956,3823.19,5877.89,2.93,2.9,42.8,-0.39,19.54,21.86,02a59228o0667c
59228.541691,16.511,0.015,903,13,c,0,2.01,150.27777,54.78956,3803.32,5839.02,2.98,2.94,32.2,-0.364,19.55,21.89,02a59228o0674c
59228.547639,16.491,0.015,920,13,c,0,1.53,150.27777,54.78956,3859.87,5914.63,2.7,2.62,31.0,-0.383,19.68,21.88,02a59228o0687c
59228.557781,16.464,0.015,943,14,c,0,1.66,150.27777,54.78956,3879.09,5798.73,2.65,2.61,24.4,-0.387,19.65,21.79,02a59228o0709c
59230.480734,16.656,0.015,790,12,c,0,2.05,150.27777,54.78956,7412.82,9674.52,2.66,2.31,-76.0,-0.374,19.82,21.97,01a59230o0611c
59230.483039,16.643,0.014,799,11,c,0,2.95,150.27777,54.78956,7394.84,9631.48,2.52,2.28,-82.3,-0.378,19.87,22.01,01a59230o0616c
