MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59185.441504,22.091,3.854,5,20,o,0,1.36,44.92871,33.1597,9078.79,5644.06,2.53,2.4,-29.2,-0.415,18.83,19.39,01a59185o0566o
59185.447507,-20.482,0.911,-23,21,o,0,0.99,44.92871,33.1597,9099.14,5682.09,2.41,2.26,-27.8,-0.406,18.91,19.36,01a59185o0579o
59185.454899,21.259,1.745,11,20,o,0,0.93,44.92871,33.1597,9039.63,5607.23,2.41,2.28,-28.6,-0.41,18.89,19.33,01a59185o0595o
59185.458596,-21.002,1.59,-14,23,o,0,1.0,44.92871,33.1597,9022.32,5726.32,2.25,2.18,-25.3,-0.404,18.95,19.34,01a59185o0603o
59186.427743,-22.177,3.649,-5,18,o,0,0.95,44.92871,33.1597,9078.88,5645.9,2.58,2.46,-2.0,-0.39,19.07,19.8,01a59186o0535o
59186.433305,21.666,1.959,8,15,o,0,1.19,44.92871,33.1597,9100.15,5684.63,2.25,2.23,-76.6,-0.405,19.16,19.77,01a59186o0547o
59186.437003,-21.329,1.737,-11,18,o,0,1.46,44.92871,33.1597,9041.56,5609.19,3.08,2.94,-58.0,-0.378,18.84,19.76,01a59186o0555o
59186.455489,22.264,4.037,4,18,o,0,1.32,44.92871,33.1597,9026.12,5726.91,2.96,2.77,-42.8,-0.37,18.94,19.76,01a59186o0595o
59187.465231,-23.051,6.227,-2,14,o,0,1.18,44.92871,33.1597,4539.16,2808.22,2.11,1.85,41.8,-0.455,19.19,19.86,02a59187o0563o
59187.473952,23.252,8.789,2,16,o,0,1.02,44.92871,33.1597,4519.85,2770.48,2.02,1.87,43.6,-0.455,19.22,19.85,02a59187o0582o
59187.481774,20.458,0.536,24,13,o,0,1.17,44.92871,33.1597,4579.05,2845.79,2.1,1.86,40.4,-0.455,19.15,19.81,02a59187o0599o
59187.493271,21.77,2.681,7,19,o,0,0.68,44.92871,33.1597,4601.81,2728.96,2.0,1.93,38.0,-0.45,19.13,19.75,02a59187o0624o
59189.364521,-20.264,0.312,-28,9,o,0,1.58,44.92871,33.1597,9058.56,5647.42,2.17,1.99,-82.5,-0.428,19.71,20.93,01a59189o0388o
59189.381485,-20.662,0.486,-20,10,o,0,1.71,44.92871,33.1597,9083.67,5685.92,2.19,1.91,-75.9,-0.428,19.59,20.59,01a59189o0423o
