MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59184.544494,-20.868,1.741,-16,28,o,0,0.74,165.60879,45.60505,6634.48,382.41,2.15,1.78,-49.9,-0.479,18.8,19.14,02a59184o0788o
59184.549547,-19.719,0.436,-47,20,o,0,1.23,165.60879,45.60505,6651.98,421.62,2.11,1.78,-51.0,-0.473,18.81,19.16,02a59184o0799o
59184.552319,21.598,3.333,8,28,o,0,0.99,165.60879,45.60505,6595.79,343.33,2.13,1.79,-51.8,-0.471,18.81,19.18,02a59184o0805o
59184.553234,13.521,1.02,14172,14458,o,0,2.87,165.60879,45.60505,8219.81,10529.34,2.68,2.03,-48.7,-0.422,18.81,19.16,02a59184o0807o
59184.567001,21.909,2.609,6,16,o,0,1.24,165.60879,45.60505,6576.74,461.73,2.13,1.79,-50.9,-0.46,18.86,19.24,02a59184o0837o
59186.586568,-19.88,0.623,-41,25,o,0,1.0,165.60879,45.60505,10260.09,8736.74,2.93,2.77,61.9,-0.354,18.79,19.54,01a59186o0877o
59186.587029,-21.594,2.52,-8,21,o,0,1.37,165.60879,45.60505,652.02,8714.03,2.94,2.77,-78.8,-0.381,18.71,19.53,01a59186o0878o
59186.591193,19.989,0.747,37,27,o,0,0.93,165.60879,45.60505,632.55,8676.55,3.27,3.06,-70.9,-0.363,18.69,19.54,01a59186o0887o
59186.591653,-21.503,2.444,-9,22,o,0,1.35,165.60879,45.60505,10241.66,8695.75,3.3,3.01,74.5,-0.359,18.67,19.55,01a59186o0888o
59186.596274,23.938,16.625,1,16,o,0,1.58,165.60879,45.60505,10302.91,8775.16,2.55,2.3,52.4,-0.37,18.98,19.57,01a59186o0898o
59186.596736,-21.158,1.564,-12,20,o,0,1.28,165.60879,45.60505,692.31,8751.96,2.42,2.39,-19.0,-0.414,18.92,19.56,01a59186o0899o
