MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59185.628117,-19.894,0.413,-40,16,o,0,1.3,166.4947,7.33383,502.23,5677.26,2.53,2.3,-8.6,-0.405,19.04,19.76,01a59185o0960o
59185.631363,21.941,2.765,6,17,o,0,1.25,166.4947,7.33383,484.15,5642.0,2.6,2.23,-9.6,-0.4,19.05,19.77,01a59185o0967o
59185.645738,-22.282,3.617,-4,16,o,0,1.18,166.4947,7.33383,543.53,5718.0,2.17,2.08,-65.4,-0.414,19.14,19.77,01a59185o0996o
59185.65522,-20.63,0.906,-20,18,o,0,1.23,166.4947,7.33383,565.24,5605.33,2.44,2.22,-7.0,-0.409,18.97,19.59,01a59185o1016o
59186.610643,20.153,0.579,32,18,o,0,1.39,166.4947,7.33383,8222.31,6929.88,2.28,2.09,44.9,-0.425,19.02,19.55,02a59186o0930o
59186.613853,20.686,0.942,19,18,o,0,1.43,166.4947,7.33383,8241.81,6968.76,2.26,2.04,43.7,-0.421,19.05,19.56,02a59186o0937o
59186.623996,-21.576,2.169,-8,18,o,0,1.65,166.4947,7.33383,8184.6,6890.89,2.32,2.11,43.7,-0.43,19.03,19.58,02a59186o0959o
59186.631694,15.352,1.109,2625,2911,o,0,3.12,166.4947,7.33383,8165.91,7009.12,2.36,1.97,42.0,-0.514,15.0,14.93,02a59186o0975o
59187.616981,20.674,0.869,20,17,o,0,1.61,166.4947,7.33383,8223.32,6932.53,2.2,2.04,39.7,-0.434,19.07,19.55,02a59187o0890o
59187.624336,20.546,0.876,22,19,o,0,1.33,166.4947,7.33383,8242.42,6971.94,2.24,2.07,47.2,-0.436,19.08,19.52,02a59187o0906o
59187.649791,-20.64,0.873,-20,18,o,0,1.47,166.4947,7.33383,8188.74,6896.34,2.22,2.05,50.6,-0.436,19.1,19.62,02a59187o0957o
59187.659791,-20.459,0.778,-24,18,o,0,1.53,166.4947,7.33383,8171.24,7013.34,2.25,2.06,47.2,-0.427,18.97,19.35,02a59187o0976o
59193.63525,-21.202,1.036,-12,12,o,0,1.2,166.4947,7.33383,597.35,7617.25,2.46,2.12,12.5,-0.397,19.5,20.77,01a59193o0952o
59193.638934,-20.576,0.503,-21,11,o,0,1.73,166.4947,7.33383,577.89,7578.69,2.48,2.12,-14.2,-0.403,19.48,20.73,01a59193o0960o
59193.647048,-20.195,0.302,-30,9,o,0,2.13,166.4947,7.33383,636.66,7657.33,2.25,1.99,17.8,-0.412,19.54,20.71,01a59193o0974o
59193.65813,-21.229,1.327,-12,16,o,0,1.2,166.4947,7.33383,9870.24,2997.31,2.47,2.28,-31.3,-0.38,19.36,20.22,01a59193o0996o
59194.594341,21.892,1.302,6,8,c,0,1.43,166.4947,7.33383,7964.86,1107.54,2.45,2.24,-58.7,-0.407,19.69,21.41,02a59194o0887c
59194.598492,22.277,1.946,4,9,c,0,1.65,166.4947,7.33383,7985.63,1146.25,2.45,2.25,-57.7,-0.41,19.66,21.42,02a59194o0896c
59194.610294,-22.149,1.548,-5,8,c,0,2.12,166.4947,7.33383,7930.86,1068.52,2.44,2.21,-58.8,-0.41,19.68,21.38,02a59194o0921c
59194.616275,-21.286,0.717,-11,8,c,0,1.3,166.4947,7.33383,7912.38,1186.18,2.44,2.25,-56.8,-0.408,19.67,21.38,02a59194o0934c
59196.534377,-22.806,4.231,-3,12,c,0,1.43,166.4947,7.33383,598.2,7611.91,3.75,3.17,-4.6,-0.302,19.33,21.47,01a59196o0304c
59196.543595,-25.972,63.0,0,9,c,0,1.94,166.4947,7.33383,574.1,7572.17,3.06,2.62,-77.8,-0.36,19.54,21.5,01a59196o0324c
59196.582161,-21.158,1.194,-12,15,c,0,1.13,166.4947,7.33383,636.2,7655.97,4.43,4.35,-71.9,-0.346,19.06,21.54,01a59196o0341c
59196.607016,-23.088,6.429,-2,14,c,0,1.27,166.4947,7.33383,656.99,7534.28,4.52,3.95,-46.3,-0.299,19.08,21.51,01a59196o0393c
59196.663822,22.06,5.333,5,29,c,0,1.3,166.4947,7.33383,621.65,7606.0,3.7,3.53,-10.2,-0.355,18.4,19.7,01a59196o0513c
59198.578382,-20.956,1.167,-15,18,c,0,0.85,166.4947,7.33383,7962.73,1106.99,2.49,2.32,-46.0,-0.402,19.11,20.84,02a59198o0851c
59198.580211,20.873,0.94,16,15,c,0,2.15,166.4947,7.33383,7982.21,1147.3,2.48,2.3,-50.2,-0.397,18.93,20.63,02a59198o0855c
59198.582965,-22.234,3.13,-5,14,c,0,1.84,166.4947,7.33383,7923.5,1068.79,2.43,2.26,-57.6,-0.403,19.1,20.8,02a59198o0861c
59198.588041,21.308,1.553,11,17,c,0,1.55,166.4947,7.33383,7902.79,1186.71,2.53,2.33,-59.4,-0.395,18.97,20.69,02a59198o0872c
59204.522821,19.746,0.193,46,9,c,0,1.39,166.4947,7.33383,406.47,3733.02,2.81,2.38,11.0,-0.369,19.67,21.54,01a59204o0654c
