MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59194.511589,-20.447,0.4,-24,10,c,0,1.88,116.72821,81.19314,6138.65,8312.72,2.87,2.5,-79.5,-0.384,19.6,22.92,01a59194o0711c
59194.513436,-20.515,0.42,-23,10,c,0,1.38,116.72821,81.19314,6122.0,8271.94,2.98,2.66,-80.9,-0.369,19.54,22.92,01a59194o0715c
59194.517587,-20.069,0.322,-34,11,c,0,0.91,116.72821,81.19314,6171.49,8350.22,2.97,2.79,-75.6,-0.353,19.52,22.94,01a59194o0724c
59194.522658,22.609,2.857,3,9,c,0,1.57,116.72821,81.19314,6186.95,8234.86,2.86,2.66,-78.1,-0.363,19.54,22.94,01a59194o0735c
59200.489226,-20.317,0.401,-27,11,c,0,1.42,116.72821,81.19314,5100.54,408.91,2.61,2.32,-75.8,-0.406,19.56,21.52,02a59200o0611c
59200.491511,-20.244,0.417,-29,12,c,0,1.68,116.72821,81.19314,5119.31,447.66,2.68,2.39,-71.9,-0.395,19.53,21.53,02a59200o0616c
59200.494255,22.305,2.778,4,12,c,0,0.95,116.72821,81.19314,5075.01,368.49,2.8,2.34,-61.4,-0.403,19.53,21.52,02a59200o0622c
59200.500658,-20.476,0.442,-23,10,c,0,1.21,116.72821,81.19314,5058.09,487.57,2.63,2.37,-84.0,-0.403,19.57,21.52,02a59200o0636c
59202.614057,21.394,0.897,10,9,c,0,1.62,116.72821,81.19314,7378.72,5940.72,2.94,2.84,-77.4,-0.358,19.46,21.77,01a59202o0163c
59202.617751,21.845,1.465,7,10,c,0,1.48,116.72821,81.19314,7400.8,5977.79,2.8,2.71,-68.1,-0.35,19.56,21.78,01a59202o0171c
59202.627915,22.906,3.529,2,9,c,0,1.59,116.72821,81.19314,7337.27,5914.01,2.76,2.6,-69.6,-0.355,19.55,21.76,01a59202o0193c
59202.644107,-20.477,0.422,-23,10,c,0,1.46,116.72821,81.19314,7319.84,6037.6,2.74,2.59,-78.7,-0.351,19.55,21.7,01a59202o0228c
59206.428846,21.42,1.413,10,14,o,0,1.56,116.72821,81.19314,3168.35,4555.12,2.45,2.42,17.1,-0.4,19.06,20.03,01a59206o0503o
59206.436513,-22.145,2.975,-5,15,o,0,1.49,116.72821,81.19314,3146.63,4523.83,2.41,2.36,-6.0,-0.4,19.09,20.07,01a59206o0518o
59206.440201,-19.523,0.241,-56,14,o,0,1.32,116.72821,81.19314,3205.46,4594.3,2.47,2.39,1.1,-0.402,19.06,20.09,01a59206o0526o
59206.455116,20.37,0.607,26,16,o,0,1.06,116.72821,81.19314,3223.01,4481.14,2.52,2.45,44.2,-0.387,19.08,20.12,01a59206o0558o
59208.480019,19.468,0.323,59,19,o,0,1.74,116.72821,81.19314,3581.04,395.46,2.34,1.99,-59.4,-0.442,18.97,19.63,02a59208o0624o
59208.48139,-20.152,0.575,-32,18,o,0,1.29,116.72821,81.19314,2173.13,10393.18,2.31,1.93,-49.8,-0.418,18.86,19.46,02a59208o0627o
59208.481847,21.463,2.149,9,20,o,0,1.39,116.72821,81.19314,3592.81,438.04,2.12,1.96,-77.0,-0.459,18.93,19.62,02a59208o0628o
59208.491816,-20.169,0.721,-31,22,o,0,0.95,116.72821,81.19314,3552.36,352.18,2.48,1.93,-54.1,-0.454,18.98,19.61,02a59208o0649o
59208.492731,20.648,1.075,20,22,o,0,1.6,116.72821,81.19314,2195.68,10435.86,2.26,1.97,-49.2,-0.443,18.82,19.43,02a59208o0651o
59208.49456,19.443,0.358,61,22,o,0,0.97,116.72821,81.19314,3536.13,468.37,2.19,1.96,-69.6,-0.455,18.97,19.61,02a59208o0655o
59208.495522,-19.807,0.558,-43,24,o,0,0.87,116.72821,81.19314,2113.82,10340.84,2.22,2.15,-60.9,-0.464,18.74,19.43,02a59208o0657o
59208.499647,-21.11,1.661,-13,22,o,0,1.53,116.72821,81.19314,2080.42,10451.61,2.11,2.05,-68.2,-0.447,18.85,19.45,02a59208o0666o
59212.517975,18.709,0.438,119,52,o,0,1.52,116.72821,81.19314,3996.61,8033.62,2.3,2.09,33.9,-0.405,18.45,18.73,02a59212o0711o
59212.521257,18.946,0.545,96,52,o,0,1.1,116.72821,81.19314,3979.78,7994.44,2.26,2.21,-66.7,-0.434,18.39,18.72,02a59212o0717o
59212.556388,18.001,0.238,229,54,o,0,1.62,116.72821,81.19314,4016.45,8065.19,2.12,2.07,70.9,-0.431,18.44,18.69,02a59212o0793o
59212.579317,18.41,0.386,157,60,o,0,1.22,116.72821,81.19314,4039.91,7935.43,2.17,2.12,-42.0,-0.438,18.34,18.62,02a59212o0842o
59214.414321,18.02,0.11,225,25,o,0,1.44,116.72821,81.19314,3999.1,10295.82,2.05,1.86,-56.7,-0.425,18.68,18.84,01a59214o0486o
59214.416753,18.87,0.248,103,26,o,0,1.22,116.72821,81.19314,3985.49,10257.63,2.09,1.92,-57.7,-0.428,18.66,18.84,01a59214o0491o
59214.419523,18.122,0.132,205,27,o,0,0.85,116.72821,81.19314,4030.45,10331.77,2.1,1.95,-54.2,-0.427,18.68,18.84,01a59214o0497o
59214.426579,18.47,0.154,149,23,o,0,1.44,116.72821,81.19314,4047.59,10214.19,1.98,1.85,-35.9,-0.409,18.7,18.85,01a59214o0512o
59214.507455,18.225,0.17,186,32,o,0,1.16,116.72821,81.19314,8132.24,10170.15,2.51,2.4,65.6,-0.39,18.35,18.75,01a59214o0684o
59214.52584,17.883,0.097,255,25,o,0,1.88,116.72821,81.19314,8160.63,10204.69,2.16,2.14,62.2,-0.377,18.5,18.78,01a59214o0723o
