MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59716.541529,-18.959,0.361,-95,34,o,0,0.8,239.6715,11.24024,2575.19,6864.76,2.54,1.95,32.3,-0.383,18.31,18.54,02a59716o0615o
59719.600948,-19.08,0.461,-85,39,o,0,1.16,239.6715,11.24024,465.46,9258.9,2.99,2.8,-62.0,-0.457,17.53,18.62,01a59719o0698o
59719.607026,16.132,1.687,1280,2160,o,0,0.78,239.6715,11.24024,403.78,9182.31,3.33,2.74,-51.7,-0.456,16.54,17.39,01a59719o0709o
59720.460166,-19.263,0.189,-72,14,o,0,1.43,239.6715,11.24024,4391.61,7738.75,2.6,2.51,-41.7,-0.493,19.29,20.45,01a59720o0344o
59720.463392,-20.285,0.523,-28,15,o,0,1.25,239.6715,11.24024,4413.42,7778.03,2.62,2.52,-42.1,-0.486,19.3,20.44,01a59720o0351o
59720.47351,-19.666,0.239,-49,12,o,0,1.64,239.6715,11.24024,4354.81,7701.35,2.6,2.53,-45.0,-0.49,19.3,20.42,01a59720o0372o
59720.486816,-20.015,0.37,-36,13,o,0,1.25,239.6715,11.24024,4339.62,7819.22,2.69,2.59,-63.7,-0.475,19.21,20.4,01a59720o0400o
59722.453393,-21.063,0.66,-14,9,c,0,0.85,239.6715,11.24024,8167.79,2771.8,2.5,2.39,21.2,-0.397,19.61,21.29,02a59722o0471c
59722.456435,-19.958,0.229,-38,9,c,0,1.12,239.6715,11.24024,8149.19,2733.72,2.42,2.36,41.3,-0.405,19.6,21.28,02a59722o0476c
59722.461616,-20.384,0.328,-26,8,c,0,1.17,239.6715,11.24024,8208.96,2812.71,2.47,2.39,25.3,-0.397,19.62,21.27,02a59722o0487c
59722.473152,-20.309,0.388,-27,11,c,0,1.05,239.6715,11.24024,8231.61,2699.23,3.05,2.6,-4.3,-0.375,19.33,21.26,02a59722o0512c
59722.480135,-19.916,0.333,-39,13,o,0,1.15,239.6715,11.24024,4395.45,7737.74,2.81,2.76,-52.1,-0.453,19.3,20.62,01a59722o0534o
59722.485198,-19.181,0.152,-77,12,o,0,1.55,239.6715,11.24024,4416.66,7776.43,2.8,2.69,61.7,-0.45,19.31,20.58,01a59722o0545o
