MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59079.4574,-19.062,0.098,-86,8,c,0,10.15,354.6703,15.95404,8105.14,2628.27,2.48,2.32,-62.0,-0.39,19.74,21.86,02a59079o0470c
59079.48231,-20.094,0.317,-33,10,c,0,3.16,354.6703,15.95404,8123.7,2669.94,2.43,2.29,-58.5,-0.395,19.77,21.84,02a59079o0514c
59079.499187,-19.155,0.127,-79,10,c,0,4.07,354.6703,15.95404,8069.21,2591.79,2.49,2.32,-61.3,-0.391,19.8,21.86,02a59079o0550c
59079.501036,-18.753,0.085,-114,10,c,0,7.86,354.6703,15.95404,8050.16,2711.62,2.48,2.35,-61.2,-0.391,19.73,21.86,02a59079o0554c
59083.460141,-20.762,0.638,-18,12,c,0,4.33,354.6703,15.95404,7667.36,5055.53,2.63,2.44,43.2,-0.387,19.73,21.9,02a59083o0459c
59083.471038,-19.376,0.138,-64,9,c,0,6.59,354.6703,15.95404,7684.84,5096.56,2.56,2.44,49.1,-0.391,19.73,21.86,02a59083o0481c
59083.472886,-19.252,0.118,-72,9,c,0,7.57,354.6703,15.95404,7627.17,5019.63,2.56,2.44,45.8,-0.392,19.75,21.86,02a59083o0485c
59083.47565,-18.404,0.056,-158,9,c,0,30.61,354.6703,15.95404,7608.46,5135.9,2.61,2.44,40.8,-0.385,19.76,21.86,02a59083o0491c
59085.46067,-17.508,0.032,-360,12,o,0,12.5,354.6703,15.95404,6823.14,10166.89,3.26,3.22,60.4,-0.349,19.21,21.15,01a59085o0493o
59085.485967,-18.899,0.143,-100,14,o,0,3.71,354.6703,15.95404,6804.86,10128.97,3.02,3.01,-17.5,-0.387,19.37,21.2,01a59085o0545o
59085.503043,-18.608,0.101,-131,13,o,0,5.63,354.6703,15.95404,3653.64,358.54,2.46,2.24,6.3,-0.406,19.58,21.19,01a59085o0580o
59085.527916,-19.153,0.161,-79,13,o,0,3.54,354.6703,15.95404,3640.86,475.27,2.96,2.57,4.4,-0.388,19.43,21.13,01a59085o0631o
59087.489463,-18.956,0.119,-95,11,c,0,5.92,354.6703,15.95404,2914.36,5506.91,2.61,2.54,44.7,-0.397,19.68,21.75,02a59087o0546c
59087.507617,-19.662,0.212,-50,10,c,0,5.12,354.6703,15.95404,2896.84,5469.66,2.55,2.5,46.0,-0.398,19.68,21.74,02a59087o0582c
59087.510777,-21.72,1.232,-7,9,c,0,8.04,354.6703,15.95404,2955.89,5548.51,2.5,2.44,44.1,-0.403,19.68,21.74,02a59087o0588c
59087.516545,-19.781,0.272,-44,12,c,0,4.35,354.6703,15.95404,2974.05,5431.14,2.53,2.45,52.7,-0.398,19.64,21.82,02a59087o0599c
59089.51837,-21.499,1.231,-9,11,o,0,16.5,354.6703,15.95404,3431.75,4772.7,2.09,1.93,1.9,-0.406,19.78,21.23,01a59089o0634o
59089.528525,20.943,0.644,15,10,o,0,13.91,354.6703,15.95404,3454.21,4809.98,2.04,1.89,-9.5,-0.412,19.82,21.27,01a59089o0656o
59089.549198,23.149,5.783,2,12,o,0,16.89,354.6703,15.95404,3399.41,4730.23,2.12,1.95,-10.1,-0.404,19.8,21.26,01a59089o0697o
59089.574425,19.662,0.242,50,12,o,0,7.78,354.6703,15.95404,3385.39,4845.15,2.1,1.97,-12.2,-0.408,19.77,21.27,01a59089o0746o
59092.385948,-18.789,0.223,-111,25,o,0,1.98,354.6703,15.95404,7118.17,5796.08,2.86,2.8,-13.7,-0.399,18.68,19.48,01a59092o0321o
59092.387793,19.825,0.5,43,21,o,0,2.51,354.6703,15.95404,7096.19,5755.65,2.42,2.27,-74.9,-0.389,18.88,19.5,01a59092o0325o
