MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59736.591985,20.39,0.532,25,14,c,0,1.05,16.53818,-3.84396,737.67,2640.57,2.49,2.39,-21.1,-0.421,19.09,20.44,02a59736o0762c
59736.596141,-21.281,1.297,-11,14,c,0,1.07,16.53818,-3.84396,756.95,2679.43,2.46,2.4,0.4,-0.409,19.06,20.43,02a59736o0771c
59736.603956,21.268,1.343,11,15,c,0,0.99,16.53818,-3.84396,697.69,2600.6,2.45,2.38,-20.0,-0.419,19.02,20.24,02a59736o0788c
59742.573223,19.766,0.728,45,33,o,0,1.07,16.53818,-3.84396,8994.81,2087.31,3.21,2.91,-49.8,-0.473,18.34,19.13,01a59742o0722o
59742.576913,21.368,2.762,10,28,o,0,1.2,16.53818,-3.84396,8976.46,2047.78,3.25,2.99,-60.0,-0.447,18.46,19.3,01a59742o0730o
59742.595399,-22.007,2.857,-6,16,o,0,1.27,16.53818,-3.84396,9039.78,2119.29,2.94,2.78,-9.1,-0.455,18.99,20.18,01a59742o0770o
59742.606443,20.696,1.079,19,21,o,0,1.23,16.53818,-3.84396,9061.26,2000.63,3.06,2.89,-15.5,-0.445,18.76,19.79,01a59742o0794o
59744.570185,19.836,1.379,42,58,o,0,1.06,16.53818,-3.84396,5270.55,6327.07,3.43,2.48,15.5,-0.413,17.75,18.18,02a59744o0709o
59744.579333,19.89,1.306,40,52,o,0,1.19,16.53818,-3.84396,5289.9,6365.63,3.43,2.48,17.2,-0.367,17.89,18.31,02a59744o0729o
59744.582992,18.976,0.507,93,47,o,0,1.01,16.53818,-3.84396,5231.92,6287.53,3.52,2.68,16.9,-0.353,17.9,18.36,02a59744o0737o
59744.601394,-19.733,0.841,-46,39,o,0,1.07,16.53818,-3.84396,5212.7,6403.39,3.13,2.44,21.2,-0.398,18.14,18.56,02a59744o0777o
