MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59733.576084,-22.263,3.143,-4,14,c,0,0.71,7.63268,33.20771,2245.61,2046.12,2.51,2.44,80.1,-0.411,19.23,20.68,02a59733o0711c
59733.579287,21.639,1.75,8,14,c,0,1.06,7.63268,33.20771,2263.48,2083.9,2.65,2.45,44.9,-0.4,19.19,20.69,02a59733o0718c
59733.598438,25.185,36.0,0,11,c,0,1.09,7.63268,33.20771,2207.5,2005.2,2.5,2.42,54.3,-0.408,19.31,20.73,02a59733o0759c
59733.605776,22.095,3.029,5,16,c,0,0.79,7.63268,33.20771,2187.74,2120.74,2.54,2.37,45.1,-0.406,19.13,20.47,02a59733o0774c
59735.530298,20.795,2.848,18,50,o,0,0.79,7.63268,33.20771,6541.5,2811.58,3.02,2.76,-47.9,-0.461,17.93,19.01,01a59735o0609o
59735.535483,-22.046,3.81,-6,21,o,0,0.85,7.63268,33.20771,6521.98,2770.81,3.03,2.94,32.9,-0.43,18.71,19.85,01a59735o0620o
59735.540601,-20.436,0.906,-24,22,o,0,1.2,7.63268,33.20771,6582.27,2847.71,3.05,2.89,-46.5,-0.445,18.73,19.93,01a59735o0631o
59735.554304,20.487,0.812,23,19,o,0,1.4,7.63268,33.20771,6604.39,2726.33,2.93,2.85,-54.0,-0.455,18.92,20.1,01a59735o0660o
59740.567527,21.642,2.448,8,20,o,0,1.29,7.63268,33.20771,8518.33,2696.73,3.63,2.98,-60.6,-0.505,18.91,20.34,01a59740o0698o
59740.573089,20.872,1.227,16,20,o,0,0.87,7.63268,33.20771,8499.46,2658.41,3.1,2.83,-56.7,-0.468,19.08,20.38,01a59740o0710o
59740.576331,20.759,0.867,18,16,o,0,1.31,7.63268,33.20771,8560.52,2734.85,3.06,3.0,16.7,-0.43,19.07,20.39,01a59740o0717o
59740.583361,-23.664,15.0,-1,19,o,0,0.91,7.63268,33.20771,8581.19,2615.79,3.29,3.24,-37.7,-0.418,19.02,20.41,01a59740o0731o
59748.572162,-21.222,1.912,-12,22,o,0,0.93,7.63268,33.20771,4624.0,6779.97,2.98,2.95,62.3,-0.432,18.86,19.88,01a59748o0694o
59748.582183,-21.407,2.064,-10,20,o,0,1.07,7.63268,33.20771,4611.98,6745.25,3.28,2.89,45.6,-0.384,18.85,19.93,01a59748o0714o
59748.595555,-22.089,4.706,-5,25,o,0,0.95,7.63268,33.20771,4672.64,6813.22,3.83,3.68,-88.0,-0.377,18.65,19.95,01a59748o0743o
59748.607619,22.085,4.706,5,25,o,0,1.28,7.63268,33.20771,4693.28,6695.98,3.86,3.78,46.8,-0.354,18.52,19.73,01a59748o0769o
59750.491152,20.386,1.02,25,26,o,0,0.72,7.63268,33.20771,4024.85,9736.21,2.24,2.01,-48.3,-0.424,18.81,19.35,02a59750o0515o
59750.509039,20.334,0.74,27,20,o,0,1.44,7.63268,33.20771,4051.0,9780.42,2.18,2.05,-28.4,-0.43,18.93,19.57,02a59750o0551o
59750.512313,-22.115,3.675,-5,19,o,0,1.44,7.63268,33.20771,3990.65,9700.87,2.23,2.11,-29.3,-0.428,18.9,19.59,02a59750o0558o
59750.51897,20.506,0.882,23,20,o,0,1.11,7.63268,33.20771,3962.88,9815.92,2.21,2.03,-38.9,-0.429,18.93,19.62,02a59750o0569o
59751.588452,21.667,1.891,8,15,o,0,1.14,7.63268,33.20771,4023.55,9736.01,2.34,2.09,32.8,-0.403,19.23,20.15,02a59751o0744o
59751.591959,-20.547,0.752,-22,16,o,0,0.93,7.63268,33.20771,4636.19,6784.27,2.81,2.72,51.9,-0.444,19.11,20.2,01a59751o0725o
59751.598743,-23.409,11.143,-2,18,o,0,0.98,7.63268,33.20771,4042.36,9775.22,2.16,2.04,32.0,-0.42,19.26,20.11,02a59751o0766o
59751.598938,21.536,1.592,9,14,o,0,1.24,7.63268,33.20771,4617.81,6744.14,2.81,2.7,53.6,-0.449,19.11,20.17,01a59751o0740o
59751.608076,-19.959,0.568,-38,21,o,0,1.14,7.63268,33.20771,3985.05,9697.01,2.55,2.14,30.5,-0.381,18.99,19.71,02a59751o0786o
59751.614546,-20.567,1.772,-22,38,o,0,2.05,7.63268,33.20771,3964.0,9815.82,2.45,2.1,30.3,-0.388,18.39,18.59,02a59751o0800o
59751.616305,20.75,8.382,18,152,o,0,1.02,7.63268,33.20771,4678.76,6815.83,2.76,2.7,57.1,-0.482,17.96,18.09,01a59751o0777o
59751.618662,19.833,6.875,42,291,o,0,1.09,7.63268,33.20771,4696.96,6699.2,2.77,2.73,-68.3,-0.509,17.56,17.46,01a59751o0782o
