MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
58802.47832,-19.102,1.022,-83,85,o,0,1.36,40.63347,-0.96314,2218.53,3428.47,2.12,1.99,-68.7,-0.503,17.12,17.29,02a58802o0587o
58802.481582,-19.229,0.894,-74,66,o,0,1.14,40.63347,-0.96314,2198.85,3389.72,2.01,1.96,-89.2,-0.489,17.47,17.61,02a58802o0594o
58802.488057,-19.874,1.25,-41,51,o,0,0.76,40.63347,-0.96314,2256.11,3467.37,1.97,1.91,-86.5,-0.475,17.92,18.04,02a58802o0608o
58802.498161,-21.744,2.75,-7,20,o,0,1.73,40.63347,-0.96314,2275.68,3351.05,2.02,1.92,-59.8,-0.458,18.7,19.13,02a58802o0630o
58808.425113,-22.426,2.357,-4,9,o,0,1.29,40.63347,-0.96314,1982.02,6937.53,2.39,1.86,85.3,-0.422,19.66,20.84,01a58808o0351o
58808.427955,20.868,0.529,16,9,o,0,1.52,40.63347,-0.96314,2002.32,6976.42,2.29,1.78,87.2,-0.435,19.7,20.85,01a58808o0357o
58808.433547,-26.312,83.0,0,9,o,0,1.31,40.63347,-0.96314,1943.87,6898.77,2.55,2.04,89.3,-0.422,19.57,20.87,01a58808o0369o
58808.444218,-20.915,0.658,-16,10,o,0,0.96,40.63347,-0.96314,1924.01,7012.15,2.45,1.99,87.8,-0.424,19.62,20.82,01a58808o0392o
58812.371544,22.159,2.067,5,10,o,0,1.44,40.63347,-0.96314,8618.06,3642.08,2.62,2.01,88.1,-0.419,19.56,20.83,01a58812o0393o
58812.378729,23.075,4.5,2,10,o,0,1.52,40.63347,-0.96314,1991.83,6982.0,2.52,2.04,-89.8,-0.418,19.58,20.83,01a58812o0408o
58812.393743,-22.256,2.214,-4,10,o,0,1.25,40.63347,-0.96314,1934.98,6900.78,2.51,2.08,89.1,-0.42,19.56,20.75,01a58812o0439o
58812.397909,20.832,0.635,17,11,o,0,1.21,40.63347,-0.96314,1916.61,7017.51,2.46,1.96,86.7,-0.432,19.61,20.74,01a58812o0448o
58814.375451,22.268,3.667,4,16,c,0,1.18,40.63347,-0.96314,3052.45,1389.99,2.61,2.39,-64.3,-0.415,18.99,20.84,02a58814o0328c
58814.378302,24.885,63.0,0,25,c,0,1.31,40.63347,-0.96314,3033.59,1353.21,2.59,2.36,-64.3,-0.419,18.37,20.17,02a58814o0334c
58814.384118,22.451,5.0,4,19,c,0,0.72,40.63347,-0.96314,3085.6,1429.92,2.73,2.42,49.7,-0.399,18.83,20.77,02a58814o0346c
58814.395782,-21.35,26.0,-10,272,c,0,1.0,40.63347,-0.96314,3101.53,1313.71,2.6,2.39,-67.8,-0.405,16.33,17.93,02a58814o0370c
58816.380234,-21.182,0.976,-12,12,o,0,1.15,40.63347,-0.96314,7621.3,892.86,3.23,2.23,-2.6,-0.386,19.36,21.04,01a58816o0440o
58816.383456,-24.012,14.2,-1,13,o,0,1.01,40.63347,-0.96314,7641.32,931.92,3.69,2.35,-0.9,-0.394,19.28,21.05,01a58816o0447o
58816.389557,-20.734,0.642,-18,12,o,0,1.33,40.63347,-0.96314,7583.5,852.65,3.68,2.28,-0.3,-0.394,19.32,21.04,01a58816o0460o
58816.399725,20.995,0.797,14,12,o,0,0.93,40.63347,-0.96314,7564.95,969.28,2.42,2.31,0.0,-0.411,19.5,20.95,01a58816o0482o
58818.375987,-18.313,0.684,-172,118,c,0,1.3,40.63347,-0.96314,2748.56,5751.07,2.9,2.72,-53.8,-0.389,16.58,18.46,02a58818o0412c
58818.380258,18.468,0.634,149,94,c,0,0.86,40.63347,-0.96314,2727.72,5709.53,3.0,2.84,-58.4,-0.39,17.07,18.92,02a58818o0421c
58818.385866,-20.369,3.25,-26,84,c,0,1.03,40.63347,-0.96314,2785.19,5788.97,3.04,2.82,-58.6,-0.383,17.26,19.22,02a58818o0433c
58818.396376,-20.141,1.5,-32,48,c,0,0.71,40.63347,-0.96314,2804.69,5674.11,2.81,2.67,-53.7,-0.391,17.87,19.79,02a58818o0455c
58820.414411,22.871,2.618,3,7,o,0,0.94,40.63347,-0.96314,7626.45,886.54,1.92,1.82,-76.0,-0.424,19.86,21.41,01a58820o0348o
58820.418118,-23.005,3.071,-2,7,o,0,1.26,40.63347,-0.96314,7646.72,925.73,2.03,1.86,-83.8,-0.423,19.84,21.39,01a58820o0356o
58820.42324,20.579,0.528,21,11,o,0,1.54,40.63347,-0.96314,7589.0,847.62,1.9,1.77,-85.9,-0.434,19.41,20.88,01a58820o0367o
58820.43727,20.25,0.809,29,23,o,0,1.12,40.63347,-0.96314,7572.14,966.59,1.94,1.72,-88.6,-0.443,18.43,19.86,01a58820o0397o
58822.291275,-22.564,4.687,-3,16,o,0,1.05,40.63347,-0.96314,7856.19,4817.81,2.05,1.9,-64.8,-0.433,18.95,19.58,02a58822o0122o
58822.295701,20.077,0.935,34,32,o,0,0.95,40.63347,-0.96314,7879.74,4856.44,2.03,1.9,-64.4,-0.438,18.46,18.91,02a58822o0131o
58822.302699,-21.094,2.186,-13,29,o,0,1.1,40.63347,-0.96314,7817.58,4779.69,2.05,1.84,-63.1,-0.436,18.31,18.69,02a58822o0145o
58822.31447,-20.55,0.888,-22,19,o,0,1.79,40.63347,-0.96314,7802.68,4894.55,2.08,1.86,-63.0,-0.432,18.6,19.27,02a58822o0169o
58830.338524,18.434,0.189,154,29,o,0,1.08,40.63347,-0.96314,968.06,9742.66,2.56,1.95,-49.7,-0.483,18.73,19.32,02a58830o0321o
58830.341735,-21.628,4.188,-8,34,o,0,0.8,40.63347,-0.96314,948.34,9703.36,2.92,2.36,-50.4,-0.482,18.53,19.33,02a58830o0328o
58830.348722,19.933,0.722,39,28,o,0,1.71,40.63347,-0.96314,1004.37,9780.88,2.62,1.98,-51.2,-0.469,18.67,19.32,02a58830o0343o
58830.36091,-19.669,0.512,-49,25,o,0,1.21,40.63347,-0.96314,1021.94,9665.74,2.51,1.79,-49.9,-0.494,18.75,19.31,02a58830o0369o
58832.386649,22.116,2.324,5,12,o,0,1.25,40.63347,-0.96314,1371.57,719.25,1.97,1.68,69.9,-0.478,19.3,19.89,01a58832o0450o
58832.389879,-21.102,1.0,-13,13,o,0,0.92,40.63347,-0.96314,1391.62,757.93,2.04,1.75,69.0,-0.538,19.27,19.89,01a58832o0457o
58832.395526,21.42,1.482,10,15,o,0,1.23,40.63347,-0.96314,1332.97,678.65,2.08,1.79,69.3,-0.474,19.26,19.89,01a58832o0469o
58832.405496,-20.966,0.86,-15,13,o,0,1.69,40.63347,-0.96314,1315.37,794.34,2.13,1.81,71.1,-0.479,19.21,19.86,01a58832o0490o
58836.340718,22.531,2.923,4,10,o,0,1.34,40.63347,-0.96314,1362.18,723.57,2.78,2.28,8.9,-0.437,19.49,21.21,01a58836o0340o
58836.343941,20.321,0.422,27,11,o,0,1.2,40.63347,-0.96314,1382.53,762.37,3.24,2.28,4.9,-0.426,19.4,21.22,01a58836o0347o
58836.350429,-21.202,0.887,-12,11,o,0,1.53,40.63347,-0.96314,1322.72,683.59,2.87,2.46,12.5,-0.43,19.46,21.26,01a58836o0361o
58836.36069,20.958,0.8,15,12,o,0,0.97,40.63347,-0.96314,1305.56,799.55,2.72,2.3,14.6,-0.442,19.48,21.23,01a58836o0383o
58840.428291,17.492,2.049,366,749,o,0,0.85,40.63347,-0.96314,9794.91,4670.72,2.7,2.34,9.9,-0.386,15.24,16.68,01a58840o0010o
58840.431523,-19.811,4.136,-43,179,o,0,1.39,40.63347,-0.96314,9813.67,4707.63,2.74,2.44,4.4,-0.368,16.71,18.06,01a58840o0017o
58840.438904,-17.235,0.332,-463,154,o,0,1.39,40.63347,-0.96314,9754.14,4631.49,2.48,2.32,-2.9,-0.38,16.77,18.17,01a58840o0033o
58844.306524,21.203,1.094,12,13,o,0,0.74,40.63347,-0.96314,9779.48,4673.76,2.99,2.27,-85.6,-0.406,19.53,21.09,01a58844o0242o
58844.310211,-22.402,3.087,-4,12,o,0,1.01,40.63347,-0.96314,9799.67,4711.17,3.25,2.54,-88.2,-0.403,19.43,21.06,01a58844o0250o
58844.315314,20.403,0.431,25,11,o,0,1.27,40.63347,-0.96314,9739.6,4633.52,2.99,2.09,-86.0,-0.475,19.5,21.04,01a58844o0261o
58844.328793,21.038,0.496,14,7,o,0,2.83,40.63347,-0.96314,9719.89,4748.37,2.52,1.78,-86.5,-0.474,19.71,21.09,01a58844o0290o
58846.301919,-21.617,0.912,-8,8,c,0,1.22,40.63347,-0.96314,2817.34,7692.4,2.4,2.38,-49.9,-0.407,19.74,21.76,02a58846o0249c
58846.305128,21.475,0.905,9,8,c,0,1.25,40.63347,-0.96314,2799.17,7653.75,2.46,2.45,-47.6,-0.4,19.77,21.76,02a58846o0256c
58846.31209,-21.388,0.8,-10,8,c,0,1.37,40.63347,-0.96314,2857.14,7730.07,2.46,2.43,-54.2,-0.404,19.74,21.75,02a58846o0271c
58846.322756,-20.833,0.496,-17,8,c,0,1.11,40.63347,-0.96314,2877.8,7617.13,2.46,2.44,-75.2,-0.401,19.73,21.74,02a58846o0294c
58850.314255,20.76,0.668,18,12,o,0,1.11,40.63347,-0.96314,9281.64,1596.91,2.27,1.7,-53.7,-0.49,19.47,20.52,02a58850o0275o
58850.31701,-21.809,1.521,-7,10,o,0,1.64,40.63347,-0.96314,9263.66,1561.62,2.23,1.66,-54.6,-0.5,19.53,20.53,02a58850o0281o
58850.322603,21.674,1.55,8,12,o,0,1.09,40.63347,-0.96314,9321.56,1639.21,2.23,1.72,-55.0,-0.494,19.51,20.5,02a58850o0293o
58850.336035,22.353,2.864,4,12,o,0,1.39,40.63347,-0.96314,9344.45,1523.64,2.19,1.7,-53.3,-0.502,19.52,20.47,02a58850o0322o
58866.339171,-21.456,1.164,-10,11,c,0,1.09,40.63347,-0.96314,4851.33,9552.42,2.74,2.58,-53.3,-0.393,19.66,21.62,02a58866o0095c
58866.343309,22.193,2.188,5,10,c,0,1.08,40.63347,-0.96314,4832.48,9513.28,2.68,2.57,-57.8,-0.389,19.67,21.62,02a58866o0104c
58866.348871,-22.571,3.261,-3,11,c,0,1.22,40.63347,-0.96314,4891.67,9590.74,2.65,2.48,-47.0,-0.401,19.68,21.58,02a58866o0116c
58866.359967,21.555,1.127,9,10,c,0,1.44,40.63347,-0.96314,4911.89,9473.57,2.73,2.55,-48.8,-0.398,19.6,21.53,02a58866o0140c
58868.262642,-19.264,0.151,-72,11,o,0,33.22,40.63347,-0.96314,5782.11,2944.8,2.27,1.89,-88.3,-0.406,19.58,20.97,01a58868o0150o
58868.265863,23.878,6.917,1,7,o,0,1.61,40.63347,-0.96314,5802.2,2983.09,2.25,1.8,89.9,-0.411,19.63,21.0,01a58868o0157o
58868.271006,20.479,0.401,23,9,o,0,1.08,40.63347,-0.96314,5744.7,2906.41,2.25,1.76,89.2,-0.415,19.61,20.96,01a58868o0168o
58868.281198,-21.957,1.382,-6,8,o,0,1.34,40.63347,-0.96314,5726.5,3022.45,2.29,1.82,88.5,-0.407,19.6,20.99,01a58868o0190o
58870.264158,-22.754,3.273,-3,9,c,0,1.31,40.63347,-0.96314,4856.44,9555.01,2.49,2.39,76.6,-0.404,19.79,21.63,02a58870o0149c
58870.267407,-20.319,0.366,-27,10,c,0,1.16,40.63347,-0.96314,4837.13,9515.98,2.46,2.38,63.2,-0.403,19.79,21.64,02a58870o0156c
58870.272926,-21.786,1.333,-7,9,c,0,1.46,40.63347,-0.96314,4894.69,9594.41,2.49,2.4,75.9,-0.404,19.78,21.64,02a58870o0168c
58870.284069,22.896,3.632,2,9,c,0,1.35,40.63347,-0.96314,4915.23,9477.08,2.5,2.43,89.8,-0.4,19.79,21.65,02a58870o0192c
58872.296156,21.798,1.733,7,12,o,0,1.05,40.63347,-0.96314,5637.5,9240.72,2.31,1.82,-79.8,-0.43,19.59,20.63,01a58872o0218o
58872.299432,22.875,4.9,3,13,o,0,0.83,40.63347,-0.96314,5657.82,9278.69,2.19,1.79,-80.0,-0.429,19.59,20.6,01a58872o0225o
58872.305022,25.629,49.5,0,10,o,0,1.22,40.63347,-0.96314,5598.63,9202.43,2.37,1.93,-80.8,-0.44,19.49,20.59,01a58872o0237o
58872.316615,-22.6,3.406,-3,11,o,0,1.18,40.63347,-0.96314,5579.37,9319.1,2.37,1.99,-78.5,-0.427,19.45,20.5,01a58872o0262o
58874.301523,22.251,2.128,5,10,c,0,1.13,40.63347,-0.96314,4657.4,5669.32,2.31,2.26,76.3,-0.406,19.73,21.48,02a58874o0225c
58874.304826,-21.32,0.769,-11,8,c,0,1.0,40.63347,-0.96314,4638.36,5630.25,2.34,2.25,63.2,-0.406,19.73,21.49,02a58874o0232c
58874.31082,-23.169,5.267,-2,10,c,0,0.76,40.63347,-0.96314,4696.07,5707.59,2.45,2.38,74.1,-0.399,19.67,21.49,02a58874o0245c
58874.321065,-21.755,1.19,-7,9,c,0,1.29,40.63347,-0.96314,4718.37,5590.15,2.42,2.29,49.9,-0.395,19.71,21.47,02a58874o0267c
58876.245782,20.953,0.469,15,7,o,0,2.76,40.63347,-0.96314,5631.31,9241.59,2.13,1.79,-82.6,-0.438,19.75,20.99,01a58876o0105o
58876.249468,22.908,3.296,2,8,o,0,1.58,40.63347,-0.96314,5651.81,9280.07,2.2,1.85,-81.0,-0.433,19.7,21.01,01a58876o0113o
58876.25499,20.348,0.391,26,10,o,0,0.93,40.63347,-0.96314,5593.76,9202.24,2.17,1.83,-78.3,-0.438,19.73,21.03,01a58876o0125o
58876.266321,22.049,1.527,6,8,o,0,1.61,40.63347,-0.96314,5574.91,9320.11,2.31,1.95,-77.1,-0.434,19.66,21.03,01a58876o0149o
58880.269258,13.789,0.604,11074,6690,o,0,1.62,40.63347,-0.96314,1510.67,2711.4,1.91,1.83,56.9,-0.396,12.06,11.92,01a58880o0153o
58880.275862,15.757,0.923,1808,1668,o,0,1.04,40.63347,-0.96314,1450.84,2632.55,1.81,1.77,66.6,-0.45,14.27,14.07,01a58880o0167o
58880.286068,19.061,0.816,86,70,o,0,1.29,40.63347,-0.96314,1432.71,2749.4,2.17,1.79,79.0,-0.433,17.6,17.66,01a58880o0189o
58882.292595,-20.005,0.722,-36,26,o,0,0.67,40.63347,-0.96314,6089.1,3252.98,2.23,2.08,-55.2,-0.427,18.84,19.41,02a58882o0156o
58882.296291,-20.92,1.209,-16,19,o,0,1.1,40.63347,-0.96314,6071.55,3213.66,2.28,2.17,-59.4,-0.424,18.84,19.45,02a58882o0164o
58882.302249,-22.29,4.925,-4,22,o,0,0.76,40.63347,-0.96314,6130.05,3291.21,2.16,2.07,-61.5,-0.428,18.84,19.37,02a58882o0177o
58882.312205,24.053,21.125,1,18,o,0,1.21,40.63347,-0.96314,6152.01,3174.38,2.16,2.05,-56.6,-0.42,18.86,19.33,02a58882o0197o
58884.252275,-20.696,0.646,-19,12,o,0,1.69,40.63347,-0.96314,1487.05,2672.01,2.16,1.78,78.7,-0.427,19.12,19.66,01a58884o0019o
58884.257839,20.641,0.694,20,14,o,0,1.4,40.63347,-0.96314,1507.96,2709.81,2.25,1.79,78.6,-0.431,19.08,19.65,01a58884o0031o
58884.26154,20.046,0.387,35,14,o,0,1.49,40.63347,-0.96314,1449.43,2632.2,2.2,1.75,79.7,-0.434,19.1,19.64,01a58884o0039o
58884.272743,-21.934,3.094,-6,19,o,0,0.62,40.63347,-0.96314,1432.32,2748.06,2.37,1.85,79.6,-0.426,19.04,19.62,01a58884o0063o
58888.250738,20.105,0.773,33,26,o,0,1.42,40.63347,-0.96314,10315.77,6997.9,2.98,2.54,-80.2,-0.377,18.54,19.11,01a58888o0109o
58888.253967,20.17,0.935,31,29,o,0,0.94,40.63347,-0.96314,10335.84,7037.48,2.97,2.69,-76.5,-0.395,18.47,19.09,01a58888o0116o
58888.260468,-21.891,5.122,-6,33,o,0,1.43,40.63347,-0.96314,40.61,7089.03,3.06,2.53,79.7,-0.337,18.64,19.14,01a58888o0130o
58888.261392,-20.689,1.374,-19,26,o,0,1.55,40.63347,-0.96314,10275.24,6960.93,3.19,2.77,-84.8,-0.356,18.44,19.05,01a58888o0132o
58888.272116,19.704,0.542,48,26,o,0,1.46,40.63347,-0.96314,10257.17,7078.32,2.85,2.32,-86.4,-0.373,18.52,18.99,01a58888o0155o
58900.215233,20.55,1.353,22,30,o,0,0.75,40.63347,-0.96314,8359.46,7103.04,2.19,1.72,-88.1,-0.439,18.66,18.83,01a58900o0024o
58900.218457,-23.601,12.0,-1,16,o,0,0.72,40.63347,-0.96314,8378.97,7140.64,2.18,1.68,-86.3,-0.44,19.13,19.61,01a58900o0031o
58900.223984,21.921,1.945,6,12,o,0,0.92,40.63347,-0.96314,8319.58,7062.67,2.22,1.69,-86.2,-0.439,19.5,20.37,01a58900o0043o
58900.235545,0.0,21.266,0,11,o,0,1.07,40.63347,-0.96314,8300.97,7178.28,2.32,1.74,-85.0,-0.433,19.57,20.69,01a58900o0068o
58902.216268,-19.685,1.384,-48,67,c,0,1.24,40.63347,-0.96314,7326.63,1710.53,2.5,2.44,-75.8,-0.418,17.27,18.22,02a58902o0021c
58902.219077,-20.237,1.092,-29,32,c,0,1.8,40.63347,-0.96314,7308.7,1671.03,2.48,2.38,-69.2,-0.41,18.02,19.0,02a58902o0027c
58902.224626,21.109,1.087,13,14,c,0,1.28,40.63347,-0.96314,7368.87,1746.04,2.47,2.31,-64.8,-0.404,19.05,20.27,02a58902o0039c
58902.234891,-21.086,0.75,-13,10,c,0,1.54,40.63347,-0.96314,7389.93,1625.63,2.54,2.32,-57.3,-0.41,19.48,21.01,02a58902o0061c
58904.245759,-25.916,57.0,0,9,o,0,1.62,40.63347,-0.96314,7576.38,9146.04,2.12,1.69,-84.6,-0.393,19.55,20.52,01a58904o0067o
58904.249011,23.111,3.25,2,7,o,0,2.5,40.63347,-0.96314,7595.58,9185.44,2.1,1.62,-83.6,-0.394,19.57,20.52,01a58904o0074o
58904.254158,-21.902,1.961,-6,12,o,0,0.65,40.63347,-0.96314,7535.91,9107.88,2.14,1.78,-81.3,-0.387,19.48,20.51,01a58904o0085o
58904.264842,20.469,0.516,24,12,o,0,0.78,40.63347,-0.96314,7515.52,9226.84,2.15,1.74,-83.3,-0.398,19.5,20.49,01a58904o0108o
58906.23504,21.244,1.953,12,22,o,0,1.15,40.63347,-0.96314,7109.34,8000.19,3.34,3.21,-73.3,-0.43,18.77,20.03,02a58906o0055o
58906.237361,21.22,1.898,12,22,o,0,1.21,40.63347,-0.96314,7089.57,7962.12,3.23,3.03,-71.8,-0.412,18.82,20.07,02a58906o0060o
58906.243861,-21.006,1.456,-14,21,o,0,1.3,40.63347,-0.96314,7147.85,8038.06,3.14,3.1,-74.7,-0.454,18.88,20.1,02a58906o0074o
58906.254589,-19.434,0.353,-61,22,o,0,1.06,40.63347,-0.96314,7169.0,7920.71,3.44,3.29,-54.7,-0.407,18.76,20.08,02a58906o0097o
58914.240238,21.687,3.2,8,25,o,0,0.91,40.63347,-0.96314,8609.03,3644.8,2.59,2.39,-66.2,-0.402,18.68,19.33,02a58914o0052o
58914.242153,22.809,8.278,3,23,o,0,1.04,40.63347,-0.96314,8589.57,3605.41,2.59,2.36,-64.0,-0.401,18.65,19.32,02a58914o0056o
58914.247234,-20.471,1.142,-24,27,o,0,0.92,40.63347,-0.96314,8645.71,3684.81,2.71,2.58,-67.2,-0.406,18.62,19.28,02a58914o0067o
58914.256974,-20.825,1.388,-17,24,o,0,0.99,40.63347,-0.96314,8667.55,3565.57,2.49,2.21,-58.6,-0.406,18.67,19.21,02a58914o0088o
58920.223585,-20.312,1.269,-27,35,o,0,0.85,40.63347,-0.96314,9561.74,791.39,3.11,2.2,-6.1,-0.264,18.4,18.66,01a58920o0005o
58920.22637,19.717,0.372,47,18,o,0,1.2,40.63347,-0.96314,9581.52,831.05,3.01,2.19,-5.1,-0.278,18.74,19.37,01a58920o0011o
58920.23192,-22.056,3.438,-6,19,o,0,1.18,40.63347,-0.96314,9522.75,754.37,2.86,2.19,-8.3,-0.292,18.69,19.45,01a58920o0023o
58920.242562,21.506,1.653,9,15,o,0,1.36,40.63347,-0.96314,9502.24,876.32,2.6,2.07,-10.3,-0.321,19.03,19.84,01a58920o0046o
59036.591572,-24.507,33.4,-1,19,o,0,1.53,40.63347,-0.96314,9166.24,9868.83,2.34,2.16,20.6,-0.411,18.63,19.02,01a59036o0753o
59036.601753,-22.536,6.531,-4,23,o,0,0.71,40.63347,-0.96314,9149.96,9828.73,2.3,2.12,24.1,-0.411,18.76,19.11,01a59036o0775o
59036.608204,-21.429,2.62,-10,26,o,0,0.52,40.63347,-0.96314,9211.63,9907.88,2.14,2.02,39.9,-0.42,18.8,19.11,01a59036o0789o
59036.616506,20.416,1.128,25,28,o,0,1.04,40.63347,-0.96314,9232.0,9788.79,2.37,2.02,14.2,-0.407,18.55,18.69,01a59036o0807o
59038.589407,-21.221,1.551,-12,18,o,0,1.39,40.63347,-0.96314,9683.95,2768.44,2.27,2.08,-42.0,-0.433,18.88,19.42,02a59038o0747o
59038.599601,-22.729,6.792,-3,20,o,0,1.02,40.63347,-0.96314,9698.88,2808.14,2.26,2.14,-43.6,-0.438,18.92,19.51,02a59038o0768o
59038.611122,21.236,1.959,12,23,o,0,0.77,40.63347,-0.96314,9642.25,2730.76,2.25,2.11,-26.7,-0.429,18.85,19.42,02a59038o0793o
59038.615251,-25.52,93.0,0,21,o,0,1.01,40.63347,-0.96314,9621.69,2847.57,2.22,2.04,-51.4,-0.428,18.82,19.18,02a59038o0802o
59058.574145,23.289,5.667,2,10,c,0,1.3,40.63347,-0.96314,1600.24,4593.92,2.63,2.45,36.2,-0.401,19.52,21.42,02a59058o0712c
59058.577349,22.202,1.844,5,9,c,0,1.3,40.63347,-0.96314,1619.55,4632.75,2.68,2.47,36.2,-0.402,19.54,21.44,02a59058o0719c
59058.583338,-21.658,1.185,-8,9,c,0,0.96,40.63347,-0.96314,1561.47,4554.58,2.66,2.43,37.1,-0.397,19.55,21.47,02a59058o0732c
59058.602279,-24.016,9.5,-1,8,c,0,1.21,40.63347,-0.96314,1541.55,4670.73,2.71,2.52,43.2,-0.396,19.57,21.51,02a59058o0773c
59060.54522,-23.419,5.529,-2,9,o,0,1.4,40.63347,-0.96314,1081.89,1475.79,2.1,1.98,18.1,-0.42,19.68,21.06,01a59060o0662o
59060.547996,22.041,1.927,6,11,o,0,0.93,40.63347,-0.96314,1062.34,1436.69,2.29,2.02,5.4,-0.408,19.63,21.1,01a59060o0668o
59060.553999,21.864,1.224,6,8,o,0,1.81,40.63347,-0.96314,1122.07,1517.36,2.25,2.02,1.3,-0.404,19.65,21.13,01a59060o0681o
59060.564151,20.483,0.434,23,10,o,0,1.06,40.63347,-0.96314,1143.84,1403.78,2.28,2.04,-2.2,-0.406,19.62,21.16,01a59060o0703o
59062.548725,24.77,36.75,0,16,o,0,1.2,40.63347,-0.96314,1605.8,4591.54,2.33,1.93,31.0,-0.433,18.96,19.55,02a59062o0669o
