MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59723.517783,-22.173,2.279,-5,11,o,0,1.38,266.89827,66.65207,4271.45,8420.79,2.32,1.91,24.1,-0.424,19.47,20.58,02a59723o0608o
59723.533485,-20.912,0.761,-16,12,o,0,1.62,266.89827,66.65207,4246.23,8381.37,2.69,2.02,25.8,-0.39,19.39,20.51,02a59723o0641o
59723.562069,20.771,0.765,18,14,o,0,1.17,266.89827,66.65207,4293.05,8454.6,2.32,1.94,26.8,-0.422,19.44,20.5,02a59723o0703o
59723.587,-21.002,0.925,-14,13,o,0,1.35,266.89827,66.65207,4306.91,8339.4,2.65,2.05,28.5,-0.393,19.34,20.43,02a59723o0756o
59725.444247,21.05,1.303,14,18,o,0,0.94,266.89827,66.65207,2536.92,8649.79,2.99,2.9,-62.2,-0.44,19.11,20.39,01a59725o0460o
59725.446087,-21.767,2.529,-7,18,o,0,1.2,266.89827,66.65207,2518.92,8612.01,3.01,2.9,-67.6,-0.436,19.09,20.34,01a59725o0464o
59725.448852,20.508,0.771,23,18,o,0,1.03,266.89827,66.65207,2574.32,8685.74,3.06,2.97,-71.6,-0.433,19.06,20.36,01a59725o0470o
59725.461309,22.547,4.75,4,16,o,0,1.11,266.89827,66.65207,2590.99,8569.39,3.08,2.97,-78.4,-0.428,19.04,20.41,01a59725o0496o
59727.450562,-21.126,1.209,-13,16,c,0,1.11,266.89827,66.65207,6329.77,2166.36,2.51,2.34,63.8,-0.403,19.11,20.57,02a59727o0465c
59727.45239,-21.007,0.835,-14,12,c,0,1.59,266.89827,66.65207,6342.97,2206.98,2.57,2.35,57.0,-0.399,19.18,20.66,02a59727o0469c
59727.456066,20.652,0.685,20,14,c,0,0.9,266.89827,66.65207,6293.83,2128.17,2.49,2.34,64.8,-0.403,19.19,20.62,02a59727o0477c
59727.461554,21.056,2.765,14,38,c,0,0.99,266.89827,66.65207,6276.71,2248.3,2.57,2.36,57.9,-0.403,18.29,19.74,02a59727o0489c
59729.46052,19.925,0.655,39,26,o,0,1.39,266.89827,66.65207,8944.81,6601.58,3.47,2.87,35.1,-0.373,18.74,20.2,01a59729o0478o
59729.464219,-23.683,27.5,-1,34,o,0,1.21,266.89827,66.65207,8924.78,6560.43,4.25,3.33,35.9,-0.26,18.14,19.73,01a59729o0486o
59729.469756,19.038,0.73,88,64,o,0,1.34,266.89827,66.65207,8981.7,6639.71,3.22,2.81,35.8,-0.405,17.33,18.65,01a59729o0498o
59729.47485,20.477,1.711,23,40,o,0,1.15,266.89827,66.65207,8995.86,6523.67,2.9,2.8,-68.1,-0.455,18.24,19.54,01a59729o0509o
59729.494371,20.76,1.243,18,22,o,0,0.73,266.89827,66.65207,10481.24,3502.11,3.52,2.91,13.2,-0.4,18.96,20.52,01a59729o0551o
59729.498063,-21.688,2.139,-8,16,o,0,1.35,266.89827,66.65207,10502.5,3538.15,2.94,2.83,-11.1,-0.471,19.21,20.59,01a59729o0559o
59729.503589,22.065,2.769,5,15,o,0,1.52,266.89827,66.65207,10447.84,3469.68,2.99,2.81,4.6,-0.466,19.22,20.7,01a59729o0571o
59729.537632,-21.53,1.55,-9,14,o,0,1.76,266.89827,66.65207,10439.26,3591.83,3.03,2.94,-37.2,-0.464,19.21,20.62,01a59729o0644o
59731.48063,-22.482,3.143,-4,12,c,0,1.16,266.89827,66.65207,3962.36,2131.06,2.77,2.58,43.9,-0.402,19.43,21.2,02a59731o0363c
59731.483827,20.64,0.573,20,12,c,0,0.87,266.89827,66.65207,3940.37,2089.42,2.77,2.54,42.6,-0.395,19.42,21.2,02a59731o0370c
59731.516585,20.9,0.768,16,12,c,0,1.13,266.89827,66.65207,3999.11,2162.07,3.24,2.95,42.9,-0.381,19.27,21.15,02a59731o0441c
