MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59723.521998,-20.25,0.479,-29,14,o,0,1.47,270.78174,16.4319,8169.27,7752.83,3.02,2.91,-64.9,-0.446,19.3,20.71,01a59723o0615o
59723.525298,-20.958,1.041,-15,16,o,0,1.11,270.78174,16.4319,8190.78,7791.44,3.01,2.92,-67.3,-0.445,19.29,20.74,01a59723o0622o
59723.530413,-19.79,0.317,-44,14,o,0,1.26,270.78174,16.4319,8131.38,7715.37,3.01,2.91,-72.3,-0.445,19.28,20.78,01a59723o0633o
59723.550527,-20.683,0.762,-19,15,o,0,1.47,270.78174,16.4319,8122.39,7833.35,2.94,2.8,-72.3,-0.454,19.34,20.77,01a59723o0675o
59724.537338,19.958,0.33,38,12,o,0,1.83,270.78174,16.4319,8175.01,7751.9,2.9,2.85,70.7,-0.449,19.31,20.65,01a59724o0646o
59724.541109,-21.616,1.791,-8,15,o,0,1.37,270.78174,16.4319,8196.07,7790.94,2.89,2.84,76.9,-0.453,19.27,20.61,01a59724o0654o
59724.568381,21.188,1.065,12,13,o,0,1.92,270.78174,16.4319,8141.19,7717.77,2.94,2.86,83.8,-0.448,19.35,20.76,01a59724o0708o
59724.578658,-19.825,0.301,-43,13,o,0,1.8,270.78174,16.4319,8126.55,7834.75,2.97,2.86,84.5,-0.443,19.3,20.74,01a59724o0727o
59725.522747,23.792,10.143,1,11,c,0,1.01,270.78174,16.4319,4388.07,2654.57,2.77,2.44,20.8,-0.399,19.46,21.13,02a59725o0608c
59725.525945,-21.474,0.917,-9,9,c,0,1.62,270.78174,16.4319,4369.85,2616.81,2.74,2.42,18.9,-0.403,19.49,21.16,02a59725o0615c
59725.544948,21.217,0.783,12,9,c,0,1.3,270.78174,16.4319,4425.77,2694.22,2.57,2.33,45.6,-0.416,19.57,21.19,02a59725o0655c
59725.550752,20.791,0.569,18,10,c,0,1.66,270.78174,16.4319,4445.55,2577.67,2.61,2.42,47.2,-0.415,19.52,21.2,02a59725o0667c
59726.525468,-23.528,6.2,-1,9,c,0,2.06,270.78174,16.4319,4388.98,2654.77,2.55,2.31,43.8,-0.417,19.65,21.44,02a59726o0616c
59726.553404,-22.428,2.037,-4,8,c,0,1.7,270.78174,16.4319,4367.77,2616.78,2.57,2.35,48.9,-0.412,19.64,21.42,02a59726o0671c
59726.557358,-20.303,0.361,-28,10,c,0,0.99,270.78174,16.4319,4426.82,2695.45,2.56,2.34,46.6,-0.416,19.63,21.44,02a59726o0679c
59726.562483,26.003,55.0,0,8,c,0,2.35,270.78174,16.4319,4445.94,2579.57,2.58,2.33,47.1,-0.414,19.66,21.41,02a59726o0690c
59727.448603,-20.849,0.91,-17,15,o,0,1.31,270.78174,16.4319,2374.33,2797.54,2.57,2.48,2.2,-0.497,19.25,20.82,01a59727o0378o
59727.451823,-20.001,0.324,-36,12,o,0,2.23,270.78174,16.4319,2353.25,2758.47,2.64,2.5,-45.3,-0.494,19.38,20.82,01a59727o0385o
59727.477512,20.947,0.874,15,13,o,0,1.67,270.78174,16.4319,2414.07,2831.72,2.63,2.61,54.6,-0.482,19.28,20.75,01a59727o0434o
59727.48177,23.37,11.429,2,19,o,0,1.63,270.78174,16.4319,2431.05,2713.21,2.77,2.72,-53.7,-0.476,19.06,20.53,01a59727o0443o
