MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59728.566822,21.533,6.636,9,59,c,0,1.14,316.25747,8.2739,7203.72,3396.8,2.6,2.29,35.2,-0.395,17.55,19.1,02a59728o0709c
59728.570484,18.342,0.534,167,89,c,0,1.21,316.25747,8.2739,7225.42,3435.58,2.7,2.45,39.4,-0.392,17.09,18.62,02a59728o0717c
59728.576435,-19.212,1.167,-75,88,c,0,1.16,316.25747,8.2739,7170.92,3357.25,2.64,2.29,35.7,-0.396,17.41,18.93,02a59728o0730c
59728.5998,-20.893,1.2,-16,19,c,0,1.04,316.25747,8.2739,7155.63,3473.61,2.62,2.34,34.9,-0.4,18.81,20.37,02a59728o0780c
59730.528871,-20.446,0.657,-24,16,o,0,1.4,316.25747,8.2739,1330.32,5425.14,3.26,3.0,-41.8,-0.447,18.97,20.26,01a59730o0635o
59730.548728,-20.496,0.702,-23,16,o,0,1.03,316.25747,8.2739,1311.8,5385.93,2.88,2.65,-40.6,-0.483,19.16,20.33,01a59730o0678o
59730.553827,-23.994,16.2,-1,15,o,0,1.24,316.25747,8.2739,1372.81,5461.5,2.82,2.72,-44.1,-0.474,19.1,20.36,01a59730o0689o
59730.563521,-20.471,0.612,-24,14,o,0,1.38,316.25747,8.2739,1390.37,5342.51,3.08,2.78,-27.7,-0.462,19.12,20.44,01a59730o0709o
59730.592856,21.206,0.733,12,9,c,0,1.52,316.25747,8.2739,6973.6,9702.23,2.74,2.49,34.3,-0.395,19.61,21.29,02a59730o0757c
59730.602742,-21.187,0.918,-12,11,c,0,1.08,316.25747,8.2739,6995.28,9741.41,2.79,2.55,31.1,-0.4,19.54,21.24,02a59730o0777c
59730.605798,21.648,1.673,8,13,c,0,0.82,316.25747,8.2739,6936.66,9663.81,2.75,2.52,33.5,-0.396,19.53,21.16,02a59730o0782c
59730.612499,20.569,0.675,22,14,c,0,1.07,316.25747,8.2739,6914.47,9783.81,2.88,2.57,34.9,-0.383,19.28,20.6,02a59730o0794c
59732.51352,20.58,0.553,21,12,c,0,0.87,316.25747,8.2739,6968.76,9699.5,2.75,2.47,23.9,-0.392,19.48,21.08,02a59732o0594c
59732.516753,20.359,0.465,26,12,c,0,0.98,316.25747,8.2739,6988.56,9739.29,2.64,2.43,26.2,-0.401,19.54,21.11,02a59732o0601c
59732.528984,21.286,1.0,11,11,c,0,1.01,316.25747,8.2739,6924.49,9663.88,2.78,2.53,21.9,-0.394,19.57,21.25,02a59732o0627c
59732.537725,-23.458,7.1,-2,11,c,0,0.9,316.25747,8.2739,6908.62,9778.47,2.58,2.45,27.9,-0.405,19.61,21.3,02a59732o0646c
59734.404556,21.324,1.976,11,21,o,0,1.27,316.25747,8.2739,1312.48,5432.53,3.35,2.87,-45.4,-0.465,18.83,20.0,01a59734o0368o
59734.408732,-20.651,1.063,-20,21,o,0,1.0,316.25747,8.2739,1291.23,5395.05,2.84,2.65,-44.2,-0.492,18.93,20.06,01a59734o0377o
59734.444296,21.354,1.407,10,15,o,0,1.3,316.25747,8.2739,1355.63,5464.56,2.91,2.54,-48.5,-0.507,19.18,20.39,01a59734o0453o
