MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59100.611061,-22.603,4.957,-3,16,o,0,0.85,84.82241,63.64175,3281.04,5724.86,2.68,2.24,43.1,-0.39,19.11,20.06,02a59100o0788o
59100.623404,21.467,1.681,9,16,o,0,1.21,84.82241,63.64175,3300.95,5761.09,2.48,2.19,47.4,-0.401,19.18,20.07,02a59100o0814o
59100.628901,23.011,7.8,2,18,o,0,1.23,84.82241,63.64175,3244.09,5681.16,2.65,2.39,45.8,-0.393,18.99,19.96,02a59100o0826o
59100.640012,-20.451,1.608,-24,39,o,0,1.36,84.82241,63.64175,3223.33,5798.48,2.97,2.36,43.4,-0.373,18.09,18.24,02a59100o0849o
59104.576919,21.875,2.087,6,14,o,0,1.11,84.82241,63.64175,3276.13,5718.61,2.84,2.06,40.4,-0.407,19.35,20.58,02a59104o0779o
59104.582011,21.425,1.422,10,14,o,0,0.67,84.82241,63.64175,3303.7,5758.89,2.36,2.03,48.6,-0.425,19.38,20.58,02a59104o0790o
59104.585231,21.051,0.885,14,12,o,0,1.3,84.82241,63.64175,3244.77,5677.4,2.52,1.98,42.0,-0.421,19.41,20.59,02a59104o0797o
59104.597659,22.817,5.217,3,14,o,0,0.82,84.82241,63.64175,3225.79,5794.18,2.3,2.06,53.1,-0.434,19.4,20.66,02a59104o0824o
59106.616058,-21.303,0.835,-11,9,o,0,1.22,84.82241,63.64175,3784.79,4520.79,1.96,1.86,-1.6,-0.412,19.76,21.02,01a59106o0877o
59106.62201,21.332,1.01,11,11,o,0,0.8,84.82241,63.64175,3767.36,4482.29,2.51,2.13,2.2,-0.37,19.58,21.0,01a59106o0889o
59106.626127,-21.809,1.157,-7,8,o,0,1.59,84.82241,63.64175,3822.47,4559.28,2.07,1.87,1.7,-0.406,19.69,20.92,01a59106o0897o
59106.636738,-20.474,0.891,-24,21,o,0,0.71,84.82241,63.64175,3838.92,4444.68,2.01,1.86,-5.5,-0.409,18.96,19.36,01a59106o0920o
59108.545829,-20.878,0.724,-16,12,c,0,1.4,84.82241,63.64175,8632.0,9575.06,3.05,2.58,-49.5,-0.391,19.63,21.53,02a59108o0706c
59108.549968,-21.203,1.0,-12,12,c,0,1.24,84.82241,63.64175,8661.26,9614.1,2.97,2.59,-48.9,-0.387,19.64,21.55,02a59108o0715c
59108.559756,21.443,1.302,10,12,c,0,1.0,84.82241,63.64175,8602.24,9537.75,2.77,2.65,-45.6,-0.388,19.58,21.49,02a59108o0735c
59108.569841,22.25,2.846,5,13,c,0,0.79,84.82241,63.64175,8580.8,9656.97,2.78,2.65,-52.4,-0.39,19.63,21.5,02a59108o0757c
59110.571071,-20.237,0.546,-29,16,o,0,0.6,84.82241,63.64175,3793.04,4513.45,2.06,1.9,-8.6,-0.396,19.19,20.24,01a59110o0786o
59110.57431,23.243,9.529,2,18,o,0,0.75,84.82241,63.64175,3772.43,4476.86,1.96,1.88,-1.2,-0.406,19.31,20.34,01a59110o0793o
59110.584472,-21.794,1.867,-7,13,o,0,1.09,84.82241,63.64175,3829.76,4555.05,2.11,1.95,0.6,-0.398,19.23,20.32,01a59110o0815o
59110.59002,-22.317,3.452,-4,15,o,0,1.29,84.82241,63.64175,3848.46,4440.05,2.09,1.95,-0.2,-0.4,19.08,20.14,01a59110o0827o
59114.604043,-21.625,1.059,-8,9,o,0,1.78,84.82241,63.64175,8178.05,8945.23,2.01,1.86,33.7,-0.391,19.63,20.77,01a59114o0843o
59114.624394,-22.937,5.08,-2,12,o,0,1.02,84.82241,63.64175,8155.19,8907.02,2.26,2.03,16.9,-0.387,19.58,20.79,01a59114o0886o
59114.629501,20.13,0.326,32,10,o,0,1.09,84.82241,63.64175,8209.8,8987.87,2.07,2.05,80.1,-0.391,19.54,20.69,01a59114o0897o
59114.636014,21.34,1.342,11,14,o,0,1.02,84.82241,63.64175,8226.55,8871.58,2.15,2.1,54.7,-0.383,19.33,20.14,01a59114o0911o
59122.600786,19.339,0.249,67,17,o,0,1.24,84.82241,63.64175,3904.23,2687.51,2.21,2.09,1.8,-0.411,19.0,19.53,01a59122o0827o
59122.604475,19.167,0.238,78,19,o,0,1.28,84.82241,63.64175,3883.19,2649.14,2.31,2.13,-7.1,-0.406,19.0,19.55,01a59122o0835o
59122.608621,19.141,0.288,80,23,o,0,0.6,84.82241,63.64175,3942.1,2727.06,2.43,2.22,-4.9,-0.393,18.92,19.59,01a59122o0844o
59122.626902,19.187,0.215,77,16,o,0,1.06,84.82241,63.64175,6566.65,7938.26,2.57,2.16,4.6,-0.35,19.05,19.75,01a59122o0883o
59126.523155,18.044,0.095,220,21,o,0,1.16,84.82241,63.64175,3927.64,2675.89,2.22,2.14,-4.6,-0.413,18.97,19.45,01a59126o0699o
59126.525,18.069,0.086,215,18,o,0,1.57,84.82241,63.64175,3908.47,2635.66,2.21,2.12,-7.4,-0.412,18.97,19.46,01a59126o0703o
59126.528698,18.005,0.091,228,21,o,0,1.11,84.82241,63.64175,3968.23,2712.79,2.2,2.13,2.1,-0.409,18.98,19.48,01a59126o0711o
59126.53425,18.189,0.089,192,17,o,0,1.49,84.82241,63.64175,3987.09,2596.42,2.19,2.04,-5.1,-0.413,19.03,19.49,01a59126o0723o
59130.590587,17.738,0.053,292,15,o,0,1.28,84.82241,63.64175,6134.53,726.14,2.37,2.08,-3.4,-0.406,19.29,20.09,01a59130o0855o
59130.592889,17.677,0.056,308,17,o,0,0.73,84.82241,63.64175,6111.6,687.7,2.22,2.04,-3.9,-0.414,19.34,20.09,01a59130o0860o
59130.595654,17.751,0.061,288,18,o,0,0.85,84.82241,63.64175,6174.93,765.84,2.32,2.04,-7.0,-0.404,19.3,20.09,01a59130o0866o
59130.607168,17.742,0.053,291,15,o,0,1.58,84.82241,63.64175,6193.1,649.6,2.45,2.1,-7.0,-0.398,19.3,20.1,01a59130o0891o
59132.562875,17.646,0.049,317,16,o,0,1.23,84.82241,63.64175,8849.53,4027.0,2.24,2.1,52.7,-0.414,19.38,20.34,02a59132o0790o
59132.566074,17.694,0.042,304,13,o,0,1.51,84.82241,63.64175,8868.06,4065.33,2.36,2.1,44.3,-0.411,19.32,20.32,02a59132o0797o
59132.568818,17.739,0.051,291,15,o,0,1.72,84.82241,63.64175,8810.64,3992.87,2.33,2.05,42.7,-0.411,19.34,20.28,02a59132o0803o
59132.573852,17.787,0.048,279,13,o,0,1.17,84.82241,63.64175,8791.49,4110.79,2.38,2.06,43.2,-0.407,19.3,20.29,02a59132o0814o
59134.610898,15.685,0.394,1931,760,o,0,1.14,84.82241,63.64175,6119.78,729.11,2.14,1.9,-25.2,-0.396,16.49,17.42,01a59134o0784o
59134.629163,16.166,1.352,1241,1678,o,0,0.97,84.82241,63.64175,4453.24,9879.19,1.86,1.77,-23.6,-0.423,16.35,17.44,01a59134o0822o
59134.632009,-16.076,0.674,-1348,908,o,0,1.14,84.82241,63.64175,4390.35,9803.93,1.97,1.81,-13.4,-0.407,16.34,17.08,01a59134o0828o
59136.5584,17.763,0.04,285,12,c,0,1.1,84.82241,63.64175,8845.13,4028.78,2.55,2.43,73.0,-0.384,19.62,21.44,02a59136o0801c
59136.561223,17.648,0.037,317,12,c,0,1.14,84.82241,63.64175,8863.1,4068.21,2.52,2.4,-86.0,-0.387,19.63,21.44,02a59136o0807c
59136.563969,17.615,0.038,326,12,c,0,1.04,84.82241,63.64175,8808.71,3992.59,2.55,2.4,-73.1,-0.389,19.66,21.43,02a59136o0813c
59136.573991,17.605,0.033,330,11,c,0,1.34,84.82241,63.64175,8789.91,4112.29,2.54,2.46,83.9,-0.385,19.67,21.44,02a59136o0834c
59138.557237,17.598,0.104,332,35,o,0,1.66,84.82241,63.64175,8265.06,696.76,2.22,2.0,-16.3,-0.394,18.48,19.76,01a59138o0724o
59138.559078,17.668,0.065,311,20,o,0,0.84,84.82241,63.64175,8242.67,656.89,2.25,2.01,-18.2,-0.385,19.68,21.1,01a59138o0728o
59138.562305,17.725,0.042,295,12,o,0,0.85,84.82241,63.64175,8303.9,739.26,2.23,2.1,-41.9,-0.407,19.71,21.14,01a59138o0735o
59138.56739,17.677,0.043,309,13,o,0,1.0,84.82241,63.64175,8324.57,622.84,2.16,1.96,-17.1,-0.399,19.75,21.14,01a59138o0746o
59140.470388,17.605,0.247,330,81,c,0,0.63,84.82241,63.64175,8681.73,7711.11,2.92,2.57,47.9,-0.38,17.67,19.3,02a59140o0606c
59140.474522,17.647,0.048,317,15,c,0,0.97,84.82241,63.64175,8708.78,7751.43,2.7,2.59,61.4,-0.396,19.39,21.22,02a59140o0615c
59140.480476,17.632,0.043,321,14,c,0,0.76,84.82241,63.64175,8647.96,7675.6,2.83,2.52,45.4,-0.386,19.5,21.35,02a59140o0628c
59140.490567,17.935,0.25,243,61,c,0,1.32,84.82241,63.64175,8625.13,7796.25,3.26,2.59,40.0,-0.363,17.42,19.19,02a59140o0650c
59142.497703,17.974,0.057,234,13,o,0,0.82,84.82241,63.64175,8286.87,703.29,2.41,2.09,-10.0,-0.379,19.55,20.84,01a59142o0663o
59142.500938,17.891,0.054,253,14,o,0,0.89,84.82241,63.64175,8263.73,662.64,2.25,2.07,-20.8,-0.396,19.63,20.85,01a59142o0670o
