MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59096.366716,20.53,0.832,22,18,o,0,2.48,337.2122,44.63482,3290.39,3827.05,2.44,1.92,43.5,-0.46,19.03,19.71,02a59096o0322o
59096.369953,-21.327,1.839,-11,20,o,0,2.44,337.2122,44.63482,3316.83,3865.05,2.41,1.93,46.9,-0.456,19.08,19.71,02a59096o0329o
59096.375083,20.403,0.711,25,18,o,0,2.93,337.2122,44.63482,3260.12,3785.94,2.31,1.91,44.8,-0.458,19.07,19.72,02a59096o0340o
59096.385288,-20.134,0.606,-32,19,o,0,1.48,337.2122,44.63482,3243.04,3902.67,2.39,1.93,43.8,-0.461,19.04,19.71,02a59096o0362o
59098.406102,20.375,0.659,26,17,o,0,4.19,337.2122,44.63482,10409.29,10190.68,2.22,1.93,24.1,-0.474,19.24,20.06,01a59098o0414o
59098.407481,19.149,0.255,80,20,o,0,3.92,337.2122,44.63482,7560.82,86.14,2.18,2.04,-33.5,-0.404,19.39,20.08,01a59098o0417o
59098.409321,-23.178,9.524,-2,18,o,0,2.22,337.2122,44.63482,10432.71,10229.25,2.19,1.9,28.9,-0.449,19.28,20.01,01a59098o0421o
59098.410703,20.036,0.504,35,18,o,0,5.48,337.2122,44.63482,7580.57,124.85,2.17,2.03,-17.7,-0.398,19.36,20.03,01a59098o0424o
59098.415374,-22.701,4.943,-3,15,o,0,5.23,337.2122,44.63482,10371.02,10152.49,2.07,1.88,42.7,-0.439,19.28,19.97,01a59098o0434o
59098.416295,19.889,0.571,40,23,o,0,6.22,337.2122,44.63482,7527.08,47.63,2.15,2.0,-25.1,-0.404,19.28,19.97,01a59098o0436o
59098.419059,20.939,1.364,15,21,o,0,4.09,337.2122,44.63482,190.42,10309.78,1.88,1.63,-66.7,-0.496,19.28,19.96,01a59098o0442o
59098.450284,22.583,5.5,3,18,o,0,3.27,337.2122,44.63482,10361.63,10265.07,2.24,1.97,22.3,-0.451,19.2,20.03,01a59098o0509o
59098.450745,-20.011,0.443,-36,16,o,0,2.07,337.2122,44.63482,7517.02,159.29,2.26,2.04,-26.2,-0.402,19.25,19.99,01a59098o0510o
