MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59109.294782,-20.852,0.49,-17,8,o,0,1.59,278.5405,25.78585,9322.26,8184.93,1.98,1.91,50.9,-0.404,19.83,21.11,01a59109o0183o
59111.286207,18.692,0.657,121,80,c,0,1.14,278.5405,25.78585,9719.57,9022.18,2.8,2.66,-58.4,-0.364,17.27,18.74,02a59111o0158c
59111.289407,-18.711,1.145,-119,136,c,0,1.03,278.5405,25.78585,9700.07,8982.17,2.9,2.79,-62.3,-0.35,16.68,18.14,02a59111o0165c
59111.297255,-15.707,0.606,-1893,1148,c,0,1.1,278.5405,25.78585,9759.95,9064.81,2.76,2.7,-63.2,-0.507,14.44,15.76,02a59111o0182c
59113.283546,-20.519,0.541,-22,12,o,0,0.88,278.5405,25.78585,7317.93,3790.99,2.02,1.9,-48.2,-0.399,19.49,20.63,01a59113o0171o
59113.287229,-23.458,9.062,-2,14,o,0,0.63,278.5405,25.78585,7337.16,3829.97,2.02,1.9,-45.0,-0.403,19.52,20.65,01a59113o0179o
59113.296059,-21.259,1.123,-11,13,o,0,0.65,278.5405,25.78585,7279.8,3753.81,2.15,1.91,-20.3,-0.399,19.54,20.74,01a59113o0198o
59113.306787,22.266,3.972,4,18,o,0,0.42,278.5405,25.78585,7261.53,3871.01,2.0,1.89,-54.7,-0.406,19.21,20.4,01a59113o0221o
59115.378006,20.893,0.748,16,12,c,0,0.91,278.5405,25.78585,7785.38,4621.36,2.62,2.36,35.9,-0.378,19.44,21.1,02a59115o0342c
59115.38168,21.444,1.092,10,10,c,0,1.35,278.5405,25.78585,7765.77,4581.98,2.65,2.39,36.2,-0.379,19.46,21.13,02a59115o0350c
59115.389047,21.052,1.035,14,14,c,0,0.75,278.5405,25.78585,7823.68,4659.58,2.78,2.49,37.1,-0.366,19.37,21.1,02a59115o0366c
59115.401948,20.881,0.901,16,14,c,0,0.96,278.5405,25.78585,7842.25,4543.81,2.65,2.5,31.6,-0.376,19.33,20.98,02a59115o0394c
59117.240767,0.0,21.239,0,12,o,0,1.01,278.5405,25.78585,7306.85,3787.51,2.31,2.17,-45.4,-0.395,19.33,20.25,01a59117o0085o
59117.243998,-21.748,1.803,-7,13,o,0,1.1,278.5405,25.78585,7327.51,3825.86,2.3,2.16,-68.2,-0.399,19.35,20.26,01a59117o0092o
59117.249547,21.653,1.797,8,14,o,0,1.26,278.5405,25.78585,7268.5,3749.31,2.4,2.37,-59.1,-0.392,19.16,20.65,01a59117o0104o
59117.259451,19.791,0.329,44,14,o,0,0.89,278.5405,25.78585,7252.77,3866.47,2.34,2.24,-53.3,-0.393,19.33,20.22,01a59117o0125o
59119.235489,-20.95,0.974,-15,15,o,0,1.24,278.5405,25.78585,7805.71,4622.31,2.12,1.95,48.8,-0.435,19.28,20.01,02a59119o0075o
59119.239613,-23.712,16.083,-1,19,o,0,0.75,278.5405,25.78585,7786.28,4582.37,2.16,1.91,45.5,-0.437,19.26,19.99,02a59119o0084o
59119.246994,-20.787,1.0,-18,18,o,0,0.73,278.5405,25.78585,7843.59,4660.8,2.19,1.97,44.0,-0.433,19.25,19.97,02a59119o0100o
59119.260362,-21.746,2.278,-7,17,o,0,0.65,278.5405,25.78585,7863.38,4542.72,2.15,1.95,45.7,-0.432,19.24,19.94,02a59119o0129o
59121.29877,20.679,0.829,19,16,o,0,0.95,278.5405,25.78585,1265.25,10041.01,1.82,1.59,-65.7,-0.45,19.25,19.66,01a59121o0191o
59121.302917,21.056,1.124,14,15,o,0,1.15,278.5405,25.78585,1284.82,10079.39,1.84,1.61,-67.6,-0.455,19.17,19.64,01a59121o0200o
59121.313075,21.082,1.389,13,19,o,0,0.76,278.5405,25.78585,1222.75,10001.73,1.82,1.59,-67.2,-0.452,19.19,19.6,01a59121o0222o
59121.321383,21.102,1.508,13,20,o,0,1.11,278.5405,25.78585,1201.07,10118.34,1.88,1.64,-67.9,-0.447,19.12,19.54,01a59121o0240o
59123.284844,19.997,0.599,36,22,o,0,1.16,278.5405,25.78585,1127.13,450.93,2.21,1.8,-56.8,-0.497,18.88,19.3,02a59123o0188o
59123.288991,-20.928,1.355,-15,21,o,0,1.02,278.5405,25.78585,1106.13,414.0,2.21,1.75,-53.8,-0.5,18.88,19.28,02a59123o0197o
