MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59110.551111,21.135,0.852,13,11,c,0,1.09,75.04942,6.05477,7367.1,9323.51,2.68,2.46,42.2,-0.398,19.63,21.45,02a59110o0735c
59110.555749,-21.75,1.673,-7,12,c,0,1.08,75.04942,6.05477,7385.9,9362.92,2.74,2.46,39.6,-0.393,19.61,21.43,02a59110o0745c
59110.561513,-22.486,2.692,-4,10,c,0,0.83,75.04942,6.05477,7329.28,9284.59,2.69,2.4,42.8,-0.396,19.61,21.46,02a59110o0757c
59110.574453,21.463,1.197,9,11,c,0,0.96,75.04942,6.05477,7310.87,9402.5,2.67,2.4,39.6,-0.403,19.61,21.44,02a59110o0785c
59112.550091,20.05,0.392,35,14,o,0,0.98,75.04942,6.05477,6814.7,9202.24,1.96,1.82,-4.0,-0.389,19.53,20.55,01a59112o0742o
59112.553355,21.201,1.0,12,12,o,0,0.82,75.04942,6.05477,6795.51,9163.56,1.95,1.84,-6.5,-0.384,19.57,20.55,01a59112o0749o
59112.556114,22.357,3.021,4,12,o,0,0.95,75.04942,6.05477,6854.78,9242.05,2.06,1.86,-1.9,-0.384,19.52,20.57,01a59112o0755o
59112.5681,-21.972,2.232,-6,13,o,0,0.6,75.04942,6.05477,6877.47,9126.24,2.05,1.89,0.6,-0.389,19.56,20.68,01a59112o0781o
59114.539146,-21.166,1.0,-12,12,c,0,1.34,75.04942,6.05477,7084.77,3507.83,2.63,2.47,42.9,-0.387,19.54,21.4,02a59114o0713c
59114.545211,22.018,2.119,6,12,c,0,0.7,75.04942,6.05477,7111.31,3543.38,2.53,2.4,48.1,-0.391,19.57,21.42,02a59114o0726c
59114.547512,-22.143,2.111,-5,11,c,0,1.93,75.04942,6.05477,7048.88,3468.04,2.62,2.41,43.5,-0.387,19.59,21.42,02a59114o0731c
59114.560492,-20.854,0.83,-16,14,c,0,0.88,75.04942,6.05477,7032.23,3584.78,2.59,2.41,36.3,-0.389,19.32,21.1,02a59114o0759c
59120.554601,21.56,1.973,9,17,o,0,0.83,75.04942,6.05477,7174.73,3004.9,2.4,2.27,-73.5,-0.393,19.25,20.15,01a59120o0758o
59120.557379,21.227,1.217,12,14,o,0,0.67,75.04942,6.05477,7155.47,2966.52,2.35,2.24,-50.1,-0.391,19.34,20.23,01a59120o0764o
59120.563849,-22.551,4.265,-4,15,o,0,0.6,75.04942,6.05477,7214.31,3044.68,2.27,2.16,-48.5,-0.393,19.45,20.39,01a59120o0778o
59120.568919,22.138,2.431,5,12,o,0,1.01,75.04942,6.05477,7234.12,2928.48,2.24,2.12,-26.1,-0.397,19.48,20.52,01a59120o0789o
59121.595143,-21.53,1.649,-9,15,o,0,0.6,75.04942,6.05477,7175.6,3000.77,2.16,2.09,-33.4,-0.408,19.37,20.09,01a59121o0809o
59121.63067,20.193,0.39,30,12,o,0,0.68,75.04942,6.05477,7154.41,2961.04,2.08,1.96,-51.8,-0.407,19.61,20.5,01a59121o0879o
