MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59111.387509,-19.853,0.446,-42,18,c,0,1.25,60.31726,31.73419,2683.88,10428.01,3.23,2.7,-49.2,-0.385,18.99,20.77,02a59111o0374c
59111.461939,-15.889,0.846,-1600,1354,c,0,0.85,60.31726,31.73419,2648.25,10385.22,2.79,2.59,-47.1,-0.382,16.57,18.28,02a59111o0521c
59111.541821,-16.138,0.803,-1272,1022,c,0,0.95,60.31726,31.73419,7761.94,230.1,2.61,2.32,-60.0,-0.382,14.9,16.44,02a59111o0682c
59111.543652,-19.037,2.304,-88,203,c,0,1.57,60.31726,31.73419,7780.56,269.31,2.54,2.21,-57.0,-0.442,16.79,18.33,02a59111o0686c
59111.553694,23.332,13.667,2,23,c,0,1.19,60.31726,31.73419,7720.01,195.01,2.64,2.38,-56.1,-0.409,18.75,20.46,02a59111o0705c
59111.556947,-20.116,0.838,-33,27,c,0,1.23,60.31726,31.73419,7700.44,315.12,2.63,2.34,-53.8,-0.411,18.7,20.36,02a59111o0712c
59113.548332,20.827,1.775,17,30,o,0,0.35,60.31726,31.73419,8468.29,8111.76,2.05,1.95,43.6,-0.401,19.42,20.67,01a59113o0723o
59113.555799,-20.316,0.91,-27,25,o,0,1.56,60.31726,31.73419,8449.55,8072.34,2.05,1.94,38.9,-0.402,18.45,19.65,01a59113o0739o
59113.559482,21.235,1.959,12,23,o,0,1.48,60.31726,31.73419,8507.5,8152.07,2.07,2.01,35.0,-0.4,18.64,19.87,01a59113o0747o
59113.577234,-20.773,1.02,-18,18,o,0,0.91,60.31726,31.73419,8525.12,8034.51,2.13,1.98,27.1,-0.401,18.91,20.12,01a59113o0777o
59117.530059,21.158,1.093,12,14,o,0,1.03,60.31726,31.73419,8472.3,8115.14,2.28,2.2,46.4,-0.408,19.6,20.94,01a59117o0679o
59117.534357,-20.515,0.435,-23,10,o,0,1.54,60.31726,31.73419,8453.41,8076.65,2.2,2.12,59.4,-0.407,19.66,20.91,01a59117o0688o
59117.537757,23.107,4.7,2,10,o,0,2.0,60.31726,31.73419,8512.16,8154.44,2.29,2.17,45.0,-0.397,19.62,20.91,01a59117o0695o
59117.545353,-21.777,1.542,-7,11,o,0,1.1,60.31726,31.73419,8529.49,8037.5,2.21,2.12,58.3,-0.402,19.61,20.92,01a59117o0710o
59119.368411,-20.051,0.779,-35,27,o,0,0.94,60.31726,31.73419,5816.96,4615.79,2.19,2.05,21.2,-0.445,18.46,18.98,02a59119o0348o
59119.372592,-21.188,2.087,-12,25,o,0,2.99,60.31726,31.73419,5839.1,4655.81,2.25,2.04,29.4,-0.437,18.15,18.79,02a59119o0357o
59119.408065,-21.351,1.275,-10,13,o,0,2.41,60.31726,31.73419,5776.2,4576.62,2.12,1.82,35.5,-0.45,19.02,19.52,02a59119o0430o
59119.413461,21.659,2.27,8,18,o,0,1.41,60.31726,31.73419,5766.16,4689.25,2.18,1.88,40.2,-0.446,18.98,19.53,02a59119o0440o
59121.513942,-19.999,0.334,-36,12,o,0,2.75,60.31726,31.73419,96.75,1933.13,1.93,1.71,67.8,-0.465,19.37,19.9,01a59121o0643o
59121.51582,-19.855,0.504,-42,21,o,0,1.61,60.31726,31.73419,76.34,1895.11,1.91,1.72,69.0,-0.469,19.34,19.9,01a59121o0647o
59121.539665,21.425,1.543,10,15,o,0,1.67,60.31726,31.73419,132.35,1977.03,1.84,1.72,62.8,-0.459,19.37,19.92,01a59121o0693o
59121.540128,-20.412,0.609,-25,15,o,0,1.73,60.31726,31.73419,10202.73,1940.33,2.25,2.03,-72.8,-0.401,19.31,19.91,01a59121o0694o
59121.542435,22.587,4.196,3,14,o,0,3.24,60.31726,31.73419,150.9,1859.92,1.87,1.77,60.7,-0.46,19.33,19.92,01a59121o0699o
59121.542895,-22.144,2.885,-5,14,o,0,1.26,60.31726,31.73419,10182.67,1900.86,2.26,2.02,-70.8,-0.399,19.33,19.91,01a59121o0700o
59121.545661,21.564,1.584,9,14,o,0,2.1,60.31726,31.73419,10242.76,1980.17,2.25,2.02,-76.6,-0.408,19.34,19.91,01a59121o0706o
59121.552592,19.965,0.437,38,16,o,0,1.25,60.31726,31.73419,10263.27,1863.39,2.23,2.06,-69.4,-0.407,19.31,19.89,01a59121o0721o
59123.589724,20.576,0.914,21,20,o,0,1.46,60.31726,31.73419,2111.89,1801.36,1.99,1.93,69.7,-0.46,18.89,19.29,02a59123o0787o
59123.625014,21.389,2.196,10,22,o,0,1.23,60.31726,31.73419,2082.75,1757.16,1.95,1.91,89.5,-0.464,18.9,19.3,02a59123o0859o
59125.442655,19.789,0.661,44,29,o,0,1.04,60.31726,31.73419,110.75,1923.21,1.99,1.81,73.9,-0.45,18.84,18.97,01a59125o0431o
