MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59115.515861,22.783,3.333,3,9,c,0,1.46,18.28363,28.677,3296.98,10216.29,2.51,2.39,-46.7,-0.403,19.69,21.57,02a59115o0632c
59115.519063,21.965,1.733,6,10,c,0,0.84,18.28363,28.677,3278.5,10179.57,2.5,2.37,-50.1,-0.411,19.7,21.58,02a59115o0639c
59115.52418,22.305,2.394,4,10,c,0,1.14,18.28363,28.677,3334.27,10258.24,2.51,2.31,-47.0,-0.409,19.71,21.58,02a59115o0650c
59115.536109,-22.328,3.867,-4,16,c,0,1.2,18.28363,28.677,3353.34,10140.79,2.58,2.49,-59.9,-0.399,19.64,21.55,02a59115o0676c
59115.556143,-21.024,1.825,-14,26,c,0,0.53,18.28363,28.677,4832.33,46.37,2.49,2.18,-60.2,-0.393,19.69,21.52,02a59115o0719c
59117.409929,-20.846,0.58,-17,10,o,0,1.68,18.28363,28.677,9806.72,2195.82,2.35,2.15,-69.6,-0.404,19.56,20.62,01a59117o0436o
59117.412257,22.125,2.558,5,13,o,0,1.18,18.28363,28.677,9786.63,2156.06,2.5,2.3,-69.3,-0.394,19.51,20.64,01a59117o0441o
59117.436515,-22.083,2.375,-5,13,o,0,0.99,18.28363,28.677,9843.3,2233.18,2.62,2.42,-79.6,-0.405,19.51,20.77,01a59117o0489o
59117.455336,-21.196,0.746,-12,9,o,0,0.98,18.28363,28.677,9860.49,2117.63,2.3,2.16,-35.2,-0.393,19.78,21.13,01a59117o0528o
59119.392969,22.873,5.345,3,14,o,0,1.02,18.28363,28.677,7271.56,346.12,2.02,1.72,-58.1,-0.476,19.31,20.04,02a59119o0400o
59119.394798,21.073,0.975,14,13,o,0,0.92,18.28363,28.677,7290.35,385.29,1.98,1.68,-58.6,-0.494,19.32,20.07,02a59119o0404o
59119.412975,20.846,1.337,17,22,o,0,0.9,18.28363,28.677,7238.59,309.51,2.05,1.69,-54.6,-0.487,19.1,19.85,02a59119o0439o
59119.415776,20.588,1.275,21,27,o,0,1.13,18.28363,28.677,7215.05,426.47,2.04,1.71,-56.6,-0.483,18.12,18.68,02a59119o0445o
59121.500877,-23.41,7.913,-2,12,o,0,1.18,18.28363,28.677,3075.73,4430.69,1.82,1.78,-13.6,-0.42,19.3,19.76,01a59121o0617o
59121.524245,-21.685,2.809,-8,22,o,0,0.94,18.28363,28.677,3100.69,4466.47,1.96,1.9,-69.0,-0.452,19.0,20.76,01a59121o0664o
59121.527282,20.872,0.828,16,14,o,0,1.14,18.28363,28.677,3044.04,4390.2,1.97,1.92,-22.4,-0.423,19.16,19.69,01a59121o0670o
59121.53527,20.484,0.604,23,14,o,0,1.11,18.28363,28.677,3025.98,4505.23,1.93,1.88,-39.8,-0.421,19.17,19.69,01a59121o0684o
59127.476757,-20.74,1.214,-18,22,o,0,0.94,18.28363,28.677,9396.31,6088.92,2.59,2.43,43.6,-0.403,18.81,19.44,02a59127o0581o
59127.480455,20.716,1.046,19,20,o,0,0.84,18.28363,28.677,9377.14,6050.65,2.56,2.42,41.8,-0.401,18.8,19.45,02a59127o0589o
59127.486118,-20.998,1.676,-14,24,o,0,1.18,18.28363,28.677,9435.0,6127.89,2.53,2.41,34.2,-0.415,18.73,19.29,02a59127o0599o
59127.521836,-24.154,31.6,-1,25,o,0,1.43,18.28363,28.677,9444.94,6018.22,2.66,2.55,48.3,-0.401,18.64,19.25,02a59127o0674o
59129.533034,21.136,1.0,13,13,o,0,1.02,18.28363,28.677,2677.55,6361.21,2.04,1.92,-7.8,-0.431,19.38,20.11,01a59129o0732o
59129.540177,-21.518,1.292,-9,12,o,0,1.07,18.28363,28.677,2696.85,6398.75,1.91,1.82,-39.0,-0.422,19.39,20.06,01a59129o0746o
59129.545261,23.952,13.167,1,12,o,0,0.86,18.28363,28.677,2640.04,6322.98,1.97,1.89,-20.4,-0.418,19.35,20.05,01a59129o0757o
59129.56826,25.733,69.5,0,13,o,0,1.19,18.28363,28.677,2622.35,6440.36,2.2,1.99,-18.1,-0.401,19.21,19.9,01a59129o0805o
59131.48016,24.874,31.0,0,13,o,0,1.04,18.28363,28.677,9015.99,9980.63,2.67,2.15,-56.4,-0.426,19.53,20.61,02a59131o0613o
59131.486262,-21.777,1.918,-7,14,o,0,1.22,18.28363,28.677,8995.42,9940.52,2.69,2.3,-53.2,-0.411,19.45,20.61,02a59131o0626o
59131.497322,21.792,1.92,7,13,o,0,0.98,18.28363,28.677,9052.1,10020.83,2.75,2.14,-53.3,-0.424,19.48,20.55,02a59131o0650o
59131.501994,20.61,0.691,21,14,o,0,1.12,18.28363,28.677,9069.93,9903.84,2.7,2.35,-55.6,-0.41,19.39,20.52,02a59131o0660o
59131.644919,19.517,0.968,57,55,o,0,0.89,18.28363,28.677,9018.39,9968.14,2.57,2.37,-43.7,-0.43,17.94,17.99,02a59131o0952o
59133.466404,20.272,0.35,28,10,o,0,1.36,18.28363,28.677,2666.75,6361.69,2.12,2.04,-28.8,-0.406,19.52,20.88,01a59133o0568o
59133.480332,20.471,0.394,24,9,o,0,1.59,18.28363,28.677,2690.33,6399.95,2.01,1.97,-53.5,-0.41,19.43,20.66,01a59133o0595o
59133.4933,21.215,0.861,12,10,o,0,1.71,18.28363,28.677,2634.06,6321.4,2.05,1.99,-50.1,-0.415,19.37,20.5,01a59133o0621o
59133.505576,20.677,0.619,20,12,o,0,0.78,18.28363,28.677,2615.97,6435.45,2.05,2.01,-17.0,-0.421,19.47,20.64,01a59133o0646o
59135.473271,19.009,0.138,90,12,c,0,0.84,18.28363,28.677,9014.14,9979.61,2.83,2.8,51.8,-0.371,18.82,20.67,02a59135o0211c
59135.476966,19.407,0.175,63,11,c,0,0.86,18.28363,28.677,8994.34,9937.62,2.82,2.74,54.4,-0.373,18.99,20.87,02a59135o0219c
59135.482897,18.976,0.132,93,12,c,0,0.79,18.28363,28.677,9051.05,10019.2,3.16,3.01,-58.9,-0.352,19.6,21.54,02a59135o0230c
59135.511158,19.511,0.312,57,18,c,0,0.92,18.28363,28.677,9068.2,9904.47,2.94,2.91,82.1,-0.367,18.58,20.36,02a59135o0248c
59135.644647,19.541,2.276,55,126,o,0,0.79,18.28363,28.677,9015.5,9967.77,2.66,2.45,-29.4,-0.432,18.0,18.66,02a59135o0467o
59137.428659,18.203,0.05,190,10,o,0,1.67,18.28363,28.677,699.49,6447.2,1.98,1.87,-73.7,-0.424,19.63,20.85,01a59137o0488o
59137.436216,18.189,0.05,192,10,o,0,1.39,18.28363,28.677,720.97,6484.68,1.84,1.72,-73.2,-0.426,19.6,20.7,01a59137o0504o
59137.451685,18.314,0.061,172,10,o,0,0.92,18.28363,28.677,665.31,6406.56,1.92,1.78,-75.0,-0.436,19.71,20.86,01a59137o0536o
59137.461795,18.209,0.063,189,12,o,0,0.96,18.28363,28.677,648.67,6520.53,1.97,1.89,-60.8,-0.425,19.67,20.94,01a59137o0557o
59139.43479,17.766,0.038,284,11,c,0,1.12,18.28363,28.677,5528.15,6225.74,2.46,2.29,36.2,-0.399,19.8,21.66,02a59139o0508c
59139.437569,17.665,0.03,312,9,c,0,1.22,18.28363,28.677,5509.81,6187.96,2.45,2.27,36.6,-0.4,19.79,21.67,02a59139o0514c
59139.452201,17.72,0.034,296,10,c,0,1.72,18.28363,28.677,5568.57,6268.68,2.6,2.33,41.8,-0.4,19.69,21.58,02a59139o0544c
59139.45772,17.727,0.034,295,10,c,0,1.74,18.28363,28.677,5588.42,6151.55,2.55,2.26,36.8,-0.398,19.69,21.56,02a59139o0556c
59141.416832,17.41,0.026,394,10,o,0,1.81,18.28363,28.677,698.63,6444.73,1.82,1.72,-76.1,-0.438,19.75,20.78,01a59141o0350o
59141.443922,17.387,0.025,403,10,o,0,2.5,18.28363,28.677,725.25,6481.15,1.81,1.68,-78.3,-0.437,19.77,20.85,01a59141o0405o
59141.447228,17.375,0.028,407,11,o,0,1.79,18.28363,28.677,667.6,6402.22,1.81,1.67,-77.4,-0.44,19.75,20.82,01a59141o0412o
59141.452489,17.334,0.026,423,11,o,0,1.27,18.28363,28.677,650.38,6518.62,1.83,1.66,-79.7,-0.441,19.74,20.81,01a59141o0422o
59143.367115,17.215,0.022,472,10,c,0,1.79,18.28363,28.677,5053.39,4342.98,2.57,2.31,42.0,-0.39,19.71,21.55,02a59143o0371c
59143.369803,17.099,0.021,525,11,c,0,1.46,18.28363,28.677,5073.48,4380.86,2.42,2.24,37.6,-0.398,19.71,21.52,02a59143o0376c
59143.377777,17.125,0.024,513,12,c,0,1.99,18.28363,28.677,5018.69,4303.34,2.49,2.29,39.1,-0.395,19.56,21.36,02a59143o0393c
59143.384598,17.149,0.027,502,13,c,0,1.36,18.28363,28.677,5001.18,4421.63,2.52,2.29,39.9,-0.395,19.38,21.12,02a59143o0407c
59145.415879,17.074,0.021,537,11,o,0,1.34,18.28363,28.677,4908.01,2395.15,1.87,1.84,-54.4,-0.42,19.91,21.33,01a59145o0347o
59145.419571,17.115,0.021,518,11,o,0,1.57,18.28363,28.677,4929.44,2433.98,1.91,1.89,-28.2,-0.422,19.9,21.38,01a59145o0355o
59145.432988,17.139,0.019,506,10,o,0,2.62,18.28363,28.677,4874.37,2356.01,1.92,1.83,-12.6,-0.424,19.91,21.4,01a59145o0383o
59145.438529,17.069,0.021,540,11,o,0,1.08,18.28363,28.677,4857.34,2472.06,1.94,1.81,1.0,-0.415,19.93,21.36,01a59145o0395o
59147.40878,17.07,0.025,540,13,o,0,1.56,18.28363,28.677,7833.11,2276.32,1.88,1.84,11.7,-0.441,19.51,20.4,02a59147o0417o
59147.411992,17.061,0.024,544,13,o,0,1.2,18.28363,28.677,7813.77,2239.66,1.88,1.84,18.4,-0.444,19.51,20.41,02a59147o0424o
59147.41887,17.07,0.026,540,14,o,0,1.26,18.28363,28.677,7872.62,2318.27,1.88,1.85,19.5,-0.442,19.5,20.41,02a59147o0439o
59147.429193,17.038,0.026,556,14,o,0,1.29,18.28363,28.677,7893.6,2200.63,1.85,1.8,-38.4,-0.45,19.49,20.41,02a59147o0460o
59155.502275,17.731,0.646,294,190,o,0,0.93,18.28363,28.677,3869.7,2411.14,2.31,2.01,39.4,-0.426,16.29,16.09,02a59155o0645o
59155.50551,17.105,0.239,522,125,o,0,1.47,18.28363,28.677,3929.64,2486.85,2.3,1.93,40.5,-0.44,16.88,16.59,02a59155o0652o
59157.44541,17.405,0.04,396,16,o,0,1.34,18.28363,28.677,4717.04,8201.15,1.77,1.66,-21.6,-0.463,19.36,19.81,01a59157o0465o
59157.451865,17.447,0.044,381,17,o,0,0.7,18.28363,28.677,4736.84,8240.53,1.79,1.66,-57.5,-0.435,19.28,19.64,01a59157o0479o
59157.476753,17.695,0.075,303,23,o,0,1.17,18.28363,28.677,4679.44,8164.97,1.86,1.74,-43.6,-0.417,18.67,18.82,01a59157o0531o
59157.482987,17.434,0.083,386,32,o,0,0.91,18.28363,28.677,4660.36,8281.09,1.96,1.85,-43.7,-0.422,18.42,18.4,01a59157o0544o
59159.398407,-14.051,0.296,-8701,2577,o,0,1.42,18.28363,28.677,3898.73,2453.25,2.75,2.25,41.9,-0.417,13.34,13.51,02a59159o0453o
59159.401606,15.681,1.085,1939,2104,o,0,0.94,18.28363,28.677,3879.69,2414.74,2.79,2.35,38.9,-0.418,13.72,13.96,02a59159o0460o
59159.419074,-14.646,1.728,-5028,8689,o,0,1.37,18.28363,28.677,3939.22,2490.17,2.68,2.25,43.0,-0.423,12.52,12.56,02a59159o0496o
59159.43839,15.12,1.431,3250,4651,o,0,1.12,18.28363,28.677,3959.13,2374.66,2.45,2.12,43.2,-0.419,12.88,12.78,02a59159o0536o
59163.434179,17.627,0.04,323,13,c,0,1.04,18.28363,28.677,7512.51,8087.57,3.07,2.88,-46.5,-0.383,19.56,21.57,02a59163o0370c
59163.43742,17.685,0.041,306,13,c,0,1.41,18.28363,28.677,7493.33,8047.98,3.33,3.12,-54.8,-0.382,19.45,21.57,02a59163o0377c
59163.444378,17.661,0.036,313,11,c,0,1.34,18.28363,28.677,7549.75,8126.81,3.2,2.92,-51.8,-0.386,19.52,21.55,02a59163o0392c
59163.466181,17.623,0.039,324,12,c,0,1.02,18.28363,28.677,7566.6,8011.08,3.17,2.99,-51.7,-0.382,19.48,21.52,02a59163o0439c
59169.365864,17.831,0.038,268,10,o,0,1.84,18.28363,28.677,8844.68,8437.2,2.48,1.75,-84.0,-0.4,19.77,21.11,01a59169o0397o
59169.368694,17.864,0.042,260,11,o,0,1.13,18.28363,28.677,8865.83,8476.45,2.53,1.75,-82.6,-0.398,19.76,21.11,01a59169o0403o
