MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59126.350589,-20.411,0.653,-25,16,o,0,1.04,326.33829,2.93,5332.79,7008.62,2.42,1.97,43.4,-0.431,19.14,19.84,02a59126o0330o
59126.354264,-21.059,0.912,-14,12,o,0,1.9,326.33829,2.93,5311.96,6972.38,2.44,2.02,44.2,-0.431,19.14,19.83,02a59126o0338o
59126.359776,-23.803,15.0,-1,16,o,0,0.83,326.33829,2.93,5370.53,7048.45,2.43,2.04,44.8,-0.434,19.14,19.82,02a59126o0350o
59126.373582,19.688,0.367,48,18,o,0,0.92,326.33829,2.93,5389.61,6935.02,2.37,2.01,44.3,-0.433,19.11,19.77,02a59126o0380o
59128.419667,-22.953,6.045,-2,14,o,0,0.71,326.33829,2.93,7255.45,5364.47,2.29,2.22,-73.5,-0.388,19.31,20.16,01a59128o0099o
59128.422893,20.802,0.963,17,17,o,0,1.17,326.33829,2.93,7274.81,5402.61,2.77,2.63,-51.0,-0.429,19.03,20.1,01a59128o0106o
59128.428419,22.326,3.1,4,13,o,0,0.89,326.33829,2.93,7215.18,5327.82,2.29,2.16,-82.5,-0.397,19.27,20.1,01a59128o0118o
59128.440496,21.393,1.643,10,16,o,0,0.84,326.33829,2.93,7193.8,5445.57,2.4,2.31,-75.1,-0.39,19.13,20.01,01a59128o0144o
59130.35478,21.679,1.487,8,12,o,0,0.91,326.33829,2.93,4511.72,701.11,2.12,1.9,-59.3,-0.46,19.57,20.81,02a59130o0339o
59130.357551,-21.424,0.903,-10,9,o,0,1.88,326.33829,2.93,4492.42,663.66,2.18,1.91,-58.5,-0.455,19.56,20.77,02a59130o0345o
59130.363077,-21.108,0.786,-13,10,o,0,1.12,326.33829,2.93,4550.81,742.6,2.24,2.01,-59.6,-0.442,19.48,20.72,02a59130o0357o
59130.377518,-22.26,2.476,-4,11,o,0,1.24,326.33829,2.93,4570.93,623.78,2.17,1.96,-55.0,-0.455,19.43,20.62,02a59130o0388o
59132.314204,19.156,0.669,79,53,o,0,1.43,326.33829,2.93,7245.3,5367.07,2.09,1.97,-83.4,-0.421,17.61,18.72,01a59132o0237o
59132.316999,19.622,1.106,51,57,o,0,1.43,326.33829,2.93,7265.58,5405.58,2.06,1.98,86.3,-0.426,17.59,18.73,01a59132o0243o
59132.32748,-21.288,1.86,-11,21,o,0,1.23,326.33829,2.93,7208.01,5327.58,2.13,2.08,78.1,-0.402,18.74,19.91,01a59132o0265o
59132.332716,19.792,0.534,44,24,o,0,1.27,326.33829,2.93,7190.37,5444.03,2.13,2.01,85.9,-0.413,18.67,19.9,01a59132o0276o
59136.350552,-22.701,3.211,-3,10,o,0,1.15,326.33829,2.93,5320.26,5477.31,2.02,1.85,-83.7,-0.408,19.7,20.77,01a59136o0575o
59136.354699,22.104,1.909,5,10,o,0,0.86,326.33829,2.93,5339.33,5514.57,2.02,1.86,-84.7,-0.404,19.66,20.78,01a59136o0584o
59136.362077,23.392,5.421,2,9,o,0,1.18,326.33829,2.93,5282.98,5438.47,2.07,1.92,-76.2,-0.401,19.68,20.79,01a59136o0600o
59136.374592,-21.196,0.732,-12,9,o,0,1.29,326.33829,2.93,5262.74,5555.89,2.06,1.96,-81.5,-0.394,19.66,20.83,01a59136o0627o
59138.338518,21.051,0.694,14,10,c,0,1.11,326.33829,2.93,1450.92,7211.84,2.28,2.24,45.7,-0.424,19.6,21.36,02a59138o0321c
59138.342659,-22.304,1.892,-4,8,c,0,1.51,326.33829,2.93,1431.75,7172.9,2.34,2.25,46.9,-0.42,19.72,21.51,02a59138o0330c
59138.352765,21.991,1.373,6,8,c,0,1.44,326.33829,2.93,1492.38,7248.45,2.28,2.23,69.1,-0.42,19.71,21.51,02a59138o0352c
59138.359213,21.019,0.605,14,9,c,0,1.26,326.33829,2.93,1512.69,7132.36,2.33,2.23,59.0,-0.421,19.69,21.43,02a59138o0366c
59140.299594,20.441,0.485,24,12,o,0,0.64,326.33829,2.93,5309.57,5477.72,1.83,1.76,1.8,-0.403,19.49,20.66,01a59140o0236o
59140.304212,20.483,0.453,23,10,o,0,0.97,326.33829,2.93,5330.66,5515.51,1.89,1.77,0.3,-0.4,19.49,20.59,01a59140o0246o
59140.311165,19.78,0.272,44,12,o,0,0.83,326.33829,2.93,5272.86,5440.19,1.94,1.81,-7.7,-0.401,19.38,20.52,01a59140o0261o
59140.331994,19.573,0.196,54,11,o,0,1.25,326.33829,2.93,5255.98,5554.85,1.88,1.77,-5.5,-0.4,19.37,20.45,01a59140o0306o
59142.289759,19.543,0.173,55,10,c,0,1.23,326.33829,2.93,1456.46,7208.86,2.39,2.33,-72.6,-0.423,19.71,21.53,02a59142o0221c
59142.292965,19.187,0.116,77,9,c,0,1.09,326.33829,2.93,1440.12,7169.73,2.4,2.33,78.5,-0.418,19.7,21.55,02a59142o0228c
59142.300806,19.644,0.172,50,9,c,0,1.48,326.33829,2.93,1498.53,7247.48,2.37,2.32,87.0,-0.42,19.71,21.54,02a59142o0245c
59142.31328,19.318,0.159,68,11,c,0,0.76,326.33829,2.93,1520.07,7130.2,2.37,2.32,63.1,-0.416,19.74,21.54,02a59142o0272c
59144.287667,18.935,0.144,97,14,o,0,0.99,326.33829,2.93,8982.12,1367.84,2.33,2.03,-83.3,-0.425,19.37,20.21,01a59144o0198o
59144.290892,18.979,0.135,93,12,o,0,1.78,326.33829,2.93,9002.11,1406.95,2.25,1.94,-85.3,-0.433,19.4,20.23,01a59144o0205o
59144.297345,18.916,0.137,98,14,o,0,1.08,326.33829,2.93,8943.53,1328.14,2.16,1.96,-82.1,-0.432,19.46,20.33,01a59144o0219o
59144.309338,18.655,0.104,125,13,o,0,1.81,326.33829,2.93,8925.55,1445.56,2.16,1.83,-82.0,-0.446,19.25,19.96,01a59144o0245o
59146.311385,18.856,0.157,104,16,o,0,0.83,326.33829,2.93,3215.96,3237.91,2.26,1.89,44.8,-0.453,19.19,19.92,02a59146o0275o
59146.315044,18.613,0.116,130,15,o,0,1.11,326.33829,2.93,3198.95,3197.59,2.27,1.93,44.2,-0.455,19.2,19.97,02a59146o0283o
59146.321033,18.834,0.146,106,16,o,0,1.3,326.33829,2.93,3252.97,3272.3,2.25,1.91,46.0,-0.45,19.21,19.93,02a59146o0296o
59146.335287,18.732,0.128,117,15,o,0,0.95,326.33829,2.93,3275.82,3156.98,2.25,1.9,45.1,-0.45,19.21,19.91,02a59146o0327o
59153.34306,18.154,0.152,199,30,o,0,1.08,326.33829,2.93,9305.88,7194.54,2.73,2.31,5.3,-0.401,18.45,18.92,01a59153o0295o
59153.361661,18.546,0.175,139,24,o,0,0.86,326.33829,2.93,9323.99,7237.15,2.38,2.15,9.9,-0.391,18.71,18.93,01a59153o0335o
59153.375268,18.312,0.158,172,27,o,0,0.97,326.33829,2.93,9262.57,7162.64,2.59,2.22,6.3,-0.401,18.61,18.86,01a59153o0364o
59153.382705,18.266,0.144,179,26,o,0,1.5,326.33829,2.93,9241.83,7280.97,2.66,2.2,1.0,-0.397,18.52,18.79,01a59153o0380o
59154.341465,18.087,0.084,212,18,o,0,1.73,326.33829,2.93,9437.84,3436.9,2.02,2.0,-39.7,-0.428,18.86,19.19,02a59154o0341o
59154.345135,18.466,0.16,149,24,o,0,0.89,326.33829,2.93,9419.82,3400.16,2.07,2.02,-42.9,-0.428,18.79,19.16,02a59154o0349o
59154.350622,18.425,0.144,155,22,o,0,1.14,326.33829,2.93,9477.7,3475.84,2.05,2.01,-11.6,-0.427,18.78,19.12,02a59154o0361o
59154.362105,18.177,0.118,195,23,o,0,1.2,326.33829,2.93,9498.48,3358.69,2.08,2.04,-8.0,-0.422,18.76,19.05,02a59154o0386o
59155.335714,18.144,0.291,201,58,o,0,0.89,326.33829,2.93,9436.4,3435.86,2.29,2.24,-59.9,-0.406,17.77,17.86,02a59155o0283o
59155.338914,17.952,0.181,239,43,o,0,0.82,326.33829,2.93,9417.8,3396.78,2.23,2.16,-49.9,-0.408,18.27,18.54,02a59155o0290o
59155.345795,18.593,0.623,133,83,o,0,1.39,326.33829,2.93,9476.55,3474.46,2.33,2.24,-53.8,-0.418,16.99,17.08,02a59155o0305o
59155.358159,18.451,0.266,151,40,o,0,0.7,326.33829,2.93,9497.17,3357.57,2.25,2.22,-49.7,-0.411,18.26,18.57,02a59155o0332o
59156.270137,18.387,0.075,160,12,o,0,1.21,326.33829,2.93,9301.54,7188.1,1.96,1.82,74.3,-0.435,19.41,20.01,01a59156o0125o
59156.274284,18.21,0.07,189,13,o,0,1.04,326.33829,2.93,9321.97,7226.5,1.96,1.79,73.1,-0.425,19.45,19.99,01a59156o0134o
59156.279813,18.356,0.078,165,13,o,0,1.32,326.33829,2.93,9263.21,7149.79,1.93,1.74,79.7,-0.432,19.46,19.97,01a59156o0146o
59156.290877,18.271,0.085,178,15,o,0,1.06,326.33829,2.93,9245.72,7267.23,2.02,1.82,72.5,-0.43,19.38,19.92,01a59156o0170o
