MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59123.280715,-17.967,0.118,-236,28,o,0,5.46,272.9629,14.98247,5256.55,10038.26,2.28,2.01,-51.5,-0.44,18.9,19.23,02a59123o0179o
59123.286237,18.596,0.241,132,32,o,0,4.41,272.9629,14.98247,5238.22,9998.8,2.27,2.09,-56.2,-0.444,18.84,19.21,02a59123o0191o
59123.290374,-21.369,2.816,-10,29,o,0,2.88,272.9629,14.98247,5295.05,10077.27,2.24,2.16,-70.1,-0.431,18.78,19.18,02a59123o0200o
59123.30283,20.119,0.976,32,32,o,0,4.62,272.9629,14.98247,5316.44,9958.85,2.22,2.04,-53.1,-0.446,18.74,19.1,02a59123o0227o
59125.239124,-18.839,0.182,-106,19,o,0,4.4,272.9629,14.98247,7166.16,394.53,2.16,1.91,-23.8,-0.4,19.16,19.62,01a59125o0007o
59125.24281,-18.43,0.131,-154,20,o,0,4.78,272.9629,14.98247,7188.05,433.79,2.1,1.89,-35.5,-0.395,19.16,19.59,01a59125o0015o
59125.252641,-18.512,0.156,-143,22,o,0,6.75,272.9629,14.98247,7132.2,356.86,2.0,1.81,-57.0,-0.418,19.18,19.53,01a59125o0036o
59125.269314,19.784,0.517,44,23,o,0,5.36,272.9629,14.98247,7114.86,477.3,2.11,1.96,-58.0,-0.43,19.03,19.45,01a59125o0071o
59127.230896,-18.038,0.086,-221,19,o,0,7.31,272.9629,14.98247,5275.48,10037.56,2.43,2.19,-51.3,-0.448,19.24,20.39,02a59127o0061o
59127.234792,-18.499,0.173,-145,25,o,0,7.37,272.9629,14.98247,5255.94,9996.49,2.4,2.22,-55.0,-0.439,19.33,20.46,02a59127o0069o
59127.249366,-17.36,0.118,-413,49,o,0,2.08,272.9629,14.98247,5314.66,10075.31,2.42,2.17,-51.9,-0.415,18.33,19.34,02a59127o0100o
59127.262174,-20.378,1.705,-26,44,o,0,2.01,272.9629,14.98247,5334.19,9956.65,2.52,2.34,-56.1,-0.411,18.44,19.35,02a59127o0127o
59129.266755,-18.999,0.186,-91,17,o,0,6.89,272.9629,14.98247,9792.66,2302.82,2.17,1.98,-60.1,-0.397,19.56,20.5,01a59129o0161o
59129.269974,-18.726,0.163,-117,19,o,0,5.35,272.9629,14.98247,9812.47,2342.25,2.26,2.06,-58.5,-0.389,19.5,20.49,01a59129o0168o
59129.275503,-17.874,0.067,-257,17,o,0,9.06,272.9629,14.98247,9750.25,2266.68,2.23,2.03,-72.8,-0.406,19.53,20.41,01a59129o0180o
59129.286117,-20.669,0.861,-20,17,o,0,6.09,272.9629,14.98247,9730.85,2386.95,2.26,2.02,-66.3,-0.397,19.44,20.37,01a59129o0203o
59131.258771,-19.369,0.214,-65,14,c,0,5.7,272.9629,14.98247,3027.39,3736.05,2.46,2.39,88.7,-0.411,19.65,21.45,02a59131o0138c
59131.262453,-22.818,4.6,-3,12,c,0,5.38,272.9629,14.98247,3007.36,3697.78,2.47,2.42,87.8,-0.405,19.62,21.44,02a59131o0146c
59131.268409,-19.44,0.177,-61,11,c,0,7.47,272.9629,14.98247,3065.6,3774.49,2.37,2.32,74.9,-0.415,19.65,21.45,02a59131o0159c
59131.282709,-19.044,0.129,-88,11,c,0,10.63,272.9629,14.98247,3090.21,3655.13,2.52,2.41,54.4,-0.404,19.57,21.42,02a59131o0190c
59133.247733,-19.649,0.379,-50,19,o,0,3.64,272.9629,14.98247,9790.98,2299.43,2.25,2.03,-42.0,-0.424,19.48,20.39,01a59133o0116o
59133.252472,-20.166,0.67,-31,21,o,0,7.28,272.9629,14.98247,9811.17,2339.15,2.27,2.03,-69.4,-0.39,19.49,20.38,01a59133o0126o
59133.260054,-18.353,0.096,-166,16,o,0,7.92,272.9629,14.98247,9752.66,2263.76,2.32,2.05,-61.0,-0.384,19.49,20.35,01a59133o0142o
59133.270023,-19.697,0.405,-48,19,o,0,4.5,272.9629,14.98247,9730.86,2383.93,2.28,2.12,-57.0,-0.43,19.4,20.27,01a59133o0163o
