MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59130.590127,-24.584,22.5,0,12,o,0,1.6,87.77442,61.312,1553.95,6497.46,2.08,1.99,-22.6,-0.41,19.23,20.07,01a59130o0854o
59130.591971,21.025,0.919,14,13,o,0,1.16,87.77442,61.312,1534.48,6459.67,2.17,2.05,-32.5,-0.407,19.22,20.07,01a59130o0858o
59130.595194,22.025,2.557,6,14,o,0,0.71,87.77442,61.312,1591.4,6534.22,1.97,1.88,-48.0,-0.423,19.31,20.07,01a59130o0865o
59130.606708,22.827,4.097,3,11,o,0,1.38,87.77442,61.312,1609.84,6419.22,2.06,1.97,-20.5,-0.405,19.28,20.09,01a59130o0890o
59132.576137,21.297,1.51,11,17,o,0,0.91,87.77442,61.312,1997.05,8531.17,2.22,2.1,58.3,-0.427,19.3,20.26,02a59132o0819o
59132.579364,-20.838,0.89,-17,15,o,0,0.79,87.77442,61.312,2016.03,8572.09,2.22,2.06,49.8,-0.42,19.34,20.27,02a59132o0826o
59132.589385,21.952,2.268,6,14,o,0,1.03,87.77442,61.312,1955.52,8489.49,2.11,2.07,81.0,-0.438,19.35,20.27,02a59132o0847o
59132.594882,-21.349,1.165,-10,12,o,0,1.38,87.77442,61.312,1934.46,8607.53,2.13,2.07,60.3,-0.441,19.35,20.29,02a59132o0859o
59136.5841,21.219,0.868,12,10,c,0,1.1,87.77442,61.312,1996.33,8532.22,2.45,2.39,63.0,-0.406,19.62,21.45,02a59136o0856c
59136.587322,-21.202,0.793,-12,10,c,0,1.65,87.77442,61.312,2016.52,8573.12,2.41,2.35,-40.5,-0.417,19.65,21.44,02a59136o0863c
59136.591896,-22.809,3.286,-3,9,c,0,1.43,87.77442,61.312,1957.25,8490.96,2.4,2.36,-51.7,-0.418,19.67,21.43,02a59136o0873c
59136.60185,-21.135,0.802,-13,10,c,0,0.95,87.77442,61.312,1935.07,8608.38,2.54,2.47,-41.0,-0.406,19.59,21.41,02a59136o0894c
59138.552176,21.226,0.606,12,7,o,0,1.74,87.77442,61.312,3462.4,6310.59,1.78,1.72,-19.7,-0.417,19.87,21.23,01a59138o0713o
59138.554016,24.202,12.0,1,9,o,0,0.95,87.77442,61.312,3446.67,6270.48,2.21,1.81,-0.8,-0.381,19.73,21.21,01a59138o0717o
59138.556777,22.739,7.067,3,21,o,0,1.47,87.77442,61.312,3501.61,6346.69,1.88,1.81,-20.1,-0.411,18.75,20.03,01a59138o0723o
59138.563691,22.892,3.094,2,8,o,0,2.2,87.77442,61.312,3518.78,6232.45,1.95,1.83,-15.9,-0.403,19.75,21.17,01a59138o0738o
59140.563941,21.52,0.957,9,9,c,0,1.41,87.77442,61.312,3857.88,2117.92,2.41,2.31,69.7,-0.399,19.65,21.62,02a59140o0808c
