MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59132.616031,-21.206,6.811,-12,82,o,0,0.67,145.64842,-3.49018,9727.95,2917.14,2.7,2.49,-25.3,-0.368,17.71,18.4,01a59132o0860o
59132.6232,-20.33,0.985,-27,26,o,0,1.04,145.64842,-3.49018,9712.25,2877.11,2.73,2.49,-18.9,-0.39,18.48,19.13,01a59132o0875o
59132.635564,19.552,1.045,55,57,o,0,0.78,145.64842,-3.49018,9769.25,2952.44,2.69,2.57,-26.2,-0.359,17.88,18.34,01a59132o0901o
59132.643178,18.614,1.104,130,144,o,0,1.01,145.64842,-3.49018,9789.58,2833.96,3.6,3.43,-77.2,-0.315,16.79,17.06,01a59132o0917o
59140.60338,-24.749,26.2,0,12,o,0,0.86,145.64842,-3.49018,1555.89,2794.28,2.09,1.98,23.2,-0.407,19.5,20.58,01a59140o0885o
59140.606605,21.78,1.703,7,12,o,0,1.2,145.64842,-3.49018,1536.72,2755.72,2.3,2.16,39.4,-0.41,19.42,20.59,01a59140o0892o
59140.627027,25.247,37.333,0,11,o,0,1.06,145.64842,-3.49018,1598.25,2838.21,2.18,2.04,15.2,-0.408,19.5,20.69,01a59140o0936o
59140.637626,19.888,0.349,40,14,o,0,1.19,145.64842,-3.49018,1617.5,2722.74,2.06,1.96,35.1,-0.414,19.23,20.01,01a59140o0959o
59142.614622,22.893,4.158,2,10,c,0,1.11,145.64842,-3.49018,2697.48,5613.21,2.51,2.29,36.2,-0.385,19.42,20.96,02a59142o0919c
59142.620596,-22.185,2.147,-5,10,c,0,1.19,145.64842,-3.49018,2716.03,5652.31,2.5,2.31,34.6,-0.388,19.39,20.9,02a59142o0932c
59142.637531,20.913,0.948,16,15,c,0,1.07,145.64842,-3.49018,2657.49,5574.77,2.57,2.27,31.2,-0.383,19.05,20.52,02a59142o0969c
59142.646236,21.247,2.414,12,28,c,0,0.91,145.64842,-3.49018,2638.05,5691.39,2.61,2.26,33.6,-0.374,18.53,19.6,02a59142o0988c
59144.61351,20.444,0.721,24,17,o,0,1.6,145.64842,-3.49018,7965.99,6886.65,2.53,2.07,8.1,-0.379,18.73,19.99,01a59144o0895o
59144.631939,-22.075,2.245,-5,12,o,0,0.9,145.64842,-3.49018,7951.3,6846.64,2.29,1.97,3.1,-0.397,19.51,20.69,01a59144o0935o
59144.638842,21.813,1.524,7,10,o,0,1.59,145.64842,-3.49018,8012.13,6924.23,2.34,2.04,2.0,-0.405,19.35,20.36,01a59144o0950o
59144.645302,22.248,4.595,5,21,o,0,1.05,145.64842,-3.49018,8032.68,6807.91,2.32,2.06,2.0,-0.392,18.82,19.24,01a59144o0964o
59148.596491,20.682,5.875,19,114,o,0,1.27,145.64842,-3.49018,7961.22,6886.93,2.07,2.01,-30.6,-0.406,17.14,18.21,01a59148o0881o
59148.600173,19.136,1.587,80,128,o,0,1.28,145.64842,-3.49018,7942.23,6847.8,2.15,2.03,-4.3,-0.398,16.39,17.47,01a59148o0889o
59148.605698,-19.807,2.87,-43,124,o,0,1.76,145.64842,-3.49018,8004.82,6926.46,2.2,2.03,0.9,-0.397,17.29,18.3,01a59148o0901o
59148.624214,19.724,0.306,47,14,o,0,1.12,145.64842,-3.49018,8029.91,6810.68,2.06,1.9,1.0,-0.425,19.22,20.12,01a59148o0941o
59154.620748,17.534,0.077,352,27,o,0,1.64,145.64842,-3.49018,4824.43,9402.35,2.18,1.98,30.1,-0.413,18.71,19.05,02a59154o0945o
59154.625908,17.845,0.107,264,28,o,0,0.86,145.64842,-3.49018,4843.24,9440.83,2.11,1.99,24.0,-0.428,18.73,19.04,02a59154o0956o
59154.642067,17.767,0.09,284,25,o,0,1.06,145.64842,-3.49018,4787.53,9363.63,2.22,2.06,28.9,-0.4,18.68,19.0,02a59154o0991o
59154.648557,17.905,0.144,250,36,o,0,1.12,145.64842,-3.49018,4768.37,9480.74,2.15,2.04,34.9,-0.412,18.55,18.76,02a59154o1005o
59156.579167,17.397,0.051,399,20,o,0,1.07,145.64842,-3.49018,7691.22,1062.75,2.21,2.08,-29.0,-0.413,18.96,19.36,01a59156o0791o
59156.582851,17.38,0.053,405,22,o,0,0.88,145.64842,-3.49018,7671.96,1023.66,2.14,1.97,-30.7,-0.413,19.03,19.37,01a59156o0799o
59156.589759,17.382,0.04,405,16,o,0,1.71,145.64842,-3.49018,7731.01,1101.4,2.31,2.04,-27.1,-0.399,19.06,19.5,01a59156o0814o
59156.599891,17.401,0.046,398,18,o,0,1.16,145.64842,-3.49018,7752.91,984.3,2.29,1.89,-12.9,-0.412,19.15,19.55,01a59156o0836o
59158.582484,17.186,0.045,485,22,o,0,0.76,145.64842,-3.49018,4822.02,9402.61,2.15,2.0,31.7,-0.42,18.98,19.51,02a59158o0852o
59158.586148,17.166,0.039,494,19,o,0,1.37,145.64842,-3.49018,4840.93,9441.56,2.2,2.0,36.7,-0.405,18.89,19.38,02a59158o0860o
59158.602958,17.158,0.041,497,20,o,0,1.16,145.64842,-3.49018,4763.45,9481.93,2.24,2.02,42.0,-0.409,19.07,19.66,02a59158o0896o
59160.616782,17.109,0.029,520,15,o,0,2.09,145.64842,-3.49018,3596.24,4650.98,2.27,1.96,-7.4,-0.416,19.12,19.71,01a59160o0937o
59160.633913,17.06,0.031,544,17,o,0,1.54,145.64842,-3.49018,3578.54,4613.07,2.19,1.94,-4.2,-0.392,19.21,19.76,01a59160o0973o
59160.63806,17.09,0.031,530,16,o,0,1.49,145.64842,-3.49018,3636.02,4690.86,2.44,2.01,-4.7,-0.402,19.12,19.75,01a59160o0982o
