MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59135.42338,-20.629,0.51,-20,10,c,0,1.18,346.01837,20.28475,6301.08,3834.89,2.4,2.26,45.0,-0.399,19.63,21.43,02a59135o0103c
59135.427079,-24.22,10.833,-1,8,c,0,2.18,346.01837,20.28475,6288.46,3794.29,2.39,2.3,52.1,-0.4,19.74,21.53,02a59135o0111c
59135.432629,18.326,0.062,170,10,c,0,12.19,346.01837,20.28475,6347.09,3871.51,3.04,2.98,20.7,-0.38,19.45,21.55,02a59135o0123c
59135.443639,-21.445,0.937,-10,9,c,0,1.3,346.01837,20.28475,6365.47,3754.4,2.59,2.53,-89.0,-0.387,19.55,21.43,02a59135o0147c
59137.360833,-20.128,0.328,-32,11,o,0,1.01,346.01837,20.28475,4129.94,2383.45,1.94,1.92,-34.6,-0.417,19.69,20.81,01a59137o0347o
59137.364054,21.577,1.344,8,11,o,0,1.49,346.01837,20.28475,4147.32,2421.61,2.1,1.97,7.8,-0.425,19.65,20.86,01a59137o0354o
59137.372126,22.129,2.038,5,10,o,0,1.5,346.01837,20.28475,4090.17,2343.87,2.14,2.13,-63.4,-0.389,19.54,20.74,01a59137o0371o
59137.385004,21.214,0.946,12,11,o,0,1.39,346.01837,20.28475,4074.8,2459.54,2.0,1.9,-7.8,-0.412,19.67,20.74,01a59137o0398o
59139.359951,21.263,1.075,11,12,c,0,0.73,346.01837,20.28475,2620.58,10347.68,2.47,2.18,-49.2,-0.416,19.79,21.7,02a59139o0348c
59139.360408,-21.19,0.743,-12,9,c,0,1.19,346.01837,20.28475,1757.94,133.37,2.51,2.17,-62.8,-0.404,19.82,21.72,02a59139o0349c
59139.362768,20.664,0.57,20,11,c,0,0.86,346.01837,20.28475,2601.61,10307.43,2.5,2.22,-56.4,-0.415,19.78,21.67,02a59139o0354c
59139.363683,-20.544,0.333,-22,7,c,0,2.28,346.01837,20.28475,1738.11,91.66,2.52,2.16,-60.7,-0.4,19.79,21.7,02a59139o0356c
59139.368263,-20.296,0.35,-28,10,c,0,0.95,346.01837,20.28475,2658.6,10387.71,2.5,2.18,-50.2,-0.407,19.82,21.69,02a59139o0366c
59139.369183,22.234,1.795,5,8,c,0,1.15,346.01837,20.28475,1799.06,171.42,2.49,2.19,-60.1,-0.402,19.82,21.71,02a59139o0368c
59139.379301,-19.206,0.144,-75,11,c,0,1.59,346.01837,20.28475,1821.03,54.37,2.56,2.22,-58.9,-0.389,19.78,21.71,02a59139o0390c
59139.38372,21.218,0.905,12,11,c,0,0.94,346.01837,20.28475,2680.4,10268.34,2.46,2.18,-48.7,-0.407,19.79,21.67,02a59139o0399c
59141.336016,20.324,0.359,27,10,o,0,1.91,346.01837,20.28475,4124.29,2381.49,1.76,1.7,-28.8,-0.435,19.82,20.88,01a59141o0184o
59141.346185,20.653,0.586,20,12,o,0,1.49,346.01837,20.28475,4145.41,2420.57,1.83,1.81,36.9,-0.423,19.79,20.92,01a59141o0204o
59141.352181,19.86,0.267,41,11,o,0,2.0,346.01837,20.28475,4087.79,2341.83,1.84,1.82,-83.8,-0.426,19.78,20.96,01a59141o0217o
59141.355761,21.921,1.419,6,9,o,0,3.54,346.01837,20.28475,4070.58,2459.15,1.77,1.74,-72.6,-0.422,19.8,20.96,01a59141o0224o
59143.326304,-21.55,1.955,-9,17,c,0,0.99,346.01837,20.28475,2627.18,10343.42,2.45,2.27,-62.6,-0.418,19.14,20.79,02a59143o0286c
59143.329506,20.573,0.504,21,11,c,0,1.78,346.01837,20.28475,2609.1,10305.9,2.5,2.32,-65.0,-0.424,19.43,21.22,02a59143o0293c
59143.331457,19.603,0.241,52,13,c,0,0.77,346.01837,20.28475,1763.52,130.51,2.51,2.25,-66.1,-0.388,19.18,20.99,02a59143o0297c
59143.334664,20.689,0.576,19,11,c,0,0.83,346.01837,20.28475,1743.0,93.26,2.5,2.25,-64.2,-0.383,19.65,21.46,02a59143o0304c
