MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59138.376154,20.031,0.772,35,27,o,0,1.15,345.24946,40.9106,6994.14,3073.77,2.22,2.13,-36.8,-0.4,18.48,19.67,01a59138o0333o
59138.379378,20.815,1.306,17,22,o,0,1.74,345.24946,40.9106,7014.78,3111.91,2.26,2.21,-59.8,-0.387,18.67,19.87,01a59138o0340o
59138.385379,19.83,0.379,42,16,o,0,1.4,345.24946,40.9106,6958.8,3036.29,2.18,2.1,-50.1,-0.387,19.05,20.24,01a59138o0353o
59138.395546,20.333,1.929,27,52,o,0,0.86,345.24946,40.9106,6942.42,3152.69,2.22,2.1,-23.7,-0.387,17.86,18.99,01a59138o0375o
59140.373133,21.386,1.07,10,11,c,0,1.08,345.24946,40.9106,9388.67,9682.13,2.76,2.56,-58.3,-0.377,19.6,21.46,02a59140o0396c
59140.37634,22.057,3.08,6,17,c,0,0.86,345.24946,40.9106,9369.24,9641.63,2.69,2.57,50.2,-0.378,19.3,21.09,02a59140o0403c
59140.381841,-21.238,0.983,-12,11,c,0,1.66,345.24946,40.9106,9426.19,9721.9,2.79,2.57,-58.9,-0.378,19.49,21.3,02a59140o0415c
59140.39287,-21.671,1.356,-8,11,c,0,1.58,345.24946,40.9106,9443.6,9604.03,2.7,2.65,-72.0,-0.376,19.56,21.52,02a59140o0439c
59142.312053,21.586,4.828,8,41,o,0,1.07,345.24946,40.9106,6977.32,3072.43,2.24,1.83,-10.2,-0.393,18.37,19.53,01a59142o0267o
59142.315747,20.465,1.138,24,27,o,0,1.07,345.24946,40.9106,6997.34,3110.83,2.07,1.89,-9.0,-0.399,18.64,19.79,01a59142o0275o
59142.321288,22.405,4.882,4,19,o,0,1.33,345.24946,40.9106,6941.5,3034.05,2.15,1.81,-7.8,-0.402,18.48,19.67,01a59142o0287o
59142.355635,20.933,0.598,15,9,o,0,1.35,345.24946,40.9106,6931.66,3148.78,2.29,1.97,-10.6,-0.393,19.68,20.93,01a59142o0360o
59144.329155,21.798,2.481,7,17,o,0,1.12,345.24946,40.9106,9397.4,9684.99,2.36,2.0,-62.7,-0.433,19.34,20.26,02a59144o0261o
59144.332859,-21.397,1.231,-10,12,o,0,1.18,345.24946,40.9106,9377.15,9643.66,2.7,1.96,-57.8,-0.416,19.49,20.54,02a59144o0269o
59144.342641,-22.059,2.022,-5,11,o,0,1.48,345.24946,40.9106,9433.71,9724.69,2.6,1.95,-60.6,-0.429,19.61,20.66,02a59144o0290o
59144.352351,22.512,2.933,4,10,o,0,1.2,345.24946,40.9106,9452.04,9607.26,2.61,1.93,-60.2,-0.423,19.57,20.64,02a59144o0311o
59146.372166,20.661,0.669,20,13,o,0,1.02,345.24946,40.9106,2091.0,9204.01,2.44,2.2,-64.9,-0.386,19.4,20.61,01a59146o0244o
59146.375395,-21.747,1.847,-7,13,o,0,0.72,345.24946,40.9106,2112.72,9244.25,2.11,1.9,-66.2,-0.413,19.56,20.62,01a59146o0251o
59146.381926,21.438,1.263,10,12,o,0,0.82,345.24946,40.9106,2052.77,9163.76,2.07,1.86,-62.6,-0.411,19.55,20.63,01a59146o0265o
59146.397134,23.823,7.4,1,8,o,0,1.46,345.24946,40.9106,2034.87,9281.12,1.94,1.72,-64.1,-0.419,19.59,20.58,01a59146o0298o
59148.340646,-21.659,1.782,-8,14,o,0,0.73,345.24946,40.9106,1038.42,5676.47,2.07,2.01,-4.0,-0.437,19.3,20.11,02a59148o0335o
59148.344323,21.225,1.126,12,13,o,0,0.97,345.24946,40.9106,1022.93,5639.07,2.15,2.04,1.9,-0.437,19.26,20.12,02a59148o0343o
59148.350317,24.176,21.0,1,16,o,0,1.13,345.24946,40.9106,1079.67,5713.17,2.17,2.08,4.6,-0.432,19.19,19.99,02a59148o0356o
59148.360869,-20.874,0.777,-16,13,o,0,1.15,345.24946,40.9106,1100.42,5595.67,2.11,1.91,26.5,-0.438,19.3,20.07,02a59148o0379o
59153.370032,20.392,0.739,25,19,o,0,1.07,345.24946,40.9106,1660.74,4820.26,1.88,1.85,-80.2,-0.427,18.92,19.02,01a59153o0353o
59153.3728,20.634,1.251,20,25,o,0,0.71,345.24946,40.9106,1681.16,4859.28,2.0,1.93,2.5,-0.434,18.83,19.01,01a59153o0359o
59153.390127,21.206,1.631,12,20,o,0,1.15,345.24946,40.9106,1625.88,4779.72,1.93,1.83,-86.8,-0.428,18.88,18.95,01a59153o0396o
59153.406587,21.913,3.393,6,21,o,0,0.98,345.24946,40.9106,1609.44,4894.65,1.91,1.81,-17.2,-0.415,18.8,18.89,01a59153o0431o
59154.357468,-20.626,0.826,-20,17,o,0,1.78,345.24946,40.9106,1662.47,4823.87,1.98,1.86,-19.5,-0.422,18.97,19.22,01a59154o0378o
59154.361159,22.177,3.492,5,17,o,0,1.28,345.24946,40.9106,1683.3,4862.82,2.03,1.86,-12.6,-0.413,18.94,19.21,01a59154o0386o
59154.367657,22.361,3.518,4,14,o,0,2.1,345.24946,40.9106,1625.83,4783.87,1.86,1.83,-38.3,-0.429,18.99,19.19,01a59154o0400o
59154.382863,21.217,1.705,12,20,o,0,0.97,345.24946,40.9106,1611.04,4900.04,1.95,1.9,-23.2,-0.417,18.9,19.16,01a59154o0433o
59155.418379,-17.671,0.587,-310,182,o,0,0.97,345.24946,40.9106,6938.97,5816.38,2.96,2.4,39.4,-0.39,16.7,16.88,02a59155o0463o
59155.428031,20.257,3.104,29,89,o,0,1.02,345.24946,40.9106,6920.97,5774.98,2.62,2.02,38.6,-0.4,17.4,17.42,02a59155o0484o
59155.448364,-16.823,1.307,-677,885,o,0,1.16,345.24946,40.9106,6977.52,5852.19,2.8,2.23,38.6,-0.403,15.25,15.15,02a59155o0528o
59155.452972,-17.711,6.034,-299,1804,o,0,1.0,345.24946,40.9106,6996.63,5735.22,2.67,2.2,37.1,-0.431,14.1,13.79,02a59155o0538o
59156.357443,19.507,0.257,57,15,o,0,1.61,345.24946,40.9106,6938.22,5816.69,2.41,1.81,38.8,-0.427,19.15,19.77,02a59156o0376o
59156.362991,19.176,0.202,78,16,o,0,1.2,345.24946,40.9106,6918.07,5776.53,2.41,1.83,39.9,-0.427,19.15,19.76,02a59156o0388o
59156.367113,19.379,0.225,64,14,o,0,1.72,345.24946,40.9106,6974.05,5854.48,2.45,1.87,37.9,-0.426,19.15,19.75,02a59156o0397o
59156.377665,19.707,0.359,48,17,o,0,0.86,345.24946,40.9106,6993.74,5738.48,2.43,1.82,39.0,-0.428,19.14,19.72,02a59156o0420o
59157.364657,19.35,0.209,66,14,o,0,1.4,345.24946,40.9106,1659.67,4820.99,1.77,1.65,-86.1,-0.446,19.21,19.62,01a59157o0296o
59157.368462,19.082,0.153,84,13,o,0,0.84,345.24946,40.9106,1679.71,4860.82,1.78,1.64,-85.7,-0.441,19.4,19.92,01a59157o0304o
59157.383836,18.975,0.14,93,13,o,0,1.14,345.24946,40.9106,1623.85,4781.99,1.79,1.68,-84.2,-0.442,19.43,19.94,01a59157o0336o
59157.398863,19.01,0.135,90,12,o,0,1.3,345.24946,40.9106,1606.14,4897.29,1.82,1.72,-83.6,-0.43,19.37,19.87,01a59157o0367o
59159.310747,18.02,0.335,225,75,c,0,1.06,345.24946,40.9106,6949.01,5814.77,3.03,2.69,37.4,-0.376,17.33,19.02,02a59159o0273c
59159.316769,19.127,1.106,81,90,c,0,1.1,345.24946,40.9106,6929.87,5779.04,2.97,2.61,37.6,-0.377,17.23,18.82,02a59159o0286c
59159.320745,17.833,0.278,267,74,c,0,1.03,345.24946,40.9106,6987.7,5854.26,2.97,2.61,37.3,-0.373,17.49,19.07,02a59159o0293c
59159.325488,17.453,0.25,379,95,c,0,1.03,345.24946,40.9106,7006.99,5736.95,3.05,2.73,38.3,-0.375,17.1,18.68,02a59159o0303c
59160.323331,17.232,1.72,464,799,c,0,0.97,345.24946,40.9106,7008.59,5744.97,2.92,2.48,35.6,-0.396,14.7,16.05,02a59160o0305c
59162.336377,16.606,0.016,827,13,o,0,1.89,345.24946,40.9106,5083.73,1255.41,2.15,1.96,-11.3,-0.399,19.61,20.76,01a59162o0334o
59162.339172,16.667,0.016,782,13,o,0,2.96,345.24946,40.9106,5104.33,1294.27,2.13,2.03,-31.2,-0.398,19.6,20.74,01a59162o0340o
59162.345688,16.666,0.018,783,14,o,0,2.17,345.24946,40.9106,5048.44,1216.94,2.14,2.04,-25.0,-0.402,19.61,20.75,01a59162o0354o
59162.360011,16.642,0.018,800,14,o,0,2.1,345.24946,40.9106,5034.6,1335.05,2.3,2.19,-19.7,-0.407,19.59,20.82,01a59162o0385o
59170.301671,15.667,0.008,1964,16,o,0,9.64,345.24946,40.9106,5622.35,5123.13,2.37,1.86,-83.9,-0.408,19.49,20.71,01a59170o0160o
59170.304899,15.744,0.016,1830,29,o,0,2.52,345.24946,40.9106,5642.73,5161.76,2.49,1.91,-83.6,-0.403,18.72,19.94,01a59170o0167o
59170.312278,15.688,0.009,1927,18,o,0,5.29,345.24946,40.9106,5585.94,5085.94,2.42,1.91,-82.5,-0.396,19.5,20.72,01a59170o0183o
59170.326107,15.7,0.009,1906,17,o,0,4.79,345.24946,40.9106,5569.08,5202.64,2.64,2.03,-85.2,-0.376,19.46,20.73,01a59170o0213o
59172.357586,15.384,0.008,2548,20,c,0,2.93,345.24946,40.9106,5422.46,7357.64,2.74,2.7,43.2,-0.392,19.47,21.33,02a59172o0089c
59172.368117,15.388,0.008,2539,20,c,0,2.56,345.24946,40.9106,5401.45,7315.96,2.89,2.74,37.2,-0.382,19.46,21.29,02a59172o0112c
59172.373636,15.383,0.008,2552,19,c,0,5.25,345.24946,40.9106,5457.99,7389.63,2.66,2.54,31.4,-0.389,19.55,21.35,02a59172o0124c
59172.377319,15.372,0.007,2577,19,c,0,3.27,345.24946,40.9106,5479.26,7273.67,2.64,2.58,30.0,-0.395,19.53,21.35,02a59172o0132c
59178.292483,15.671,0.011,1958,21,o,0,3.86,345.24946,40.9106,5665.15,7543.55,1.96,1.77,-70.6,-0.428,19.21,20.13,01a59178o0174o
59178.296184,15.675,0.013,1950,25,o,0,2.51,345.24946,40.9106,5685.56,7583.23,1.98,1.76,-72.1,-0.427,18.88,19.68,01a59178o0182o
59178.302196,15.737,0.033,1841,61,o,0,1.81,345.24946,40.9106,5626.86,7506.47,2.03,1.89,-62.9,-0.411,17.42,18.03,01a59178o0195o
59178.315579,15.695,0.05,1914,95,o,0,2.42,345.24946,40.9106,5607.87,7624.11,2.05,1.88,-60.1,-0.423,17.04,17.45,01a59178o0224o
59180.303017,15.736,0.012,1844,22,o,0,4.01,345.24946,40.9106,4353.58,1055.65,2.19,1.98,-53.9,-0.45,18.96,19.55,02a59180o0222o
59180.306234,15.738,0.014,1840,25,o,0,2.28,345.24946,40.9106,4334.53,1015.9,2.21,2.02,-52.9,-0.456,18.96,19.55,02a59180o0229o
59180.312219,15.755,0.012,1811,22,o,0,2.82,345.24946,40.9106,4394.6,1091.45,2.07,1.93,-53.5,-0.456,19.06,19.53,02a59180o0242o
59180.326,15.776,0.013,1776,23,o,0,2.49,345.24946,40.9106,4416.81,973.42,2.08,1.98,-58.2,-0.456,18.97,19.49,02a59180o0272o
59182.254776,15.893,0.014,1596,22,o,0,1.75,345.24946,40.9106,5655.5,7545.47,2.27,2.08,-21.3,-0.396,18.92,19.39,01a59182o0144o
59182.257541,15.872,0.013,1626,20,o,0,2.99,345.24946,40.9106,5677.25,7584.39,2.1,1.95,-33.4,-0.407,18.98,19.39,01a59182o0150o
