MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59162.620779,-21.39,1.182,-10,12,o,0,0.98,150.90379,45.29917,9027.92,7694.56,2.14,2.03,40.2,-0.397,19.41,20.18,01a59162o0947o
59162.626399,19.712,0.263,47,12,o,0,1.45,150.90379,45.29917,9009.76,7653.81,2.21,2.07,33.2,-0.399,19.36,20.21,01a59162o0959o
59162.639119,22.214,3.289,5,16,o,0,1.11,150.90379,45.29917,9068.39,7732.26,2.26,2.11,28.5,-0.398,19.23,19.96,01a59162o0985o
59162.643269,19.653,0.334,50,17,o,0,1.05,150.90379,45.29917,9088.0,7613.72,2.21,2.08,32.3,-0.4,19.14,19.79,01a59162o0994o
59170.624455,17.779,0.179,281,50,o,0,1.36,150.90379,45.29917,3320.86,3772.7,2.11,1.97,83.2,-0.422,17.9,19.03,01a59170o0832o
59170.634614,15.862,0.652,1641,1070,o,0,0.87,150.90379,45.29917,3358.08,3814.31,2.06,1.95,-86.9,-0.424,13.88,15.18,01a59170o0854o
59178.611503,17.358,0.027,414,11,o,0,1.93,150.90379,45.29917,7905.48,1356.76,2.02,1.95,-19.3,-0.415,19.81,21.33,01a59178o0752o
59178.615201,17.319,0.028,429,12,o,0,1.32,150.90379,45.29917,7884.74,1317.78,1.94,1.91,-18.5,-0.415,19.86,21.32,01a59178o0760o
59178.640575,17.537,0.032,351,11,o,0,1.95,150.90379,45.29917,7936.44,1395.7,2.02,1.96,-23.6,-0.414,19.78,21.25,01a59178o0814o
59178.647337,17.586,0.031,336,10,o,0,2.26,150.90379,45.29917,7955.05,1278.36,1.97,1.9,-39.4,-0.419,19.82,21.18,01a59178o0828o
59178.655808,17.355,0.035,415,15,o,0,1.3,150.90379,45.29917,7912.76,1335.81,2.05,1.91,-19.1,-0.411,19.57,20.64,01a59178o0845o
59182.524508,17.684,0.064,306,20,o,0,1.21,150.90379,45.29917,7922.76,1357.56,2.34,2.16,-47.6,-0.395,18.92,19.39,01a59182o0723o
59182.527275,17.537,0.049,351,17,o,0,1.77,150.90379,45.29917,7902.06,1322.86,2.36,2.22,-29.5,-0.387,18.86,19.4,01a59182o0729o
59182.53326,17.571,0.065,340,22,o,0,0.98,150.90379,45.29917,7961.02,1400.59,2.31,2.18,-34.5,-0.387,18.94,19.43,01a59182o0742o
59182.54295,17.581,0.049,337,17,o,0,2.2,150.90379,45.29917,7982.75,1284.51,2.43,2.21,-9.3,-0.38,18.97,19.48,01a59182o0763o
59184.524732,17.655,0.081,315,26,o,0,1.12,150.90379,45.29917,5468.69,989.21,2.05,1.94,-58.0,-0.457,18.8,19.14,02a59184o0745o
59184.526567,17.558,0.058,344,20,o,0,1.21,150.90379,45.29917,5487.36,1027.92,2.04,1.9,-57.9,-0.452,18.82,19.14,02a59184o0749o
59184.530232,17.648,0.074,317,24,o,0,1.12,150.90379,45.29917,5431.42,949.19,2.02,1.87,-55.0,-0.457,18.83,19.16,02a59184o0757o
59184.540354,17.584,0.059,336,20,o,0,1.4,150.90379,45.29917,5413.17,1067.22,2.0,1.95,-78.5,-0.459,18.81,19.19,02a59184o0779o
59186.590256,17.706,0.079,300,24,o,0,0.81,150.90379,45.29917,1437.2,8087.14,2.79,2.65,-72.2,-0.385,18.75,19.46,01a59186o0885o
59186.593508,17.806,0.091,274,25,o,0,1.21,150.90379,45.29917,1419.33,8050.32,2.97,2.75,23.3,-0.359,18.7,19.47,01a59186o0892o
59186.599038,17.855,0.076,262,20,o,0,0.91,150.90379,45.29917,1477.22,8125.46,2.32,2.07,-13.4,-0.391,18.96,19.49,01a59186o0904o
59186.612556,17.906,0.081,250,20,o,0,0.98,150.90379,45.29917,1495.67,8009.32,2.61,2.25,-42.2,-0.395,18.87,19.52,01a59186o0932o
59190.523908,18.082,0.067,212,14,o,0,1.28,150.90379,45.29917,1436.86,8070.82,2.01,1.84,-61.4,-0.423,19.36,20.24,01a59190o0728o
59190.527142,18.058,0.049,217,11,o,0,2.47,150.90379,45.29917,1418.16,8033.46,1.98,1.81,-67.6,-0.424,19.44,20.24,01a59190o0735o
59190.53129,18.017,0.06,226,14,o,0,1.46,150.90379,45.29917,1475.17,8109.93,2.0,1.84,-58.9,-0.423,19.43,20.24,01a59190o0744o
59190.536362,17.998,0.052,230,12,o,0,1.53,150.90379,45.29917,1495.39,7993.96,1.96,1.79,-71.3,-0.431,19.43,20.24,01a59190o0755o
59192.557683,18.13,0.056,203,11,o,0,1.41,150.90379,45.29917,7306.18,4569.78,2.25,2.07,47.2,-0.425,19.47,20.57,02a59192o0796o
59192.560011,18.209,0.06,189,11,o,0,1.21,150.90379,45.29917,7328.17,4609.34,2.29,2.07,51.4,-0.427,19.49,20.58,02a59192o0801o
59192.56375,18.065,0.061,216,13,o,0,0.91,150.90379,45.29917,7270.99,4532.19,2.21,2.04,52.7,-0.429,19.52,20.6,02a59192o0809o
59192.570613,18.073,0.058,214,12,o,0,0.91,150.90379,45.29917,7252.08,4648.95,2.35,2.02,46.9,-0.426,19.5,20.62,02a59192o0824o
59194.547956,17.978,0.044,234,10,c,0,1.51,150.90379,45.29917,7091.39,9969.94,2.63,2.47,28.1,-0.345,19.71,23.0,01a59194o0789c
59194.552105,18.183,0.042,194,8,c,0,2.26,150.90379,45.29917,7073.49,9928.83,2.46,2.37,-83.4,-0.349,19.76,23.07,01a59194o0798c
59194.557645,18.08,0.044,213,9,c,0,1.75,150.90379,45.29917,7131.04,10008.48,2.48,2.43,85.5,-0.357,19.76,23.04,01a59194o0810c
59194.57001,18.052,0.04,218,9,c,0,2.36,150.90379,45.29917,7150.09,9891.84,2.83,2.62,26.6,-0.333,19.63,23.04,01a59194o0836c
59200.52257,18.407,0.06,158,10,c,0,1.87,150.90379,45.29917,8705.19,8908.93,2.97,2.63,37.4,-0.376,19.7,21.75,02a59200o0683c
59200.532656,18.467,0.067,149,10,c,0,1.4,150.90379,45.29917,8733.37,8947.11,2.76,2.72,74.1,-0.385,19.75,21.75,02a59200o0705c
59200.567586,18.654,0.07,125,9,c,0,2.01,150.90379,45.29917,8679.13,8874.5,2.84,2.64,45.6,-0.388,19.78,21.81,02a59200o0718c
59200.572946,18.439,0.065,153,10,c,0,1.26,150.90379,45.29917,8657.21,8990.67,2.82,2.67,47.8,-0.389,19.76,21.82,02a59200o0729c
