MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59146.540218,22.744,4.455,3,13,c,0,1.24,66.58268,-10.09913,2938.61,8496.55,2.56,2.34,31.3,-0.396,19.7,21.55,02a59146o0710c
59146.543502,20.73,0.674,18,12,c,0,1.69,66.58268,-10.09913,2918.91,8457.44,2.58,2.33,36.2,-0.392,19.7,21.54,02a59146o0717c
59146.54994,-22.598,3.84,-3,13,c,0,1.25,66.58268,-10.09913,2977.24,8535.45,2.61,2.34,37.8,-0.39,19.7,21.53,02a59146o0731c
59146.565198,22.39,2.767,4,11,c,0,1.55,66.58268,-10.09913,3001.04,8422.34,2.57,2.37,47.6,-0.391,19.69,21.57,02a59146o0764c
59147.468187,-21.504,1.32,-9,12,o,0,1.48,66.58268,-10.09913,1290.5,4233.81,2.08,2.0,6.1,-0.414,19.51,20.56,01a59147o0377o
59147.470032,24.385,19.875,1,13,o,0,1.08,66.58268,-10.09913,1271.05,4194.59,1.96,1.89,89.7,-0.428,19.62,20.59,01a59147o0381o
59147.472799,23.084,5.261,2,11,o,0,1.98,66.58268,-10.09913,1329.24,4273.09,2.12,2.05,7.6,-0.417,19.51,20.58,01a59147o0387o
59147.477864,-24.594,29.286,0,16,o,0,1.01,66.58268,-10.09913,1350.55,4158.12,1.88,1.87,51.1,-0.422,19.66,20.63,01a59147o0398o
59148.458212,-20.269,1.944,-28,55,o,0,0.88,66.58268,-10.09913,1284.03,4235.1,2.04,2.03,76.7,-0.418,17.85,18.09,01a59148o0582o
59148.460056,-21.036,4.507,-14,63,o,0,0.84,66.58268,-10.09913,1264.42,4195.75,1.96,1.92,9.7,-0.413,17.76,17.86,01a59148o0586o
59148.46282,-17.826,0.324,-269,87,o,0,1.01,66.58268,-10.09913,1322.54,4274.64,1.96,1.87,-0.6,-0.417,17.23,17.24,01a59148o0592o
59148.467881,-19.165,0.623,-78,49,o,0,1.05,66.58268,-10.09913,1343.52,4158.26,1.94,1.9,-65.8,-0.418,17.91,18.04,01a59148o0603o
59150.590987,20.6,0.966,21,20,o,0,1.01,66.58268,-10.09913,2927.99,8497.66,2.3,2.07,47.7,-0.403,18.9,20.02,02a59150o0023o
59150.596111,17.6,0.99,331,328,o,0,0.96,66.58268,-10.09913,2908.06,8459.29,2.34,2.2,47.5,-0.405,16.0,17.13,02a59150o0034o
59150.59932,-15.999,0.875,-1447,1266,o,0,0.77,66.58268,-10.09913,2966.38,8537.85,2.24,2.12,51.7,-0.408,15.02,16.17,02a59150o0041o
59156.453103,-21.001,1.579,-14,23,o,0,0.58,66.58268,-10.09913,994.69,8601.95,1.85,1.68,-57.3,-0.433,19.01,19.24,01a59156o0521o
59156.454942,21.577,2.306,8,20,o,0,1.14,66.58268,-10.09913,975.64,8563.35,1.88,1.68,-54.1,-0.43,19.0,19.25,01a59156o0525o
59156.459228,20.698,1.069,19,20,o,0,1.29,66.58268,-10.09913,1034.69,8643.06,1.93,1.78,-42.0,-0.416,18.99,19.26,01a59156o0534o
59156.470775,-20.733,1.031,-18,19,o,0,0.86,66.58268,-10.09913,1056.23,8526.28,1.9,1.75,-48.9,-0.42,18.99,19.26,01a59156o0559o
59157.506648,-20.38,1.0,-26,26,o,0,2.05,66.58268,-10.09913,9146.78,8706.68,2.55,2.28,42.8,-0.419,18.89,19.4,02a59157o0701o
59157.510632,20.471,1.166,24,27,o,0,2.13,66.58268,-10.09913,9130.62,8663.92,2.71,2.47,45.7,-0.4,18.79,19.38,02a59157o0709o
59157.545965,-20.912,1.861,-16,29,o,0,1.54,66.58268,-10.09913,9189.19,8751.83,2.45,2.19,49.5,-0.425,18.87,19.34,02a59157o0785o
59157.552374,-20.921,2.16,-16,34,o,0,1.12,66.58268,-10.09913,9207.28,8636.09,2.48,2.21,52.7,-0.424,18.83,19.33,02a59157o0799o
59158.503184,-20.867,1.331,-16,22,o,0,1.28,66.58268,-10.09913,9155.22,8704.27,2.52,2.15,40.8,-0.427,19.13,19.84,02a59158o0682o
59158.506063,-19.913,0.945,-39,37,o,0,1.5,66.58268,-10.09913,9138.22,8666.4,2.55,2.18,41.0,-0.428,19.05,19.75,02a59158o0688o
59158.534447,20.552,1.19,22,26,o,0,1.28,66.58268,-10.09913,9191.44,8749.53,2.56,2.15,42.9,-0.417,18.88,19.62,02a59158o0749o
59158.562921,22.403,5.71,4,23,o,0,1.6,66.58268,-10.09913,9210.6,8635.54,2.52,2.1,48.2,-0.43,19.05,19.75,02a59158o0810o
59160.513544,-21.967,2.108,-6,12,o,0,1.52,66.58268,-10.09913,3605.88,8549.58,2.09,1.8,-10.8,-0.415,19.44,20.29,01a59160o0716o
59160.516772,20.552,0.6,22,13,o,0,3.67,66.58268,-10.09913,3625.74,8588.31,2.1,1.89,-16.9,-0.413,19.41,20.26,01a59160o0723o
59160.552219,-22.772,4.686,-3,13,o,0,1.17,66.58268,-10.09913,3572.25,8510.88,2.03,1.86,-17.6,-0.411,19.36,20.1,01a59160o0799o
59160.559314,20.934,1.093,15,17,o,0,1.49,66.58268,-10.09913,3551.33,8624.54,2.03,1.91,-38.8,-0.416,19.38,20.12,01a59160o0814o
59161.50741,20.576,0.791,21,17,o,0,1.34,66.58268,-10.09913,9147.64,8709.08,2.61,2.26,45.9,-0.418,19.33,20.45,02a59161o0698o
59161.510611,20.357,0.593,26,16,o,0,1.74,66.58268,-10.09913,9127.91,8670.82,2.57,2.22,47.9,-0.418,19.38,20.45,02a59161o0705o
59170.435867,17.3,0.044,436,19,c,0,4.59,66.58268,-10.09913,3701.47,10496.93,2.5,2.24,-56.2,-0.403,19.73,21.54,02a59170o0451c
59170.436324,17.049,0.027,550,15,c,0,2.05,66.58268,-10.09913,3617.31,286.53,2.36,2.2,-77.0,-0.41,19.66,21.52,02a59170o0452c
59170.438612,17.055,0.026,547,14,c,0,1.28,66.58268,-10.09913,3637.86,326.01,2.34,2.2,-72.5,-0.411,19.75,21.52,02a59170o0457c
59170.440899,16.977,0.029,588,17,c,0,3.34,66.58268,-10.09913,3663.67,10458.95,2.48,2.27,-56.5,-0.408,19.73,21.54,02a59170o0462c
59170.441357,17.023,0.028,563,16,c,0,2.66,66.58268,-10.09913,3578.94,246.89,2.37,2.22,-77.8,-0.408,19.72,21.52,02a59170o0463c
59170.446396,17.058,0.023,546,13,c,0,3.48,66.58268,-10.09913,3560.16,364.89,2.33,2.19,-83.2,-0.408,19.74,21.54,02a59170o0474c
