MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59145.519967,-20.493,0.361,-23,8,o,0,1.18,77.03656,10.38379,1555.92,3247.35,2.13,2.01,1.5,-0.431,19.7,21.17,01a59145o0561o
59145.521813,21.669,0.967,8,8,o,0,1.71,77.03656,10.38379,1535.56,3208.54,2.01,1.96,74.4,-0.43,19.78,21.21,01a59145o0565o
59145.541904,-22.681,2.41,-3,7,o,0,1.36,77.03656,10.38379,1593.76,3290.47,1.99,1.87,2.6,-0.42,19.77,21.17,01a59145o0606o
59145.550519,-21.941,1.13,-6,7,o,0,1.39,77.03656,10.38379,1610.86,3172.71,2.06,2.02,37.0,-0.416,19.76,21.19,01a59145o0624o
59145.645541,22.892,6.333,2,16,o,0,1.08,77.03656,10.38379,8998.9,7305.16,2.29,2.16,23.8,-0.39,19.09,19.64,01a59145o0810o
59146.553155,21.781,1.358,7,10,c,0,1.24,77.03656,10.38379,3181.95,7503.57,2.67,2.33,36.7,-0.38,19.7,21.51,02a59146o0738c
59146.556861,21.475,1.099,9,10,c,0,0.94,77.03656,10.38379,3163.03,7464.95,2.63,2.33,38.1,-0.382,19.66,21.51,02a59146o0746c
59146.563779,-21.346,0.963,-10,10,c,0,1.0,77.03656,10.38379,3219.84,7542.63,2.63,2.33,41.5,-0.384,19.71,21.51,02a59146o0761c
59146.598733,-21.873,1.314,-6,8,c,0,1.0,77.03656,10.38379,3234.36,7428.02,2.54,2.31,44.2,-0.392,19.68,21.46,02a59146o0836c
59148.349593,20.342,3.4,26,90,o,0,0.92,77.03656,10.38379,1563.33,3236.11,2.53,2.22,77.1,-0.391,16.89,17.6,01a59148o0350o
59148.353306,-20.623,1.824,-20,37,o,0,0.86,77.03656,10.38379,1541.2,3195.1,2.3,2.1,72.0,-0.411,18.37,18.75,01a59148o0358o
59148.377746,21.753,2.011,7,14,o,0,1.4,77.03656,10.38379,1600.98,3276.23,2.0,1.78,79.8,-0.419,19.21,19.77,01a59148o0410o
59148.395238,22.211,2.767,5,13,o,0,0.99,77.03656,10.38379,1616.87,3161.28,1.94,1.81,76.6,-0.421,19.29,19.88,01a59148o0447o
59153.473052,21.072,1.439,14,20,o,0,1.27,77.03656,10.38379,1246.4,7612.26,1.99,1.88,-31.8,-0.41,18.74,18.86,01a59153o0571o
59153.474907,19.754,0.525,46,24,o,0,0.95,77.03656,10.38379,1226.75,7574.56,1.83,1.74,-39.1,-0.469,18.85,18.91,01a59153o0575o
59153.482363,-26.68,262.0,0,20,o,0,0.91,77.03656,10.38379,1285.54,7654.13,1.97,1.85,-19.0,-0.426,18.84,18.93,01a59153o0591o
