MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59148.602935,18.25,2.157,182,392,o,0,1.13,149.45424,-13.62951,8990.81,7575.47,2.27,2.06,-82.0,-0.408,17.17,18.3,01a59148o0895o
59148.606158,0.0,19.335,0,67,o,0,0.94,149.45424,-13.62951,8974.04,7536.93,2.13,2.1,60.4,-0.391,17.56,18.53,01a59148o0902o
59148.624673,-21.194,2.065,-12,25,o,0,0.79,149.45424,-13.62951,9039.09,7613.83,2.06,2.02,63.9,-0.394,18.34,19.24,01a59148o0942o
59148.636193,22.084,3.5,5,19,o,0,1.08,149.45424,-13.62951,9063.39,7496.24,2.19,2.02,11.9,-0.392,18.98,19.86,01a59148o0967o
59154.620291,20.853,2.5,17,41,o,0,1.77,149.45424,-13.62951,7973.84,8718.4,2.26,2.08,36.7,-0.453,18.66,18.92,02a59154o0944o
59154.628199,19.888,1.203,40,48,o,0,1.17,149.45424,-13.62951,7992.61,8757.96,2.31,2.07,41.0,-0.449,18.6,18.92,02a59154o0961o
59154.643896,20.746,3.124,18,57,o,0,0.77,149.45424,-13.62951,7935.18,8679.6,2.3,2.05,42.1,-0.452,18.61,18.85,02a59154o0995o
59154.652143,-18.505,0.709,-144,102,o,0,1.66,149.45424,-13.62951,7918.59,8794.43,2.43,2.11,37.7,-0.456,18.15,18.25,02a59154o1012o
59156.587456,21.012,1.293,14,18,o,0,0.97,149.45424,-13.62951,4530.49,1761.63,2.16,2.0,-9.7,-0.413,18.97,19.39,01a59156o0809o
59156.5916,20.31,0.667,27,18,o,0,1.12,149.45424,-13.62951,4511.9,1722.99,2.21,2.05,-14.9,-0.413,18.95,19.4,01a59156o0818o
59156.597588,20.897,1.0,16,16,o,0,1.15,149.45424,-13.62951,4570.7,1802.27,2.12,1.85,-7.8,-0.418,19.04,19.44,01a59156o0831o
59156.613894,-20.934,1.126,-15,17,o,0,0.88,149.45424,-13.62951,4589.81,1688.55,2.14,1.89,-9.2,-0.41,19.0,19.38,01a59156o0866o
59158.58386,-20.395,0.995,-25,25,o,0,0.99,149.45424,-13.62951,7970.21,8719.06,2.33,2.03,37.8,-0.435,18.95,19.45,02a59158o0855o
59158.588458,18.875,0.913,102,93,o,0,0.77,149.45424,-13.62951,7989.2,8758.15,2.48,2.1,38.7,-0.435,17.71,18.46,02a59158o0865o
59158.594406,0.0,0.0,0,0,o,0,-0.0,149.45424,-13.62951,7931.58,8679.53,2.39,2.08,33.5,-0.516,17.29,18.22,02a59158o0878o
59158.60434,21.418,2.163,10,21,o,0,0.93,149.45424,-13.62951,7912.29,8796.91,2.25,2.01,40.9,-0.437,19.09,19.67,02a59158o0899o
59160.614938,19.589,0.278,53,15,o,0,1.11,149.45424,-13.62951,4592.06,5346.42,2.36,2.08,-7.8,-0.38,19.09,19.7,01a59160o0933o
59160.619085,19.856,0.34,42,14,o,0,1.24,149.45424,-13.62951,4572.88,5308.01,2.37,2.05,-6.4,-0.374,19.1,19.74,01a59160o0942o
59160.634836,20.002,0.384,36,14,o,0,1.03,149.45424,-13.62951,4633.25,5385.31,2.43,2.13,-5.8,-0.373,19.06,19.79,01a59160o0975o
59160.644995,21.419,1.758,10,17,o,0,1.12,149.45424,-13.62951,4655.3,5270.88,2.53,2.08,-3.5,-0.368,18.95,19.47,01a59160o0997o
59169.615815,17.102,0.026,524,14,c,0,1.39,149.45424,-13.62951,9756.08,3110.01,2.53,2.46,4.7,-0.393,19.61,21.29,02a59169o0946c
59169.621213,17.117,0.023,517,12,c,0,1.82,149.45424,-13.62951,9777.58,3150.43,2.53,2.47,-7.9,-0.394,19.59,21.3,02a59169o0957c
59169.639653,17.213,0.157,473,74,c,0,1.36,149.45424,-13.62951,9718.7,3072.34,2.78,2.47,21.7,-0.377,18.24,19.92,02a59169o0997c
59169.64799,16.392,1.352,1008,1363,c,0,1.27,149.45424,-13.62951,9699.65,3188.11,2.56,2.54,-59.1,-0.394,14.62,16.03,02a59169o1015c
59170.586721,16.976,0.022,588,13,c,0,1.78,149.45424,-13.62951,10142.51,7191.71,2.71,2.53,36.9,-0.396,19.64,21.31,02a59170o0777c
59170.590842,16.988,0.022,582,13,c,0,2.2,149.45424,-13.62951,10161.84,7230.56,2.74,2.52,37.4,-0.4,19.58,21.32,02a59170o0786c
59170.596797,16.995,0.023,578,14,c,0,1.68,149.45424,-13.62951,10101.1,7151.68,2.74,2.45,33.9,-0.396,19.64,21.33,02a59170o0799c
59170.600037,16.957,0.019,599,11,c,0,3.56,149.45424,-13.62951,135.46,7172.95,2.34,2.2,-14.5,-0.364,19.62,21.27,02a59170o0806c
59170.6037,16.867,0.021,651,14,c,0,1.86,149.45424,-13.62951,155.23,7211.38,2.34,2.18,-26.3,-0.372,19.62,21.28,02a59170o0814c
59170.607378,16.995,0.023,578,13,c,0,1.34,149.45424,-13.62951,10083.24,7268.57,2.69,2.5,37.6,-0.394,19.67,21.36,02a59170o0822c
59170.60922,16.89,0.02,637,13,c,0,2.04,149.45424,-13.62951,97.21,7134.08,2.41,2.29,-26.0,-0.367,19.61,21.3,02a59170o0826c
59170.630379,17.059,0.023,545,13,c,0,3.79,149.45424,-13.62951,74.41,7249.48,2.4,2.28,-27.2,-0.367,19.62,21.33,02a59170o0872c
59178.613377,16.577,0.015,849,13,c,0,1.67,149.45424,-13.62951,5863.42,3278.52,2.32,2.29,32.7,-0.401,19.65,21.35,02a59178o0390c
59178.617039,16.538,0.014,881,12,c,0,2.09,149.45424,-13.62951,5882.2,3316.9,2.3,2.26,45.6,-0.406,19.68,21.35,02a59178o0398c
59178.640115,16.516,0.014,899,13,c,0,1.87,149.45424,-13.62951,5823.03,3238.86,2.33,2.27,38.9,-0.401,19.67,21.31,02a59178o0446c
59178.649778,16.563,0.016,861,13,c,0,1.78,149.45424,-13.62951,5805.8,3354.9,2.29,2.26,33.7,-0.405,19.59,21.11,02a59178o0467c
59182.537589,16.883,0.037,641,24,o,0,1.34,149.45424,-13.62951,5859.75,3278.36,2.25,1.92,38.0,-0.449,18.74,19.14,02a59182o0773o
59182.540796,16.792,0.038,697,27,o,0,0.64,149.45424,-13.62951,5878.28,3316.83,2.34,1.97,36.6,-0.436,18.73,19.16,02a59182o0780o
59182.545371,16.789,0.037,699,26,o,0,1.1,149.45424,-13.62951,5820.11,3238.97,2.33,1.98,37.9,-0.442,18.72,19.19,02a59182o0790o
59182.554548,16.862,0.035,653,23,o,0,1.18,149.45424,-13.62951,5799.83,3354.82,2.36,2.0,38.3,-0.439,18.77,19.25,02a59182o0810o
59183.627711,16.816,0.026,682,18,o,0,1.62,149.45424,-13.62951,4874.37,9229.26,2.06,1.78,-9.1,-0.4,18.93,19.24,01a59183o0963o
59183.642496,16.886,0.029,639,18,o,0,1.46,149.45424,-13.62951,4858.18,9193.19,2.06,1.91,-21.6,-0.407,18.91,19.27,01a59183o0995o
59183.645729,16.863,0.031,653,20,o,0,1.15,149.45424,-13.62951,4917.84,9271.24,2.28,1.91,0.3,-0.405,18.86,19.28,01a59183o1002o
59183.656792,16.896,0.038,633,24,o,0,1.15,149.45424,-13.62951,4939.61,9155.01,2.47,2.04,-4.1,-0.357,18.56,18.89,01a59183o1026o
59184.595922,16.901,0.028,630,18,o,0,1.51,149.45424,-13.62951,6954.35,5736.97,2.22,2.14,-4.9,-0.395,19.05,19.47,01a59184o0792o
59184.597765,16.942,0.031,607,19,o,0,1.24,149.45424,-13.62951,6934.47,5697.8,2.15,2.09,-37.0,-0.398,19.04,19.47,01a59184o0796o
59184.607913,16.929,0.031,614,19,o,0,0.96,149.45424,-13.62951,6995.08,5776.04,2.19,2.14,-20.4,-0.397,19.06,19.5,01a59184o0818o
59184.617442,16.901,0.03,631,19,o,0,1.37,149.45424,-13.62951,7014.69,5659.46,2.11,2.01,-15.9,-0.403,19.11,19.54,01a59184o0838o
59186.57953,17.003,0.034,574,19,o,0,1.63,149.45424,-13.62951,5957.06,6855.18,2.18,1.86,33.2,-0.441,19.05,19.52,02a59186o0863o
59186.581815,17.029,0.039,560,22,o,0,0.76,149.45424,-13.62951,5975.91,6892.95,2.19,1.88,35.3,-0.443,19.07,19.53,02a59186o0868o
59186.58549,16.935,0.033,611,20,o,0,1.02,149.45424,-13.62951,5918.54,6815.64,2.24,1.91,36.5,-0.432,19.06,19.53,02a59186o0876o
59186.592382,17.017,0.034,567,19,o,0,1.07,149.45424,-13.62951,5899.35,6930.53,2.24,1.88,35.1,-0.432,19.07,19.55,02a59186o0891o
59189.601623,17.19,0.04,483,20,o,0,1.04,149.45424,-13.62951,5953.89,6854.75,2.2,1.89,34.5,-0.446,19.15,19.69,02a59189o0899o
59189.604832,17.151,0.038,501,19,o,0,1.11,149.45424,-13.62951,5972.71,6893.51,2.2,1.88,32.1,-0.442,19.14,19.7,02a59189o0906o
59189.608047,17.175,0.04,490,20,o,0,1.2,149.45424,-13.62951,5914.83,6815.58,2.2,1.88,32.4,-0.444,19.17,19.69,02a59189o0913o
59189.618054,17.138,0.036,507,18,o,0,0.99,149.45424,-13.62951,5894.85,6932.63,2.25,1.85,33.9,-0.44,19.14,19.69,02a59189o0934o
59190.563771,17.216,0.032,471,15,o,0,1.31,149.45424,-13.62951,5956.5,6854.35,2.3,1.91,35.6,-0.43,19.23,19.96,02a59190o0751o
59190.566545,17.247,0.034,458,16,o,0,1.83,149.45424,-13.62951,5974.39,6893.64,2.41,1.92,37.3,-0.429,19.23,19.97,02a59190o0757o
59190.570228,17.305,0.036,435,16,o,0,1.58,149.45424,-13.62951,5918.65,6814.73,2.34,1.89,34.1,-0.435,19.25,19.98,02a59190o0765o
59190.576218,17.329,0.038,425,16,o,0,1.54,149.45424,-13.62951,5897.84,6931.99,2.4,1.99,35.2,-0.428,19.21,19.98,02a59190o0778o
59191.467953,17.493,0.054,366,20,o,0,1.32,149.45424,-13.62951,6943.98,5733.02,2.88,2.57,-85.7,-0.377,18.83,19.8,01a59191o0616o
59191.474861,17.346,0.043,418,18,o,0,1.23,149.45424,-13.62951,6925.02,5694.31,2.66,2.49,-10.1,-0.35,18.91,19.86,01a59191o0631o
59191.489143,17.339,0.035,421,15,o,0,1.47,149.45424,-13.62951,6984.41,5770.96,2.43,2.25,-7.8,-0.375,19.15,19.99,01a59191o0662o
59191.495633,17.384,0.034,404,14,o,0,1.58,149.45424,-13.62951,7005.93,5655.25,2.39,2.29,-3.1,-0.376,19.13,20.01,01a59191o0676o
59192.593715,17.392,0.032,401,13,o,0,1.05,149.45424,-13.62951,7054.62,7665.7,2.79,2.43,-84.5,-0.385,19.32,20.73,01a59192o0890o
59192.596479,17.426,0.035,389,13,o,0,1.15,149.45424,-13.62951,7034.62,7626.67,2.7,2.3,-84.3,-0.402,19.37,20.73,01a59192o0896o
59192.602924,17.397,0.034,399,14,o,0,1.13,149.45424,-13.62951,7093.37,7703.71,2.72,2.5,-75.8,-0.398,19.33,20.75,01a59192o0910o
