MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59146.465147,-22.056,1.756,-6,10,c,0,1.56,40.08519,-1.44693,1853.69,4911.75,2.58,2.33,37.9,-0.408,19.69,21.6,02a59146o0599c
59146.468886,21.423,0.905,10,9,c,0,1.56,40.08519,-1.44693,1831.8,4872.07,2.57,2.31,37.9,-0.411,19.71,21.61,02a59146o0607c
59146.4749,-22.345,2.387,-4,10,c,0,1.27,40.08519,-1.44693,1891.92,4953.7,2.6,2.34,41.4,-0.41,19.7,21.61,02a59146o0620c
59146.487341,-20.897,0.546,-16,9,c,0,1.3,40.08519,-1.44693,1913.18,4840.12,2.56,2.36,50.7,-0.403,19.67,21.6,02a59146o0647c
59148.384496,20.097,0.471,33,16,o,0,1.32,40.08519,-1.44693,170.58,629.02,1.91,1.8,52.1,-0.474,19.43,20.15,01a59148o0424o
59148.387718,-22.268,3.596,-4,16,o,0,0.94,40.08519,-1.44693,150.51,590.37,1.85,1.73,47.5,-0.482,19.52,20.2,01a59148o0431o
59148.390485,-21.549,1.708,-9,15,o,0,1.56,40.08519,-1.44693,210.02,669.05,1.89,1.76,46.2,-0.479,19.43,20.12,01a59148o0437o
59148.404355,20.153,0.477,32,15,o,0,1.56,40.08519,-1.44693,228.35,555.31,1.9,1.79,56.1,-0.486,19.45,20.18,01a59148o0466o
59148.406199,-23.517,10.571,-1,15,o,0,0.99,40.08519,-1.44693,10357.74,636.63,2.38,2.07,-52.4,-0.355,19.43,20.25,01a59148o0470o
59148.40804,21.532,1.617,9,14,o,0,1.58,40.08519,-1.44693,10338.51,597.88,2.44,2.13,-50.8,-0.344,19.4,20.21,01a59148o0474o
59148.41868,22.832,5.739,3,15,o,0,0.86,40.08519,-1.44693,10396.79,675.08,2.5,2.23,-62.8,-0.356,19.42,20.26,01a59148o0497o
59148.424669,22.6,4.75,3,16,o,0,1.38,40.08519,-1.44693,10417.93,557.32,2.36,2.06,-52.6,-0.336,19.34,20.08,01a59148o0510o
59156.436295,21.355,1.308,10,14,o,0,1.41,40.08519,-1.44693,522.78,5563.57,1.9,1.78,-73.4,-0.427,19.14,19.46,01a59156o0485o
59156.43998,22.582,5.604,3,19,o,0,0.81,40.08519,-1.44693,542.97,5601.24,1.83,1.77,-49.9,-0.431,19.16,19.46,01a59156o0493o
59156.445505,-21.802,2.72,-7,19,o,0,1.03,40.08519,-1.44693,485.55,5523.19,1.76,1.68,-68.6,-0.436,19.2,19.47,01a59156o0505o
59156.478811,23.597,14.188,1,19,o,0,0.91,40.08519,-1.44693,468.89,5635.78,2.03,1.91,-43.0,-0.416,19.0,19.31,01a59156o0576o
59158.399533,19.63,2.673,51,136,o,0,1.37,40.08519,-1.44693,2502.54,5434.76,2.37,1.92,28.6,-0.431,15.61,16.01,02a59158o0465o
59158.40136,-19.782,0.841,-44,37,o,0,1.18,40.08519,-1.44693,2521.61,5475.34,2.36,1.85,29.5,-0.418,17.49,17.99,02a59158o0469o
59158.404189,20.091,1.545,33,52,o,0,1.05,40.08519,-1.44693,2465.34,5396.09,2.38,1.84,32.5,-0.423,17.18,18.89,02a59158o0475o
59158.413981,16.547,0.789,874,689,o,0,1.19,40.08519,-1.44693,2449.17,5514.21,2.47,1.92,30.6,-0.437,15.41,15.45,02a59158o0494o
59160.429515,-20.868,0.944,-16,15,o,0,1.54,40.08519,-1.44693,4607.25,1953.92,2.01,1.74,-1.2,-0.423,19.17,19.94,01a59160o0535o
59160.433201,-23.902,12.8,-1,13,o,0,1.73,40.08519,-1.44693,4627.04,1993.43,2.03,1.75,-2.9,-0.42,19.2,19.98,01a59160o0543o
59160.440575,19.777,0.777,45,35,o,0,1.05,40.08519,-1.44693,4569.88,1916.09,2.01,1.74,0.6,-0.42,18.29,18.84,01a59160o0559o
59160.450729,-20.446,1.319,-24,32,o,0,1.53,40.08519,-1.44693,4551.65,2031.91,2.02,1.81,0.9,-0.422,18.61,19.32,01a59160o0581o
59164.557386,20.318,0.542,27,15,o,0,1.03,40.08519,-1.44693,4620.02,1955.42,2.33,2.23,-24.5,-0.407,19.25,20.25,01a59164o0300o
59164.561534,20.826,0.755,17,13,o,0,1.49,40.08519,-1.44693,4640.13,1995.25,2.25,2.17,-32.5,-0.399,19.3,20.25,01a59164o0309o
59164.567532,-21.075,0.947,-14,13,o,0,1.61,40.08519,-1.44693,4581.34,1918.04,2.41,2.25,-19.8,-0.395,19.18,20.18,01a59164o0322o
59164.585174,21.157,1.288,12,16,o,0,1.61,40.08519,-1.44693,4559.24,2037.65,2.74,2.54,-13.4,-0.391,18.94,19.92,01a59164o0359o
59170.364274,18.463,0.059,150,9,c,0,2.06,40.08519,-1.44693,4757.41,3896.06,2.37,2.17,30.1,-0.405,19.74,21.51,02a59170o0322c
59170.367529,18.485,0.067,146,10,c,0,1.42,40.08519,-1.44693,4779.51,3933.03,2.36,2.18,32.3,-0.407,19.75,21.5,02a59170o0329c
59170.377277,18.494,0.075,145,11,c,0,0.94,40.08519,-1.44693,4724.02,3856.91,2.39,2.2,31.8,-0.402,19.69,21.46,02a59170o0350c
59170.415488,18.277,0.064,178,11,c,0,1.21,40.08519,-1.44693,5878.31,6592.61,2.71,2.33,42.6,-0.394,19.71,21.51,02a59170o0407c
59178.491461,17.409,0.106,395,42,o,0,1.03,40.08519,-1.44693,6034.07,369.19,2.21,1.77,-53.2,-0.474,18.26,18.51,02a59178o0134o
59178.495617,17.403,0.084,397,33,o,0,0.83,40.08519,-1.44693,6013.71,331.39,2.08,1.75,-55.6,-0.464,18.39,18.56,02a59178o0143o
59178.499276,17.375,0.105,407,43,o,0,1.45,40.08519,-1.44693,6077.44,10495.9,2.35,2.04,-50.0,-0.438,18.77,19.23,02a59178o0151o
59178.517003,17.411,0.069,394,27,o,0,0.87,40.08519,-1.44693,6077.36,404.98,2.28,1.79,-48.3,-0.45,18.84,19.31,02a59178o0187o
59178.530678,17.399,0.065,399,26,o,0,1.47,40.08519,-1.44693,6093.89,287.86,2.28,1.81,-52.6,-0.452,18.88,19.61,02a59178o0216o
59184.442722,17.382,0.064,405,26,o,0,0.91,40.08519,-1.44693,2261.94,1565.06,1.97,1.93,49.4,-0.42,18.86,19.03,01a59184o0464o
59184.445949,17.555,0.056,345,19,o,0,1.42,40.08519,-1.44693,2281.93,1604.28,1.87,1.85,11.2,-0.429,18.92,19.02,01a59184o0471o
59184.451478,17.258,0.047,454,21,o,0,1.11,40.08519,-1.44693,2223.54,1526.73,1.99,1.94,20.7,-0.413,18.85,19.0,01a59184o0483o
59184.462087,17.411,0.064,394,25,o,0,1.3,40.08519,-1.44693,2205.49,1644.54,2.32,2.09,26.0,-0.391,18.71,18.94,01a59184o0506o
59186.407376,17.586,0.066,336,22,o,0,1.19,40.08519,-1.44693,10124.87,6985.04,2.32,2.18,-71.0,-0.439,19.16,19.83,02a59186o0492o
59186.411063,17.544,0.054,349,19,o,0,1.93,40.08519,-1.44693,10106.14,6946.04,2.33,2.18,-65.6,-0.436,19.17,19.82,02a59186o0500o
59186.413445,-21.085,1.556,-13,21,o,0,1.14,40.08519,-1.44693,39.15,6868.51,2.01,1.91,-57.9,-0.42,19.17,19.83,02a59186o0505o
59186.41851,17.528,0.062,354,22,o,0,1.2,40.08519,-1.44693,10164.51,7024.19,2.34,2.21,-66.1,-0.436,19.15,19.82,02a59186o0516o
59186.429557,17.402,0.048,397,19,o,0,1.22,40.08519,-1.44693,10185.4,6905.4,2.36,2.15,-61.4,-0.439,19.14,19.79,02a59186o0540o
59189.362099,-20.974,1.202,-15,18,c,0,0.79,40.08519,-1.44693,40.97,6871.07,2.4,2.32,42.3,-0.376,19.69,21.46,02a59189o0389c
59190.363953,-21.242,2.01,-12,23,c,0,0.44,40.08519,-1.44693,39.99,6869.19,2.41,2.34,-55.2,-0.383,19.59,21.55,02a59190o0332c
59190.378157,17.465,0.033,375,12,c,0,1.8,40.08519,-1.44693,10126.96,6982.49,2.86,2.76,71.2,-0.397,19.64,21.57,02a59190o0361c
59190.386994,17.577,0.036,338,12,c,0,1.41,40.08519,-1.44693,10103.0,6944.18,2.78,2.64,50.7,-0.401,19.67,21.5,02a59190o0379c
59190.390236,17.512,0.034,359,12,c,0,1.53,40.08519,-1.44693,10162.87,7019.61,2.74,2.66,-87.8,-0.405,19.72,21.48,02a59190o0386c
59190.393933,17.524,0.03,355,11,c,0,2.66,40.08519,-1.44693,10181.18,6905.65,2.74,2.65,58.7,-0.399,19.69,21.47,02a59190o0394c
59192.38197,17.845,0.053,264,14,o,0,1.09,40.08519,-1.44693,2193.66,9825.28,2.41,2.3,-48.1,-0.408,19.61,21.15,01a59192o0435o
59192.385197,17.742,0.047,290,14,o,0,1.32,40.08519,-1.44693,2213.41,9864.4,2.52,2.29,-28.4,-0.404,19.59,21.21,01a59192o0442o
59192.391257,17.815,0.05,272,14,o,0,1.17,40.08519,-1.44693,2155.05,9785.92,2.5,2.38,-51.8,-0.403,19.55,21.17,01a59192o0455o
59192.403793,17.867,0.051,259,13,o,0,1.16,40.08519,-1.44693,2136.4,9904.9,2.49,2.19,-77.0,-0.422,19.65,21.22,01a59192o0482o
59193.349106,17.742,0.039,290,11,c,0,1.38,40.08519,-1.44693,10121.2,6977.01,2.81,2.72,72.9,-0.4,19.71,21.71,02a59193o0365c
59193.352306,17.775,0.035,282,10,c,0,2.64,40.08519,-1.44693,10102.16,6938.29,2.79,2.64,-74.2,-0.406,19.75,21.69,02a59193o0372c
59193.357812,17.696,0.037,303,11,c,0,1.62,40.08519,-1.44693,10161.36,7016.39,2.81,2.69,-78.2,-0.405,19.77,21.73,02a59193o0384c
59193.368344,17.689,0.038,305,12,c,0,1.41,40.08519,-1.44693,10181.47,6901.96,2.85,2.71,53.7,-0.397,19.71,21.72,02a59193o0407c
