MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59200.463388,-21.576,0.9,-8,8,c,0,1.37,118.7911,44.13118,8084.61,999.7,2.49,2.2,-60.4,-0.409,19.78,21.69,02a59200o0556c
59200.487393,21.277,0.767,11,9,c,0,0.94,118.7911,44.13118,8111.96,1040.71,2.56,2.31,-60.5,-0.404,19.73,21.73,02a59200o0607c
59200.490598,22.084,1.349,5,7,c,0,1.38,118.7911,44.13118,8055.25,962.98,2.49,2.26,-68.2,-0.405,19.71,21.73,02a59200o0614c
59200.496083,-20.451,0.324,-24,8,c,0,1.17,118.7911,44.13118,8035.08,1081.76,2.59,2.27,-56.7,-0.405,19.74,21.73,02a59200o0626c
59202.642261,-24.075,7.875,-1,7,c,0,1.11,118.7911,44.13118,3916.83,6734.71,2.41,2.33,-68.9,-0.373,19.76,21.86,01a59202o0224c
59202.64832,-20.902,0.422,-16,7,c,0,1.56,118.7911,44.13118,3937.07,6774.05,2.45,2.28,-72.8,-0.38,19.76,21.82,01a59202o0237c
59202.651093,-22.618,2.167,-3,7,c,0,1.54,118.7911,44.13118,3878.37,6695.93,2.43,2.36,-64.3,-0.369,19.76,21.75,01a59202o0243c
59202.655253,21.415,0.805,10,8,c,0,1.14,118.7911,44.13118,3860.02,6811.93,2.57,2.46,-62.4,-0.364,19.64,21.51,01a59202o0252c
59206.443425,-20.943,0.643,-15,10,o,0,1.21,118.7911,44.13118,6651.81,3823.58,2.22,2.08,-2.3,-0.397,19.52,20.61,01a59206o0533o
59206.448568,-20.973,0.817,-15,12,o,0,0.77,118.7911,44.13118,6629.41,3787.06,2.57,2.17,-1.3,-0.413,19.42,20.62,01a59206o0544o
59206.452253,21.951,1.815,6,11,o,0,1.05,118.7911,44.13118,6688.12,3866.25,2.13,2.05,-12.6,-0.406,19.55,20.66,01a59206o0552o
59206.468099,-24.837,24.5,0,10,o,0,0.84,118.7911,44.13118,6706.8,3748.7,2.27,2.19,0.8,-0.405,19.55,20.77,01a59206o0585o
59208.460162,20.669,0.58,20,11,o,0,1.38,118.7911,44.13118,6214.41,1122.61,2.05,1.88,-63.6,-0.454,19.3,20.06,02a59208o0581o
59208.462905,20.318,0.479,27,13,o,0,1.0,118.7911,44.13118,6233.46,1161.22,2.04,1.9,-65.1,-0.446,19.26,20.07,02a59208o0587o
59208.465662,-20.964,0.752,-15,11,o,0,2.05,118.7911,44.13118,6178.62,1083.87,2.12,1.92,-62.8,-0.449,19.28,20.06,02a59208o0593o
59208.474511,-21.334,1.162,-11,12,o,0,0.97,118.7911,44.13118,6161.66,1202.56,2.09,1.99,76.6,-0.439,19.23,20.08,02a59208o0612o
59209.482874,20.985,1.046,15,15,o,0,0.81,118.7911,44.13118,10120.57,9757.67,2.26,2.07,78.3,-0.386,19.35,20.05,01a59209o0623o
59209.487029,20.031,0.462,35,16,o,0,1.49,118.7911,44.13118,10104.98,9717.59,2.47,2.31,17.0,-0.435,19.17,20.05,01a59209o0632o
59209.500896,-20.732,0.847,-18,16,o,0,1.13,118.7911,44.13118,10158.24,9798.82,3.31,2.39,3.9,-0.361,19.12,20.08,01a59209o0661o
59209.507669,23.812,13.545,1,15,o,0,1.28,118.7911,44.13118,301.06,908.72,2.17,2.04,34.5,-0.474,19.32,20.11,01a59209o0674o
59210.511976,20.453,0.721,24,17,o,0,1.41,118.7911,44.13118,9896.33,818.31,2.51,2.24,-40.4,-0.362,18.93,19.55,01a59210o0267o
59210.519862,20.45,0.814,24,20,o,0,1.36,118.7911,44.13118,9900.68,817.33,2.52,2.24,-27.3,-0.348,18.77,19.35,01a59210o0284o
59216.443205,19.658,0.41,50,20,o,0,1.54,118.7911,44.13118,1237.71,3072.96,2.22,2.18,54.1,-0.444,18.69,19.22,02a59216o0544o
59216.447787,19.323,0.28,68,19,o,0,1.97,118.7911,44.13118,1263.05,3112.17,2.47,2.3,41.2,-0.414,18.63,19.21,02a59216o0554o
59216.455658,18.983,0.229,93,21,o,0,1.47,118.7911,44.13118,1203.25,3032.37,2.26,2.23,41.6,-0.426,18.68,19.2,02a59216o0571o
59216.471784,18.915,0.241,99,24,o,0,1.18,118.7911,44.13118,1187.28,3148.43,2.38,2.22,-58.8,-0.431,18.7,19.21,02a59216o0605o
59218.496764,19.106,0.15,83,12,o,0,1.21,118.7911,44.13118,7792.39,5047.44,2.22,2.14,-40.5,-0.41,19.39,20.26,01a59218o0648o
59218.499989,19.114,0.159,82,13,o,0,1.31,118.7911,44.13118,7814.63,5085.71,2.46,2.11,-6.1,-0.372,19.34,20.26,01a59218o0655o
59218.505554,19.081,0.152,85,13,o,0,1.31,118.7911,44.13118,7755.44,5009.07,2.35,2.18,-24.1,-0.404,19.33,20.25,01a59218o0667o
59218.516622,18.851,0.13,105,14,o,0,1.07,118.7911,44.13118,7739.55,5124.88,2.35,2.13,-2.3,-0.404,19.36,20.27,01a59218o0691o
59220.499349,18.647,0.082,126,10,o,0,1.48,118.7911,44.13118,5893.01,1594.45,1.92,1.87,38.4,-0.452,19.55,20.54,02a59220o0658o
59220.502548,18.766,0.111,113,12,o,0,0.95,118.7911,44.13118,5873.94,1555.82,1.94,1.9,49.3,-0.449,19.5,20.52,02a59220o0665o
59220.508521,18.836,0.096,106,10,o,0,1.61,118.7911,44.13118,5931.77,1633.07,1.93,1.86,41.2,-0.448,19.53,20.5,02a59220o0678o
59220.518593,18.551,0.095,138,13,o,0,0.93,118.7911,44.13118,5953.95,1516.03,1.9,1.9,67.8,-0.453,19.52,20.45,02a59220o0700o
59221.434338,18.405,0.055,158,9,c,0,1.19,118.7911,44.13118,2728.16,5490.69,2.38,2.25,-79.3,-0.397,19.84,21.92,01a59221o0506c
59221.436213,18.394,0.067,159,11,c,0,1.66,118.7911,44.13118,2711.84,5452.58,2.39,2.26,-77.7,-0.418,19.52,21.66,01a59221o0510c
59221.45272,18.464,0.05,149,8,c,0,1.19,118.7911,44.13118,2764.16,5530.5,2.39,2.21,-76.3,-0.396,19.86,21.92,01a59221o0541c
59221.474008,18.376,0.051,162,8,c,0,1.48,118.7911,44.13118,7722.02,5125.45,2.67,2.53,-82.4,-0.382,19.81,21.94,01a59221o0582c
59222.353138,18.297,0.052,174,9,c,0,1.56,118.7911,44.13118,2745.37,5478.79,2.91,2.35,8.3,-0.378,19.65,21.81,01a59222o0347c
59222.366569,18.328,0.05,169,8,c,0,1.61,118.7911,44.13118,2720.65,5436.69,2.41,2.3,-61.5,-0.399,19.8,21.8,01a59222o0376c
59222.374927,18.369,0.051,163,8,c,0,1.33,118.7911,44.13118,2777.58,5512.94,2.41,2.24,-76.8,-0.398,19.84,21.88,01a59222o0394c
