MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59200.628016,-21.666,0.949,-8,7,c,0,1.39,176.66458,42.2003,3472.5,4759.02,2.51,2.36,50.7,-0.4,19.73,21.88,02a59200o0848c
59206.559491,-21.353,1.354,-10,14,c,0,1.37,176.66458,42.2003,4683.95,51.78,2.54,2.5,8.3,-0.406,19.79,22.04,01a59206o0773c
59206.559952,-22.581,2.107,-3,7,c,0,1.42,176.66458,42.2003,5078.28,10246.22,2.58,2.44,-65.2,-0.385,19.74,22.02,01a59206o0774c
59206.562716,-23.121,4.167,-2,8,c,0,1.11,176.66458,42.2003,5060.12,10207.5,2.51,2.37,-62.1,-0.384,19.78,22.02,01a59206o0780c
59206.56502,20.823,0.718,17,12,c,0,1.36,176.66458,42.2003,4724.43,94.78,2.98,2.57,-1.5,-0.379,19.68,22.01,01a59206o0785c
59206.565479,-22.572,2.333,-3,8,c,0,1.01,176.66458,42.2003,5117.04,10287.87,2.51,2.34,-70.0,-0.389,19.79,21.99,01a59206o0786c
59206.576084,-22.394,2.0,-4,8,c,0,0.98,176.66458,42.2003,5137.16,10169.87,2.46,2.31,-68.0,-0.383,19.81,22.01,01a59206o0809c
59208.605423,22.451,2.1,4,8,c,0,1.76,176.66458,42.2003,1539.18,4805.6,2.44,2.33,60.7,-0.417,19.7,21.59,02a59208o0887c
59208.608644,-22.215,1.694,-5,8,c,0,1.2,176.66458,42.2003,1558.99,4844.95,2.53,2.35,48.7,-0.413,19.71,21.6,02a59208o0894c
59208.611388,20.819,0.481,17,8,c,0,0.95,176.66458,42.2003,1500.47,4765.05,2.46,2.35,60.0,-0.42,19.72,21.61,02a59208o0900c
59208.623775,21.354,0.854,10,9,c,0,1.1,176.66458,42.2003,1482.77,4882.37,2.44,2.36,44.3,-0.416,19.74,21.67,02a59208o0927c
59212.609471,20.585,0.884,21,19,o,0,1.0,176.66458,42.2003,4680.47,6901.79,2.41,1.92,43.4,-0.423,18.98,19.48,02a59212o0907o
59212.613155,19.88,0.499,41,20,o,0,0.97,176.66458,42.2003,4700.5,6940.91,2.42,1.94,42.9,-0.425,18.98,19.49,02a59212o0915o
59212.619378,20.521,0.905,22,20,o,0,0.85,176.66458,42.2003,4643.9,6863.59,2.41,1.9,42.1,-0.428,18.99,19.49,02a59212o0928o
59212.625352,19.242,0.24,73,18,o,0,1.55,176.66458,42.2003,4627.72,6979.43,2.38,1.91,42.5,-0.425,18.94,19.47,02a59212o0941o
59214.516531,20.163,0.585,31,18,o,0,0.95,176.66458,42.2003,5185.8,5877.12,2.11,2.03,-34.9,-0.377,18.84,19.12,01a59214o0703o
59214.518375,19.196,0.235,76,18,o,0,1.43,176.66458,42.2003,5167.77,5840.68,2.29,2.04,3.3,-0.369,18.79,19.13,01a59214o0707o
59214.523938,19.138,0.207,80,17,o,0,1.01,176.66458,42.2003,5225.58,5918.27,2.07,1.97,-22.0,-0.386,18.86,19.16,01a59214o0719o
59214.529115,19.223,0.248,74,18,o,0,1.09,176.66458,42.2003,5245.85,5805.37,2.3,2.04,-4.2,-0.373,18.85,19.18,01a59214o0729o
59216.527277,18.797,0.209,110,23,o,0,1.25,176.66458,42.2003,4667.83,6901.06,2.37,2.18,42.0,-0.406,18.61,19.1,02a59216o0725o
59216.532803,19.123,0.364,81,30,o,0,0.97,176.66458,42.2003,4686.29,6939.85,2.67,2.43,45.2,-0.405,18.57,19.12,02a59216o0737o
59216.534632,18.799,0.287,110,32,o,0,1.14,176.66458,42.2003,4627.86,6860.62,3.05,2.93,32.7,-0.388,18.32,19.11,02a59216o0741o
59216.540157,18.618,0.212,130,28,o,0,1.15,176.66458,42.2003,4608.98,6977.7,2.92,2.76,62.3,-0.4,18.41,19.13,02a59216o0753o
59218.58869,18.803,0.164,109,18,o,0,0.97,176.66458,42.2003,607.33,1797.81,2.02,1.89,65.1,-0.449,19.31,20.03,01a59218o0846o
59218.59192,18.628,0.124,128,16,o,0,0.77,176.66458,42.2003,585.41,1760.05,2.05,1.97,61.3,-0.443,19.29,20.03,01a59218o0853o
59218.595625,18.621,0.117,129,15,o,0,1.4,176.66458,42.2003,646.88,1836.25,2.5,2.06,10.2,-0.421,19.17,20.05,01a59218o0861o
59218.600699,18.324,0.079,170,13,o,0,1.45,176.66458,42.2003,663.9,1718.25,2.04,1.97,53.0,-0.446,19.31,20.06,01a59218o0872o
59220.57539,18.258,0.072,181,13,o,0,0.83,176.66458,42.2003,4798.78,2543.77,2.12,1.96,56.1,-0.443,19.51,20.62,02a59220o0823o
59220.578165,18.508,0.068,144,10,o,0,1.81,176.66458,42.2003,4823.17,2583.66,2.08,1.92,50.9,-0.448,19.52,20.59,02a59220o0829o
59220.602879,18.332,0.071,169,12,o,0,1.32,176.66458,42.2003,4773.09,2507.21,2.14,1.99,53.2,-0.44,19.47,20.54,02a59220o0882o
59220.608846,18.386,0.082,161,13,o,0,0.88,176.66458,42.2003,4753.01,2625.59,2.12,1.92,47.5,-0.447,19.49,20.53,02a59220o0895o
59222.542773,18.115,0.063,206,13,o,0,0.68,176.66458,42.2003,614.66,1785.77,2.01,1.91,60.9,-0.436,19.68,20.86,01a59222o0742o
59222.544623,18.271,0.055,179,10,o,0,1.8,176.66458,42.2003,592.6,1749.63,1.95,1.84,63.0,-0.442,19.7,20.87,01a59222o0746o
59222.547402,18.219,0.058,187,11,o,0,1.23,176.66458,42.2003,654.41,1824.51,2.07,1.96,66.3,-0.436,19.63,20.88,01a59222o0752o
59222.553864,18.192,0.062,192,12,o,0,1.15,176.66458,42.2003,672.42,1708.22,2.46,2.14,2.4,-0.388,19.51,20.88,01a59222o0766o
59226.556539,18.113,0.046,206,9,c,0,1.5,176.66458,42.2003,1219.69,5659.8,2.83,2.72,-79.5,-0.363,19.7,22.25,01a59226o0743c
59226.558841,18.205,0.049,190,9,c,0,1.04,176.66458,42.2003,1199.56,5622.23,2.86,2.61,-82.3,-0.378,19.76,22.25,01a59226o0748c
59226.562062,17.983,0.037,233,9,c,0,1.55,176.66458,42.2003,1256.43,5700.05,2.88,2.74,-65.4,-0.377,19.68,22.25,01a59226o0755c
59226.567587,18.024,0.044,224,10,c,0,1.37,176.66458,42.2003,1276.67,5584.23,4.06,2.76,-5.2,-0.365,19.59,22.26,01a59226o0767c
59228.581381,17.957,0.043,238,10,c,0,1.64,176.66458,42.2003,1802.38,8702.64,2.57,2.52,-65.0,-0.405,19.67,21.85,02a59228o0760c
59228.58321,18.137,0.052,202,10,c,0,1.08,176.66458,42.2003,1822.26,8743.49,2.57,2.52,-69.2,-0.405,19.75,21.92,02a59228o0764c
