MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59197.612306,-18.108,0.085,-207,18,c,0,31.0,186.61257,31.22238,9389.1,3067.34,2.71,2.57,-43.9,-0.373,19.81,21.98,01a59197o0723c
59197.617842,18.627,0.151,129,19,c,0,40.27,186.61257,31.22238,9369.02,3028.04,2.83,2.71,-32.1,-0.357,19.81,22.0,01a59197o0735c
59197.621545,-17.217,0.032,-471,15,c,0,27.36,186.61257,31.22238,9427.45,3105.36,2.78,2.67,-63.1,-0.357,19.81,21.99,01a59197o0743c
59197.643698,-17.143,0.033,-504,17,c,0,25.31,186.61257,31.22238,9446.59,2988.78,2.98,2.61,3.2,-0.368,19.76,21.92,01a59197o0791c
59205.611421,-18.394,0.109,-159,17,c,0,40.74,186.61257,31.22238,8707.72,9360.14,2.5,2.36,74.1,-0.352,19.92,21.78,01a59205o0827c
59205.61622,-18.081,0.082,-213,17,c,0,25.7,186.61257,31.22238,8688.08,9320.56,2.42,2.26,80.7,-0.366,20.01,21.85,01a59205o0836c
59205.622213,-19.045,0.22,-88,19,c,0,26.17,186.61257,31.22238,8748.11,9401.92,2.56,2.45,41.0,-0.346,19.9,21.8,01a59205o0849c
59205.644526,-18.002,0.08,-229,18,c,0,16.01,186.61257,31.22238,8767.72,9281.69,2.53,2.37,82.3,-0.348,19.94,21.85,01a59205o0895c
59207.602536,19.018,0.231,90,21,c,0,29.8,186.61257,31.22238,2444.15,5771.2,2.4,2.35,65.2,-0.409,19.75,21.77,02a59207o0828c
59207.607861,-19.105,0.214,-83,18,c,0,49.63,186.61257,31.22238,2465.7,5810.22,2.36,2.3,64.3,-0.405,19.79,21.76,02a59207o0838c
59207.610639,-18.953,0.208,-95,20,c,0,25.06,186.61257,31.22238,2405.97,5731.32,2.34,2.31,81.0,-0.415,19.81,21.76,02a59207o0844c
59207.621275,18.378,0.13,162,21,c,0,33.93,186.61257,31.22238,2383.23,5848.79,2.3,2.29,66.0,-0.408,19.78,21.76,02a59207o0865c
59209.610427,-17.125,0.044,-513,23,o,0,43.62,186.61257,31.22238,4257.56,4960.25,2.42,2.27,-19.0,-0.386,19.58,21.11,01a59209o0888o
59209.613192,-18.211,0.092,-189,17,o,0,48.87,186.61257,31.22238,4237.74,4921.63,2.37,2.31,-19.8,-0.378,19.6,21.08,01a59209o0894o
59209.629498,-18.003,0.095,-228,22,o,0,68.39,186.61257,31.22238,4295.42,5000.75,2.43,2.2,-11.1,-0.394,19.59,21.11,01a59209o0927o
59209.648467,20.288,0.717,28,20,o,0,130.65,186.61257,31.22238,4312.9,4886.82,2.14,2.05,-3.4,-0.392,19.69,21.09,01a59209o0966o
59212.557037,16.852,0.048,660,32,o,0,27.22,186.61257,31.22238,5416.03,7825.79,2.68,2.09,41.5,-0.402,18.86,19.36,02a59212o0794o
59212.56162,-17.125,0.078,-513,40,o,0,17.73,186.61257,31.22238,5437.71,7863.42,2.37,2.03,39.6,-0.431,18.96,19.39,02a59212o0804o
59212.570403,-19.368,0.571,-65,37,o,0,22.87,186.61257,31.22238,5378.1,7785.7,2.34,2.03,41.4,-0.429,18.91,19.38,02a59212o0823o
59212.594292,-18.265,0.175,-180,32,o,0,71.09,186.61257,31.22238,5358.35,7904.23,2.22,1.99,40.9,-0.445,19.0,19.53,02a59212o0874o
59214.626644,-17.419,0.074,-391,29,o,0,37.39,186.61257,31.22238,4252.63,4962.81,2.1,1.96,-16.4,-0.395,19.15,19.63,01a59214o0938o
59214.629548,-17.551,0.07,-346,24,o,0,44.26,186.61257,31.22238,4233.09,4924.72,2.11,1.93,-22.4,-0.387,19.14,19.62,01a59214o0944o
59214.635621,17.598,0.078,332,26,o,0,149.03,186.61257,31.22238,4293.35,5002.1,2.17,1.94,4.9,-0.388,19.14,19.63,01a59214o0957o
59214.660447,17.97,0.121,236,28,o,0,85.0,186.61257,31.22238,4308.24,4887.96,2.31,1.93,-4.3,-0.376,19.09,19.63,01a59214o1009o
59216.626743,16.74,0.05,731,36,o,0,9.45,186.61257,31.22238,5422.56,7832.63,2.64,2.49,44.9,-0.404,18.83,19.54,02a59216o0941o
59216.63056,16.951,0.054,602,33,o,0,25.0,186.61257,31.22238,5443.02,7872.59,2.5,2.31,45.5,-0.417,18.88,19.54,02a59216o0949o
59216.638311,16.498,0.04,914,37,o,0,20.18,186.61257,31.22238,5389.31,7796.02,2.71,2.51,43.0,-0.418,18.78,19.5,02a59216o0965o
59216.663238,16.799,0.057,693,39,o,0,12.03,186.61257,31.22238,5370.77,7913.52,2.73,2.25,39.6,-0.4,18.8,19.39,02a59216o1018o
59217.609491,15.641,0.016,2011,32,o,0,137.8,186.61257,31.22238,5116.06,787.12,2.12,2.05,-8.0,-0.422,19.15,19.7,01a59217o0894o
59217.612369,15.884,0.019,1608,30,o,0,79.3,186.61257,31.22238,5095.16,746.9,2.07,2.02,-20.6,-0.431,19.18,19.7,01a59217o0900o
59217.615149,15.857,0.018,1650,30,o,0,58.73,186.61257,31.22238,5154.58,824.99,2.28,2.12,-6.7,-0.416,19.08,19.71,01a59217o0906o
59217.625831,16.001,0.022,1444,31,o,0,30.05,186.61257,31.22238,5173.28,708.36,2.45,2.22,1.4,-0.416,19.06,19.74,01a59217o0929o
59219.605811,14.776,0.009,4463,40,o,0,61.66,186.61257,31.22238,6018.67,3475.22,2.06,1.86,39.2,-0.445,19.2,19.91,02a59219o0787o
59219.607749,14.742,0.008,4605,38,o,0,67.41,186.61257,31.22238,6037.75,3514.83,2.05,1.86,39.1,-0.442,19.18,19.91,02a59219o0791o
59219.611407,14.733,0.009,4644,40,o,0,38.02,186.61257,31.22238,5979.99,3438.02,2.05,1.87,42.5,-0.446,19.16,19.9,02a59219o0799o
59219.646958,14.84,0.01,4207,40,o,0,28.93,186.61257,31.22238,4631.18,7010.83,2.27,1.95,36.6,-0.437,19.2,20.01,02a59219o0873o
59221.581413,13.973,0.004,9348,41,o,0,107.88,186.61257,31.22238,5115.59,781.93,2.05,1.91,-11.1,-0.425,19.7,20.99,01a59221o0786o
59221.583255,13.967,0.004,9402,38,o,0,130.08,186.61257,31.22238,5095.56,742.74,2.15,1.99,2.7,-0.416,19.67,20.98,01a59221o0790o
59221.586016,13.935,0.005,9684,44,o,0,172.19,186.61257,31.22238,5155.28,820.92,2.04,1.93,-15.4,-0.423,19.69,21.01,01a59221o0796o
59221.602381,13.944,0.004,9607,42,o,0,45.43,186.61257,31.22238,5171.97,705.79,2.35,2.21,-2.7,-0.408,19.57,21.06,01a59221o0828o
59226.626492,12.81,0.002,27281,51,c,0,165.42,186.61257,31.22238,10083.05,4714.79,3.06,2.97,-35.4,-0.345,19.71,22.21,01a59226o0893c
59226.63355,12.776,0.002,28152,53,c,0,184.93,186.61257,31.22238,10062.17,4675.99,2.89,2.8,-56.4,-0.372,19.77,22.2,01a59226o0908c
59226.637098,12.775,0.002,28174,53,c,0,223.71,186.61257,31.22238,406.34,5832.43,2.6,2.43,-19.7,-0.355,19.79,22.2,01a59226o0915c
59226.662055,12.789,0.002,27827,51,c,0,211.52,186.61257,31.22238,396.22,5948.03,2.75,2.61,-25.4,-0.353,19.68,21.8,01a59226o0968c
59229.623671,12.588,0.002,33487,56,c,0,472.1,186.61257,31.22238,10404.9,5779.8,2.75,2.64,85.8,-0.36,19.98,22.14,01a59229o0602c
59229.626526,12.564,0.002,34243,55,c,0,655.8,186.61257,31.22238,10426.33,5817.2,2.78,2.63,-85.4,-0.366,19.99,22.14,01a59229o0608c
59229.636957,12.51,0.002,35971,59,c,0,317.08,186.61257,31.22238,10075.52,4719.93,3.04,2.75,-5.2,-0.365,19.9,22.18,01a59229o0626c
59229.662014,12.544,0.002,34867,57,c,0,585.71,186.61257,31.22238,10378.76,5737.28,2.64,2.51,88.6,-0.375,19.93,21.8,01a59229o0674c
59229.662935,12.565,0.002,34207,58,c,0,365.24,186.61257,31.22238,473.0,5907.71,2.34,2.21,-78.9,-0.397,19.87,21.74,01a59229o0676c
59229.666419,12.549,0.002,34717,59,c,0,345.79,186.61257,31.22238,414.23,5828.59,2.36,2.19,-89.8,-0.394,19.73,21.19,01a59229o0682c
59229.668293,12.576,0.002,33862,56,c,0,523.32,186.61257,31.22238,10360.95,5854.17,2.7,2.57,72.8,-0.361,19.53,20.74,01a59229o0686c
59229.671123,12.562,0.002,34301,63,c,0,158.09,186.61257,31.22238,397.93,5945.52,2.36,2.22,-65.5,-0.394,19.13,20.04,01a59229o0690c
59231.537799,12.407,0.002,39562,64,c,0,324.64,186.61257,31.22238,7448.0,9675.35,2.72,2.6,-43.7,-0.399,19.78,21.96,02a59231o0705c
59231.540601,12.435,0.002,38552,65,c,0,280.12,186.61257,31.22238,7467.58,9715.05,2.69,2.58,-42.5,-0.403,19.84,21.97,02a59231o0711c
59231.546568,12.427,0.002,38829,64,c,0,388.53,186.61257,31.22238,7406.18,9636.81,2.65,2.57,-46.6,-0.406,19.83,21.98,02a59231o0724c
59231.556677,12.432,0.002,38647,63,c,0,284.34,186.61257,31.22238,7386.49,9756.33,2.66,2.56,-48.8,-0.4,19.88,21.99,02a59231o0746c
59233.521671,12.388,0.012,40237,502,c,0,11.0,186.61257,31.22238,1107.12,975.54,2.6,2.35,58.9,-0.405,16.11,18.29,01a59233o0210c
59235.561512,12.442,0.003,38302,113,c,0,42.65,186.61257,31.22238,7887.83,1418.37,2.5,2.28,-56.4,-0.406,18.48,20.33,02a59235o0744c
