MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59198.249539,21.085,0.756,13,10,c,0,1.67,9.82913,-0.45575,8676.46,4531.4,2.49,2.36,-83.4,-0.395,19.55,21.28,02a59198o0141c
59198.25322,21.7,1.306,8,10,c,0,1.02,9.82913,-0.45575,8659.61,4492.13,2.52,2.35,-75.2,-0.398,19.52,21.23,02a59198o0149c
59198.263329,21.76,1.404,7,10,c,0,1.2,9.82913,-0.45575,8716.43,4569.05,2.57,2.39,-76.3,-0.399,19.53,21.3,02a59198o0171c
59198.270657,-21.61,1.158,-8,10,c,0,1.44,9.82913,-0.45575,8736.56,4453.49,2.56,2.34,-71.7,-0.395,19.61,21.34,02a59198o0187c
59200.27921,-14.919,0.734,-3912,2870,c,0,1.16,9.82913,-0.45575,4382.63,1581.54,2.36,2.18,39.1,-0.379,15.67,17.65,01a59200o0094c
59200.288442,-18.767,0.225,-113,26,c,0,1.38,9.82913,-0.45575,4341.94,1543.43,2.55,2.25,1.4,-0.386,18.16,20.06,01a59200o0114c
59200.299097,21.552,1.189,9,10,c,0,1.22,9.82913,-0.45575,4326.71,1660.27,2.18,2.15,86.6,-0.398,19.78,21.51,01a59200o0137c
59204.219257,19.707,0.421,48,20,o,0,1.0,9.82913,-0.45575,4380.11,1584.76,2.11,1.82,-7.2,-0.4,18.71,19.4,01a59204o0053o
59204.222942,-23.444,8.889,-2,14,o,0,0.81,9.82913,-0.45575,4400.68,1623.29,2.23,1.82,-2.6,-0.405,19.4,20.2,01a59204o0061o
59204.230777,20.673,0.605,20,12,o,0,1.19,9.82913,-0.45575,4343.64,1544.35,2.06,1.85,-2.7,-0.405,19.41,20.19,01a59204o0078o
59204.24249,-21.926,1.783,-6,11,o,0,1.1,9.82913,-0.45575,4327.95,1662.34,1.78,1.74,33.1,-0.436,19.53,20.2,01a59204o0103o
59208.271816,-20.699,0.847,-19,16,o,0,1.1,9.82913,-0.45575,3828.51,5940.42,1.92,1.87,-67.6,-0.411,19.16,19.58,01a59208o0170o
59208.275078,-24.394,24.625,-1,16,o,0,1.16,9.82913,-0.45575,3847.45,5978.84,1.95,1.88,-63.3,-0.419,19.17,19.58,01a59208o0177o
59208.28157,-21.609,1.989,-8,16,o,0,0.96,9.82913,-0.45575,3789.63,5901.83,2.12,1.96,-21.7,-0.402,19.09,19.56,01a59208o0191o
59208.314169,21.755,1.92,7,14,o,0,1.46,9.82913,-0.45575,3772.58,6020.54,1.98,1.91,-57.6,-0.416,19.03,19.4,01a59208o0261o
59212.237586,19.029,0.186,89,16,o,0,1.22,9.82913,-0.45575,3822.89,5941.7,1.93,1.86,1.4,-0.41,19.14,19.54,01a59212o0107o
59212.243133,19.385,0.236,64,15,o,0,0.84,9.82913,-0.45575,3843.19,5980.29,1.93,1.79,89.2,-0.414,19.18,19.52,01a59212o0119o
59212.24685,18.92,0.162,98,16,o,0,1.02,9.82913,-0.45575,3785.54,5903.74,1.87,1.77,-81.5,-0.429,19.17,19.51,01a59212o0127o
59212.266787,21.928,3.197,6,20,o,0,1.06,9.82913,-0.45575,3767.54,6021.47,2.0,1.88,-67.3,-0.421,19.08,19.42,01a59212o0170o
