MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59466.593039,-20.671,0.717,-20,14,o,0,0.96,67.5921,38.8253,9543.42,3296.47,2.95,2.74,28.5,-0.424,19.33,20.82,01a59466o0791o
59466.614001,-23.917,14.4,-1,14,o,0,1.01,67.5921,38.8253,9518.63,3254.65,3.09,2.76,26.7,-0.415,19.31,20.86,01a59466o0835o
59466.623423,-21.157,1.169,-12,15,o,0,1.07,67.5921,38.8253,9578.47,3333.47,3.09,2.73,24.2,-0.409,19.33,20.81,01a59466o0855o
59466.628059,-22.444,3.85,-4,15,o,0,1.19,67.5921,38.8253,9597.52,3216.95,3.09,2.74,24.3,-0.41,19.29,20.71,01a59466o0865o
59468.579455,-23.461,5.846,-2,9,c,0,0.72,67.5921,38.8253,968.18,5230.66,2.25,2.17,59.1,-0.44,19.68,21.42,02a59468o0784c
59468.584228,23.281,5.067,2,9,c,0,1.24,67.5921,38.8253,989.12,5275.79,2.26,2.22,66.2,-0.436,19.69,21.42,02a59468o0794c
59468.59247,-20.893,0.598,-16,10,c,0,1.08,67.5921,38.8253,934.22,5192.33,2.31,2.18,50.8,-0.433,19.69,21.4,02a59468o0812c
59468.604504,-20.786,0.507,-18,9,c,0,1.87,67.5921,38.8253,916.95,5306.26,2.25,2.18,77.1,-0.438,19.71,21.43,02a59468o0838c
59470.551633,-22.604,4.1,-3,14,o,0,1.15,67.5921,38.8253,9542.52,3298.45,2.65,2.55,-52.6,-0.487,19.31,20.74,01a59470o0725o
59470.554862,25.126,41.5,0,13,o,0,1.24,67.5921,38.8253,9522.3,3258.34,2.61,2.53,-51.0,-0.49,19.31,20.73,01a59470o0732o
59470.560873,-21.838,1.975,-7,13,o,0,1.13,67.5921,38.8253,9582.39,3337.05,2.66,2.62,-58.5,-0.468,19.31,20.73,01a59470o0745o
59470.571018,-20.44,0.451,-24,11,o,0,2.01,67.5921,38.8253,9601.99,3220.87,2.68,2.61,-4.9,-0.476,19.33,20.82,01a59470o0767o
59472.597318,-21.703,0.969,-8,7,c,0,1.39,67.5921,38.8253,974.92,5235.32,2.28,2.21,72.8,-0.436,19.65,21.43,02a59472o0530c
59472.600999,-21.532,1.067,-9,9,c,0,1.37,67.5921,38.8253,994.8,5274.54,2.29,2.21,81.1,-0.434,19.68,21.43,02a59472o0538c
59472.618701,26.175,80.0,0,10,c,0,0.88,67.5921,38.8253,945.42,5197.07,2.32,2.26,66.0,-0.436,19.71,21.45,02a59472o0576c
59472.625604,23.011,4.737,2,11,c,0,0.93,67.5921,38.8253,924.32,5311.99,2.26,2.26,40.5,-0.435,19.66,21.42,02a59472o0591c
59478.539657,20.491,1.61,23,37,o,0,1.55,67.5921,38.8253,7806.05,7157.03,2.92,2.71,57.8,-0.463,18.66,19.36,01a59478o0718o
59478.542888,20.786,2.247,18,40,o,0,1.16,67.5921,38.8253,7786.51,7117.85,2.92,2.73,54.9,-0.466,18.63,19.37,01a59478o0725o
59478.545651,-20.588,1.432,-21,30,o,0,1.58,67.5921,38.8253,7845.86,7195.42,2.89,2.76,69.4,-0.471,18.62,19.37,01a59478o0731o
59478.550718,-20.132,1.194,-32,38,o,0,0.92,67.5921,38.8253,7863.39,7079.37,2.96,2.79,53.9,-0.463,18.62,19.4,01a59478o0742o
59481.542267,20.417,1.007,25,25,o,0,1.06,67.5921,38.8253,3640.92,3617.71,2.62,2.56,53.9,-0.503,18.8,19.55,01a59481o0739o
59481.544111,22.577,7.381,3,25,o,0,0.89,67.5921,38.8253,3620.32,3579.7,2.6,2.53,56.3,-0.506,18.79,19.55,01a59481o0743o
