MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59470.448771,-25.354,34.0,0,9,c,0,1.13,15.42951,-13.67037,6574.88,5293.61,2.46,2.3,37.4,-0.398,19.66,21.46,02a59470o0507c
59470.450598,21.308,0.647,11,7,c,0,1.66,15.42951,-13.67037,6593.58,5332.28,2.43,2.28,38.4,-0.396,19.66,21.46,02a59470o0511c
59470.453359,-21.373,0.937,-10,10,c,0,0.85,15.42951,-13.67037,6535.33,5254.58,2.48,2.29,39.0,-0.393,19.66,21.45,02a59470o0517c
59470.458424,-23.334,5.769,-2,10,c,0,0.81,15.42951,-13.67037,6516.62,5370.94,2.46,2.29,39.9,-0.395,19.67,21.45,02a59470o0528c
59471.326257,20.268,0.856,28,24,o,0,0.88,15.42951,-13.67037,3498.13,3335.67,3.01,2.71,-51.0,-0.465,18.86,19.9,01a59471o0273o
59471.334109,20.345,0.68,26,18,o,0,1.39,15.42951,-13.67037,3478.03,3297.46,3.03,2.73,-47.9,-0.464,18.89,19.99,01a59471o0290o
59471.348408,22.075,3.5,5,19,o,0,1.0,15.42951,-13.67037,3538.14,3377.62,2.84,2.65,-47.4,-0.477,19.0,20.12,01a59471o0321o
59471.373337,-21.923,2.824,-6,17,o,0,0.85,15.42951,-13.67037,3554.51,3259.83,2.81,2.59,-45.4,-0.478,19.11,20.29,01a59471o0374o
59474.494135,20.427,0.817,24,20,o,0,0.76,15.42951,-13.67037,3456.43,1373.63,2.04,1.93,-61.7,-0.473,19.04,19.62,02a59474o0386o
59474.497349,-19.959,0.451,-38,17,o,0,1.08,15.42951,-13.67037,3437.27,1334.33,2.02,1.92,-61.7,-0.486,19.08,19.67,02a59474o0393o
59474.50248,-21.627,2.397,-8,20,o,0,0.87,15.42951,-13.67037,3493.7,1414.5,2.03,1.96,-64.7,-0.458,19.05,19.63,02a59474o0404o
59474.535168,20.462,1.853,24,44,o,0,0.63,15.42951,-13.67037,3515.29,1300.82,2.05,1.93,-64.6,-0.459,18.22,18.73,02a59474o0474o
59474.63574,-20.397,0.816,-25,21,o,0,1.01,15.42951,-13.67037,3481.72,1364.48,2.17,2.1,-60.7,-0.449,18.81,19.46,02a59474o0688o
59481.39286,19.297,0.453,69,31,o,0,0.89,15.42951,-13.67037,7116.54,9179.37,2.49,2.34,-67.3,-0.416,18.82,19.41,02a59481o0423o
59481.397567,19.931,0.788,39,30,o,0,1.15,15.42951,-13.67037,7135.13,9216.96,2.91,2.56,-65.3,-0.401,18.71,19.43,02a59481o0433o
59481.403551,19.212,0.348,75,26,o,0,1.1,15.42951,-13.67037,7079.38,9137.79,2.56,2.26,-63.7,-0.414,18.83,19.45,02a59481o0446o
59481.422353,-21.691,2.692,-8,21,o,0,1.68,15.42951,-13.67037,7056.92,9257.94,2.48,2.39,44.6,-0.418,18.8,19.35,02a59481o0486o
59483.402413,21.361,2.0,10,21,o,0,0.78,15.42951,-13.67037,7684.17,3559.76,3.65,3.08,-6.8,-0.394,18.81,20.13,01a59483o0434o
59483.409355,20.084,0.708,34,24,o,0,0.83,15.42951,-13.67037,7666.79,3521.57,5.53,3.38,2.6,-0.31,18.55,20.14,01a59483o0449o
59483.419962,20.452,0.831,24,20,o,0,1.12,15.42951,-13.67037,7727.96,3598.52,4.71,3.13,4.6,-0.362,18.71,20.2,01a59483o0472o
59483.424108,20.766,1.295,18,23,o,0,0.88,15.42951,-13.67037,7745.82,3481.81,6.14,3.42,4.8,-0.285,18.53,20.19,01a59483o0481o
59484.504408,20.027,0.491,35,17,o,0,1.11,15.42951,-13.67037,2779.25,6998.59,3.26,2.76,-42.8,-0.462,19.03,20.23,01a59484o0368o
59484.538376,19.502,0.272,57,16,o,0,1.37,15.42951,-13.67037,2802.95,7031.25,3.33,2.84,-42.5,-0.463,18.98,20.23,01a59484o0438o
59484.541147,19.965,0.453,38,17,o,0,1.3,15.42951,-13.67037,2743.96,6955.02,3.05,2.7,-43.2,-0.47,19.06,20.23,01a59484o0444o
59484.547721,19.445,0.276,61,17,o,0,1.23,15.42951,-13.67037,2725.48,7069.91,3.04,2.66,-44.9,-0.47,19.05,20.21,01a59484o0458o
59485.425874,19.285,0.153,70,11,o,0,1.96,15.42951,-13.67037,6318.25,1417.23,2.22,2.01,34.2,-0.424,19.39,20.58,02a59485o0496o
59485.427704,19.872,0.257,41,10,o,0,1.32,15.42951,-13.67037,6342.04,1456.0,2.14,2.02,35.4,-0.428,19.44,20.58,02a59485o0500o
59485.432292,19.433,0.177,61,11,o,0,0.94,15.42951,-13.67037,6284.7,1376.9,2.1,1.94,31.2,-0.43,19.45,20.58,02a59485o0510o
59485.43736,19.492,0.206,58,12,o,0,0.93,15.42951,-13.67037,6264.2,1492.96,2.14,2.01,32.5,-0.424,19.45,20.57,02a59485o0521o
59486.424278,19.471,0.164,59,10,o,0,1.4,15.42951,-13.67037,6328.35,1413.22,2.1,2.01,26.2,-0.43,19.45,20.56,02a59486o0492o
59486.426108,19.212,0.143,75,11,o,0,1.51,15.42951,-13.67037,6347.86,1452.5,2.04,1.96,24.6,-0.431,19.46,20.53,02a59486o0496o
59486.42885,19.633,0.242,51,12,o,0,0.57,15.42951,-13.67037,6289.67,1374.0,2.05,1.99,22.9,-0.43,19.41,20.51,02a59486o0502o
59486.434351,19.739,0.225,46,10,o,0,1.4,15.42951,-13.67037,6270.03,1491.76,2.25,2.17,30.9,-0.422,19.33,20.51,02a59486o0514o
59488.484345,20.784,0.931,18,16,o,0,0.97,15.42951,-13.67037,1931.13,1203.69,3.34,3.18,-57.2,-0.451,19.13,20.76,01a59488o0598o
59488.487574,19.565,0.296,54,16,o,0,1.12,15.42951,-13.67037,1952.86,1241.95,3.28,3.07,-50.5,-0.47,19.13,20.73,01a59488o0605o
59488.494032,19.141,0.22,80,18,o,0,1.36,15.42951,-13.67037,1893.58,1164.09,3.78,3.56,-51.5,-0.429,18.99,20.7,01a59488o0619o
59488.52967,19.913,0.34,39,13,o,0,1.44,15.42951,-13.67037,1880.27,1275.35,2.89,2.72,-50.6,-0.502,19.2,20.61,01a59488o0695o
59489.462169,19.092,0.169,84,14,o,0,0.92,15.42951,-13.67037,4247.84,9136.48,2.41,2.07,43.7,-0.403,19.46,20.71,02a59489o0561o
59489.466324,18.893,0.122,101,12,o,0,1.13,15.42951,-13.67037,4228.69,9098.05,2.42,2.05,45.2,-0.41,19.44,20.64,02a59489o0570o
59489.501077,20.265,0.437,28,12,o,0,1.14,15.42951,-13.67037,4288.65,9178.85,2.39,2.09,52.3,-0.4,19.42,20.63,02a59489o0645o
59489.50817,19.636,0.254,51,13,o,0,0.89,15.42951,-13.67037,4309.67,9062.7,2.43,2.1,50.2,-0.394,19.41,20.56,02a59489o0660o
59490.446163,19.301,0.167,69,12,o,0,1.08,15.42951,-13.67037,6358.09,5647.43,2.4,1.89,38.3,-0.446,19.5,20.55,02a59490o0546o
59490.449837,19.481,0.211,59,12,o,0,1.44,15.42951,-13.67037,6339.01,5611.17,2.43,1.91,38.9,-0.437,19.48,20.55,02a59490o0554o
59490.484234,19.695,0.225,48,11,o,0,1.53,15.42951,-13.67037,6395.59,5690.24,2.44,1.9,42.7,-0.431,19.51,20.59,02a59490o0628o
59490.489756,20.493,0.5,23,12,o,0,1.0,15.42951,-13.67037,6417.94,5574.44,2.51,1.95,43.5,-0.426,19.46,20.59,02a59490o0640o
59491.470943,18.987,0.159,92,15,o,0,0.94,15.42951,-13.67037,1937.14,1201.27,2.68,2.59,-42.7,-0.528,19.28,20.61,01a59491o0575o
59491.502168,19.618,0.26,52,13,o,0,1.36,15.42951,-13.67037,1961.04,1236.9,2.75,2.65,-45.8,-0.52,19.26,20.6,01a59491o0642o
59491.505853,19.531,0.266,56,15,o,0,1.19,15.42951,-13.67037,1900.76,1158.07,2.77,2.68,-46.9,-0.517,19.25,20.6,01a59491o0650o
