MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59468.270648,-21.042,0.776,-14,11,c,0,1.98,249.90953,71.93996,3456.14,8425.64,2.52,2.42,-50.9,-0.386,19.37,21.03,02a59468o0124c
59468.274345,22.622,3.727,3,12,c,0,1.09,249.90953,71.93996,3437.45,8385.46,2.45,2.39,-40.3,-0.387,19.46,21.11,02a59468o0132c
59468.281257,-21.708,1.521,-8,12,c,0,1.1,249.90953,71.93996,3489.6,8457.77,2.59,2.47,-46.4,-0.385,19.47,21.22,02a59468o0147c
59468.292357,-21.582,1.41,-8,12,c,0,0.86,249.90953,71.93996,3506.32,8338.46,2.5,2.22,-49.2,-0.406,19.52,21.24,02a59468o0171c
59470.220055,21.713,6.625,8,50,o,0,0.79,249.90953,71.93996,9690.35,3600.84,2.79,2.73,-51.3,-0.468,18.03,18.34,01a59470o0023o
59470.224213,-19.571,0.471,-54,25,o,0,0.96,249.90953,71.93996,9713.3,3637.4,2.76,2.72,5.7,-0.466,18.64,19.35,01a59470o0032o
59470.229807,21.354,1.707,10,18,o,0,1.44,249.90953,71.93996,9655.42,3570.08,2.69,2.64,-30.2,-0.483,18.94,19.9,01a59470o0044o
59470.240417,21.239,1.594,12,18,o,0,0.97,249.90953,71.93996,9642.03,3691.96,2.72,2.65,0.0,-0.473,19.04,20.07,01a59470o0067o
59470.24746,-19.518,0.441,-57,25,o,0,1.13,249.90953,71.93996,1056.8,4044.13,3.7,2.85,-48.8,-0.541,19.03,20.15,01a59470o0082o
59470.250682,20.466,1.011,24,24,o,0,1.19,249.90953,71.93996,1079.66,4085.67,3.49,2.72,-45.8,-0.561,19.08,20.15,01a59470o0089o
59470.257148,-20.082,0.718,-34,24,o,0,1.25,249.90953,71.93996,1018.95,4000.33,3.71,2.84,-47.0,-0.55,19.02,20.15,01a59470o0103o
59470.267315,-20.175,0.876,-31,27,o,0,1.23,249.90953,71.93996,1005.85,4113.79,3.71,2.88,-48.9,-0.566,19.07,20.2,01a59470o0125o
59476.236613,-19.693,0.499,-48,24,o,0,0.87,249.90953,71.93996,6779.94,4534.8,2.21,2.15,-70.0,-0.426,18.65,19.21,02a59476o0064o
59476.242646,-22.04,3.723,-6,21,o,0,1.05,249.90953,71.93996,6759.66,4494.72,2.16,2.1,78.7,-0.416,18.69,19.18,02a59476o0077o
59476.245881,21.421,2.267,10,22,o,0,1.04,249.90953,71.93996,6816.5,4570.16,2.37,2.11,38.6,-0.418,18.67,19.15,02a59476o0084o
59476.257396,-20.168,0.689,-31,21,o,0,1.4,249.90953,71.93996,6836.44,4453.89,2.42,2.2,39.9,-0.415,18.52,19.06,02a59476o0109o
59478.216253,-20.177,2.575,-31,79,o,0,0.71,249.90953,71.93996,4281.21,233.6,2.58,2.54,-36.5,-0.491,17.61,18.12,01a59478o0024o
59478.219936,-18.932,0.521,-97,50,o,0,1.4,249.90953,71.93996,4301.14,271.64,2.67,2.58,-46.1,-0.481,17.82,18.27,01a59478o0032o
59478.222242,-21.305,4.634,-11,51,o,0,1.32,249.90953,71.93996,2568.45,10441.98,2.78,2.56,-38.2,-0.47,17.46,18.02,01a59478o0037o
59478.230074,19.859,6.032,41,249,o,0,1.56,249.90953,71.93996,4250.31,192.4,2.79,2.77,-48.7,-0.468,16.01,16.18,01a59478o0054o
59478.231455,18.074,0.618,214,132,o,0,0.99,249.90953,71.93996,2520.15,10399.58,2.76,2.61,-44.3,-0.468,17.19,17.36,01a59478o0057o
59478.235625,21.573,10.0,8,85,o,0,1.12,249.90953,71.93996,4240.12,309.6,2.75,2.69,-43.1,-0.472,17.3,17.57,01a59478o0066o
59478.24165,-18.816,2.932,-108,317,o,0,0.28,249.90953,71.93996,2501.55,10515.32,2.78,2.64,-55.2,-0.496,16.39,16.46,01a59478o0079o
59480.215213,20.281,0.913,28,26,o,0,1.66,249.90953,71.93996,6789.82,4542.43,2.28,2.04,49.3,-0.438,18.42,18.72,02a59480o0032o
59480.218872,-24.212,19.429,-1,15,o,0,1.53,249.90953,71.93996,6768.92,4499.91,2.14,1.91,41.6,-0.439,19.01,19.69,02a59480o0040o
59480.224363,21.53,1.432,9,13,o,0,1.22,249.90953,71.93996,6825.9,4575.5,2.27,2.01,41.8,-0.433,19.3,20.36,02a59480o0052o
59480.234464,21.472,1.425,9,13,o,0,1.14,249.90953,71.93996,6844.01,4457.36,2.28,1.96,41.7,-0.434,19.36,20.44,02a59480o0074o
59484.251297,20.037,0.364,35,13,o,0,1.04,249.90953,71.93996,1193.54,2293.84,2.19,2.04,47.2,-0.444,19.23,20.23,02a59484o0116o
59484.255435,20.198,0.451,30,14,o,0,1.1,249.90953,71.93996,1172.05,2260.16,2.26,2.09,37.6,-0.433,19.16,20.19,02a59484o0125o
59484.260959,20.807,0.785,17,14,o,0,0.98,249.90953,71.93996,1236.68,2325.02,2.03,2.01,48.7,-0.448,19.29,20.21,02a59484o0137o
59484.275704,22.19,2.864,5,14,o,0,1.26,249.90953,71.93996,1257.96,2203.36,2.13,1.92,41.6,-0.447,19.29,20.27,02a59484o0167o
59492.235611,19.219,0.217,74,16,o,0,1.3,249.90953,71.93996,4660.04,8764.11,2.9,2.73,53.0,-0.38,19.07,20.48,02a59492o0095o
59492.239748,19.227,0.228,74,17,o,0,1.06,249.90953,71.93996,4641.92,8726.47,3.07,3.0,54.7,-0.382,19.04,20.55,02a59492o0104o
59492.247096,19.033,0.155,88,14,o,0,1.22,249.90953,71.93996,4695.7,8802.5,2.56,2.46,49.5,-0.394,19.18,20.49,02a59492o0120o
