MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59478.338565,-17.641,2.934,-319,935,o,0,0.91,298.13397,-10.1623,9496.91,8175.36,2.34,2.23,88.2,-0.54,16.72,16.43,02a59478o0269o
59478.344102,16.355,1.486,1043,1549,o,0,1.09,298.13397,-10.1623,9476.81,8136.92,2.34,2.22,87.7,-0.578,16.4,16.09,02a59478o0281o
59478.346891,13.906,1.291,9943,12836,o,0,0.73,298.13397,-10.1623,9536.81,8215.54,2.45,2.27,-88.4,-0.459,15.13,14.91,02a59478o0287o
59478.359051,-16.689,8.109,-766,6213,o,0,1.12,298.13397,-10.1623,9556.44,8099.57,2.33,2.25,67.8,-0.579,14.89,14.48,02a59478o0313o
59479.326736,20.158,1.025,31,32,o,0,1.28,298.13397,-10.1623,812.84,6859.24,2.69,2.4,-45.1,-0.477,18.73,19.54,01a59479o0262o
59479.329506,20.956,2.096,15,32,o,0,1.08,298.13397,-10.1623,833.3,6897.01,2.73,2.45,-47.8,-0.472,18.73,19.54,01a59479o0268o
59479.335039,20.24,1.057,29,31,o,0,1.36,298.13397,-10.1623,774.16,6820.7,2.81,2.54,-53.2,-0.457,18.68,19.51,01a59479o0280o
59479.345196,-20.617,1.727,-21,36,o,0,1.1,298.13397,-10.1623,757.55,6936.16,2.78,2.4,-44.3,-0.476,18.74,19.45,01a59479o0302o
59480.344174,-20.911,1.375,-16,22,o,0,0.93,298.13397,-10.1623,6642.83,86.06,2.69,2.68,-79.4,-0.492,18.81,19.77,01a59480o0314o
59480.349702,-20.719,1.143,-19,21,o,0,1.41,298.13397,-10.1623,6664.22,124.83,2.71,2.66,-63.0,-0.498,18.78,19.75,01a59480o0326o
59480.353865,18.901,3.707,100,370,o,0,0.06,298.13397,-10.1623,6604.39,47.56,2.71,2.67,-79.4,-0.489,18.81,19.72,01a59480o0335o
59480.362155,-21.692,3.189,-8,24,o,0,0.95,298.13397,-10.1623,6914.55,10290.44,2.94,2.91,18.1,-0.457,18.81,19.74,01a59480o0353o
59480.365864,19.528,0.439,56,25,o,0,1.1,298.13397,-10.1623,6934.98,10328.94,2.95,2.9,38.6,-0.46,18.78,19.72,01a59480o0361o
59480.367244,-22.058,4.172,-6,23,o,0,1.05,298.13397,-10.1623,6588.97,165.45,2.8,2.73,-26.9,-0.482,18.71,19.64,01a59480o0364o
59480.373688,19.689,0.538,48,26,o,0,1.03,298.13397,-10.1623,6874.21,10251.52,2.83,2.81,61.8,-0.472,18.8,19.67,01a59480o0378o
59480.386613,-21.696,3.158,-8,24,o,0,1.36,298.13397,-10.1623,6855.58,10370.32,2.86,2.83,72.0,-0.473,18.71,19.57,01a59480o0406o
59481.299705,-21.312,1.516,-11,16,o,0,1.64,298.13397,-10.1623,9495.14,8171.17,2.8,2.52,-67.0,-0.409,19.05,20.01,02a59481o0220o
59481.302906,20.752,1.062,18,19,o,0,1.53,298.13397,-10.1623,9476.77,8133.23,2.72,2.46,-69.6,-0.414,19.11,20.02,02a59481o0227o
59481.308854,19.909,0.761,40,30,o,0,1.19,298.13397,-10.1623,9536.33,8211.14,2.58,2.35,-68.4,-0.408,18.56,19.64,02a59481o0240o
59481.318924,-20.043,0.6,-35,21,o,0,1.65,298.13397,-10.1623,9555.65,8095.76,2.73,2.48,-70.9,-0.408,19.05,19.94,02a59481o0262o
59484.321749,20.87,1.072,16,18,o,0,1.06,298.13397,-10.1623,6914.47,10291.47,3.25,3.18,-84.5,-0.428,19.06,20.49,01a59484o0014o
59484.325437,-19.69,0.31,-48,15,o,0,1.18,298.13397,-10.1623,6935.86,10330.29,3.02,2.99,66.8,-0.449,19.12,20.5,01a59484o0022o
59484.330978,22.091,3.074,5,16,o,0,1.21,298.13397,-10.1623,6876.03,10252.04,2.9,2.86,-57.1,-0.458,19.21,20.55,01a59484o0034o
59484.333282,-21.157,1.19,-12,15,o,0,1.41,298.13397,-10.1623,6641.46,85.45,2.96,2.83,-56.1,-0.467,19.13,20.48,01a59484o0039o
59484.336507,-20.896,1.138,-16,18,o,0,0.85,298.13397,-10.1623,6662.89,124.13,2.81,2.66,-54.7,-0.492,19.18,20.47,01a59484o0046o
59484.343429,-18.931,0.719,-97,70,o,0,1.98,298.13397,-10.1623,6604.88,47.77,2.83,2.73,-61.6,-0.478,19.12,20.39,01a59484o0061o
59484.343889,20.916,1.05,16,16,o,0,1.1,298.13397,-10.1623,6860.04,10371.02,2.93,2.82,61.6,-0.453,19.13,20.43,01a59484o0062o
59484.354492,-20.571,0.797,-22,17,o,0,1.2,298.13397,-10.1623,6587.31,166.63,2.79,2.56,-43.7,-0.518,19.05,20.22,01a59484o0085o
59486.268551,-21.539,1.623,-9,14,o,0,0.71,298.13397,-10.1623,9847.95,5741.01,2.17,2.1,69.9,-0.453,19.51,20.62,02a59486o0157o
59486.274098,20.163,0.42,31,13,o,0,1.92,298.13397,-10.1623,9828.31,5702.49,2.15,2.07,70.2,-0.459,19.52,20.64,02a59486o0169o
59486.277792,20.345,0.559,26,15,o,0,1.01,298.13397,-10.1623,9887.58,5778.34,2.2,2.1,70.1,-0.457,19.51,20.65,02a59486o0177o
59486.295861,24.997,37.0,0,14,o,0,0.86,298.13397,-10.1623,9912.85,5667.85,2.27,2.16,86.8,-0.448,19.47,20.7,02a59486o0216o
59488.294832,-19.544,1.119,-55,62,o,0,1.2,298.13397,-10.1623,6509.3,4479.39,2.7,2.62,-58.9,-0.481,18.14,19.28,01a59488o0190o
59488.298055,-19.565,28.75,-54,1559,o,0,1.09,298.13397,-10.1623,6529.45,4517.47,2.8,2.65,-51.8,-0.502,15.34,16.52,01a59488o0197o
59488.305448,-17.189,0.672,-484,325,o,0,0.69,298.13397,-10.1623,6468.75,4440.35,2.94,2.81,-55.8,-0.449,16.82,18.08,01a59488o0213o
59488.315662,21.657,3.958,8,31,o,0,1.15,298.13397,-10.1623,6453.28,4556.12,2.94,2.81,-62.6,-0.449,18.48,19.81,01a59488o0235o
59489.285915,-23.193,6.25,-2,12,o,0,1.74,298.13397,-10.1623,9843.14,5743.36,2.28,2.12,51.7,-0.441,19.37,20.4,02a59489o0179o
59489.289147,21.487,1.608,9,15,o,0,1.14,298.13397,-10.1623,9823.6,5704.19,2.31,2.17,59.1,-0.437,19.35,20.44,02a59489o0186o
59489.295145,20.33,0.565,27,15,o,0,1.0,298.13397,-10.1623,9883.19,5783.07,2.37,2.19,53.6,-0.435,19.38,20.52,02a59489o0199o
59489.305216,20.169,0.419,31,13,o,0,1.75,298.13397,-10.1623,9903.19,5668.25,2.26,2.14,58.6,-0.446,19.42,20.56,02a59489o0221o
59490.31074,21.874,1.919,6,12,o,0,1.14,298.13397,-10.1623,1875.98,2257.38,2.02,1.96,70.5,-0.465,19.38,20.49,02a59490o0252o
59490.316265,20.407,0.524,25,13,o,0,1.31,298.13397,-10.1623,1858.75,2218.74,2.05,2.0,65.0,-0.46,19.37,20.48,02a59490o0264o
59490.319928,21.194,1.158,12,14,o,0,1.21,298.13397,-10.1623,1917.23,2297.05,2.06,1.95,58.2,-0.466,19.42,20.53,02a59490o0272o
59490.330507,21.112,0.967,13,13,o,0,1.37,298.13397,-10.1623,1939.05,2179.77,2.03,1.98,74.4,-0.471,19.38,20.46,02a59490o0295o
59492.24365,-20.56,0.638,-22,14,o,0,1.41,298.13397,-10.1623,6499.41,4488.12,2.74,2.54,-50.2,-0.478,19.3,20.73,01a59492o0111o
59492.253462,-20.408,0.831,-25,21,o,0,1.07,298.13397,-10.1623,6520.1,4523.8,2.81,2.68,-54.4,-0.468,18.77,20.08,01a59492o0132o
59492.257625,18.821,0.642,108,69,o,0,1.17,298.13397,-10.1623,6460.67,4448.37,2.67,2.57,-47.8,-0.488,17.7,18.88,01a59492o0141o
59492.270276,20.233,6.25,29,183,o,0,0.92,298.13397,-10.1623,6445.15,4562.57,2.66,2.6,-49.6,-0.489,16.6,17.73,01a59492o0168o
59493.279902,19.645,0.269,50,14,o,0,1.38,298.13397,-10.1623,1876.8,2258.83,2.14,2.06,-70.3,-0.456,19.35,20.53,02a59493o0190o
59493.283566,20.333,0.464,27,12,o,0,1.6,298.13397,-10.1623,1858.04,2219.92,2.22,2.11,-67.8,-0.452,19.32,20.52,02a59493o0198o
59493.290914,19.905,0.372,40,15,o,0,1.04,298.13397,-10.1623,1917.27,2294.63,2.14,2.05,-78.2,-0.454,19.37,20.51,02a59493o0214o
59493.301025,21.002,0.934,14,14,o,0,1.19,298.13397,-10.1623,1936.95,2179.09,2.2,2.08,-72.5,-0.459,19.32,20.5,02a59493o0236o
59494.276505,20.559,0.568,22,12,o,0,1.91,298.13397,-10.1623,1877.65,2255.12,2.42,2.28,-63.8,-0.443,19.31,20.64,02a59494o0083o
59494.279719,19.847,0.328,42,14,o,0,1.48,298.13397,-10.1623,1858.13,2216.03,2.18,2.03,-59.8,-0.46,19.44,20.65,02a59494o0090o
59494.289814,19.855,0.37,42,15,o,0,0.84,298.13397,-10.1623,1918.01,2294.74,2.32,2.12,-57.6,-0.441,19.38,20.59,02a59494o0112o
59494.295316,19.939,0.378,38,14,o,0,1.08,298.13397,-10.1623,1937.95,2179.7,2.41,2.24,-60.4,-0.444,19.33,20.59,02a59494o0124o
59496.241776,19.602,0.407,52,21,o,0,1.24,298.13397,-10.1623,4568.69,4630.14,3.58,3.16,-15.0,-0.407,18.76,20.19,01a59496o0112o
59496.251621,19.115,0.249,82,20,o,0,1.42,298.13397,-10.1623,4589.25,4666.53,3.25,3.04,-33.7,-0.424,18.79,20.17,01a59496o0133o
59496.255318,19.592,0.338,53,18,o,0,0.9,298.13397,-10.1623,4529.93,4590.35,3.09,2.9,-30.5,-0.434,18.97,20.3,01a59496o0141o
59496.261332,19.268,0.263,71,19,o,0,0.8,298.13397,-10.1623,4514.14,4706.15,3.07,2.9,-28.2,-0.431,19.06,20.39,01a59496o0154o
59498.28614,18.88,0.133,102,14,o,0,2.24,298.13397,-10.1623,1987.59,4201.8,2.34,1.95,41.2,-0.439,19.22,20.11,02a59498o0019o
59498.289344,18.981,0.195,93,18,o,0,1.1,298.13397,-10.1623,1967.85,4163.4,2.46,2.07,43.9,-0.434,19.14,20.08,02a59498o0026o
59498.29483,18.557,0.132,137,18,o,0,1.21,298.13397,-10.1623,2027.56,4241.39,2.44,2.07,43.4,-0.429,19.16,20.05,02a59498o0038o
59498.308107,18.851,0.163,105,17,o,0,1.35,298.13397,-10.1623,2048.25,4125.14,2.43,2.21,46.8,-0.427,19.09,20.0,02a59498o0067o
59501.260754,17.959,0.101,238,24,o,0,1.35,298.13397,-10.1623,1975.8,4199.78,2.3,2.02,45.1,-0.433,18.6,19.12,02a59501o0156o
59501.264107,18.16,0.119,198,24,o,0,1.2,298.13397,-10.1623,1964.0,4164.13,2.23,2.04,50.5,-0.443,18.57,19.1,02a59501o0163o
59501.270531,18.411,0.177,157,28,o,0,1.07,298.13397,-10.1623,2019.67,4238.57,2.29,1.98,46.5,-0.439,18.58,19.12,02a59501o0177o
59501.281746,18.438,0.171,153,26,o,0,1.1,298.13397,-10.1623,2043.08,4125.65,2.33,2.06,47.2,-0.442,18.59,19.11,02a59501o0201o
