MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59481.443038,21.338,1.98,11,21,o,0,0.99,351.38283,18.37404,7816.88,5820.85,2.86,2.71,47.2,-0.446,18.84,19.92,01a59481o0528o
59481.446515,21.455,2.058,10,20,o,0,1.27,351.38283,18.37404,7837.52,5858.35,2.83,2.77,66.9,-0.456,18.94,19.97,01a59481o0535o
59481.453882,21.404,1.768,10,18,o,0,1.59,351.38283,18.37404,7778.56,5781.56,2.79,2.72,68.5,-0.461,18.98,19.96,01a59481o0551o
59481.466883,21.819,3.027,7,21,o,0,1.45,351.38283,18.37404,7763.07,5895.77,2.84,2.76,49.5,-0.456,18.9,19.91,01a59481o0579o
59485.393549,22.374,3.409,4,14,o,0,1.22,351.38283,18.37404,7804.88,5831.09,2.84,2.78,-81.5,-0.462,19.39,20.87,01a59485o0416o
59485.401976,22.333,2.783,4,12,o,0,1.56,351.38283,18.37404,7827.65,5867.03,2.83,2.78,-86.0,-0.463,19.41,20.85,01a59485o0434o
59485.405225,-21.706,1.488,-8,11,o,0,1.89,351.38283,18.37404,7767.99,5791.1,2.83,2.76,-79.8,-0.468,19.36,20.86,01a59485o0441o
59485.415154,21.254,1.15,11,13,o,0,1.45,351.38283,18.37404,7752.75,5905.33,2.86,2.84,-79.3,-0.461,19.34,20.85,01a59485o0462o
59487.416865,-23.123,5.778,-2,12,o,0,1.57,351.38283,18.37404,8996.3,10246.47,2.26,2.04,-63.9,-0.445,19.58,20.88,02a59487o0480o
59487.420074,-20.384,0.495,-26,13,o,0,1.24,351.38283,18.37404,8976.57,10206.89,2.34,2.04,-63.9,-0.445,19.61,20.89,02a59487o0487o
59487.425647,21.189,1.078,12,13,o,0,1.01,351.38283,18.37404,9036.74,10287.29,2.31,2.09,-57.0,-0.436,19.61,20.89,02a59487o0499o
59487.427999,21.181,1.029,12,13,o,0,1.29,351.38283,18.37404,8682.0,51.97,1.82,1.5,-65.3,-0.463,19.65,20.89,02a59487o0504o
59487.437069,21.158,0.848,12,11,o,0,2.06,351.38283,18.37404,9051.21,10167.85,2.26,2.15,-62.0,-0.433,19.61,20.87,02a59487o0523o
59489.529533,-19.892,1.077,-40,43,o,0,1.01,351.38283,18.37404,7983.58,10200.15,3.28,2.94,47.9,-0.431,17.94,19.19,01a59489o0358o
59489.533218,-22.157,9.5,-5,47,o,0,1.11,351.38283,18.37404,8004.76,10239.4,3.77,3.09,46.8,-0.379,18.01,19.3,01a59489o0366o
59489.535983,16.762,0.808,717,579,o,0,0.14,351.38283,18.37404,7232.98,42.74,3.14,3.08,45.4,-0.428,18.86,20.2,01a59489o0372o
59489.538745,-23.523,13.333,-1,19,o,0,0.91,351.38283,18.37404,7942.11,10163.96,3.25,3.01,49.1,-0.427,18.96,20.29,01a59489o0378o
59489.553112,19.97,0.766,37,29,o,0,1.21,351.38283,18.37404,7153.39,90.09,3.18,2.91,-40.6,-0.488,18.63,19.93,01a59489o0409o
59489.554036,-20.21,0.65,-30,19,o,0,1.43,351.38283,18.37404,7920.68,10284.84,3.32,3.15,50.3,-0.424,18.87,20.16,01a59489o0411o
59491.394886,-21.484,1.232,-9,11,o,0,1.46,351.38283,18.37404,831.31,6725.86,2.01,1.91,46.8,-0.439,19.57,20.89,02a59491o0435o
59491.398104,21.502,0.948,9,9,o,0,2.59,351.38283,18.37404,812.25,6689.16,2.02,1.89,38.4,-0.443,19.54,20.69,02a59491o0442o
59491.403607,-21.317,0.902,-11,10,o,0,2.85,351.38283,18.37404,870.48,6764.29,2.07,1.9,35.1,-0.439,19.51,20.71,02a59491o0454o
59491.41373,-21.354,1.113,-10,12,o,0,1.16,351.38283,18.37404,894.47,6651.82,2.1,1.92,24.4,-0.431,19.5,20.71,02a59491o0475o
59493.387499,-21.528,2.192,-9,20,o,0,1.43,351.38283,18.37404,7961.56,10214.03,2.91,2.82,83.8,-0.467,18.74,20.16,01a59493o0410o
59493.410103,-19.814,0.732,-43,32,o,0,0.9,351.38283,18.37404,7986.98,10247.21,2.97,2.86,79.4,-0.453,18.46,19.9,01a59493o0454o
59493.413949,-20.879,0.904,-16,15,o,0,1.25,351.38283,18.37404,7196.5,50.6,2.71,2.59,-56.1,-0.522,19.09,20.52,01a59493o0462o
59493.415443,23.165,7.0,2,14,o,0,1.56,351.38283,18.37404,7926.33,10169.42,2.88,2.79,73.7,-0.466,19.23,20.72,01a59493o0465o
59493.418244,21.013,0.935,14,13,o,0,1.64,351.38283,18.37404,7910.08,10287.03,2.91,2.76,69.7,-0.473,19.19,20.64,01a59493o0471o
59493.437947,-23.065,10.0,-2,22,o,0,1.16,351.38283,18.37404,7129.71,87.41,2.59,2.49,-48.0,-0.544,18.66,20.03,01a59493o0511o
59497.450196,21.042,1.083,14,15,o,0,1.08,351.38283,18.37404,5280.36,158.2,2.96,2.86,-49.7,-0.433,19.18,20.56,01a59497o0412o
59497.450659,19.938,0.393,38,15,o,0,1.39,351.38283,18.37404,6005.46,10348.28,3.08,3.02,71.5,-0.45,19.16,20.57,01a59497o0413o
59497.453905,19.97,0.399,37,15,o,0,1.39,351.38283,18.37404,6026.89,10387.88,2.98,2.83,59.8,-0.458,19.2,20.56,01a59497o0420o
59497.455745,20.294,0.547,28,15,o,0,1.01,351.38283,18.37404,5302.6,197.23,3.16,3.04,-58.8,-0.418,19.14,20.55,01a59497o0424o
59497.461279,21.455,1.4,10,13,o,0,1.81,351.38283,18.37404,5966.56,10309.91,3.11,2.9,58.4,-0.451,19.19,20.53,01a59497o0436o
59497.462662,21.432,1.37,10,13,o,0,1.58,351.38283,18.37404,5245.53,119.45,2.81,2.74,-62.9,-0.447,19.21,20.52,01a59497o0439o
59497.476972,-21.428,1.431,-10,14,o,0,1.67,351.38283,18.37404,5950.08,10426.52,2.86,2.75,62.8,-0.474,19.24,20.49,01a59497o0470o
59497.477893,21.831,2.108,7,14,o,0,1.46,351.38283,18.37404,5231.29,235.92,2.81,2.69,-41.9,-0.472,19.21,20.48,01a59497o0472o
59501.365871,19.158,0.218,79,17,o,0,1.1,351.38283,18.37404,5990.75,10368.36,2.74,2.71,53.6,-0.485,19.19,20.32,01a59501o0373o
59501.37016,18.741,0.144,116,17,o,0,1.17,351.38283,18.37404,5262.31,179.21,2.64,2.59,-55.9,-0.494,19.14,20.24,01a59501o0382o
59501.371083,18.871,0.166,103,17,o,0,1.01,351.38283,18.37404,6012.29,10407.74,2.74,2.72,60.6,-0.49,19.2,20.3,01a59501o0384o
59501.398025,18.643,0.113,127,14,o,0,1.34,351.38283,18.37404,5289.32,215.93,2.62,2.55,-54.1,-0.495,19.19,20.31,01a59501o0438o
59501.399103,19.115,0.188,82,16,o,0,1.28,351.38283,18.37404,5956.79,10329.76,2.74,2.67,88.1,-0.495,19.22,20.36,01a59501o0440o
59501.402011,19.28,0.235,70,17,o,0,0.99,351.38283,18.37404,5940.6,10447.95,2.78,2.7,-86.0,-0.493,19.22,20.38,01a59501o0446o
59501.406797,18.85,0.164,105,17,o,0,1.13,351.38283,18.37404,5228.03,139.94,2.67,2.56,-47.9,-0.494,19.17,20.32,01a59501o0456o
59501.426649,19.013,0.165,90,15,o,0,1.26,351.38283,18.37404,5216.93,258.58,2.67,2.56,-52.1,-0.496,19.22,20.35,01a59501o0497o
59507.402059,17.989,0.13,232,30,o,0,1.48,351.38283,18.37404,733.02,4796.81,2.07,1.88,34.8,-0.448,18.31,18.6,02a59507o0472o
59507.406363,17.729,0.105,294,31,o,0,1.51,351.38283,18.37404,713.36,4756.56,2.21,1.87,37.2,-0.428,18.26,18.59,02a59507o0481o
59507.412326,17.97,0.117,236,28,o,0,1.34,351.38283,18.37404,773.19,4834.42,2.05,1.85,35.3,-0.433,18.31,18.57,02a59507o0494o
59507.424737,17.863,0.096,260,25,o,0,2.52,351.38283,18.37404,793.83,4717.09,2.15,1.9,33.9,-0.429,18.23,18.54,02a59507o0521o
59509.361946,17.985,0.099,232,23,o,0,1.25,351.38283,18.37404,3763.71,2260.58,2.69,2.64,-62.6,-0.491,18.76,19.54,01a59509o0379o
59509.365171,17.84,0.096,266,25,o,0,1.03,351.38283,18.37404,3784.57,2300.74,3.02,2.92,-51.8,-0.451,18.62,19.5,01a59509o0386o
59509.376035,17.866,0.107,259,28,o,0,1.08,351.38283,18.37404,3726.93,2223.3,3.05,2.93,-60.0,-0.46,18.44,19.28,01a59509o0409o
59509.381513,17.7,0.08,302,24,o,0,1.28,351.38283,18.37404,3711.19,2339.78,3.03,3.0,-82.3,-0.444,18.63,19.47,01a59509o0420o
59511.35549,17.964,0.068,237,16,o,0,1.45,351.38283,18.37404,737.73,4793.28,2.08,2.06,-60.7,-0.431,19.21,19.98,02a59511o0366o
59511.358695,17.72,0.054,296,16,o,0,1.34,351.38283,18.37404,718.65,4754.78,2.11,2.08,66.2,-0.426,19.18,19.97,02a59511o0373o
59511.364188,17.82,0.054,270,15,o,0,1.84,351.38283,18.37404,778.03,4831.78,2.02,1.99,43.1,-0.442,19.22,19.96,02a59511o0385o
59511.376721,17.758,0.06,286,17,o,0,1.16,351.38283,18.37404,796.25,4712.76,2.44,2.34,-60.7,-0.401,19.04,19.94,02a59511o0411o
59513.342553,17.94,0.051,242,12,o,0,2.08,351.38283,18.37404,4096.53,8066.54,2.66,2.59,-63.6,-0.474,19.33,20.6,01a59513o0349o
59513.358918,17.934,0.051,244,12,o,0,1.67,351.38283,18.37404,4119.36,8103.92,2.66,2.56,-51.4,-0.478,19.33,20.59,01a59513o0383o
59513.362242,17.9,0.057,251,14,o,0,1.57,351.38283,18.37404,4059.81,8028.43,2.69,2.57,-54.1,-0.475,19.28,20.6,01a59513o0390o
59513.370111,17.843,0.053,265,14,o,0,1.65,351.38283,18.37404,4043.88,8146.16,2.66,2.53,-51.7,-0.483,19.33,20.56,01a59513o0407o
