MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59479.58253,20.521,0.995,22,22,o,0,1.04,108.07171,26.77469,7069.29,2012.39,2.04,1.99,24.2,-0.437,18.84,19.28,02a59479o0797o
59479.585762,-21.362,1.676,-10,17,o,0,1.2,108.07171,26.77469,7087.4,2049.57,2.06,1.97,37.4,-0.424,18.84,19.28,02a59479o0804o
59479.591727,21.086,1.492,13,20,o,0,1.01,108.07171,26.77469,7029.64,1971.96,2.05,1.96,36.7,-0.428,18.88,19.32,02a59479o0817o
59479.604551,-20.371,0.663,-26,17,o,0,1.08,108.07171,26.77469,7008.14,2089.15,2.07,1.95,40.7,-0.427,18.91,19.37,02a59479o0845o
59485.541463,21.928,4.5,6,28,o,0,1.08,108.07171,26.77469,3670.47,603.94,2.84,2.82,66.1,-0.448,18.52,19.33,01a59485o0718o
59485.544257,-20.084,0.929,-34,31,o,0,0.61,108.07171,26.77469,3643.66,560.28,2.91,2.77,-50.1,-0.47,18.55,19.34,01a59485o0724o
59485.566984,21.126,2.0,13,26,o,0,0.9,108.07171,26.77469,3707.97,643.29,2.83,2.72,56.1,-0.442,18.61,19.42,01a59485o0771o
59485.574408,-21.679,2.977,-8,23,o,0,1.3,108.07171,26.77469,3723.55,525.4,2.82,2.75,69.8,-0.443,18.64,19.45,01a59485o0787o
59491.616692,-21.625,1.244,-8,10,o,0,1.87,108.07171,26.77469,1588.19,7884.3,1.97,1.94,29.8,-0.446,19.44,20.49,02a59491o0887o
59491.635844,-21.328,1.035,-11,11,o,0,1.43,108.07171,26.77469,1601.7,7927.01,2.0,1.91,-9.6,-0.448,19.43,20.38,02a59491o0925o
59491.638832,20.248,0.479,29,14,o,0,0.74,108.07171,26.77469,1548.01,7845.98,1.99,1.92,16.2,-0.442,19.33,20.17,02a59491o0931o
59491.64205,20.987,1.282,15,19,o,0,0.62,108.07171,26.77469,1530.44,7963.17,1.9,1.83,-32.2,-0.462,19.13,19.87,02a59491o0937o
59493.561639,-21.897,2.182,-6,14,o,0,1.16,108.07171,26.77469,8083.86,6406.95,2.86,2.83,67.6,-0.453,19.24,20.65,01a59493o0762o
59493.565788,22.289,3.762,4,17,o,0,0.88,108.07171,26.77469,8064.57,6368.42,3.01,2.98,60.6,-0.439,19.17,20.67,01a59493o0771o
59493.577473,-23.875,14.0,-1,14,o,0,0.89,108.07171,26.77469,8125.97,6446.5,2.99,2.92,57.7,-0.445,19.22,20.7,01a59493o0794o
59493.587236,20.732,0.892,18,16,o,0,0.97,108.07171,26.77469,8143.35,6329.44,3.02,2.97,85.3,-0.443,19.14,20.62,01a59493o0814o
59501.542344,18.507,0.11,144,16,o,0,0.82,108.07171,26.77469,114.03,6484.57,2.64,2.56,-66.5,-0.437,19.17,20.58,01a59501o0728o
59501.5456,18.741,0.128,116,15,o,0,1.43,108.07171,26.77469,91.39,6440.51,2.95,2.53,-48.4,-0.448,19.23,20.59,01a59501o0735o
59501.5521,18.828,0.145,107,16,o,0,0.9,108.07171,26.77469,153.09,6517.94,2.85,2.53,-47.0,-0.453,19.21,20.55,01a59501o0749o
59501.559554,18.59,0.136,133,18,o,0,1.2,108.07171,26.77469,10023.27,6344.9,2.95,2.83,-75.6,-0.455,19.09,20.44,01a59501o0765o
59501.563718,18.677,0.13,123,16,o,0,1.18,108.07171,26.77469,10005.24,6304.37,2.98,2.87,-75.9,-0.447,19.19,20.52,01a59501o0774o
59501.564179,18.727,0.131,117,15,o,0,1.14,108.07171,26.77469,174.17,6401.18,2.86,2.53,-50.1,-0.452,19.22,20.59,01a59501o0775o
59501.571364,18.948,0.15,96,14,o,0,1.53,108.07171,26.77469,10065.46,6379.73,2.89,2.81,-88.2,-0.453,19.19,20.5,01a59501o0789o
59501.584278,18.567,0.111,136,15,o,0,1.18,108.07171,26.77469,10087.42,6258.56,2.83,2.78,70.1,-0.455,19.23,20.52,01a59501o0817o
59505.579636,18.103,0.09,208,19,o,0,0.92,108.07171,26.77469,4853.65,4314.7,2.83,2.78,-51.9,-0.464,18.9,19.95,01a59505o0835o
59505.58595,17.987,0.082,232,19,o,0,1.16,108.07171,26.77469,4836.46,4271.84,2.89,2.72,-42.0,-0.466,18.92,19.97,01a59505o0847o
59505.589172,18.2,0.107,190,20,o,0,0.98,108.07171,26.77469,4895.61,4349.18,2.83,2.76,-56.5,-0.462,18.93,19.97,01a59505o0854o
59505.609709,18.089,0.076,211,16,o,0,1.42,108.07171,26.77469,4912.07,4229.52,2.8,2.74,-58.2,-0.466,19.09,20.27,01a59505o0897o
59507.559356,17.773,0.083,282,24,o,0,1.1,108.07171,26.77469,8795.67,9862.36,2.35,2.12,-56.5,-0.428,18.87,19.26,02a59507o0798o
59507.562557,17.893,0.093,253,24,o,0,1.01,108.07171,26.77469,8815.45,9901.98,2.35,2.08,-58.0,-0.436,18.85,19.26,02a59507o0805o
59507.578139,17.92,0.095,247,23,o,0,1.23,108.07171,26.77469,8753.55,9824.92,2.33,2.1,-60.7,-0.435,18.93,19.3,02a59507o0836o
59507.583678,17.856,0.086,262,22,o,0,0.87,108.07171,26.77469,8732.69,9945.54,2.35,1.99,-54.2,-0.442,18.89,19.31,02a59507o0848o
59509.504579,17.736,0.084,292,25,o,0,1.29,108.07171,26.77469,4849.29,4326.04,2.67,2.64,-34.2,-0.483,18.65,19.22,01a59509o0677o
59509.508275,17.878,0.082,256,21,o,0,2.11,108.07171,26.77469,4831.18,4290.81,2.64,2.61,43.5,-0.482,18.64,19.25,01a59509o0685o
59509.511976,17.843,0.09,265,24,o,0,1.02,108.07171,26.77469,4890.71,4364.41,2.61,2.56,-34.2,-0.494,18.7,19.27,01a59509o0693o
59509.522133,17.967,0.11,236,26,o,0,1.13,108.07171,26.77469,4910.85,4245.5,2.73,2.7,-57.2,-0.474,18.67,19.32,01a59509o0715o
59511.500977,-20.976,21.789,-15,322,o,0,1.2,108.07171,26.77469,8782.85,9861.15,2.37,2.24,-48.1,-0.419,16.09,15.88,02a59511o0671o
59511.505117,-17.627,1.236,-323,399,o,0,0.81,108.07171,26.77469,8803.25,9901.99,2.36,2.11,-50.7,-0.431,16.35,16.12,02a59511o0680o
59511.508334,-19.564,4.94,-54,268,o,0,1.9,108.07171,26.77469,8742.57,9822.26,2.34,2.27,-64.7,-0.433,16.33,16.21,02a59511o0687o
59511.51991,17.785,0.413,279,115,o,0,1.41,108.07171,26.77469,8722.93,9941.34,2.4,2.22,-59.8,-0.424,16.96,16.75,02a59511o0709o
59515.594594,17.658,0.123,314,39,o,0,0.87,108.07171,26.77469,4452.82,4049.46,2.41,1.82,35.1,-0.424,18.19,18.5,02a59515o0876o
59515.596588,17.621,0.102,325,33,o,0,1.24,108.07171,26.77469,4474.28,4085.39,2.2,1.81,39.3,-0.443,18.23,18.44,02a59515o0880o
59515.600817,17.765,0.097,284,28,o,0,1.35,108.07171,26.77469,4418.83,4007.41,2.28,1.8,36.4,-0.434,18.46,18.76,02a59515o0889o
59515.618368,17.655,0.074,315,23,o,0,0.95,108.07171,26.77469,4402.6,4123.78,2.34,1.86,37.2,-0.439,18.79,19.25,02a59515o0925o
59517.541666,17.66,0.045,313,14,o,0,1.46,108.07171,26.77469,1635.12,8754.78,2.77,2.49,-51.2,-0.469,19.31,20.68,01a59517o0768o
59517.54443,17.78,0.052,281,15,o,0,1.14,108.07171,26.77469,1615.38,8716.08,2.76,2.48,-51.7,-0.47,19.32,20.69,01a59517o0774o
59517.557862,17.816,0.055,271,15,o,0,0.9,108.07171,26.77469,1674.28,8788.94,2.82,2.52,-51.4,-0.47,19.32,20.72,01a59517o0802o
59517.560642,17.766,0.046,284,13,o,0,1.8,108.07171,26.77469,1693.14,8670.45,2.82,2.53,-49.1,-0.468,19.31,20.71,01a59517o0808o
59519.564338,17.872,0.042,258,11,o,0,2.74,108.07171,26.77469,4451.7,4045.6,2.29,1.84,42.4,-0.454,19.62,20.91,02a59519o0800o
59519.566168,17.746,0.038,290,11,o,0,1.67,108.07171,26.77469,4470.99,4084.41,2.36,1.86,42.8,-0.445,19.61,20.91,02a59519o0804o
59519.568913,17.811,0.046,273,12,o,0,1.04,108.07171,26.77469,4414.4,4006.36,2.37,1.86,42.7,-0.45,19.63,20.9,02a59519o0810o
59519.574242,17.715,0.043,298,13,o,0,1.45,108.07171,26.77469,4395.56,4121.53,2.34,1.86,42.5,-0.446,19.62,20.9,02a59519o0821o
59521.552103,17.941,0.056,242,14,o,0,1.45,108.07171,26.77469,2813.43,2503.32,2.7,2.62,-56.4,-0.493,19.35,20.78,01a59521o0793o
59521.586668,17.907,0.06,250,15,o,0,0.98,108.07171,26.77469,2792.01,2455.89,2.72,2.64,-51.7,-0.492,19.31,20.83,01a59521o0857o
59521.603905,17.906,0.06,250,15,o,0,0.88,108.07171,26.77469,2849.09,2531.11,2.7,2.65,-44.6,-0.484,19.37,20.85,01a59521o0891o
59521.605748,17.86,0.053,261,14,o,0,1.26,108.07171,26.77469,2866.09,2412.63,2.7,2.67,-51.6,-0.486,19.34,20.85,01a59521o0895o
59523.551963,17.863,0.043,260,11,c,0,1.36,108.07171,26.77469,5755.54,8213.41,2.7,2.55,42.0,-0.391,19.58,21.39,02a59523o0792c
59523.563267,17.777,0.04,281,11,c,0,1.57,108.07171,26.77469,5772.89,8254.36,2.73,2.58,51.8,-0.388,19.54,21.62,02a59523o0814c
59523.565097,17.706,0.035,300,10,c,0,2.15,108.07171,26.77469,5715.21,8176.44,2.63,2.5,44.9,-0.391,19.57,21.64,02a59523o0818c
59523.567844,17.81,0.041,273,11,c,0,1.45,108.07171,26.77469,5695.84,8293.28,2.73,2.67,39.6,-0.39,19.48,21.65,02a59523o0824c
59523.652547,17.967,0.107,236,25,c,0,1.13,108.07171,26.77469,4844.09,2336.52,2.49,2.4,47.1,-0.389,18.52,19.63,02a59523o0995c
59525.491204,18.237,0.072,184,13,o,0,1.59,108.07171,26.77469,2810.71,2511.39,2.82,2.74,-55.5,-0.481,19.19,20.51,01a59525o0650o
59525.5041,18.004,0.072,228,16,o,0,0.98,108.07171,26.77469,2790.63,2471.79,2.84,2.76,-52.9,-0.477,19.2,20.57,01a59525o0675o
59525.511505,18.071,0.073,215,16,o,0,1.13,108.07171,26.77469,2851.51,2546.69,2.8,2.74,-54.0,-0.48,19.24,20.6,01a59525o0691o
59525.513811,18.242,0.086,183,16,o,0,1.23,108.07171,26.77469,2869.35,2428.76,2.75,2.7,-55.8,-0.487,19.25,20.61,01a59525o0696o
59527.497479,17.961,0.046,237,11,c,0,1.75,108.07171,26.77469,5746.2,8215.03,2.64,2.41,39.6,-0.392,19.57,21.23,02a59527o0658c
59527.500725,17.937,0.049,243,12,c,0,1.21,108.07171,26.77469,5767.38,8254.36,2.66,2.45,39.5,-0.389,19.55,21.23,02a59527o0665c
59527.508915,18.006,0.053,228,12,c,0,1.24,108.07171,26.77469,5710.22,8176.24,2.59,2.4,39.7,-0.393,19.6,21.25,02a59527o0682c
59527.516948,17.998,0.05,230,12,c,0,1.05,108.07171,26.77469,5695.99,8292.12,2.7,2.46,41.9,-0.39,19.6,21.31,02a59527o0698c
59529.515069,18.288,0.077,176,14,o,0,1.26,108.07171,26.77469,5689.86,508.3,2.82,2.72,-55.0,-0.477,19.34,20.97,01a59529o0686o
59529.550479,18.371,0.073,163,12,o,0,1.86,108.07171,26.77469,5664.98,453.77,2.83,2.74,-58.8,-0.47,19.36,20.95,01a59529o0760o
59529.567268,18.352,0.078,166,13,o,0,1.2,108.07171,26.77469,5722.79,529.72,2.85,2.76,-77.5,-0.471,19.33,20.93,01a59529o0795o
59529.569115,18.284,0.076,176,13,o,0,1.11,108.07171,26.77469,5740.66,411.29,2.78,2.74,-73.0,-0.475,19.38,20.94,01a59529o0799o
59533.554829,18.18,0.983,194,191,o,0,1.19,108.07171,26.77469,5685.94,492.79,2.9,2.83,-20.8,-0.456,17.28,18.33,01a59533o0135o
59533.55759,18.776,1.164,112,130,o,0,1.24,108.07171,26.77469,5664.98,452.17,3.32,3.21,-17.5,-0.415,16.65,17.9,01a59533o0141o
59533.560837,18.602,0.519,132,68,o,0,0.87,108.07171,26.77469,5725.37,529.9,2.88,2.82,-56.3,-0.465,17.53,18.77,01a59533o0148o
59535.448334,16.906,0.694,628,436,o,0,1.04,108.07171,26.77469,8536.47,4324.98,2.44,2.15,38.9,-0.395,15.43,15.2,02a59535o0573o
59535.452042,16.525,0.583,892,520,o,0,1.16,108.07171,26.77469,8555.53,4363.48,2.32,2.05,40.3,-0.401,15.37,15.05,02a59535o0581o
59535.454795,17.547,3.881,348,1350,o,0,1.12,108.07171,26.77469,8497.48,4286.99,2.39,2.13,38.7,-0.367,14.23,13.95,02a59535o0587o
59535.461255,17.681,2.864,307,881,o,0,1.31,108.07171,26.77469,8478.46,4405.03,2.35,2.07,40.4,-0.422,14.51,14.22,02a59535o0601o
59538.479732,18.282,0.166,177,29,o,0,1.51,108.07171,26.77469,7687.04,389.59,2.82,2.64,-57.7,-0.531,18.41,18.95,01a59538o0441o
59538.481573,18.467,0.205,149,31,o,0,1.29,108.07171,26.77469,7666.48,350.76,2.81,2.64,-57.5,-0.526,18.41,18.95,01a59538o0445o
59538.486667,17.841,0.108,265,29,o,0,1.14,108.07171,26.77469,7726.89,427.05,2.77,2.63,-60.3,-0.531,18.47,18.97,01a59538o0456o
59538.519766,18.269,0.169,179,30,o,0,0.97,108.07171,26.77469,7741.06,299.37,2.76,2.59,-61.2,-0.54,18.53,19.11,01a59538o0526o
59543.579268,18.488,0.121,146,18,o,0,0.8,108.07171,26.77469,887.07,2563.44,2.07,1.94,-47.0,-0.462,19.03,19.74,02a59543o0844o
59543.5825,18.48,0.119,147,18,o,0,1.48,108.07171,26.77469,867.77,2525.01,2.13,1.97,-51.7,-0.45,19.06,19.74,02a59543o0851o
59543.587931,18.498,0.134,145,20,o,0,0.67,108.07171,26.77469,927.59,2602.94,2.03,1.97,-46.2,-0.454,19.02,19.72,02a59543o0860o
59543.622214,18.418,0.134,156,21,o,0,0.74,108.07171,26.77469,938.3,2483.82,2.09,1.95,-53.1,-0.455,18.98,19.64,02a59543o0932o
59545.545634,18.513,0.119,143,17,o,0,1.09,108.07171,26.77469,9583.18,5965.68,2.81,2.73,-73.9,-0.466,19.22,20.35,01a59545o0782o
59545.550771,18.597,0.134,132,18,o,0,1.01,108.07171,26.77469,9604.1,6002.49,2.87,2.79,-74.3,-0.46,19.23,20.36,01a59545o0793o
59545.554758,18.479,0.112,147,16,o,0,0.9,108.07171,26.77469,9544.6,5927.44,2.95,2.86,89.3,-0.453,19.19,20.35,01a59545o0801o
59545.566053,18.433,0.11,154,17,o,0,1.27,108.07171,26.77469,9531.22,6044.29,2.85,2.77,-76.2,-0.461,19.2,20.36,01a59545o0825o
59557.459869,18.919,0.136,98,13,o,0,1.38,108.07171,26.77469,7736.47,8839.53,3.09,2.98,71.2,-0.434,19.29,20.86,01a59557o0532o
59557.462633,19.258,0.173,72,12,o,0,1.29,108.07171,26.77469,7718.01,8799.54,3.06,2.94,63.7,-0.435,19.29,20.86,01a59557o0538o
59557.486829,19.418,0.269,62,17,o,0,0.88,108.07171,26.77469,7788.14,8871.59,3.38,3.24,60.4,-0.41,19.2,20.85,01a59557o0584o
59557.498858,19.006,0.17,91,15,o,0,1.17,108.07171,26.77469,7813.03,8751.02,3.42,3.29,59.4,-0.413,19.2,20.88,01a59557o0610o
59561.455181,19.237,0.202,73,15,o,0,1.07,108.07171,26.77469,6762.46,2249.93,2.79,2.61,-58.0,-0.482,19.22,20.41,01a59561o0567o
59561.458406,19.101,0.183,83,15,o,0,0.97,108.07171,26.77469,6743.92,2210.15,2.76,2.6,-57.3,-0.488,19.21,20.41,01a59561o0574o
59561.482684,19.393,0.223,64,14,o,0,1.22,108.07171,26.77469,6812.44,2282.9,2.73,2.61,-55.9,-0.484,19.25,20.46,01a59561o0624o
59561.489177,19.192,0.237,76,18,o,0,0.86,108.07171,26.77469,6833.29,2163.92,2.85,2.71,-61.5,-0.472,19.21,20.46,01a59561o0638o
59565.380142,19.528,0.461,56,26,o,0,1.37,108.07171,26.77469,6741.76,2266.48,2.69,2.46,-54.4,-0.519,18.5,18.95,01a59565o0364o
