MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59204.356132,20.581,0.458,21,10,o,0,2.13,72.53545,-3.28376,5970.76,3499.28,2.34,2.08,16.1,-0.384,19.63,20.97,01a59204o0343o
59204.359357,19.602,0.175,52,9,o,0,4.37,72.53545,-3.28376,5951.92,3462.35,2.43,2.14,9.1,-0.387,19.61,20.96,01a59204o0350o
59204.366765,20.661,0.544,20,11,o,0,0.93,72.53545,-3.28376,6011.17,3543.46,1.97,1.9,-56.2,-0.408,19.74,20.93,01a59204o0366o
59204.374657,21.011,0.742,14,11,o,0,2.73,72.53545,-3.28376,6029.78,3426.62,2.47,2.11,8.3,-0.4,19.54,20.85,01a59204o0383o
59206.316725,20.805,0.955,17,16,o,0,0.63,72.53545,-3.28376,8633.51,1442.84,2.17,1.76,-56.9,-0.464,19.45,20.33,02a59206o0263o
59206.319934,20.784,1.006,18,18,o,0,0.55,72.53545,-3.28376,8653.63,1481.88,2.19,1.79,-57.9,-0.464,19.42,20.35,02a59206o0270o
59206.323134,-22.704,3.793,-3,11,o,0,1.89,72.53545,-3.28376,8596.0,1403.98,2.24,1.84,-59.1,-0.462,19.43,20.36,02a59206o0277o
59206.32955,-20.78,0.77,-18,14,o,0,0.99,72.53545,-3.28376,8576.43,1520.96,2.21,1.84,-53.9,-0.454,19.39,20.37,02a59206o0291o
59208.341294,21.45,1.636,10,16,o,0,0.89,72.53545,-3.28376,8347.08,9318.8,2.14,2.02,60.4,-0.366,19.25,19.84,01a59208o0319o
59208.351372,-21.41,1.465,-10,14,o,0,0.98,72.53545,-3.28376,8328.47,9278.85,2.32,2.09,17.5,-0.367,19.19,19.85,01a59208o0339o
59208.355734,-20.895,0.878,-16,14,o,0,1.62,72.53545,-3.28376,8385.96,9358.52,2.06,2.01,-67.7,-0.378,19.28,19.86,01a59208o0348o
59208.35851,-22.25,3.486,-5,16,o,0,1.56,72.53545,-3.28376,8405.78,9239.78,2.8,2.21,7.2,-0.364,19.06,19.86,01a59208o0354o
59216.403218,21.683,1.966,8,15,o,0,1.14,72.53545,-3.28376,8779.68,5394.38,2.52,2.45,-87.7,-0.404,19.16,20.06,01a59216o0460o
59216.405999,-21.276,1.299,-11,15,o,0,1.21,72.53545,-3.28376,8799.75,5434.67,2.38,2.27,-88.0,-0.411,19.25,20.05,01a59216o0466o
59216.416135,20.262,0.668,28,19,o,0,1.07,72.53545,-3.28376,8742.19,5355.68,2.62,2.51,-28.4,-0.385,19.09,20.02,01a59216o0488o
59216.422178,-22.076,3.051,-5,16,o,0,1.25,72.53545,-3.28376,8723.53,5473.7,2.64,2.41,-82.6,-0.416,19.11,19.99,01a59216o0501o
59217.365055,20.167,0.492,31,15,o,0,0.7,72.53545,-3.28376,1865.63,7069.14,2.18,1.98,40.2,-0.428,19.35,20.29,02a59217o0335o
59217.368258,20.641,0.624,20,12,o,0,1.89,72.53545,-3.28376,1847.81,7032.15,2.1,2.02,51.1,-0.434,19.36,20.27,02a59217o0342o
59217.373768,20.946,0.952,15,14,o,0,0.93,72.53545,-3.28376,1905.54,7108.07,2.17,1.99,45.1,-0.429,19.34,20.25,02a59217o0354o
59217.384762,20.49,0.655,23,15,o,0,1.65,72.53545,-3.28376,1926.85,6992.25,2.11,1.99,48.7,-0.431,19.35,20.2,02a59217o0378o
59218.427533,-21.094,1.017,-13,14,o,0,1.11,72.53545,-3.28376,1573.34,1238.28,2.18,1.96,-55.7,-0.485,19.29,20.16,02a59218o0478o
59218.431648,20.386,0.592,25,15,o,0,9.55,72.53545,-3.28376,1554.85,1199.16,2.19,1.96,-56.1,-0.489,19.28,20.15,02a59218o0487o
59218.438064,23.087,7.944,2,17,o,0,2.25,72.53545,-3.28376,1614.41,1279.02,2.22,2.04,-52.2,-0.483,19.21,20.12,02a59218o0501o
59218.451382,21.377,1.451,10,15,o,0,4.0,72.53545,-3.28376,1636.88,1161.94,2.31,2.1,-55.6,-0.473,19.17,20.07,02a59218o0530o
59220.335673,23.052,4.667,2,10,c,0,1.23,72.53545,-3.28376,8766.65,5403.16,2.89,2.68,-16.3,-0.396,19.76,21.93,01a59220o0312c
59220.339843,21.566,0.939,9,8,c,0,1.0,72.53545,-3.28376,8787.14,5439.62,2.68,2.58,-40.3,-0.391,19.82,21.94,01a59220o0321c
59220.345887,21.738,1.218,7,9,c,0,0.96,72.53545,-3.28376,8729.36,5362.47,2.76,2.56,-42.5,-0.39,19.79,21.94,01a59220o0334c
59220.356972,21.632,1.104,8,9,c,0,1.58,72.53545,-3.28376,8713.24,5475.7,2.56,2.5,-49.0,-0.392,19.86,21.96,01a59220o0358c
59222.384687,21.244,0.924,12,11,c,0,1.25,72.53545,-3.28376,1571.67,1236.42,2.66,2.4,-62.7,-0.434,19.74,21.78,02a59222o0417c
59222.388346,22.311,2.033,4,9,c,0,1.61,72.53545,-3.28376,1554.41,1196.75,2.65,2.37,-58.9,-0.437,19.74,21.78,02a59222o0425c
59222.399844,22.971,4.188,2,10,c,0,1.31,72.53545,-3.28376,1610.92,1273.33,2.67,2.41,-62.8,-0.428,19.69,21.75,02a59222o0450c
59222.40995,22.239,2.097,5,10,c,0,1.79,72.53545,-3.28376,1632.16,1154.19,2.68,2.43,-64.0,-0.429,19.67,21.69,02a59222o0472c
59224.358494,19.387,0.132,64,8,c,0,0.98,72.53545,-3.28376,6625.26,1536.12,2.35,2.32,-79.5,-0.395,19.81,21.84,01a59224o0294c
59224.362644,19.999,0.237,36,9,c,0,1.28,72.53545,-3.28376,6645.5,1574.98,2.31,2.25,-81.5,-0.399,19.83,21.76,01a59224o0303c
59224.370044,19.704,0.203,48,10,c,0,1.1,72.53545,-3.28376,6587.75,1495.88,2.35,2.23,87.8,-0.399,19.85,21.81,01a59224o0319c
59224.383049,19.949,0.218,38,8,c,0,1.87,72.53545,-3.28376,6568.05,1610.69,2.39,2.33,-2.9,-0.39,19.79,21.76,01a59224o0347c
59226.368657,19.438,0.131,61,8,c,0,3.86,72.53545,-3.28376,9941.3,5253.16,2.69,2.58,-68.6,-0.407,19.76,21.89,02a59226o0378c
59226.373263,19.367,0.139,65,9,c,0,1.96,72.53545,-3.28376,9921.56,5215.07,2.64,2.58,-77.7,-0.405,19.75,21.88,02a59226o0388c
59226.37969,19.586,0.156,53,8,c,0,2.33,72.53545,-3.28376,9979.71,5291.08,2.63,2.53,-70.0,-0.409,19.82,21.9,02a59226o0402c
59226.389788,19.246,0.126,73,9,c,0,1.52,72.53545,-3.28376,10000.93,5176.01,2.75,2.63,-64.0,-0.407,19.76,21.89,02a59226o0424c
59228.35826,18.79,0.086,111,10,c,0,1.99,72.53545,-3.28376,6621.42,1526.66,3.09,2.98,-26.9,-0.347,19.62,21.94,01a59228o0074c
59228.365192,18.925,0.085,98,8,c,0,1.96,72.53545,-3.28376,6642.44,1565.46,2.8,2.64,-6.7,-0.37,19.69,21.93,01a59228o0089c
59228.369797,18.916,0.082,99,8,c,0,1.95,72.53545,-3.28376,6584.46,1488.41,2.63,2.53,-31.4,-0.384,19.74,21.94,01a59228o0099c
59228.385084,18.905,0.096,100,10,c,0,1.21,72.53545,-3.28376,6566.88,1606.97,2.92,2.77,-83.2,-0.361,19.57,21.91,01a59228o0132c
