MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59486.615133,19.899,0.443,40,18,o,0,1.69,119.18543,-2.99453,2775.99,1057.77,2.25,2.14,39.7,-0.432,19.03,19.85,02a59486o0905o
59486.620653,21.297,1.518,11,17,o,0,2.04,119.18543,-2.99453,2795.56,1098.11,2.31,2.2,39.1,-0.433,19.03,19.88,02a59486o0917o
59486.633705,20.169,0.557,31,17,o,0,1.49,119.18543,-2.99453,2737.48,1018.24,2.35,2.25,28.0,-0.426,18.98,19.79,02a59486o0945o
59486.636907,19.89,0.476,40,19,o,0,1.89,119.18543,-2.99453,2717.42,1135.75,2.24,2.05,37.1,-0.435,18.94,19.61,02a59486o0952o
59490.6081,-20.395,0.536,-25,14,o,0,2.44,119.18543,-2.99453,3916.37,4559.13,2.38,1.88,35.1,-0.43,19.33,20.38,02a59490o0893o
59490.612241,-21.029,0.867,-14,12,o,0,5.77,119.18543,-2.99453,3935.13,4598.34,2.37,1.8,35.4,-0.434,19.42,20.41,02a59490o0902o
59490.628793,20.384,0.481,26,12,o,0,3.14,119.18543,-2.99453,3876.98,4520.43,2.35,1.81,36.7,-0.433,19.43,20.44,02a59490o0938o
59490.640268,21.909,3.091,6,19,o,0,1.47,119.18543,-2.99453,3859.11,4635.97,2.44,1.86,35.7,-0.426,19.1,19.82,02a59490o0963o
59492.59029,18.974,0.7,94,65,o,0,1.26,119.18543,-2.99453,2007.04,9844.63,3.33,3.07,-49.4,-0.437,17.71,18.84,01a59492o0851o
59492.595973,-18.453,0.582,-151,88,o,0,1.08,119.18543,-2.99453,1985.6,9805.2,4.09,3.85,-42.2,-0.376,17.36,18.62,01a59492o0863o
59492.599656,-20.03,1.479,-35,52,o,0,1.04,119.18543,-2.99453,2045.99,9883.18,3.14,2.93,-55.1,-0.456,17.91,19.03,01a59492o0871o
59492.617125,-17.577,0.705,-338,238,o,0,0.9,119.18543,-2.99453,2073.37,9768.58,2.97,2.85,-68.2,-0.465,16.5,17.48,01a59492o0908o
59494.60222,-20.826,0.699,-17,12,o,0,2.57,119.18543,-2.99453,3914.61,4560.25,2.78,2.22,30.3,-0.392,19.37,20.7,02a59494o0781o
59494.606361,19.432,0.218,61,13,o,0,2.35,119.18543,-2.99453,3932.04,4599.36,2.68,2.19,28.2,-0.406,19.36,20.71,02a59494o0790o
59494.625163,-21.562,1.508,-9,13,o,0,1.74,119.18543,-2.99453,3872.02,4522.94,2.67,2.22,27.4,-0.41,19.39,20.81,02a59494o0831o
59494.636645,-21.562,1.643,-9,14,o,0,1.5,119.18543,-2.99453,3851.47,4638.9,2.79,2.26,33.0,-0.404,19.23,20.49,02a59494o0856o
59496.582868,19.556,0.363,55,20,o,0,1.25,119.18543,-2.99453,3951.87,9714.35,3.08,3.0,-31.6,-0.443,19.05,20.46,01a59496o0840o
59496.586098,19.418,0.279,62,17,o,0,1.26,119.18543,-2.99453,3932.51,9674.82,3.05,2.95,-43.5,-0.433,19.06,20.47,01a59496o0847o
59496.594027,19.45,0.295,60,18,o,0,1.64,119.18543,-2.99453,3996.3,9754.85,3.2,2.99,-20.7,-0.431,19.08,20.53,01a59496o0864o
59496.603842,21.014,1.261,14,18,o,0,1.45,119.18543,-2.99453,4018.56,9637.65,3.03,2.94,-24.2,-0.435,19.14,20.56,01a59496o0885o
59498.612617,20.222,0.444,30,13,o,0,2.5,119.18543,-2.99453,3823.6,2622.51,2.31,1.85,35.9,-0.446,19.48,20.64,02a59498o0722o
59498.63029,20.969,0.89,15,13,o,0,1.93,119.18543,-2.99453,3840.04,2660.9,2.29,1.85,34.5,-0.452,19.53,20.68,02a59498o0760o
59498.636747,19.339,0.226,67,15,o,0,4.76,119.18543,-2.99453,3783.08,2582.96,2.3,1.88,36.5,-0.447,19.4,20.49,02a59498o0774o
59498.644547,19.438,0.371,61,23,o,0,1.75,119.18543,-2.99453,3762.85,2700.31,2.36,1.87,38.4,-0.449,18.88,19.42,02a59498o0791o
59500.566929,18.594,0.159,133,21,o,0,1.4,119.18543,-2.99453,3910.91,9746.15,2.86,2.81,88.7,-0.453,18.91,20.03,01a59500o0554o
59500.570156,18.968,0.207,94,20,o,0,1.43,119.18543,-2.99453,3891.45,9705.87,2.81,2.76,-78.8,-0.461,18.95,20.01,01a59500o0561o
59500.576633,19.023,0.217,89,19,o,0,1.65,119.18543,-2.99453,3951.62,9782.24,2.8,2.75,-78.6,-0.462,18.98,20.03,01a59500o0575o
59500.589072,19.399,0.293,63,18,o,0,1.6,119.18543,-2.99453,3973.83,9662.92,2.83,2.71,-52.8,-0.471,19.02,20.14,01a59500o0602o
59506.610183,18.305,0.111,173,19,o,0,1.78,119.18543,-2.99453,4008.76,6487.8,2.27,1.84,34.7,-0.414,19.01,19.56,02a59506o0917o
59506.614302,18.122,0.091,205,18,o,0,2.39,119.18543,-2.99453,4026.2,6525.74,2.31,1.84,34.3,-0.417,19.04,19.59,02a59506o0926o
59506.631836,18.404,0.113,158,18,o,0,2.11,119.18543,-2.99453,3969.25,6447.91,2.33,1.92,34.3,-0.413,19.1,19.76,02a59506o0964o
59506.641067,18.272,0.098,178,18,o,0,2.45,119.18543,-2.99453,3952.06,6563.66,2.4,1.87,33.9,-0.409,19.03,19.63,02a59506o0984o
59508.552401,18.028,0.191,223,43,o,0,1.26,119.18543,-2.99453,2488.1,7716.63,2.77,2.65,-49.5,-0.47,18.54,19.23,01a59508o0793o
59508.55609,18.046,0.203,220,45,o,0,1.25,119.18543,-2.99453,2468.43,7676.78,2.86,2.68,-49.3,-0.464,18.53,19.26,01a59508o0801o
59508.562088,18.217,0.213,188,40,o,0,1.69,119.18543,-2.99453,2529.27,7755.6,2.85,2.66,-48.5,-0.463,18.59,19.31,01a59508o0814o
59508.572265,17.87,0.135,258,35,o,0,2.13,119.18543,-2.99453,2550.0,7637.41,2.82,2.65,-46.7,-0.465,18.65,19.38,01a59508o0836o
59510.577028,17.939,0.085,242,21,o,0,1.62,119.18543,-2.99453,4011.01,6490.57,2.31,1.83,35.3,-0.41,18.96,19.47,02a59510o0806o
59510.581149,18.136,0.094,202,19,o,0,2.08,119.18543,-2.99453,4030.41,6528.83,2.3,1.84,36.3,-0.412,18.99,19.48,02a59510o0815o
59510.586644,18.025,0.08,224,18,o,0,2.03,119.18543,-2.99453,3971.94,6451.46,2.26,1.82,35.7,-0.417,19.03,19.51,02a59510o0827o
59510.599059,18.408,0.122,157,19,o,0,1.33,119.18543,-2.99453,3951.28,6566.98,2.34,1.86,36.7,-0.412,19.05,19.56,02a59510o0854o
59512.576813,18.128,0.109,204,22,o,0,1.56,119.18543,-2.99453,2098.46,1893.24,2.79,2.68,-48.4,-0.505,18.89,19.81,01a59512o0852o
59512.581432,18.122,0.114,205,23,o,0,1.42,119.18543,-2.99453,2078.94,1855.42,2.77,2.69,-49.7,-0.509,18.91,19.82,01a59512o0862o
59512.592328,18.036,0.11,222,24,o,0,1.41,119.18543,-2.99453,2139.27,1926.69,2.79,2.68,-44.3,-0.506,18.93,19.85,01a59512o0885o
59512.595556,17.976,0.106,234,25,o,0,0.9,119.18543,-2.99453,2155.02,1811.33,2.78,2.69,-35.6,-0.504,18.95,19.86,01a59512o0892o
59516.577396,18.376,0.157,162,26,o,0,1.3,119.18543,-2.99453,2096.53,1890.49,2.89,2.76,-46.5,-0.513,18.79,19.81,01a59516o0851o
59516.580641,18.239,0.112,184,21,o,0,1.43,119.18543,-2.99453,2076.88,1853.16,2.95,2.84,-54.0,-0.495,19.0,20.23,01a59516o0858o
59516.58617,18.187,0.104,193,20,o,0,1.47,119.18543,-2.99453,2135.93,1930.17,2.84,2.75,-52.9,-0.496,19.04,20.27,01a59516o0870o
59516.59893,18.099,0.091,209,19,o,0,1.16,119.18543,-2.99453,2154.81,1810.35,2.86,2.76,-38.8,-0.497,18.91,20.26,01a59516o0897o
59518.584353,18.558,0.104,137,14,o,0,5.87,119.18543,-2.99453,291.66,641.59,2.03,1.82,-67.3,-0.496,19.55,20.76,02a59518o0858o
59518.594841,18.446,0.08,152,12,o,0,5.38,119.18543,-2.99453,306.88,682.14,2.02,1.78,-68.4,-0.498,19.55,20.79,02a59518o0880o
59518.598999,18.326,0.102,170,17,o,0,4.04,119.18543,-2.99453,251.02,603.32,2.02,1.72,-65.0,-0.494,19.59,20.79,02a59518o0889o
59518.60504,18.351,0.073,166,12,o,0,6.24,119.18543,-2.99453,232.76,719.35,1.96,1.74,-66.9,-0.513,19.58,20.78,02a59518o0902o
59520.575754,18.687,0.131,122,16,o,0,3.28,119.18543,-2.99453,413.26,5892.47,2.73,2.47,-50.7,-0.473,19.34,20.82,01a59520o0855o
59520.57945,18.399,0.096,159,15,o,0,2.12,119.18543,-2.99453,392.14,5853.66,2.79,2.5,-50.9,-0.475,19.37,20.84,01a59520o0863o
59520.580833,18.314,0.091,172,16,o,0,1.99,119.18543,-2.99453,10516.45,5707.33,2.92,2.77,-65.3,-0.465,19.32,20.8,01a59520o0866o
59520.584979,18.162,0.078,197,15,o,0,1.78,119.18543,-2.99453,453.02,5929.77,2.83,2.5,-49.4,-0.472,19.32,20.82,01a59520o0875o
59520.594978,18.71,0.159,119,19,o,0,2.33,119.18543,-2.99453,472.19,5810.51,2.71,2.39,-43.6,-0.489,19.38,20.83,01a59520o0896o
59522.576468,18.708,0.094,119,11,c,0,1.84,119.18543,-2.99453,8201.37,4863.67,2.57,2.39,28.6,-0.388,19.67,21.48,02a59522o0860c
59522.57971,18.618,0.083,130,11,c,0,2.0,119.18543,-2.99453,8220.96,4902.66,2.54,2.36,34.1,-0.387,19.68,21.5,02a59522o0867c
59522.585221,18.767,0.088,113,10,c,0,3.02,119.18543,-2.99453,8163.26,4824.34,2.66,2.48,31.2,-0.383,19.63,21.49,02a59522o0879c
59522.590709,18.701,0.086,120,10,c,0,1.55,119.18543,-2.99453,8143.6,4940.38,2.57,2.38,32.2,-0.385,19.67,21.46,02a59522o0891c
59524.532722,18.424,0.154,155,24,o,0,1.65,119.18543,-2.99453,407.03,5895.91,2.96,2.7,-52.0,-0.457,18.71,20.19,01a59524o0759o
