MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59484.606444,-20.316,0.665,-27,18,o,0,1.57,96.48419,39.67371,9482.62,9947.81,2.58,2.16,-50.6,-0.405,18.98,19.63,02a59484o0884o
59484.610125,21.953,3.388,6,20,o,0,1.15,96.48419,39.67371,9503.28,9986.33,2.34,2.19,-54.8,-0.415,18.98,19.64,02a59484o0892o
59484.620719,-21.449,2.179,-10,21,o,0,1.32,96.48419,39.67371,9443.18,9910.51,2.45,2.09,-50.9,-0.418,19.02,19.63,02a59484o0915o
59484.631032,-21.789,3.231,-7,23,o,0,0.92,96.48419,39.67371,9425.52,10031.23,2.49,2.29,-54.9,-0.404,18.91,19.6,02a59484o0937o
59486.61418,-20.742,1.189,-18,22,o,0,0.9,96.48419,39.67371,9413.97,5238.21,2.74,2.66,54.1,-0.471,18.83,19.59,01a59486o0898o
59486.619339,21.174,1.652,12,20,o,0,1.15,96.48419,39.67371,9394.94,5199.95,2.77,2.72,-77.1,-0.469,18.8,19.59,01a59486o0909o
59486.630976,21.6,3.111,8,26,o,0,1.02,96.48419,39.67371,9453.96,5277.03,2.82,2.75,-87.6,-0.473,18.79,19.6,01a59486o0934o
59486.634665,-20.435,0.912,-24,22,o,0,1.37,96.48419,39.67371,9471.74,5160.68,2.91,2.81,-82.6,-0.469,18.7,19.51,01a59486o0942o
59490.593424,-22.736,4.867,-3,14,o,0,1.37,96.48419,39.67371,5159.27,882.01,2.94,2.88,-80.5,-0.443,19.2,20.67,01a59490o0789o
59490.596656,21.684,2.028,8,16,o,0,1.25,96.48419,39.67371,5137.77,843.36,3.09,3.05,-72.8,-0.43,19.12,20.66,01a59490o0796o
59490.602656,19.772,0.371,45,17,o,0,1.08,96.48419,39.67371,5197.52,920.49,3.5,3.4,-75.5,-0.386,19.02,20.68,01a59490o0809o
59490.620068,21.057,1.0,14,14,o,0,1.3,96.48419,39.67371,5214.32,801.34,2.82,2.75,-61.2,-0.46,19.25,20.62,01a59490o0846o
59492.587747,-20.119,0.49,-32,16,o,0,1.49,96.48419,39.67371,2966.26,3255.21,2.25,1.88,41.1,-0.45,19.03,20.19,02a59492o0858o
59492.59095,-20.688,0.875,-19,17,o,0,0.91,96.48419,39.67371,2986.46,3294.82,2.32,1.87,41.6,-0.447,19.19,20.37,02a59492o0865o
59492.601732,21.244,1.111,12,13,o,0,1.16,96.48419,39.67371,2929.74,3215.21,2.44,1.93,40.1,-0.446,19.41,20.74,02a59492o0888o
59492.607688,20.858,0.802,16,13,o,0,1.23,96.48419,39.67371,2914.42,3332.44,2.22,1.9,42.2,-0.45,19.38,20.65,02a59492o0901o
59494.565796,21.111,0.959,13,12,o,0,1.26,96.48419,39.67371,5160.54,882.11,2.75,2.67,-47.9,-0.485,19.35,20.93,01a59494o0804o
59494.569973,21.686,1.413,8,11,o,0,1.43,96.48419,39.67371,5140.58,843.55,2.67,2.57,-47.4,-0.496,19.46,20.93,01a59494o0813o
59494.575155,-23.581,8.625,-1,12,o,0,1.37,96.48419,39.67371,5202.46,920.65,2.66,2.6,-51.3,-0.492,19.44,20.96,01a59494o0824o
59494.587289,-23.749,9.571,-1,11,o,0,1.25,96.48419,39.67371,5218.8,801.55,2.64,2.56,-60.1,-0.493,19.43,20.95,01a59494o0850o
59498.584011,21.724,1.718,7,13,o,0,1.13,96.48419,39.67371,7175.11,776.57,2.89,2.74,-62.1,-0.483,19.41,20.99,01a59498o0851o
59498.587243,-22.722,4.0,-3,12,o,0,1.41,96.48419,39.67371,7154.5,735.98,2.85,2.69,-59.7,-0.493,19.38,20.99,01a59498o0858o
59498.602812,21.244,1.0,12,12,o,0,1.16,96.48419,39.67371,7215.38,810.75,2.82,2.71,-52.6,-0.487,19.35,20.94,01a59498o0890o
59498.61386,-22.81,4.867,-3,13,o,0,1.17,96.48419,39.67371,7233.1,689.42,2.82,2.68,-55.0,-0.492,19.38,20.91,01a59498o0914o
59500.572845,20.698,0.665,19,13,o,0,1.07,96.48419,39.67371,5493.24,1342.06,2.19,1.98,50.5,-0.427,19.36,20.48,02a59500o0669o
59500.578357,20.427,0.451,24,11,o,0,1.3,96.48419,39.67371,5516.65,1381.08,2.29,2.01,53.7,-0.415,19.34,20.48,02a59500o0681o
59500.581562,20.262,0.476,28,14,o,0,1.15,96.48419,39.67371,5460.88,1303.19,2.28,1.98,52.5,-0.424,19.32,20.48,02a59500o0688o
59500.592107,19.937,0.334,38,13,o,0,1.06,96.48419,39.67371,5442.92,1421.13,2.24,2.01,53.8,-0.42,19.38,20.51,02a59500o0711o
59502.556068,19.134,0.303,81,24,o,0,1.19,96.48419,39.67371,7180.44,785.32,2.69,2.58,-60.7,-0.506,18.61,19.8,01a59502o0791o
59502.557914,19.16,0.287,79,23,o,0,1.27,96.48419,39.67371,7159.96,746.93,2.74,2.58,-58.2,-0.509,18.76,19.96,01a59502o0795o
