MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59490.549684,-21.397,1.265,-10,13,o,0,0.72,72.46083,0.56694,4363.32,7830.13,2.23,1.85,31.6,-0.42,19.53,20.59,02a59490o0767o
59490.551517,-21.87,1.222,-6,8,o,0,2.12,72.46083,0.56694,4382.38,7868.95,2.24,1.86,34.3,-0.417,19.55,20.61,02a59490o0771o
59490.554271,21.367,1.149,10,12,o,0,0.81,72.46083,0.56694,4324.99,7790.78,2.24,1.85,32.5,-0.417,19.52,20.59,02a59490o0777o
59490.55976,-22.034,1.891,-6,10,o,0,1.03,72.46083,0.56694,4304.52,7907.77,2.23,1.85,32.7,-0.414,19.54,20.6,02a59490o0789o
59492.522293,-18.063,1.271,-216,275,o,0,1.05,72.46083,0.56694,10455.01,6445.47,3.25,3.1,-64.0,-0.42,15.98,17.16,01a59492o0705o
59492.522754,20.536,6.143,22,136,o,0,1.07,72.46083,0.56694,162.17,6589.95,3.1,2.66,-48.2,-0.423,16.75,17.99,01a59492o0706o
59492.526445,-19.296,2.122,-69,147,o,0,1.28,72.46083,0.56694,141.18,6552.37,3.4,2.88,-23.0,-0.393,16.77,18.11,01a59492o0714o
59492.526911,-23.34,85.0,-2,142,o,0,1.16,72.46083,0.56694,10433.19,6407.28,3.11,2.98,-60.2,-0.428,16.78,17.95,01a59492o0715o
59492.531518,-22.074,29.0,-5,156,o,0,1.36,72.46083,0.56694,10495.09,6483.87,3.05,2.85,-67.3,-0.439,16.65,17.79,01a59492o0725o
59492.531979,-23.608,82.0,-1,107,o,0,1.39,72.46083,0.56694,202.69,6630.06,3.13,2.72,-45.3,-0.425,16.97,18.23,01a59492o0726o
59492.537971,20.513,4.789,23,108,o,0,1.04,72.46083,0.56694,219.29,6512.32,3.33,2.83,-23.3,-0.406,17.19,18.55,01a59492o0739o
59492.541662,18.955,1.322,95,126,o,0,1.03,72.46083,0.56694,10511.4,6363.9,3.37,3.16,-17.4,-0.412,16.84,18.19,01a59492o0747o
59494.47874,-20.958,1.107,-15,17,o,0,0.93,72.46083,0.56694,4355.68,7829.56,3.62,3.26,28.8,-0.335,18.99,20.72,02a59494o0516o
59494.500753,-22.688,4.353,-3,13,o,0,0.95,72.46083,0.56694,4378.8,7868.82,2.94,2.59,32.6,-0.372,19.28,20.85,02a59494o0563o
59494.508156,20.901,0.649,16,10,o,0,1.36,72.46083,0.56694,4322.33,7790.88,2.64,2.2,31.6,-0.386,19.47,20.89,02a59494o0579o
59494.517958,-22.089,2.182,-5,12,o,0,1.5,72.46083,0.56694,4304.43,7909.05,2.68,2.49,35.8,-0.392,19.38,20.89,02a59494o0599o
59496.5126,20.559,0.708,22,15,o,0,1.29,72.46083,0.56694,2110.99,6459.24,3.5,3.09,-7.4,-0.414,19.07,20.58,01a59496o0688o
59496.522272,21.703,2.179,8,16,o,0,0.94,72.46083,0.56694,2090.9,6422.35,4.09,3.09,-2.4,-0.37,18.98,20.66,01a59496o0709o
59496.527352,-21.117,1.143,-13,15,o,0,1.2,72.46083,0.56694,2151.49,6499.15,4.0,3.05,-0.6,-0.384,19.03,20.68,01a59496o0720o
59496.537493,20.765,1.0,18,18,o,0,0.92,72.46083,0.56694,2168.46,6381.18,4.45,2.86,-3.0,-0.424,19.01,20.66,01a59496o0742o
59498.524958,20.936,0.638,15,10,o,0,1.12,72.46083,0.56694,4274.27,5892.71,2.43,1.83,33.1,-0.42,19.55,20.81,02a59498o0534o
59498.526787,-22.184,2.214,-5,11,o,0,1.53,72.46083,0.56694,4292.89,5932.04,2.48,1.83,32.5,-0.417,19.55,20.8,02a59498o0538o
59498.530926,-21.049,0.828,-14,11,o,0,0.8,72.46083,0.56694,4235.47,5854.09,2.41,1.81,32.4,-0.423,19.6,20.84,02a59498o0547o
59498.536987,21.884,1.947,6,12,o,0,0.9,72.46083,0.56694,4215.39,5970.28,2.42,1.8,33.9,-0.421,19.55,20.8,02a59498o0560o
59500.467263,22.451,3.727,4,14,o,0,1.07,72.46083,0.56694,2067.85,6480.77,2.81,2.51,-45.1,-0.494,19.26,20.55,01a59500o0338o
59500.470493,20.318,0.574,27,16,o,0,1.26,72.46083,0.56694,2048.45,6444.1,2.81,2.55,-48.9,-0.488,19.23,20.56,01a59500o0345o
59500.475117,22.368,2.792,4,11,o,0,1.68,72.46083,0.56694,2107.25,6518.16,2.79,2.49,-46.5,-0.499,19.26,20.57,01a59500o0355o
59500.482963,22.089,2.806,5,15,o,0,1.01,72.46083,0.56694,2126.03,6400.29,2.79,2.51,-39.7,-0.494,19.29,20.6,01a59500o0372o
59506.48937,20.74,1.396,18,26,o,0,0.89,72.46083,0.56694,4450.51,9775.65,1.99,1.84,-58.1,-0.423,18.96,19.32,02a59506o0654o
59506.491213,-20.79,1.376,-18,24,o,0,0.96,72.46083,0.56694,4468.46,9813.42,2.04,1.89,-56.5,-0.426,18.92,19.33,02a59506o0658o
59506.493959,19.793,0.553,44,24,o,0,0.86,72.46083,0.56694,4410.56,9735.16,2.02,1.92,-59.7,-0.423,18.91,19.34,02a59506o0664o
59506.499495,19.075,0.272,85,23,o,0,1.39,72.46083,0.56694,4390.88,9854.19,2.0,1.82,-57.7,-0.421,18.97,19.36,02a59506o0676o
59508.429678,19.967,1.155,37,43,o,0,0.97,72.46083,0.56694,1977.26,4450.07,2.74,2.61,-45.7,-0.492,18.23,18.66,01a59508o0531o
59508.431523,19.525,0.79,56,44,o,0,1.02,72.46083,0.56694,1956.52,4409.76,2.79,2.67,-46.5,-0.496,18.25,18.67,01a59508o0535o
59508.437988,20.175,1.199,31,37,o,0,1.26,72.46083,0.56694,2015.75,4485.89,2.83,2.7,-48.0,-0.488,18.22,18.69,01a59508o0549o
59508.443072,19.581,0.651,53,35,o,0,1.14,72.46083,0.56694,2035.38,4369.99,2.86,2.75,-46.1,-0.483,18.22,18.72,01a59508o0560o
59512.562392,18.76,0.169,114,19,o,0,1.36,72.46083,0.56694,8781.08,1763.97,2.88,2.74,-27.0,-0.478,18.87,19.75,01a59512o0821o
59512.590802,19.12,0.252,82,21,o,0,1.12,72.46083,0.56694,8807.03,1803.6,2.79,2.66,-38.2,-0.491,18.86,19.71,01a59512o0882o
59512.619248,18.908,0.204,99,20,o,0,1.48,72.46083,0.56694,8754.37,1730.34,2.78,2.66,-54.0,-0.499,18.82,19.63,01a59512o0943o
59512.638488,19.55,0.471,55,26,o,0,1.03,72.46083,0.56694,8740.31,1851.02,2.84,2.67,-60.1,-0.49,18.7,19.41,01a59512o0983o
59516.47473,19.002,0.192,91,18,o,0,0.7,72.46083,0.56694,1735.12,8810.03,2.73,2.46,-45.5,-0.484,19.25,20.64,01a59516o0632o
59516.476573,18.983,0.217,93,20,o,0,0.93,72.46083,0.56694,1716.35,8772.27,2.82,2.55,-46.6,-0.476,18.92,20.29,01a59516o0636o
59516.481747,18.626,0.117,129,15,o,0,1.63,72.46083,0.56694,1776.4,8848.18,2.83,2.54,-41.1,-0.474,19.25,20.73,01a59516o0647o
59516.507215,18.627,0.134,129,17,o,0,0.85,72.46083,0.56694,1796.59,8722.67,2.77,2.54,-44.6,-0.477,19.09,20.47,01a59516o0701o
59518.49581,18.992,0.103,92,10,c,0,0.95,72.46083,0.56694,2110.78,3943.7,2.31,2.23,26.8,-0.408,19.78,21.63,02a59518o0673c
59518.497638,18.86,0.078,104,8,c,0,1.29,72.46083,0.56694,2130.8,3981.73,2.31,2.23,26.7,-0.407,19.73,21.62,02a59518o0677c
59518.509038,18.929,0.092,97,9,c,0,1.13,72.46083,0.56694,2071.79,3905.09,2.47,2.33,35.0,-0.399,19.66,21.67,02a59518o0701c
