MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59493.358063,-22.358,5.308,-4,22,o,0,0.76,9.70021,21.15952,9699.8,5673.97,2.98,2.52,-57.2,-0.501,18.92,20.56,01a59493o0349o
59493.359962,-20.464,0.887,-24,21,o,0,1.12,9.70021,21.15952,9679.13,5634.83,3.0,2.61,-58.7,-0.485,18.83,20.47,01a59493o0353o
59493.363716,-20.3,0.852,-28,24,o,0,1.13,9.70021,21.15952,9738.53,5710.47,2.87,2.55,-64.0,-0.491,18.7,20.05,01a59493o0361o
59493.36878,22.741,9.444,3,28,o,0,1.41,9.70021,21.15952,9755.46,5592.37,2.91,2.62,-61.8,-0.481,18.73,20.09,01a59493o0372o
59497.490872,-21.376,1.281,-10,13,o,0,1.21,9.70021,21.15952,8941.69,4844.36,2.82,2.63,-61.6,-0.482,19.3,20.67,01a59497o0500o
59497.496423,23.454,9.25,2,14,o,0,1.27,9.70021,21.15952,8960.12,4882.23,2.94,2.67,-63.2,-0.476,19.25,20.67,01a59497o0512o
59497.502052,23.378,10.667,2,17,o,0,1.01,9.70021,21.15952,8900.69,4805.92,3.58,3.32,-62.6,-0.414,19.05,20.67,01a59497o0524o
59497.513662,-19.498,0.276,-58,16,o,0,0.98,9.70021,21.15952,8885.88,4924.97,3.0,2.75,-63.6,-0.463,19.23,20.7,01a59497o0549o
59501.330093,-20.956,1.087,-15,16,o,0,1.33,9.70021,21.15952,1615.48,5708.89,2.73,2.47,-48.3,-0.503,19.2,20.34,01a59501o0298o
59501.333356,-23.259,8.455,-2,15,o,0,1.36,9.70021,21.15952,1596.9,5669.29,2.71,2.52,-40.1,-0.497,19.19,20.35,01a59501o0305o
59501.336122,22.028,2.882,6,16,o,0,0.96,9.70021,21.15952,1656.04,5744.04,2.72,2.52,-45.2,-0.495,19.21,20.37,01a59501o0311o
59501.341195,-24.661,27.667,0,14,o,0,1.55,9.70021,21.15952,1671.75,5624.75,2.72,2.5,-50.3,-0.503,19.22,20.37,01a59501o0322o
59509.417328,21.762,5.182,7,37,o,0,1.03,9.70021,21.15952,7089.86,6956.93,3.14,3.06,63.9,-0.421,18.5,19.22,01a59509o0494o
59509.422698,19.3,0.541,69,37,o,0,1.09,9.70021,21.15952,7110.15,6994.39,2.92,2.87,74.8,-0.446,18.55,19.25,01a59509o0505o
59509.427083,19.464,0.661,60,39,o,0,1.19,9.70021,21.15952,7051.35,6917.31,2.9,2.82,47.3,-0.442,18.55,19.24,01a59509o0514o
59509.438579,-19.747,0.944,-46,43,o,0,1.08,9.70021,21.15952,7038.48,7036.27,2.97,2.89,58.5,-0.437,18.51,19.1,01a59509o0538o
59511.412428,19.84,0.406,42,17,o,0,1.08,9.70021,21.15952,7148.83,10193.36,2.32,2.14,-64.6,-0.442,19.16,19.84,02a59511o0487o
59511.415627,20.101,0.613,33,20,o,0,0.74,9.70021,21.15952,7130.51,10158.21,2.32,2.18,-67.3,-0.432,19.17,19.84,02a59511o0494o
59511.420875,20.346,0.595,26,16,o,0,1.72,9.70021,21.15952,7188.04,10237.64,2.25,2.11,-66.0,-0.447,19.16,19.85,02a59511o0505o
59511.440523,21.076,1.165,14,16,o,0,2.35,9.70021,21.15952,7203.63,10119.73,2.31,2.13,-63.6,-0.444,18.98,19.55,02a59511o0546o
59513.414715,20.333,0.55,27,15,o,0,1.23,9.70021,21.15952,7523.63,2582.81,2.68,2.58,-59.9,-0.487,19.3,20.52,01a59513o0501o
