MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59494.469935,23.088,7.5,2,16,o,0,0.93,70.57397,6.87583,8856.87,5792.24,3.32,2.83,22.0,-0.354,19.1,20.68,02a59494o0497o
59494.477823,-24.248,22.0,-1,16,o,0,0.99,70.57397,6.87583,8885.52,5829.81,3.35,3.07,15.0,-0.381,19.13,20.73,02a59494o0514o
59494.499825,20.849,0.676,17,11,o,0,1.18,70.57397,6.87583,8829.03,5753.5,2.65,2.43,30.6,-0.402,19.38,20.84,02a59494o0561o
59494.50721,20.728,0.646,19,12,o,0,1.12,70.57397,6.87583,8810.03,5869.98,2.56,2.34,31.5,-0.402,19.45,20.88,02a59494o0577o
59496.530585,21.648,1.767,8,14,o,0,1.45,70.57397,6.87583,5810.7,8457.5,4.04,3.02,0.2,-0.386,19.07,20.67,01a59496o0727o
59496.53381,-22.753,5.25,-3,15,o,0,1.18,70.57397,6.87583,5790.32,8417.96,3.64,2.89,2.6,-0.43,19.16,20.69,01a59496o0734o
59496.536571,21.123,1.105,13,14,o,0,1.13,70.57397,6.87583,5849.79,8494.66,3.49,2.89,1.0,-0.413,19.15,20.69,01a59496o0740o
59496.544019,-20.949,1.06,-15,16,o,0,0.86,70.57397,6.87583,5868.76,8377.71,3.48,2.85,0.2,-0.43,19.19,20.72,01a59496o0756o
59498.450175,-20.943,0.676,-15,10,o,0,0.98,70.57397,6.87583,8770.48,3847.52,2.17,1.96,31.3,-0.424,19.53,20.68,02a59498o0375o
59498.453404,-20.815,0.629,-17,11,o,0,1.04,70.57397,6.87583,8790.15,3887.91,2.18,1.97,26.7,-0.42,19.54,20.7,02a59498o0382o
59498.478798,22.703,3.483,3,10,o,0,1.25,70.57397,6.87583,8740.47,3810.72,2.17,1.93,28.6,-0.422,19.57,20.77,02a59498o0435o
59498.486152,-20.206,0.344,-30,10,o,0,1.05,70.57397,6.87583,8721.17,3929.83,2.2,1.95,30.3,-0.423,19.56,20.8,02a59498o0451o
59500.475577,19.883,0.365,40,15,o,0,1.01,70.57397,6.87583,5770.23,8480.19,2.75,2.62,-48.3,-0.479,19.29,20.56,01a59500o0356o
59500.478356,-21.163,1.097,-12,14,o,0,1.03,70.57397,6.87583,5750.87,8441.81,2.72,2.63,-54.0,-0.479,19.29,20.58,01a59500o0362o
59500.482502,21.277,1.297,11,14,o,0,0.94,70.57397,6.87583,5809.76,8516.6,2.75,2.65,-42.6,-0.478,19.31,20.59,01a59500o0371o
59500.488951,23.613,11.0,1,14,o,0,1.18,70.57397,6.87583,5829.21,8399.57,2.83,2.79,-53.3,-0.457,19.26,20.58,01a59500o0385o
59505.518107,20.486,0.915,23,21,o,0,1.18,70.57397,6.87583,7612.56,6400.01,2.76,2.72,-79.7,-0.479,18.9,19.81,01a59505o0708o
59505.519954,20.864,1.466,16,24,o,0,0.81,70.57397,6.87583,7593.73,6361.4,2.85,2.75,-75.5,-0.472,18.87,19.81,01a59505o0712o
59505.522733,-22.281,4.875,-4,22,o,0,1.07,70.57397,6.87583,7653.02,6438.09,2.83,2.77,-87.4,-0.471,18.85,19.78,01a59505o0718o
59505.553146,-20.11,0.603,-33,20,o,0,1.59,70.57397,6.87583,7670.38,6310.33,2.67,2.63,-84.1,-0.484,18.95,19.8,01a59505o0779o
59506.478828,23.385,13.733,2,22,o,0,1.92,70.57397,6.87583,8964.69,7727.08,2.13,2.01,45.6,-0.448,18.89,19.29,02a59506o0633o
59506.48066,0.0,20.523,0,22,o,0,1.28,70.57397,6.87583,8983.69,7765.1,2.11,2.05,45.3,-0.442,18.91,19.29,02a59506o0637o
59506.486186,20.589,1.052,21,22,o,0,1.19,70.57397,6.87583,8923.48,7689.42,2.16,2.02,41.2,-0.443,18.92,19.3,02a59506o0648o
59506.492128,-19.984,0.612,-37,22,o,0,1.08,70.57397,6.87583,8905.3,7806.09,2.19,2.03,41.7,-0.437,18.92,19.32,02a59506o0660o
59507.472488,20.825,2.128,17,36,o,0,1.01,70.57397,6.87583,8970.58,7726.72,2.23,2.04,41.7,-0.453,18.6,18.79,02a59507o0622o
59507.494746,-20.625,1.603,-20,33,o,0,0.77,70.57397,6.87583,8987.84,7767.96,2.16,2.0,46.0,-0.449,18.64,18.83,02a59507o0668o
59507.512,-20.395,1.348,-25,34,o,0,0.94,70.57397,6.87583,8931.14,7694.1,2.62,2.03,33.5,-0.408,18.58,18.86,02a59507o0699o
59507.514287,-23.119,16.947,-2,35,o,0,1.12,70.57397,6.87583,8916.52,7807.2,2.19,1.99,41.7,-0.447,18.67,18.86,02a59507o0704o
59508.430138,19.535,1.013,56,56,o,0,1.07,70.57397,6.87583,7610.44,6429.31,2.82,2.75,56.5,-0.465,18.25,18.67,01a59508o0532o
59508.437051,20.196,1.673,30,51,o,0,1.19,70.57397,6.87583,7590.73,6389.01,2.92,2.81,50.0,-0.453,18.19,18.72,01a59508o0547o
59508.440767,-20.93,3.603,-15,56,o,0,0.94,70.57397,6.87583,7650.48,6465.04,2.93,2.85,53.1,-0.455,18.19,18.7,01a59508o0555o
59508.453248,20.77,2.848,18,51,o,0,1.15,70.57397,6.87583,7669.73,6343.01,2.87,2.83,75.7,-0.465,18.23,18.76,01a59508o0581o
59513.552498,19.346,0.298,66,20,o,0,1.21,70.57397,6.87583,3276.68,10030.27,2.8,2.66,-48.5,-0.47,18.98,19.89,01a59513o0793o
59513.570266,19.16,0.244,79,19,o,0,1.34,70.57397,6.87583,3301.18,10067.09,2.8,2.64,-40.8,-0.474,18.95,19.84,01a59513o0830o
59513.580067,18.779,0.156,112,18,o,0,1.83,70.57397,6.87583,3242.74,9989.39,2.88,2.72,-45.3,-0.466,18.92,19.84,01a59513o0851o
59513.59181,19.216,0.251,75,19,o,0,1.25,70.57397,6.87583,3227.89,10108.62,2.84,2.68,-57.7,-0.467,18.97,19.82,01a59513o0875o
59516.539813,18.144,0.066,201,13,o,0,1.29,70.57397,6.87583,3278.16,10025.79,2.72,2.62,-60.1,-0.469,19.39,20.98,01a59516o0771o
59516.567571,18.094,0.07,210,15,o,0,1.2,70.57397,6.87583,3305.59,10065.07,2.95,2.83,-66.5,-0.457,19.22,20.71,01a59516o0830o
59516.59602,18.2,0.089,190,17,o,0,1.26,70.57397,6.87583,3251.65,9988.72,2.86,2.73,-72.3,-0.46,19.14,20.55,01a59516o0891o
59516.620806,17.987,0.165,232,38,o,0,0.91,70.57397,6.87583,3240.01,10108.74,2.86,2.71,-76.6,-0.462,18.09,19.02,01a59516o0944o
59517.525634,18.002,0.055,229,13,o,0,1.43,70.57397,6.87583,3273.25,10031.57,2.82,2.7,-54.4,-0.462,19.38,20.92,01a59517o0735o
59517.52946,17.879,0.061,256,16,o,0,0.74,70.57397,6.87583,3294.31,10070.29,2.78,2.64,-51.5,-0.468,19.4,20.93,01a59517o0743o
59517.536369,17.916,0.055,248,14,o,0,1.15,70.57397,6.87583,3236.0,9991.98,2.74,2.6,-54.2,-0.473,19.42,20.93,01a59517o0757o
59517.570006,17.944,0.061,241,15,o,0,1.09,70.57397,6.87583,3226.85,10108.21,3.0,2.79,-48.9,-0.45,19.32,20.87,01a59517o0826o
59518.454123,17.725,0.032,295,9,c,0,1.34,70.57397,6.87583,8700.48,1904.25,2.39,2.23,-50.9,-0.406,19.73,21.58,02a59518o0584c
