MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59501.324359,-21.762,4.264,-7,30,o,0,0.99,329.5135,-18.17159,10320.02,9021.84,2.42,2.31,-80.8,-0.414,18.75,19.19,02a59501o0292o
59501.328489,20.557,1.444,22,31,o,0,1.11,329.5135,-18.17159,10300.41,8982.04,2.44,2.27,-68.8,-0.421,18.76,19.18,02a59501o0301o
59501.334438,-21.14,2.628,-13,33,o,0,0.94,329.5135,-18.17159,10362.09,9061.08,2.44,2.27,-62.0,-0.421,18.72,19.18,02a59501o0314o
59501.35699,-20.445,1.205,-24,29,o,0,1.23,329.5135,-18.17159,10380.14,8947.96,2.36,2.28,-76.0,-0.409,18.67,19.13,02a59501o0362o
59505.329257,-16.947,0.593,-604,358,o,0,0.76,329.5135,-18.17159,53.21,9015.55,2.07,1.8,-63.4,-0.519,16.94,16.96,02a59505o0310o
59505.332924,16.966,13.041,594,7745,o,0,0.0,329.5135,-18.17159,33.38,8976.76,2.01,1.8,-64.8,-0.383,17.18,17.01,02a59505o0318o
59505.338875,17.765,1.496,284,425,o,0,1.33,329.5135,-18.17159,91.92,9054.71,2.08,1.92,-73.3,-0.54,16.5,16.53,02a59505o0331o
59505.350348,-18.139,0.895,-202,180,o,0,2.16,329.5135,-18.17159,114.86,8938.14,2.12,1.92,-63.5,-0.502,17.05,16.94,02a59505o0356o
59506.330263,19.525,0.386,56,22,o,0,1.34,329.5135,-18.17159,822.29,5129.87,2.05,1.85,44.9,-0.441,18.63,18.89,02a59506o0313o
59506.342695,-19.975,0.624,-37,23,o,0,1.13,329.5135,-18.17159,804.35,5092.79,2.02,1.86,41.5,-0.443,18.62,18.84,02a59506o0340o
59506.349586,-21.97,3.797,-6,22,o,0,0.96,329.5135,-18.17159,863.71,5171.29,2.05,1.88,45.1,-0.452,18.58,18.81,02a59506o0355o
59506.356956,20.712,1.428,19,27,o,0,1.1,329.5135,-18.17159,884.52,5054.86,2.03,1.84,40.2,-0.448,18.57,18.79,02a59506o0371o
