MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59504.44264,-16.026,0.621,-1411,876,o,0,0.88,48.74262,4.90751,8837.74,2578.56,2.91,2.89,-44.5,-0.473,14.95,15.01,01a59504o0501o
59504.444945,-16.323,0.601,-1073,645,o,0,0.86,48.74262,4.90751,8817.88,2539.11,3.02,2.98,-64.7,-0.463,15.18,15.25,01a59504o0506o
59504.447717,16.739,1.231,732,901,o,0,0.82,48.74262,4.90751,8876.54,2614.81,3.02,2.94,-68.4,-0.457,14.9,14.92,01a59504o0512o
59504.452798,-16.477,0.539,-932,502,o,0,1.32,48.74262,4.90751,8893.17,2494.61,2.93,2.75,-65.3,-0.507,15.51,15.53,01a59504o0523o
59505.498028,-22.135,4.812,-5,24,o,0,3.18,48.74262,4.90751,1711.51,8049.35,2.68,2.39,-47.3,-0.501,18.84,19.6,01a59505o0667o
59505.501958,18.68,0.227,122,28,o,0,1.93,48.74262,4.90751,1732.11,8087.63,2.78,2.5,-46.3,-0.481,18.82,19.61,01a59505o0675o
59505.536903,19.578,0.575,54,31,o,0,1.8,48.74262,4.90751,1681.56,8008.93,2.85,2.58,-47.8,-0.47,18.72,19.58,01a59505o0747o
59505.54222,19.074,0.346,85,30,o,0,1.96,48.74262,4.90751,1665.23,8126.65,2.77,2.5,-50.1,-0.49,18.73,19.57,01a59505o0758o
59512.485724,19.214,0.245,75,18,o,0,1.53,48.74262,4.90751,3280.21,3655.73,2.98,2.85,-10.4,-0.442,18.94,20.01,01a59512o0657o
59512.490935,19.441,0.297,61,18,o,0,1.61,48.74262,4.90751,3301.07,3694.62,2.97,2.83,-5.9,-0.446,18.92,20.01,01a59512o0668o
59512.495083,19.218,0.234,75,18,o,0,1.43,48.74262,4.90751,3242.18,3617.13,2.95,2.79,-8.4,-0.448,18.97,20.02,01a59512o0677o
59512.507121,19.572,0.384,54,21,o,0,1.33,48.74262,4.90751,3227.2,3733.34,3.35,2.99,-12.2,-0.4,18.86,20.01,01a59512o0703o
59513.559977,18.983,0.184,93,17,o,0,1.54,48.74262,4.90751,3294.67,3656.98,2.8,2.68,-54.9,-0.473,19.04,20.08,01a59513o0809o
59513.562753,19.063,0.212,86,18,o,0,1.62,48.74262,4.90751,3316.36,3695.27,2.67,2.62,-63.9,-0.482,19.1,20.05,01a59513o0815o
59513.576763,-21.757,2.583,-7,19,o,0,1.58,48.74262,4.90751,3260.76,3620.3,2.95,2.83,-53.3,-0.458,18.9,19.97,01a59513o0844o
59513.589921,20.464,0.826,24,20,o,0,1.53,48.74262,4.90751,3247.04,3739.52,2.98,2.87,-56.3,-0.454,18.87,19.91,01a59513o0871o
59515.477783,19.531,0.214,56,12,o,0,4.3,48.74262,4.90751,3151.09,4834.24,2.24,1.89,40.1,-0.439,19.5,20.55,02a59515o0634o
59515.481001,19.447,0.186,60,11,o,0,3.84,48.74262,4.90751,3133.44,4795.86,2.3,2.02,38.7,-0.44,19.41,20.52,02a59515o0641o
59515.500268,19.408,0.193,63,12,o,0,2.97,48.74262,4.90751,3193.44,4875.92,2.2,1.88,44.1,-0.44,19.49,20.49,02a59515o0682o
59515.515832,23.487,8.154,2,12,o,0,3.88,48.74262,4.90751,3205.42,4754.82,2.31,1.94,44.7,-0.432,19.44,20.48,02a59515o0715o
59516.49482,19.515,0.335,57,19,o,0,1.44,48.74262,4.90751,3286.92,3655.01,2.71,2.64,-51.8,-0.482,18.94,20.26,01a59516o0675o
59516.49805,19.752,0.678,46,31,o,0,1.28,48.74262,4.90751,3308.18,3693.31,2.71,2.64,-55.9,-0.483,18.5,19.61,01a59516o0682o
59516.503644,19.311,0.242,68,17,o,0,2.17,48.74262,4.90751,3248.66,3617.73,2.73,2.65,-45.1,-0.48,19.04,20.4,01a59516o0694o
59516.537401,19.03,0.148,89,13,o,0,2.02,48.74262,4.90751,3239.46,3733.84,2.67,2.56,-55.2,-0.483,19.36,20.85,01a59516o0766o
59518.480333,19.471,0.151,59,9,c,0,2.35,48.74262,4.90751,3151.72,4834.27,2.52,2.26,45.3,-0.4,19.7,21.57,02a59518o0640c
59518.484006,24.917,18.667,0,7,c,0,2.31,48.74262,4.90751,3131.59,4795.66,2.54,2.27,46.2,-0.399,19.67,21.56,02a59518o0648c
59518.489691,19.786,0.224,44,10,c,0,1.72,48.74262,4.90751,3191.43,4873.5,2.55,2.26,44.9,-0.399,19.69,21.55,02a59518o0660c
59518.505174,20.602,0.448,21,9,c,0,2.46,48.74262,4.90751,3205.55,4758.67,2.58,2.3,49.1,-0.4,19.68,21.52,02a59518o0693c
59520.488384,19.204,0.175,76,13,o,0,2.31,48.74262,4.90751,3797.93,9856.62,2.87,2.8,-66.8,-0.464,19.38,21.06,01a59520o0670o
59520.513135,18.674,0.118,123,14,o,0,1.87,48.74262,4.90751,3822.26,9896.33,2.85,2.78,84.1,-0.459,19.36,20.89,01a59520o0721o
59520.516447,18.479,0.089,147,13,o,0,2.19,48.74262,4.90751,3762.17,9818.94,2.81,2.75,88.1,-0.463,19.37,20.88,01a59520o0728o
59520.523558,18.429,0.09,154,14,o,0,2.39,48.74262,4.90751,3747.14,9937.06,2.71,2.61,-73.8,-0.481,19.38,20.83,01a59520o0743o
59522.456506,18.429,0.074,154,11,c,0,1.93,48.74262,4.90751,8822.32,666.59,2.54,2.17,-55.9,-0.401,19.62,21.4,02a59522o0602c
59522.46204,18.254,0.072,181,13,c,0,2.31,48.74262,4.90751,8801.96,623.98,2.54,2.18,-58.0,-0.405,19.64,21.44,02a59522o0614c
59522.465312,18.699,0.09,120,11,c,0,1.98,48.74262,4.90751,8861.28,706.74,2.53,2.18,-58.4,-0.406,19.65,21.45,02a59522o0621c
59522.496485,18.446,0.08,152,12,c,0,2.17,48.74262,4.90751,8881.32,592.07,2.58,2.19,-56.1,-0.406,19.64,21.38,02a59522o0688c
59523.458634,18.226,0.067,186,12,c,0,2.29,48.74262,4.90751,8822.77,665.31,2.76,2.36,-51.2,-0.383,19.6,21.41,02a59523o0602c
59523.475155,18.279,0.071,177,13,c,0,2.06,48.74262,4.90751,8803.69,627.22,2.73,2.33,-55.3,-0.387,19.57,21.38,02a59523o0636c
59523.47802,18.451,0.07,151,10,c,0,1.72,48.74262,4.90751,8863.42,708.43,2.66,2.26,-55.1,-0.395,19.58,21.38,02a59523o0642c
59523.493332,18.271,0.081,178,14,c,0,1.8,48.74262,4.90751,8885.76,594.47,2.71,2.32,-57.4,-0.393,19.56,21.37,02a59523o0673c
59524.38038,18.253,0.094,182,17,o,0,1.65,48.74262,4.90751,6771.13,754.8,3.03,2.94,-41.9,-0.455,19.24,20.85,01a59524o0434o
59524.405792,18.25,0.097,182,18,o,0,1.58,48.74262,4.90751,6748.36,706.22,3.18,3.05,-17.2,-0.439,19.18,20.8,01a59524o0487o
59524.409021,18.805,0.25,109,27,o,0,1.29,48.74262,4.90751,6807.23,782.34,3.87,3.09,-0.4,-0.408,18.56,20.29,01a59524o0494o
59524.414552,18.653,0.124,126,16,o,0,1.45,48.74262,4.90751,6825.44,662.94,3.19,2.91,-9.7,-0.449,19.14,20.76,01a59524o0506o
59526.356333,18.186,0.056,193,11,c,0,2.31,48.74262,4.90751,1750.15,9894.32,2.69,2.15,-50.5,-0.441,19.6,21.27,02a59526o0384c
59526.387304,18.37,0.058,163,9,c,0,2.98,48.74262,4.90751,1773.55,9933.55,2.63,2.12,-52.7,-0.443,19.65,21.36,02a59526o0449c
59526.390974,18.132,0.054,203,11,c,0,2.38,48.74262,4.90751,1718.49,9855.31,2.54,2.12,-53.7,-0.445,19.68,21.37,02a59526o0457c
59526.398056,18.385,0.074,161,12,c,0,2.15,48.74262,4.90751,1703.17,9973.54,2.56,2.12,-52.4,-0.443,19.67,21.41,02a59526o0471c
59527.388934,18.191,0.067,192,13,c,0,1.6,48.74262,4.90751,1756.72,9897.91,2.59,2.25,-50.3,-0.431,19.61,21.35,02a59527o0441c
59527.417788,17.824,0.052,270,14,c,0,1.33,48.74262,4.90751,1776.34,9938.81,2.54,2.06,-52.3,-0.448,19.26,20.97,02a59527o0498c
59527.420534,18.074,0.065,214,14,c,0,1.98,48.74262,4.90751,1721.32,9859.62,2.54,2.11,-50.5,-0.446,19.41,21.08,02a59527o0504c
59527.438688,18.15,0.208,200,42,c,0,1.16,48.74262,4.90751,1703.62,9976.35,2.47,2.13,-51.4,-0.444,18.17,19.73,02a59527o0542c
59528.444428,17.843,0.053,265,14,o,0,2.84,48.74262,4.90751,5080.59,1580.03,2.71,2.65,-17.2,-0.482,19.39,20.93,01a59528o0582o
59528.448164,17.791,0.051,278,14,o,0,1.85,48.74262,4.90751,5101.31,1617.9,2.76,2.74,-4.2,-0.475,19.35,20.96,01a59528o0590o
59528.454184,18.088,0.103,211,22,o,0,1.49,48.74262,4.90751,5043.25,1540.67,2.79,2.76,-25.8,-0.472,18.84,20.47,01a59528o0603o
