MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59500.356144,-20.422,0.636,-25,16,o,0,0.84,11.91492,-5.73859,6517.03,4352.36,3.46,2.96,-10.2,-0.41,19.07,20.52,01a59500o0097o
59500.357988,23.193,7.375,2,14,o,0,1.39,11.91492,-5.73859,6497.81,4313.87,3.63,2.95,-6.7,-0.405,19.04,20.52,01a59500o0101o
59500.360752,24.094,18.5,1,16,o,0,0.97,11.91492,-5.73859,6556.95,4390.11,3.22,2.83,-10.7,-0.427,19.14,20.54,01a59500o0107o
59500.365821,-20.183,0.497,-31,15,o,0,1.16,11.91492,-5.73859,6573.16,4271.19,2.99,2.82,-38.5,-0.456,19.16,20.57,01a59500o0118o
59501.370584,19.868,0.344,41,14,o,0,1.08,11.91492,-5.73859,8276.75,7951.99,2.32,1.95,39.2,-0.428,19.33,20.13,02a59501o0391o
59501.372415,21.421,1.419,10,14,o,0,1.55,11.91492,-5.73859,8294.99,7992.8,2.46,1.92,36.0,-0.422,19.36,20.15,02a59501o0395o
59501.376123,20.108,0.41,33,14,o,0,1.62,11.91492,-5.73859,8233.42,7914.14,2.17,1.99,40.2,-0.437,19.35,20.14,02a59501o0403o
59501.381167,20.437,0.58,24,14,o,0,1.42,11.91492,-5.73859,8213.57,8030.84,2.3,1.92,37.4,-0.433,19.34,20.17,02a59501o0414o
59503.297941,20.509,1.076,23,24,o,0,1.13,11.91492,-5.73859,6545.89,4373.75,2.87,2.81,-79.3,-0.464,18.6,19.4,01a59503o0206o
59503.302097,20.237,0.877,29,26,o,0,1.06,11.91492,-5.73859,6522.59,4332.38,2.83,2.59,-52.2,-0.488,18.65,19.41,01a59503o0215o
59503.307276,-19.848,0.568,-42,24,o,0,1.35,11.91492,-5.73859,6580.52,4407.04,2.88,2.65,-52.1,-0.481,18.64,19.43,01a59503o0226o
59503.317542,20.946,1.598,15,24,o,0,1.16,11.91492,-5.73859,6597.99,4289.6,2.89,2.68,-49.2,-0.494,18.66,19.48,01a59503o0248o
59509.420724,21.89,7.351,6,47,o,0,1.12,11.91492,-5.73859,2384.75,8912.72,2.47,2.33,-58.6,-0.42,17.87,18.69,02a59509o0515o
59509.423936,21.392,6.121,10,62,o,0,0.91,11.91492,-5.73859,2365.64,8874.21,2.66,2.45,-64.2,-0.428,18.18,18.92,02a59509o0522o
59509.431736,-19.922,1.038,-39,40,o,0,0.87,11.91492,-5.73859,2423.5,8952.17,2.54,2.38,-60.0,-0.417,18.55,19.07,02a59509o0539o
59509.44231,19.318,0.6,68,41,o,0,1.25,11.91492,-5.73859,2443.17,8835.31,2.7,2.5,-60.1,-0.39,18.47,19.03,02a59509o0562o
59510.398853,23.299,14.308,2,25,o,0,1.1,11.91492,-5.73859,2389.28,8907.86,2.4,2.26,-65.0,-0.42,18.89,19.47,02a59510o0468o
59510.402515,21.375,2.548,10,26,o,0,0.75,11.91492,-5.73859,2372.22,8870.68,2.28,2.15,-59.4,-0.426,18.89,19.47,02a59510o0476o
59510.408459,19.628,0.404,51,21,o,0,1.23,11.91492,-5.73859,2430.25,8947.26,2.14,2.07,-69.6,-0.436,18.96,19.48,02a59510o0489o
59510.418576,-21.818,3.016,-7,20,o,0,1.15,11.91492,-5.73859,2453.1,8832.04,2.14,2.06,-76.7,-0.426,18.94,19.47,02a59510o0511o
59512.405153,22.282,3.8,4,17,o,0,1.25,11.91492,-5.73859,2399.69,3961.77,3.22,3.03,-24.9,-0.424,18.97,20.23,01a59512o0483o
59512.410274,20.559,0.848,22,18,o,0,0.92,11.91492,-5.73859,2420.4,4000.21,3.07,2.9,-31.5,-0.442,19.03,20.23,01a59512o0494o
