MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59506.638313,-21.612,3.634,-8,30,o,0,1.65,127.76599,-4.19421,10492.63,8823.43,2.32,2.05,-54.2,-0.43,19.1,19.69,02a59506o0978o
59506.643816,-19.589,0.637,-53,34,o,0,1.29,127.76599,-4.19421,10474.42,8941.31,2.5,2.05,-55.5,-0.429,18.83,19.19,02a59506o0990o
59508.564392,19.903,0.964,40,38,o,0,1.62,127.76599,-4.19421,6042.86,5350.42,2.95,2.88,46.6,-0.441,18.43,19.18,01a59508o0819o
59508.567166,22.344,9.714,4,41,o,0,1.22,127.76599,-4.19421,6022.06,5309.38,2.89,2.85,-73.1,-0.454,18.45,19.18,01a59508o0825o
59508.572726,19.907,0.892,40,35,o,0,1.89,127.76599,-4.19421,6082.34,5385.93,2.79,2.73,-57.1,-0.467,18.52,19.25,01a59508o0837o
59508.58519,20.131,0.915,32,30,o,0,1.26,127.76599,-4.19421,6102.81,5267.94,2.88,2.86,52.2,-0.446,18.55,19.3,01a59508o0864o
59510.589865,20.138,0.609,32,20,o,0,2.93,127.76599,-4.19421,392.87,8832.5,2.12,1.64,-47.5,-0.492,18.98,19.46,02a59510o0834o
59510.592651,-22.05,5.136,-6,28,o,0,2.29,127.76599,-4.19421,10495.78,8826.24,2.45,2.03,-54.1,-0.426,19.0,19.51,02a59510o0840o
59510.593108,-20.882,1.179,-16,19,o,0,1.78,127.76599,-4.19421,412.32,8871.7,2.18,1.66,-47.8,-0.499,18.97,19.48,02a59510o0841o
59510.599523,-24.202,27.75,-1,21,o,0,1.33,127.76599,-4.19421,354.6,8792.93,2.16,1.63,-46.6,-0.502,19.01,19.51,02a59510o0855o
59510.603659,21.381,2.765,10,28,o,0,0.99,127.76599,-4.19421,10476.3,8943.43,2.56,2.0,-54.3,-0.419,19.08,19.56,02a59510o0864o
59510.613291,20.88,1.347,16,22,o,0,1.14,127.76599,-4.19421,331.74,8909.97,2.14,1.68,-45.9,-0.484,19.06,19.59,02a59510o0885o
59512.598779,-21.875,2.839,-6,18,o,0,2.25,127.76599,-4.19421,9411.94,9666.56,3.12,2.91,52.9,-0.42,18.93,19.92,01a59512o0899o
