MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59509.421182,-18.852,1.318,-104,138,o,0,0.97,13.5491,-14.96984,9360.11,1171.5,2.73,2.2,-54.1,-0.46,17.67,18.55,02a59509o0516o
59509.424393,-20.417,2.646,-25,65,o,0,0.71,13.5491,-14.96984,9341.51,1133.43,2.79,2.25,-55.1,-0.437,17.73,18.66,02a59509o0523o
59509.432661,21.13,2.194,13,28,o,0,1.12,13.5491,-14.96984,9399.88,1211.16,2.92,2.41,-51.8,-0.438,18.46,19.03,02a59509o0541o
59509.442767,-20.035,0.845,-35,30,o,0,1.34,13.5491,-14.96984,9421.13,1094.34,2.93,2.35,-53.0,-0.428,18.47,19.01,02a59509o0563o
59510.400228,-20.62,0.975,-20,20,o,0,1.36,13.5491,-14.96984,9365.12,1171.09,2.51,1.96,-58.0,-0.464,18.88,19.43,02a59510o0471o
59510.403886,-22.836,8.714,-3,23,o,0,0.64,13.5491,-14.96984,9347.35,1132.64,2.47,1.95,-55.0,-0.469,18.86,19.43,02a59510o0479o
59510.409831,22.806,7.609,3,21,o,0,1.11,13.5491,-14.96984,9405.35,1210.05,2.39,1.88,-56.2,-0.479,18.88,19.43,02a59510o0492o
59510.419978,21.9,3.226,6,20,o,0,1.36,13.5491,-14.96984,9427.8,1092.46,2.41,1.86,-55.1,-0.479,18.9,19.43,02a59510o0514o
59511.350112,20.423,0.757,25,19,o,0,1.26,13.5491,-14.96984,5694.09,4787.95,2.89,2.69,34.6,-0.44,18.88,19.76,01a59511o0362o
59511.351955,20.765,1.029,18,18,o,0,1.15,13.5491,-14.96984,5672.58,4748.31,2.71,2.64,-21.5,-0.477,18.92,19.75,01a59511o0366o
59511.379392,21.017,1.232,14,18,o,0,1.39,13.5491,-14.96984,4821.5,5764.58,2.76,2.65,-43.8,-0.462,18.93,19.81,01a59511o0425o
59511.407936,23.816,20.667,1,22,o,0,0.95,13.5491,-14.96984,4804.06,5880.01,2.77,2.73,-38.4,-0.453,18.96,19.85,01a59511o0484o
59512.39866,-20.546,0.844,-22,18,o,0,0.81,13.5491,-14.96984,4688.23,1442.62,3.27,3.06,-18.9,-0.422,18.96,20.19,01a59512o0469o
59512.40285,-24.782,40.5,0,18,o,0,0.96,13.5491,-14.96984,4708.88,1481.1,3.16,3.03,-20.1,-0.431,18.94,20.18,01a59512o0478o
59512.413043,-21.253,1.561,-11,18,o,0,0.94,13.5491,-14.96984,4649.07,1405.1,2.95,2.9,-33.4,-0.447,19.01,20.17,01a59512o0500o
59512.420428,21.228,1.382,12,16,o,0,1.22,13.5491,-14.96984,4633.28,1522.54,3.18,2.92,-12.3,-0.43,18.95,20.16,01a59512o0516o
59513.408167,23.456,8.667,2,13,o,0,1.18,13.5491,-14.96984,9363.16,1171.62,2.17,1.72,-57.9,-0.495,19.39,20.38,02a59513o0487o
59513.429035,-23.749,10.273,-1,12,o,0,1.4,13.5491,-14.96984,9347.93,1133.18,2.21,1.76,-57.3,-0.489,19.37,20.32,02a59513o0531o
59513.432263,21.61,1.266,8,10,o,0,2.07,13.5491,-14.96984,9404.98,1212.16,2.15,1.83,-59.2,-0.47,19.32,20.3,02a59513o0538o
59513.438265,-21.472,1.352,-9,13,o,0,1.28,13.5491,-14.96984,9426.09,1099.2,2.16,1.75,-58.7,-0.5,19.33,20.28,02a59513o0551o
59515.38815,21.504,1.333,9,12,o,0,0.95,13.5491,-14.96984,4698.94,1442.84,2.64,2.62,-9.2,-0.475,19.4,20.91,01a59515o0448o
59515.391381,21.26,1.015,11,12,o,0,1.13,13.5491,-14.96984,4718.99,1480.73,2.67,2.65,15.5,-0.473,19.31,20.82,01a59515o0455o
59515.396911,21.597,1.429,8,12,o,0,1.57,13.5491,-14.96984,4659.01,1404.59,2.62,2.59,-6.3,-0.491,19.32,20.73,01a59515o0467o
59515.43232,-20.337,0.757,-27,20,o,0,0.9,13.5491,-14.96984,4638.25,1524.96,2.71,2.68,41.2,-0.473,19.01,20.23,01a59515o0543o
59517.434665,20.489,0.405,23,9,c,0,1.24,13.5491,-14.96984,10064.63,7006.83,2.68,2.55,60.2,-0.4,19.69,21.56,02a59517o0367c
59517.43879,-24.179,11.6,-1,9,c,0,1.32,13.5491,-14.96984,10044.84,6969.6,2.63,2.56,73.1,-0.398,19.71,21.54,02a59517o0376c
59517.446134,-21.188,0.813,-12,10,c,0,1.07,13.5491,-14.96984,10104.99,7046.74,2.7,2.59,-75.2,-0.401,19.68,21.53,02a59517o0392c
59517.451637,20.231,4.154,29,122,c,0,0.04,13.5491,-14.96984,33.87,6898.19,2.31,2.25,-78.0,-0.379,19.63,21.45,02a59517o0404c
59517.457142,-22.311,2.462,-4,11,c,0,1.24,13.5491,-14.96984,10126.11,6930.42,2.7,2.65,81.5,-0.397,19.61,21.49,02a59517o0416c
59518.375164,-21.722,1.298,-7,10,c,0,0.98,13.5491,-14.96984,10073.73,6996.76,2.69,2.62,78.2,-0.396,19.71,21.61,02a59518o0414c
59518.37839,-20.991,0.63,-15,9,c,0,1.07,13.5491,-14.96984,10053.91,6957.5,2.68,2.6,56.7,-0.408,19.74,21.61,02a59518o0421c
