MJD,m,dm,uJy,duJy,F,err,chi/N,RA,Dec,x,y,maj,min,phi,apfit,mag5sig,Sky,Obs
59526.618552,21.069,1.643,14,22,o,0,0.89,189.81665,47.13881,1151.24,1361.66,3.11,2.97,-60.4,-0.52,19.01,20.34,01a59526o0947o
59526.634875,21.524,2.297,9,20,o,0,1.1,189.81665,47.13881,1132.81,1325.65,3.09,2.94,-57.2,-0.537,19.01,20.33,01a59526o0982o
59526.639981,-23.961,24.5,-1,23,o,0,0.97,189.81665,47.13881,1194.32,1396.73,3.11,2.95,-62.0,-0.522,18.89,20.1,01a59526o0993o
59526.645522,21.412,3.558,10,35,o,0,1.03,189.81665,47.13881,1211.45,1282.42,3.04,2.89,-60.5,-0.542,18.45,19.27,01a59526o1005o
59528.62465,19.131,0.148,81,12,c,0,1.26,189.81665,47.13881,7335.31,9438.77,2.85,2.77,28.1,-0.384,19.44,21.15,02a59528o0951c
59528.642013,19.371,0.177,65,12,c,0,1.63,189.81665,47.13881,7363.48,9475.53,2.84,2.73,35.8,-0.383,19.39,21.03,02a59528o0988c
59528.646177,19.468,0.229,59,14,c,0,1.33,189.81665,47.13881,7299.12,9399.02,2.76,2.7,21.3,-0.386,19.28,20.65,02a59528o0997c
59534.599907,18.179,0.164,194,32,o,0,1.42,189.81665,47.13881,447.82,9684.81,3.31,2.97,-58.6,-0.453,18.65,19.8,01a59534o0908o
59534.604052,17.806,0.111,274,30,o,0,1.1,189.81665,47.13881,431.49,9647.89,3.2,2.91,-54.6,-0.466,18.48,19.72,01a59534o0917o
59534.610961,17.955,0.115,239,27,o,0,1.05,189.81665,47.13881,492.05,9719.91,3.44,3.03,-50.0,-0.431,18.67,19.97,01a59534o0932o
59534.62326,17.836,0.086,266,23,o,0,0.9,189.81665,47.13881,9802.79,9548.64,3.35,3.08,48.5,-0.397,18.76,20.08,01a59534o0958o
59534.629269,17.885,0.077,255,20,o,0,2.15,189.81665,47.13881,518.91,9604.89,3.39,3.1,-56.8,-0.441,18.81,20.28,01a59534o0971o
59534.633031,17.826,0.077,269,21,o,0,1.04,189.81665,47.13881,9790.46,9505.75,3.58,3.31,51.8,-0.36,18.78,20.19,01a59534o0979o
59534.643853,17.893,0.079,253,20,o,0,1.21,189.81665,47.13881,9855.17,9580.94,3.53,3.22,49.6,-0.355,18.81,20.11,01a59534o1002o
59534.647545,17.837,0.081,266,22,o,0,1.32,189.81665,47.13881,9874.25,9462.97,3.32,3.01,47.1,-0.376,18.75,19.8,01a59534o1010o
59536.601488,17.766,0.095,284,27,o,0,1.6,189.81665,47.13881,7564.91,5552.17,2.6,2.02,35.4,-0.399,18.54,18.94,02a59536o0919o
59536.60516,17.55,0.071,347,24,o,0,1.57,189.81665,47.13881,7583.98,5590.5,2.6,2.01,37.4,-0.406,18.61,18.97,02a59536o0927o
59536.612025,17.508,0.067,360,24,o,0,1.58,189.81665,47.13881,7524.79,5513.73,2.58,2.01,34.2,-0.417,18.6,19.03,02a59536o0942o
59536.632762,17.465,0.066,375,25,o,0,1.05,189.81665,47.13881,7507.28,5626.26,2.5,2.02,36.2,-0.43,18.81,19.2,02a59536o0986o
59542.620037,17.485,0.066,368,24,o,0,1.0,189.81665,47.13881,2356.02,9482.37,3.08,3.01,-77.1,-0.448,18.74,19.76,01a59542o0893o
59542.630232,17.676,0.074,309,23,o,0,0.96,189.81665,47.13881,2338.35,9443.95,3.03,2.77,-46.3,-0.469,18.87,19.84,01a59542o0915o
59542.642763,17.671,0.07,310,22,o,0,0.95,189.81665,47.13881,2400.11,9517.31,2.98,2.84,-50.0,-0.466,18.88,19.91,01a59542o0942o
59542.648438,17.754,0.075,287,22,o,0,0.95,189.81665,47.13881,2417.02,9393.65,3.04,2.85,-45.1,-0.463,18.88,19.85,01a59542o0954o
59544.607835,17.802,0.08,275,22,o,0,0.98,189.81665,47.13881,1265.19,9200.25,2.02,1.89,-52.8,-0.47,19.03,19.69,02a59544o0933o
59544.611549,17.592,0.054,334,18,o,0,1.54,189.81665,47.13881,1284.74,9240.02,2.01,1.9,-55.3,-0.468,19.01,19.71,02a59544o0941o
59544.617093,17.733,0.066,293,19,o,0,1.42,189.81665,47.13881,1226.29,9158.28,2.03,1.88,-48.7,-0.469,19.09,19.75,02a59544o0953o
59544.635243,17.75,0.058,288,17,o,0,1.53,189.81665,47.13881,1198.19,9274.53,2.16,1.94,-50.8,-0.459,19.1,19.88,02a59544o0992o
59550.628321,18.126,0.065,204,13,o,0,1.5,189.81665,47.13881,4079.17,3299.49,2.74,2.58,-48.9,-0.473,19.42,20.95,01a59550o0663o
59550.641423,18.278,0.063,177,11,o,0,1.28,189.81665,47.13881,4061.37,3258.9,2.74,2.59,-53.1,-0.471,19.42,20.99,01a59550o0691o
59550.655146,18.343,0.112,167,19,o,0,0.93,189.81665,47.13881,4128.61,3337.39,2.7,2.66,79.5,-0.473,19.02,20.04,01a59550o0720o
59558.618448,18.374,0.336,162,55,o,0,0.99,189.81665,47.13881,3391.09,7676.28,3.01,2.96,-89.1,-0.429,17.86,19.24,01a59558o0942o
59558.623985,19.205,0.591,76,45,o,0,0.62,189.81665,47.13881,3374.25,7635.24,2.86,2.81,-71.4,-0.451,18.21,19.53,01a59558o0954o
59558.62769,18.148,0.188,200,38,o,0,1.0,189.81665,47.13881,3435.0,7713.13,2.96,2.91,-88.8,-0.442,18.21,19.59,01a59558o0962o
59558.646759,19.853,1.739,42,72,o,0,1.63,189.81665,47.13881,3460.79,7591.68,2.87,2.83,-78.2,-0.444,17.45,18.69,01a59558o1002o
59564.603393,18.676,0.151,123,19,o,0,0.58,189.81665,47.13881,4497.14,7412.8,2.16,2.03,32.9,-0.437,19.15,20.01,02a59564o0797o
59564.609831,18.58,0.11,134,15,o,0,1.27,189.81665,47.13881,4522.48,7451.66,2.22,1.98,43.2,-0.432,19.27,20.17,02a59564o0811o
59564.612589,18.56,0.079,137,11,o,0,2.64,189.81665,47.13881,4463.61,7373.7,2.28,2.03,46.1,-0.427,19.28,20.26,02a59564o0817o
59564.624628,18.551,0.087,138,12,o,0,1.61,189.81665,47.13881,4448.12,7488.52,2.22,2.04,40.1,-0.43,19.44,20.81,02a59564o0843o
59566.545416,18.776,0.257,112,29,o,0,0.89,189.81665,47.13881,5197.8,1043.23,2.69,2.55,-46.1,-0.509,18.47,19.04,01a59566o0461o
59566.548638,19.103,0.362,83,30,o,0,1.0,189.81665,47.13881,5178.27,1007.6,2.7,2.6,-50.2,-0.501,18.5,19.07,01a59566o0468o
59566.559337,18.533,0.197,140,28,o,0,1.31,189.81665,47.13881,5240.84,1074.32,2.74,2.6,-44.7,-0.498,18.51,19.13,01a59566o0491o
59566.56489,18.635,0.208,128,27,o,0,0.92,189.81665,47.13881,5261.73,964.66,2.73,2.65,-52.9,-0.49,18.55,19.16,01a59566o0503o
59574.599887,19.817,0.394,43,17,o,0,1.08,189.81665,47.13881,9093.4,7342.61,3.14,2.76,-63.7,-0.456,19.09,20.27,01a59574o0891o
59574.604098,19.714,0.348,47,16,o,0,1.29,189.81665,47.13881,9077.17,7299.29,3.11,2.78,-64.8,-0.457,19.09,20.29,01a59574o0900o
59574.610171,19.489,0.297,58,17,o,0,1.08,189.81665,47.13881,9139.17,7377.2,3.11,2.77,-65.4,-0.456,19.11,20.3,01a59574o0913o
59574.620368,19.14,0.22,80,18,o,0,0.91,189.81665,47.13881,9161.0,7257.17,3.05,2.76,-64.3,-0.454,19.16,20.33,01a59574o0935o
59588.598329,20.421,0.365,25,9,c,0,1.05,189.81665,47.13881,2715.77,974.56,2.47,2.31,-80.1,-0.447,19.66,21.86,02a59588o0886c
59588.602002,20.3,0.298,28,8,c,0,1.17,189.81665,47.13881,2735.36,1014.27,2.45,2.29,-75.2,-0.452,19.68,21.87,02a59588o0894c
59588.60868,20.327,0.319,27,9,c,0,1.14,189.81665,47.13881,2674.62,935.7,2.45,2.28,-75.4,-0.451,19.69,21.87,02a59588o0908c
59588.61881,20.079,0.267,34,9,c,0,1.04,189.81665,47.13881,2660.04,1053.51,2.43,2.29,-80.3,-0.448,19.66,21.87,02a59588o0930c
59590.533356,19.855,0.268,42,11,o,0,1.13,189.81665,47.13881,7225.88,1407.38,2.91,2.8,-56.1,-0.481,19.4,21.24,01a59590o0719o
59590.538509,19.738,0.26,46,12,o,0,1.14,189.81665,47.13881,7208.28,1362.49,2.99,2.9,-49.8,-0.468,19.38,21.27,01a59590o0730o
59590.545441,19.938,0.309,38,12,o,0,1.03,189.81665,47.13881,7271.82,1438.72,3.1,3.0,-49.7,-0.458,19.37,21.29,01a59590o0745o
59590.556535,20.385,0.484,26,12,o,0,1.13,189.81665,47.13881,7293.83,1319.67,3.0,2.91,-70.3,-0.462,19.43,21.31,01a59590o0769o
59592.557649,19.835,0.314,42,13,o,0,1.2,189.81665,47.13881,2712.02,974.28,1.97,1.85,-62.8,-0.493,19.38,20.38,02a59592o0714o
59592.559498,20.425,0.653,24,16,o,0,0.56,189.81665,47.13881,2731.65,1014.02,2.02,1.88,-63.3,-0.485,19.36,20.42,02a59592o0718o
59592.562266,22.071,3.0,5,16,o,0,0.64,189.81665,47.13881,2675.26,933.91,2.04,1.93,-64.4,-0.475,19.37,20.45,02a59592o0724o
59592.56553,20.228,0.443,29,13,o,0,0.98,189.81665,47.13881,2657.31,1051.27,2.05,1.96,-67.1,-0.487,19.37,20.52,02a59592o0731o
59594.580766,19.854,0.489,42,20,o,0,0.68,189.81665,47.13881,2118.58,3449.17,2.86,2.8,-45.3,-0.472,18.95,20.0,01a59594o0807o
59594.58353,19.414,0.282,62,18,o,0,1.68,189.81665,47.13881,2099.53,3410.99,2.92,2.88,-78.7,-0.463,18.94,20.01,01a59594o0813o
59594.589437,19.908,0.475,40,19,o,0,1.14,189.81665,47.13881,2159.92,3489.06,2.9,2.8,-36.1,-0.473,18.99,20.05,01a59594o0825o
59594.594514,19.732,0.421,46,20,o,0,1.1,189.81665,47.13881,2181.82,3368.76,3.03,2.97,74.2,-0.438,18.9,20.08,01a59594o0836o
59598.482227,20.021,0.889,36,32,o,0,0.87,189.81665,47.13881,2093.32,3456.7,2.87,2.77,-54.4,-0.481,18.4,19.03,01a59598o0625o
59598.487351,20.09,0.927,33,31,o,0,1.04,189.81665,47.13881,2075.22,3416.88,2.97,2.85,-47.7,-0.477,18.39,19.05,01a59598o0636o
59598.491033,22.318,6.864,4,30,o,0,1.27,189.81665,47.13881,2136.48,3493.64,2.92,2.82,-43.9,-0.469,18.39,19.08,01a59598o0644o
59598.505928,19.805,0.723,44,31,o,0,1.0,189.81665,47.13881,2158.08,3375.99,2.93,2.76,-44.9,-0.49,18.44,19.16,01a59598o0675o
59602.500456,20.035,0.601,35,21,o,0,0.68,189.81665,47.13881,6081.18,9652.37,3.49,2.84,53.6,-0.4,18.93,20.06,01a59602o0664o
59602.510661,20.93,1.208,15,19,o,0,1.11,189.81665,47.13881,6069.72,9610.25,2.94,2.83,60.6,-0.47,19.0,20.05,01a59602o0686o
59602.515283,-21.705,2.556,-8,19,o,0,1.08,189.81665,47.13881,6129.8,9687.68,3.05,2.88,59.7,-0.459,18.97,20.05,01a59602o0696o
59602.522259,22.574,5.875,3,20,o,0,1.16,189.81665,47.13881,6148.87,9567.25,3.07,2.93,58.8,-0.461,18.96,20.05,01a59602o0711o
59604.57429,20.023,0.34,36,12,o,0,1.35,189.81665,47.13881,9553.61,5397.45,2.25,2.14,37.1,-0.442,19.48,20.65,02a59604o0802o
59604.576123,20.747,0.652,18,12,o,0,1.5,189.81665,47.13881,9572.43,5435.96,2.35,2.26,41.4,-0.436,19.44,20.67,02a59604o0806o
59604.578875,19.696,0.23,48,11,o,0,1.46,189.81665,47.13881,9513.47,5361.13,2.23,2.14,37.4,-0.449,19.49,20.66,02a59604o0812o
59604.583956,22.627,3.154,3,10,o,0,1.4,189.81665,47.13881,9494.27,5478.61,2.27,2.16,35.2,-0.436,19.48,20.67,02a59604o0823o
59605.563142,22.701,4.042,3,12,o,0,1.14,189.81665,47.13881,9550.53,5397.13,2.36,2.12,36.9,-0.434,19.46,20.7,02a59605o0779o
59605.566353,21.29,1.349,11,15,o,0,0.75,189.81665,47.13881,9571.31,5435.35,2.35,2.13,37.4,-0.435,19.38,20.55,02a59605o0786o
59605.569101,19.186,0.381,77,29,o,0,1.99,189.81665,47.13881,9512.21,5360.65,2.37,2.13,40.7,-0.439,18.54,19.48,02a59605o0792o
59605.577854,21.43,1.099,10,11,o,0,1.37,189.81665,47.13881,9490.94,5478.35,2.57,2.14,36.1,-0.415,19.33,20.56,02a59605o0811o
